,datetime,open,high,low,close,volume,adj_close
2020-09-22,1600732800000,0.85,7.0,0.85,5.3193,31441883.16,5.3193
2020-09-23,1600819200000,5.3279,5.36,3.4,3.535,12620608.01,3.535
2020-09-24,1600905600000,3.5305,4.8873,3.4033,4.6411,7107843.86,4.6411
2020-09-25,1600992000000,4.6366,5.0234,4.2001,4.7134,3886096.71,4.7134
2020-09-26,1601078400000,4.7164,4.82,4.3294,4.52,1814932.97,4.52
2020-09-27,1601164800000,4.5214,4.7134,4.1068,4.6484,1500134.56,4.6484
2020-09-28,1601251200000,4.6485,4.705,4.1667,4.2021,1210446.38,4.2021
2020-09-29,1601337600000,4.1999,4.2899,3.9607,4.1394,1057878.53,4.1394
2020-09-30,1601424000000,4.1429,4.411,3.9958,4.3293,915518.31,4.3293
2020-10-01,1601510400000,4.3293,4.53,4.014,4.15,1477288.72,4.15
2020-10-02,1601596800000,4.1422,4.2198,3.6332,3.9115,1847614.48,3.9115
2020-10-03,1601683200000,3.9156,4.19,3.8696,4.0168,679798.03,4.0168
2020-10-04,1601769600000,4.0202,4.0798,3.8334,3.964,630849.97,3.964
2020-10-05,1601856000000,3.9582,4.0456,3.87,3.9813,475912.76,3.9813
2020-10-06,1601942400000,3.9949,4.0,3.5,3.5424,971155.87,3.5424
2020-10-07,1602028800000,3.5401,3.5462,3.207,3.442,988661.32,3.442
2020-10-08,1602115200000,3.4409,3.9599,3.3228,3.9147,900977.83,3.9147
2020-10-09,1602201600000,3.9147,4.3252,3.8034,4.2491,573063.37,4.2491
2020-10-10,1602288000000,4.2427,4.2693,4.0001,4.023,821315.35,4.023
2020-10-11,1602374400000,4.0205,4.1762,3.9333,4.096,542437.49,4.096
2020-10-12,1602460800000,4.0841,4.71,4.054,4.41,851811.15,4.41
2020-10-13,1602547200000,4.4099,4.5636,4.3203,4.4806,776819.51,4.4806
2020-10-14,1602633600000,4.4808,4.4848,4.0125,4.1596,512479.12,4.1596
2020-10-15,1602720000000,4.15,4.2312,3.9985,4.1269,306544.02,4.1269
2020-10-16,1602806400000,4.1266,4.1582,3.8755,4.0433,538055.06,4.0433
2020-10-17,1602892800000,4.0462,4.21,3.9673,4.1946,258634.77,4.1946
2020-10-18,1602979200000,4.1874,4.2461,4.0701,4.1195,138296.5,4.1195
2020-10-19,1603065600000,4.1371,4.1748,3.9926,4.05,274925.09,4.05
2020-10-20,1603152000000,4.0568,4.0908,3.6925,3.804,589447.62,3.804
2020-10-21,1603238400000,3.8007,4.103,3.7918,3.9585,319446.86,3.9585
2020-10-22,1603324800000,3.9574,4.4904,3.9511,4.3385,741499.28,4.3385
2020-10-23,1603411200000,4.3406,4.4872,4.1354,4.2568,324892.94,4.2568
2020-10-24,1603497600000,4.2539,4.362,4.14,4.1821,218601.98,4.1821
2020-10-25,1603584000000,4.1803,4.2526,4.1,4.1479,209663.9,4.1479
2020-10-26,1603670400000,4.1409,4.4897,4.0141,4.148,661155.33,4.148
2020-10-27,1603756800000,4.1454,4.35,4.0343,4.1217,292754.21,4.1217
2020-10-28,1603843200000,4.1214,4.1792,3.9308,4.0596,359147.72,4.0596
2020-10-29,1603929600000,4.0607,4.1051,3.7296,3.7758,422589.86,3.7758
2020-10-30,1604016000000,3.7744,3.8226,3.5781,3.7224,850092.33,3.7224
2020-10-31,1604102400000,3.7116,3.7612,3.5876,3.6456,346114.94,3.6456
2020-11-01,1604188800000,3.6355,3.7142,3.5521,3.6814,295468.18,3.6814
2020-11-02,1604275200000,3.6851,3.8775,3.6145,3.617,322604.28,3.617
2020-11-03,1604361600000,3.6174,3.6513,3.2368,3.323,664899.75,3.323
2020-11-04,1604448000000,3.3299,3.3759,3.0,3.1718,466205.93,3.1718
2020-11-05,1604534400000,3.1736,3.3841,3.0211,3.3348,644688.78,3.3348
2020-11-06,1604620800000,3.335,3.6666,3.3194,3.5913,910038.31,3.5913
2020-11-07,1604707200000,3.594,3.9193,3.37,3.4126,832528.78,3.4126
2020-11-08,1604793600000,3.4093,3.67,3.3613,3.4754,543130.62,3.4754
2020-11-09,1604880000000,3.4674,3.5399,3.2619,3.4125,534923.49,3.4125
2020-11-10,1604966400000,3.421,3.63,3.369,3.5713,482731.01,3.5713
2020-11-11,1605052800000,3.5775,3.82,3.46,3.4842,389355.68,3.4842
2020-11-12,1605139200000,3.4918,3.5691,3.32,3.4243,314355.65,3.4243
2020-11-13,1605225600000,3.4268,3.7018,3.3911,3.6745,585394.03,3.6745
2020-11-14,1605312000000,3.6779,3.7042,3.396,3.4894,443020.54,3.4894
2020-11-15,1605398400000,3.484,3.6415,3.4101,3.5453,438362.91,3.5453
2020-11-16,1605484800000,3.5348,3.82,3.455,3.7,658000.76,3.7
2020-11-17,1605571200000,3.7062,3.9333,3.6881,3.8355,490826.18,3.8355
2020-11-18,1605657600000,3.8476,3.8739,3.55,3.7445,531913.49,3.7445
2020-11-19,1605744000000,3.7498,3.8272,3.5563,3.6399,386309.17,3.6399
2020-11-20,1605830400000,3.6432,4.0111,3.6224,3.715,657029.12,3.715
2020-11-21,1605916800000,3.7124,4.0983,3.67,4.0281,557225.0,4.0281
2020-11-22,1606003200000,4.0291,4.0602,3.71,3.8892,562448.53,3.8892
2020-11-23,1606089600000,3.9066,4.2575,3.8519,4.0747,611842.99,4.0747
2020-11-24,1606176000000,4.0748,4.3334,3.865,4.26,855854.35,4.26
2020-11-25,1606262400000,4.26,4.3989,3.9001,4.0453,763623.28,4.0453
2020-11-26,1606348800000,4.0363,4.089,3.28,3.5447,1011308.69,3.5447
2020-11-27,1606435200000,3.5399,3.7581,3.4178,3.5942,382067.49,3.5942
2020-11-28,1606521600000,3.5903,3.6998,3.4752,3.6271,256600.45,3.6271
2020-11-29,1606608000000,3.6299,3.7662,3.531,3.7013,222772.03,3.7013
2020-11-30,1606694400000,3.7124,3.82,3.6418,3.7024,266744.6,3.7024
2020-12-01,1606780800000,3.7044,3.8128,3.4501,3.5543,453003.61,3.5543
2020-12-02,1606867200000,3.55,3.8458,3.5059,3.74,255368.39,3.74
2020-12-03,1606953600000,3.7384,3.8966,3.7103,3.8123,217818.87,3.8123
2020-12-04,1607040000000,3.8076,3.86,3.5091,3.5348,306354.06,3.5348
2020-12-05,1607126400000,3.5337,3.7182,3.5059,3.6382,176697.58,3.6382
2020-12-06,1607212800000,3.6384,3.6733,3.5077,3.6055,198916.73,3.6055
2020-12-07,1607299200000,3.6036,3.6096,3.3,3.3895,319608.12,3.3895
2020-12-08,1607385600000,3.3896,3.3948,3.085,3.1172,947986.45,3.1172
2020-12-09,1607472000000,3.1185,3.4411,2.8001,3.2652,1491988.4,3.2652
2020-12-10,1607558400000,3.2644,3.3583,3.0643,3.1499,1121704.58,3.1499
2020-12-11,1607644800000,3.1482,3.307,3.0131,3.2375,740274.35,3.2375
2020-12-12,1607731200000,3.232,3.45,3.2318,3.3332,695480.54,3.3332
2020-12-13,1607817600000,3.3409,3.4173,3.2806,3.3405,598125.27,3.3405
2020-12-14,1607904000000,3.3401,3.3424,3.1357,3.1433,1041542.84,3.1433
2020-12-15,1607990400000,3.1439,3.5441,3.06,3.3014,899508.23,3.3014
2020-12-16,1608076800000,3.3012,3.3844,3.1451,3.3409,660892.42,3.3409
2020-12-17,1608163200000,3.3444,3.3823,3.1761,3.2079,634136.04,3.2079
2020-12-18,1608249600000,3.2068,3.4737,3.1424,3.4081,642895.11,3.4081
2020-12-19,1608336000000,3.4081,3.6076,3.3783,3.4651,506114.81,3.4651
2020-12-20,1608422400000,3.458,3.498,3.2755,3.304,415890.15,3.304
2020-12-21,1608508800000,3.3041,3.3564,2.925,3.0892,827256.68,3.0892
2020-12-22,1608595200000,3.0922,3.1331,2.9198,3.0761,488812.87,3.0761
2020-12-23,1608681600000,3.0705,3.6937,2.7501,2.9465,2874448.39,2.9465
2020-12-24,1608768000000,2.9525,3.1153,2.7679,3.1006,910977.44,3.1006
2020-12-25,1608854400000,3.1171,3.1301,2.84,2.9517,870245.85,2.9517
2020-12-26,1608940800000,2.9497,2.9975,2.85,2.9178,475916.53,2.9178
