,datetime,open,high,low,close,volume,adj_close
2019-01-01,1546300800000,3701.23,3810.16,3642.0,3797.14,23741.687033,3797.14
2019-01-02,1546387200000,3796.45,3882.14,3750.45,3858.56,35156.463369,3858.56
2019-01-03,1546473600000,3857.57,3862.74,3730.0,3766.78,29406.948359,3766.78
2019-01-04,1546560000000,3767.2,3823.64,3703.57,3792.01,29519.554671,3792.01
2019-01-05,1546646400000,3790.09,3840.99,3751.0,3770.96,30490.667751,3770.96
2019-01-06,1546732800000,3771.12,4027.71,3740.0,3987.6,36553.806709,3987.6
2019-01-07,1546819200000,3987.62,4017.9,3921.53,3975.45,31869.846264,3975.45
2019-01-08,1546905600000,3976.76,4069.8,3903.0,3955.13,38901.423122,3955.13
2019-01-09,1546992000000,3955.45,4006.81,3930.04,3966.65,28989.439511,3966.65
2019-01-10,1547078400000,3966.06,3996.01,3540.0,3585.88,59402.22851,3585.88
2019-01-11,1547164800000,3585.88,3658.0,3465.0,3601.31,38338.654733,3601.31
2019-01-12,1547251200000,3601.31,3618.19,3530.0,3583.13,21999.928354,3583.13
2019-01-13,1547337600000,3584.1,3611.1,3441.3,3476.81,26385.757454,3476.81
2019-01-14,1547424000000,3477.56,3671.87,3467.02,3626.09,35235.211215,3626.09
2019-01-15,1547510400000,3626.08,3648.42,3516.62,3553.06,34137.997459,3553.06
2019-01-16,1547596800000,3553.06,3645.0,3543.51,3591.84,27480.179977,3591.84
2019-01-17,1547683200000,3591.84,3634.7,3530.39,3616.21,29755.440838,3616.21
2019-01-18,1547769600000,3613.32,3620.0,3565.75,3594.87,22713.446755,3594.87
2019-01-19,1547856000000,3594.87,3720.0,3594.23,3665.3,22171.578123,3665.3
2019-01-20,1547942400000,3665.75,3693.73,3475.0,3539.28,27901.938598,3539.28
2019-01-21,1548028800000,3539.26,3559.51,3475.5,3526.9,19644.436839,3526.9
2019-01-22,1548115200000,3526.88,3608.5,3434.85,3570.93,29336.442967,3570.93
2019-01-23,1548201600000,3570.41,3607.98,3514.5,3552.82,24938.842698,3552.82
2019-01-24,1548288000000,3552.97,3589.0,3529.22,3569.62,20826.25118,3569.62
2019-01-25,1548374400000,3569.07,3587.15,3522.51,3565.29,17608.346671,3565.29
2019-01-26,1548460800000,3566.69,3662.94,3545.0,3565.25,19476.532344,3565.25
2019-01-27,1548547200000,3565.62,3579.0,3486.0,3550.84,22735.598162,3550.84
2019-01-28,1548633600000,3550.05,3557.75,3380.27,3434.15,40405.111401,3434.15
