,datetime,open,high,low,close,volume,adj_close
2019-01-01,1546300800000,131.45,140.67,130.0,139.1,401776.88797,139.1
2019-01-02,1546387200000,139.1,155.37,137.76,152.01,941486.31524,152.01
2019-01-03,1546473600000,152.01,153.64,143.11,146.3,708091.31714,146.3
2019-01-04,1546560000000,146.3,154.8,143.54,151.97,805248.93821,151.97
2019-01-05,1546646400000,152.08,159.26,151.2,152.83,773169.13736,152.83
2019-01-06,1546732800000,152.83,157.4,147.51,153.86,627908.47366,153.86
2019-01-07,1546819200000,153.89,155.48,147.86,149.34,424765.30258,149.34
2019-01-08,1546905600000,149.29,151.65,145.2,147.6,441661.06778,147.6
2019-01-09,1546992000000,147.62,151.5,146.77,148.1,299443.563,148.1
2019-01-10,1547078400000,148.11,149.45,121.0,124.95,871751.75038,124.95
2019-01-11,1547164800000,124.96,127.36,120.08,124.65,545293.98369,124.65
2019-01-12,1547251200000,124.67,126.19,122.0,123.35,300262.13404,123.35
2019-01-13,1547337600000,123.35,124.25,111.87,114.16,422561.96777,114.16
2019-01-14,1547424000000,114.17,130.05,113.94,126.95,546420.40854,126.95
2019-01-15,1547510400000,126.95,129.4,116.0,118.95,649020.5297,118.95
2019-01-16,1547596800000,118.93,126.88,118.52,121.48,513486.65472,121.48
2019-01-17,1547683200000,121.49,122.99,116.8,121.54,447535.22716,121.54
2019-01-18,1547769600000,121.56,121.98,117.66,119.17,235646.684,119.17
2019-01-19,1547856000000,119.16,125.29,119.14,122.6,323303.79296,122.6
2019-01-20,1547942400000,122.61,123.32,115.68,117.47,451792.85352,117.47
2019-01-21,1548028800000,117.56,118.5,113.61,115.63,303632.93463,115.63
2019-01-22,1548115200000,115.62,119.49,111.39,117.81,359542.63873,117.81
2019-01-23,1548201600000,117.8,118.95,114.8,116.44,230247.61578,116.44
2019-01-24,1548288000000,116.4,117.15,113.61,116.39,216242.29829,116.39
2019-01-25,1548374400000,116.4,117.5,114.3,115.11,198617.08108,115.11
2019-01-26,1548460800000,115.13,118.0,115.0,115.34,146216.82819,115.34
2019-01-27,1548547200000,115.32,116.15,111.04,112.05,247369.60555,112.05
2019-01-28,1548633600000,112.04,112.87,100.91,105.5,566205.78288,105.5
2019-01-29,1548720000000,105.49,106.61,102.22,104.45,319768.91348,104.45
2019-01-30,1548806400000,104.41,109.8,103.45,108.29,330968.19265,108.29
2019-01-31,1548892800000,108.29,110.61,105.46,106.44,290679.61935,106.44
2019-02-01,1548979200000,106.47,108.35,103.77,106.73,243149.88435,106.73
2019-02-02,1549065600000,106.71,111.15,106.07,110.42,186908.7573,110.42
2019-02-03,1549152000000,110.41,111.11,105.82,107.36,227211.54064,107.36
2019-02-04,1549238400000,107.33,109.3,106.57,107.68,160850.10293,107.68
2019-02-05,1549324800000,107.65,108.18,106.47,107.27,159730.1886,107.27
2019-02-06,1549411200000,107.28,107.83,101.21,104.5,337204.30254,104.5
2019-02-07,1549497600000,104.49,106.18,103.82,104.48,147942.07683,104.48
2019-02-08,1549584000000,104.48,123.0,103.41,119.25,589950.64925,119.25
2019-02-09,1549670400000,119.32,121.99,117.64,119.19,328067.9574,119.19
2019-02-10,1549756800000,119.19,126.49,115.81,125.12,385819.09619,125.12
2019-02-11,1549843200000,125.12,125.28,119.24,120.89,389405.30404,120.89
2019-02-12,1549929600000,120.88,123.89,118.18,122.41,343765.66987,122.41
2019-02-13,1550016000000,122.4,126.47,120.7,121.86,317827.31956,121.86
2019-02-14,1550102400000,121.86,124.5,120.1,120.42,297205.78738,120.42
2019-02-15,1550188800000,120.47,124.25,120.19,121.67,255296.0814,121.67
2019-02-16,1550275200000,121.66,124.99,121.54,122.67,215320.70134,122.67
2019-02-17,1550361600000,122.67,135.61,122.43,133.75,614788.60078,133.75
2019-02-18,1550448000000,133.77,148.3,132.42,145.69,1079830.1502,145.69
2019-02-19,1550534400000,145.69,150.0,142.36,143.44,747968.90445,143.44
2019-02-20,1550620800000,143.45,149.52,139.6,148.44,614303.61007,148.44
2019-02-21,1550707200000,148.42,149.61,142.7,145.69,447364.40873,145.69
