,datetime,open,high,low,close,volume,adj_close
2019-01-01,1546300800000,29.92,31.8,29.56,31.48,103182.73765,31.48
2019-01-02,1546387200000,31.47,33.29,31.07,32.67,118306.23317,32.67
2019-01-03,1546473600000,32.68,32.8,30.62,31.39,94129.85114,31.39
2019-01-04,1546560000000,31.41,32.53,30.78,31.76,108636.82193,31.76
2019-01-05,1546646400000,31.76,35.95,31.76,34.33,335581.55848,34.33
2019-01-06,1546732800000,34.33,39.71,33.89,38.3,761396.10676,38.3
2019-01-07,1546819200000,38.29,39.04,36.53,37.35,444975.92431,37.35
2019-01-08,1546905600000,37.35,40.8,36.91,38.7,522510.17142,38.7
2019-01-09,1546992000000,38.7,39.72,38.0,38.17,312030.13021,38.17
2019-01-10,1547078400000,38.17,38.77,31.0,32.81,584622.4539,32.81
2019-01-11,1547164800000,32.81,33.22,29.68,31.49,351182.38165,31.49
2019-01-12,1547251200000,31.48,32.13,31.07,31.65,178476.28718,31.65
2019-01-13,1547337600000,31.65,32.63,29.12,29.59,229264.11927,29.59
2019-01-14,1547424000000,29.6,32.5,29.38,31.71,255282.35801,31.71
2019-01-15,1547510400000,31.72,32.27,29.95,30.75,216841.86085,30.75
2019-01-16,1547596800000,30.74,31.93,30.47,31.29,153939.59622,31.29
2019-01-17,1547683200000,31.29,31.55,29.8,31.4,203218.00286,31.4
2019-01-18,1547769600000,31.38,31.53,30.31,30.77,150711.34444,30.77
2019-01-19,1547856000000,30.78,32.92,30.77,32.0,164989.63668,32.0
2019-01-20,1547942400000,31.94,33.2,28.45,30.64,249450.00408,30.64
2019-01-21,1548028800000,30.63,31.22,30.34,30.82,110305.75866,30.82
2019-01-22,1548115200000,30.82,32.0,29.48,31.41,199887.16257,31.41
2019-01-23,1548201600000,31.4,32.18,31.24,31.69,123577.27232,31.69
2019-01-24,1548288000000,31.69,33.1,30.89,32.51,138812.16216,32.51
2019-01-25,1548374400000,32.52,33.0,31.87,32.69,169242.53382,32.69
2019-01-26,1548460800000,32.68,33.95,32.57,32.8,166677.42808,32.8
2019-01-27,1548547200000,32.79,33.2,31.05,32.21,173697.81998,32.21
2019-01-28,1548633600000,32.22,32.53,30.0,30.94,267887.62942,30.94
2019-01-29,1548720000000,30.94,31.26,29.91,30.81,135879.8588,30.81
2019-01-30,1548806400000,30.8,31.97,30.47,31.68,129114.99705,31.68
2019-01-31,1548892800000,31.68,32.33,31.08,31.41,154708.17427,31.41
2019-02-01,1548979200000,31.43,33.64,30.7,32.65,335544.96445,32.65
2019-02-02,1549065600000,32.61,35.01,32.44,34.59,268052.52354,34.59
2019-02-03,1549152000000,34.59,34.89,32.86,33.44,348406.73224,33.44
2019-02-04,1549238400000,33.43,34.5,33.36,34.09,206649.66902,34.09
2019-02-05,1549324800000,34.08,34.54,33.63,34.34,214319.34235,34.34
2019-02-06,1549411200000,34.35,34.5,32.25,32.79,312456.54201,32.79
2019-02-07,1549497600000,32.78,33.61,32.73,33.24,144528.08084,33.24
2019-02-08,1549584000000,33.23,44.85,32.75,42.99,1237384.07012,42.99
2019-02-09,1549670400000,42.99,46.95,42.05,44.68,993529.35851,44.68
2019-02-10,1549756800000,44.68,47.59,42.0,46.79,667594.46229,46.79
2019-02-11,1549843200000,46.8,46.87,41.81,42.9,570398.48991,42.9
2019-02-12,1549929600000,42.88,44.57,41.84,43.89,326731.55801,43.89
2019-02-13,1550016000000,43.89,44.66,40.64,41.61,333914.84326,41.61
2019-02-14,1550102400000,41.61,42.45,40.31,41.26,285144.93739,41.26
2019-02-15,1550188800000,41.26,44.6,41.06,42.58,389950.95213,42.58
2019-02-16,1550275200000,42.6,44.37,42.28,43.34,326691.70793,43.34
2019-02-17,1550361600000,43.34,45.13,42.6,43.91,331698.79603,43.91
2019-02-18,1550448000000,43.89,49.03,43.62,47.84,744029.87121,47.84
2019-02-19,1550534400000,47.81,49.1,46.56,47.14,404786.75784,47.14
2019-02-20,1550620800000,47.16,52.21,46.25,51.5,566874.12073,51.5
2019-02-21,1550707200000,51.47,51.65,47.35,48.94,383781.90032,48.94
2019-02-22,1550793600000,48.93,49.97,48.08,49.19,265979.43489,49.19
2019-02-23,1550880000000,49.22,51.88,48.0,51.4,411115.3383,51.4
2019-02-24,1550966400000,51.39,53.53,42.37,43.75,685277.01608,43.75
2019-02-25,1551052800000,43.74,46.85,43.0,45.4,377273.17275,45.4
2019-02-26,1551139200000,45.4,45.89,44.06,44.76,220101.55494,44.76
2019-02-27,1551225600000,44.77,45.53,42.51,45.16,223940.94505,45.16
2019-02-28,1551312000000,45.15,46.7,44.44,45.61,258562.96779,45.61
2019-03-01,1551398400000,45.62,48.95,45.53,47.05,336011.92294,47.05
2019-03-02,1551484800000,47.02,49.4,46.38,48.49,325733.94735,48.49
2019-03-03,1551571200000,48.51,49.1,47.18,47.86,218511.99396,47.86
2019-03-04,1551657600000,47.87,48.22,44.57,45.78,306985.27977,45.78
2019-03-05,1551744000000,45.78,54.25,45.38,52.52,798938.10368,52.52
2019-03-06,1551830400000,52.52,56.81,51.11,55.37,670227.49403,55.37
2019-03-07,1551916800000,55.37,59.12,53.77,56.73,816612.77049,56.73
2019-03-08,1552003200000,56.73,57.6,54.3,55.61,440480.65904,55.61
2019-03-09,1552089600000,55.58,59.83,55.38,57.78,413625.10436,57.78
2019-03-10,1552176000000,57.78,58.04,55.84,56.59,198932.23727,56.59
2019-03-11,1552262400000,56.63,57.37,54.0,54.82,319640.84363,54.82
2019-03-12,1552348800000,54.82,56.96,53.72,56.58,186798.97334,56.58
2019-03-13,1552435200000,56.6,56.84,54.3,55.29,234206.35923,55.29
2019-03-14,1552521600000,55.29,58.2,51.66,55.94,333686.39631,55.94
2019-03-15,1552608000000,55.94,59.15,55.94,58.52,295307.77677,58.52
2019-03-16,1552694400000,58.52,61.97,58.41,61.21,375314.79266,61.21
2019-03-17,1552780800000,61.22,61.32,59.57,60.47,174833.31913,60.47
2019-03-18,1552867200000,60.47,62.63,58.2,59.17,301146.21398,59.17
2019-03-19,1552953600000,59.2,59.96,58.33,59.52,221995.59833,59.52
2019-03-20,1553040000000,59.5,60.74,56.64,60.27,285413.7934,60.27
2019-03-21,1553126400000,60.29,60.64,56.98,58.54,164946.60535,58.54
2019-03-22,1553212800000,58.54,59.6,58.0,59.26,184427.33587,59.26
2019-03-23,1553299200000,59.23,61.76,58.93,60.89,372961.54781,60.89
2019-03-24,1553385600000,60.88,60.9,58.84,59.82,360926.15706,59.82
2019-03-25,1553472000000,59.81,60.7,58.2,59.04,216703.66968,59.04
2019-03-26,1553558400000,59.06,59.35,57.23,58.79,175752.00925,58.79
2019-03-27,1553644800000,58.81,61.87,58.58,61.44,260971.73061,61.44
2019-03-28,1553731200000,61.43,61.43,60.15,60.5,160785.54618,60.5
2019-03-29,1553817600000,60.48,61.8,60.15,61.45,200422.34535,61.45
2019-03-30,1553904000000,61.41,61.56,59.59,60.45,161304.26128,60.45
2019-03-31,1553990400000,60.45,60.72,59.83,60.48,120015.86005,60.48
2019-04-01,1554076800000,60.47,60.9,59.62,60.45,129238.66121,60.45
2019-04-02,1554163200000,60.45,78.4,59.95,76.78,805505.16575,76.78
2019-04-03,1554249600000,76.76,98.5,76.24,85.19,1514710.29313,85.19
2019-04-04,1554336000000,85.02,89.85,79.85,84.7,775702.67217,84.7
2019-04-05,1554422400000,84.71,89.85,83.65,88.24,366668.99563,88.24
2019-04-06,1554508800000,88.24,97.54,85.0,92.21,706789.23459,92.21
2019-04-07,1554595200000,92.23,95.44,88.74,91.55,404878.13429,91.55
2019-04-08,1554681600000,91.55,94.0,85.2,88.57,439909.33843,88.57
2019-04-09,1554768000000,88.57,88.71,82.61,86.17,317748.78519,86.17
2019-04-10,1554854400000,86.19,91.1,85.91,88.16,315727.23676,88.16
2019-04-11,1554940800000,88.16,88.45,74.64,78.88,663804.98498,78.88
2019-04-12,1555027200000,78.9,80.43,75.0,78.47,351092.11924,78.47
2019-04-13,1555113600000,78.43,81.02,75.51,77.62,276710.7109,77.62
2019-04-14,1555200000000,77.58,83.6,76.09,83.28,242418.41303,83.28
2019-04-15,1555286400000,83.31,84.41,75.0,78.07,437925.65449,78.07
2019-04-16,1555372800000,78.06,81.49,76.88,80.27,295134.17728,80.27
2019-04-17,1555459200000,80.27,81.5,78.0,78.77,232336.81062,78.77
2019-04-18,1555545600000,78.82,83.66,78.74,81.68,328509.77037,81.68
2019-04-19,1555632000000,81.67,83.17,79.48,82.05,265365.49383,82.05
2019-04-20,1555718400000,82.05,82.69,79.33,81.15,209481.54759,81.15
2019-04-21,1555804800000,81.16,81.85,72.86,76.65,405449.35652,76.65
2019-04-22,1555891200000,76.61,77.63,74.9,76.51,285737.83886,76.51
2019-04-23,1555977600000,76.47,79.29,73.33,73.7,408341.22655,73.7
2019-04-24,1556064000000,73.67,74.69,69.9,72.85,466422.90922,72.85
2019-04-25,1556150400000,72.85,74.43,70.6,71.78,307408.70386,71.78
2019-04-26,1556236800000,71.79,76.5,70.31,73.82,345014.87676,73.82
2019-04-27,1556323200000,73.83,74.01,71.83,72.23,102336.98217,72.23
2019-04-28,1556409600000,72.24,72.72,68.95,69.89,218635.58959,69.89
2019-04-29,1556496000000,69.89,70.37,66.5,67.87,203603.18601,67.87
2019-04-30,1556582400000,67.86,74.74,67.86,74.32,354469.13538,74.32
2019-05-01,1556668800000,74.31,75.36,71.78,73.36,273831.04765,73.36
2019-05-02,1556755200000,73.35,74.42,72.73,73.68,289626.45366,73.68
2019-05-03,1556841600000,73.65,80.58,73.31,79.22,538448.40523,79.22
2019-05-04,1556928000000,79.26,82.76,74.54,77.77,457004.01484,77.77
2019-05-05,1557014400000,77.73,78.16,75.4,75.7,236821.31245,75.7
2019-05-06,1557100800000,75.7,76.91,71.64,74.94,389445.48037,74.94
2019-05-07,1557187200000,74.95,78.75,73.4,74.61,357677.92795,74.61
2019-05-08,1557273600000,74.59,75.5,72.4,74.44,206081.78548,74.44
2019-05-09,1557360000000,74.44,75.9,72.77,74.19,240477.43667,74.19
2019-05-10,1557446400000,74.18,79.61,72.66,77.11,422915.9252,77.11
2019-05-11,1557532800000,77.12,95.0,76.85,86.59,909602.12694,86.59
2019-05-12,1557619200000,86.59,94.01,83.0,84.73,797262.85973,84.73
2019-05-13,1557705600000,84.71,92.49,84.1,87.16,627311.35573,87.16
2019-05-14,1557792000000,87.34,93.61,86.5,91.17,644139.06467,91.17
2019-05-15,1557878400000,91.15,104.25,89.69,102.02,673429.92612,102.02
2019-05-16,1557964800000,102.03,107.14,90.73,95.49,1179885.10784,95.49
2019-05-17,1558051200000,95.49,97.48,84.27,89.76,914179.22548,89.76
2019-05-18,1558137600000,89.76,90.51,85.11,86.51,380542.14297,86.51
2019-05-19,1558224000000,86.55,96.81,86.07,94.58,584649.51759,94.58
2019-05-20,1558310400000,94.55,94.58,87.11,91.1,447735.71615,91.1
2019-05-21,1558396800000,91.1,93.02,88.83,90.79,335538.23309,90.79
2019-05-22,1558483200000,90.77,92.04,85.83,87.74,308520.29109,87.74
2019-05-23,1558569600000,87.74,89.53,84.62,88.61,208332.29525,88.61
2019-05-24,1558656000000,88.67,103.77,88.01,100.5,832985.16125,100.5
2019-05-25,1558742400000,100.5,105.07,98.87,102.66,519802.9895,102.66
2019-05-26,1558828800000,102.66,114.0,97.5,111.0,658431.91144,111.0
2019-05-27,1558915200000,111.03,121.89,109.94,116.3,873684.89847,116.3
2019-05-28,1559001600000,116.41,118.22,111.08,114.81,399902.25403,114.81
2019-05-29,1559088000000,114.87,118.33,108.0,115.06,359489.09796,115.06
2019-05-30,1559174400000,115.03,120.35,102.4,107.78,708618.8245,107.78
2019-05-31,1559260800000,107.78,114.93,104.55,114.6,487341.72799,114.6
2019-06-01,1559347200000,114.65,116.28,110.51,112.35,318759.84041,112.35
2019-06-02,1559433600000,112.34,116.48,111.25,114.39,234192.23299,114.39
2019-06-03,1559520000000,114.44,116.2,105.01,105.99,441610.78458,105.99
2019-06-04,1559606400000,105.94,106.8,98.13,102.2,673951.14145,102.2
2019-06-05,1559692800000,102.2,105.21,100.11,103.66,379894.44483,103.66
2019-06-06,1559779200000,103.61,112.07,101.0,111.19,488905.21588,111.19
2019-06-07,1559865600000,111.25,121.0,109.53,116.71,619792.48983,116.71
2019-06-08,1559952000000,116.74,119.7,113.5,118.01,454621.75369,118.01
2019-06-09,1560038400000,118.01,118.94,111.02,114.66,425246.36749,114.66
2019-06-10,1560124800000,114.66,130.12,112.54,129.15,793211.22328,129.15
2019-06-11,1560211200000,129.19,138.56,124.85,135.69,836034.97354,135.69
2019-06-12,1560297600000,135.79,143.19,129.86,135.32,1015972.92864,135.32
2019-06-13,1560384000000,135.32,136.52,127.92,130.55,477007.30523,130.55
2019-06-14,1560470400000,130.55,133.03,125.22,132.0,460272.62793,132.0
2019-06-15,1560556800000,132.03,139.5,132.01,137.54,389908.37623,137.54
2019-06-16,1560643200000,137.51,138.2,133.15,136.45,392560.10493,136.45
2019-06-17,1560729600000,136.42,136.82,131.53,133.8,302485.50097,133.8
2019-06-18,1560816000000,133.8,136.84,128.0,135.22,400995.83149,135.22
2019-06-19,1560902400000,135.25,139.5,133.5,136.43,373850.88301,136.43
2019-06-20,1560988800000,136.41,136.75,133.0,135.46,236819.61409,135.46
2019-06-21,1561075200000,135.45,141.29,131.0,138.28,392390.9775,138.28
2019-06-22,1561161600000,138.3,145.9,136.01,142.26,670112.19411,142.26
2019-06-23,1561248000000,142.2,143.34,136.15,137.5,273142.66174,137.5
2019-06-24,1561334400000,137.5,137.52,132.65,135.77,269137.08964,135.77
2019-06-25,1561420800000,135.78,138.63,129.75,136.33,343042.31826,136.33
2019-06-26,1561507200000,136.32,138.5,127.5,132.25,659208.45477,132.25
2019-06-27,1561593600000,132.24,133.5,111.82,116.01,932158.03694,116.01
2019-06-28,1561680000000,116.02,122.19,114.49,120.01,455587.96464,120.01
2019-06-29,1561766400000,119.99,137.0,116.0,133.86,650966.5278,133.86
2019-06-30,1561852800000,133.88,137.44,120.54,123.25,808645.44775,123.25
2019-07-01,1561939200000,123.22,127.03,113.82,123.17,612063.25919,123.17
2019-07-02,1562025600000,123.16,124.0,112.63,118.77,469582.087,118.77
2019-07-03,1562112000000,118.74,123.15,116.78,121.36,365008.0675,121.36
2019-07-04,1562198400000,121.34,127.03,118.51,119.61,375062.74273,119.61
2019-07-05,1562284800000,119.64,120.99,116.22,118.35,223608.71264,118.35
2019-07-06,1562371200000,118.29,121.8,117.06,118.31,153816.69797,118.31
2019-07-07,1562457600000,118.28,120.35,117.0,119.48,142378.61429,119.48
2019-07-08,1562544000000,119.48,125.07,117.77,122.92,219116.92194,122.92
2019-07-09,1562630400000,122.92,124.08,117.64,119.24,233440.12041,119.24
2019-07-10,1562716800000,119.23,120.13,102.5,108.31,507821.30862,108.31
2019-07-11,1562803200000,108.29,108.33,95.21,102.98,566917.40666,102.98
2019-07-12,1562889600000,103.0,107.02,100.65,104.86,204977.52431,104.86
2019-07-13,1562976000000,104.86,105.03,97.64,101.03,229252.96129,101.03
