,datetime,open,high,low,close,volume,adj_close
2020-10-14,1602633600000,1.3,1.88,1.05,1.1685,33930218.86,1.1685
2020-10-15,1602720000000,1.1685,1.2522,1.0792,1.1209,11332956.19,1.1209
2020-10-16,1602806400000,1.1222,1.1524,0.812,0.8171,18486274.59,0.8171
2020-10-17,1602892800000,0.8171,0.8649,0.72,0.8073,11674014.53,0.8073
2020-10-18,1602979200000,0.8074,0.8753,0.8007,0.8692,5960006.25,0.8692
2020-10-19,1603065600000,0.8703,0.871,0.765,0.7993,5584352.53,0.7993
2020-10-20,1603152000000,0.7993,0.81,0.67,0.6757,7513041.18,0.6757
2020-10-21,1603238400000,0.6774,0.7475,0.6731,0.7044,7268329.25,0.7044
2020-10-22,1603324800000,0.7045,0.7881,0.7042,0.7484,5704822.9,0.7484
2020-10-23,1603411200000,0.7479,0.7535,0.6862,0.7271,3774042.75,0.7271
2020-10-24,1603497600000,0.7263,0.7585,0.7052,0.7391,3236181.66,0.7391
2020-10-25,1603584000000,0.7389,0.8581,0.729,0.8444,11721841.25,0.8444
2020-10-26,1603670400000,0.8456,0.8567,0.7396,0.7784,7675162.26,0.7784
2020-10-27,1603756800000,0.7803,0.8068,0.7447,0.7598,4825820.98,0.7598
2020-10-28,1603843200000,0.7609,0.7785,0.681,0.7,5748696.55,0.7
2020-10-29,1603929600000,0.7006,0.7246,0.6702,0.6895,5560173.67,0.6895
2020-10-30,1604016000000,0.69,0.7042,0.6127,0.6306,7402852.45,0.6306
2020-10-31,1604102400000,0.6304,0.6564,0.6184,0.6385,4194888.74,0.6385
2020-11-01,1604188800000,0.6386,0.6568,0.6,0.635,8584893.91,0.635
2020-11-02,1604275200000,0.6361,0.6517,0.5976,0.6064,16305764.58,0.6064
2020-11-03,1604361600000,0.6059,0.6123,0.5573,0.5621,5823630.76,0.5621
2020-11-04,1604448000000,0.5629,0.5644,0.5246,0.5338,6931955.77,0.5338
2020-11-05,1604534400000,0.5342,0.7179,0.5336,0.6912,14869185.28,0.6912
2020-11-06,1604620800000,0.6914,0.765,0.6881,0.7193,12581256.17,0.7193
2020-11-07,1604707200000,0.7198,0.7932,0.6697,0.6961,14821653.13,0.6961
2020-11-08,1604793600000,0.6957,0.8297,0.682,0.8169,7575217.1,0.8169
2020-11-09,1604880000000,0.8165,0.9289,0.7972,0.9289,10185871.67,0.9289
