,datetime,open,high,low,close,volume,adj_close
2019-01-01,1546300800000,0.01867,0.01941,0.01842,0.01928,351832810.6,0.01928
2019-01-02,1546387200000,0.01929,0.02007,0.01886,0.01974,451662383.4,0.01974
2019-01-03,1546473600000,0.01975,0.02049,0.0193,0.01966,523399218.5,0.01966
2019-01-04,1546560000000,0.01967,0.02179,0.01941,0.02106,826847232.6,0.02106
2019-01-05,1546646400000,0.02105,0.0232,0.0209,0.0219,1119659806.0,0.0219
2019-01-06,1546732800000,0.02191,0.02306,0.0213,0.02249,867831913.1,0.02249
2019-01-07,1546819200000,0.0225,0.0239,0.02224,0.02334,705264402.1,0.02334
2019-01-08,1546905600000,0.02333,0.02659,0.02281,0.02589,1370141124.8,0.02589
2019-01-09,1546992000000,0.0259,0.02944,0.02521,0.02785,1572991504.4,0.02785
2019-01-10,1547078400000,0.02784,0.0344,0.02347,0.02541,4989891257.2,0.02541
2019-01-11,1547164800000,0.02535,0.02752,0.02414,0.02453,1995046858.3,0.02453
2019-01-12,1547251200000,0.02453,0.02471,0.0224,0.02296,1099711472.1,0.02296
2019-01-13,1547337600000,0.02297,0.02325,0.02047,0.02085,852023326.8,0.02085
2019-01-14,1547424000000,0.02085,0.0256,0.0206,0.02524,2293615074.1,0.02524
2019-01-15,1547510400000,0.02524,0.02619,0.02325,0.02395,1399984141.8,0.02395
2019-01-16,1547596800000,0.02396,0.02507,0.02357,0.02479,826394320.6,0.02479
2019-01-17,1547683200000,0.02482,0.02579,0.02371,0.02492,1011108887.1,0.02492
2019-01-18,1547769600000,0.02491,0.02539,0.02431,0.02441,608269014.3,0.02441
2019-01-19,1547856000000,0.0244,0.02489,0.0232,0.02419,674269447.7,0.02419
2019-01-20,1547942400000,0.02418,0.02448,0.02288,0.02355,611417328.1,0.02355
2019-01-21,1548028800000,0.02357,0.02556,0.0233,0.02537,680005035.6,0.02537
2019-01-22,1548115200000,0.02537,0.0267,0.02459,0.02619,1109566790.4,0.02619
2019-01-23,1548201600000,0.02617,0.0272,0.02561,0.02631,777770703.1,0.02631
2019-01-24,1548288000000,0.02631,0.0271,0.02594,0.02672,506049413.5,0.02672
2019-01-25,1548374400000,0.02673,0.02682,0.02625,0.02651,333547496.2,0.02651
