,datetime,open,high,low,close,volume,adj_close
2019-01-01,1546300800000,0.34864,0.36111,0.34533,0.3608,41061397.6,0.3608
2019-01-02,1546387200000,0.36057,0.3745,0.3535,0.36882,74162520.5,0.36882
2019-01-03,1546473600000,0.3686,0.3691,0.34778,0.3524,61459149.9,0.3524
2019-01-04,1546560000000,0.35255,0.358,0.34385,0.35308,51976479.9,0.35308
2019-01-05,1546646400000,0.35303,0.35981,0.345,0.34851,53463920.9,0.34851
2019-01-06,1546732800000,0.34851,0.36446,0.34542,0.36042,63015691.4,0.36042
2019-01-07,1546819200000,0.36042,0.37218,0.35701,0.36022,70715569.0,0.36022
2019-01-08,1546905600000,0.36015,0.36796,0.3545,0.36073,67790037.4,0.36073
2019-01-09,1546992000000,0.36073,0.36919,0.35775,0.3648,67288168.8,0.3648
2019-01-10,1547078400000,0.36479,0.37963,0.315,0.32464,182432057.4,0.32464
2019-01-11,1547164800000,0.32464,0.33418,0.31559,0.3258,74955650.2,0.3258
2019-01-12,1547251200000,0.3258,0.32977,0.32071,0.32557,38674176.1,0.32557
2019-01-13,1547337600000,0.32554,0.32953,0.30796,0.31132,56198037.6,0.31132
2019-01-14,1547424000000,0.31139,0.33593,0.31115,0.32871,65175057.4,0.32871
2019-01-15,1547510400000,0.3286,0.33176,0.31606,0.3215,54164499.2,0.3215
2019-01-16,1547596800000,0.32154,0.33196,0.3201,0.3257,48151576.2,0.3257
2019-01-17,1547683200000,0.3258,0.3284,0.31926,0.32489,46482575.6,0.32489
2019-01-18,1547769600000,0.32468,0.32548,0.3161,0.32036,31990322.9,0.32036
2019-01-19,1547856000000,0.32042,0.3325,0.31927,0.3267,43414969.4,0.3267
2019-01-20,1547942400000,0.32672,0.32861,0.31089,0.3168,40593702.6,0.3168
2019-01-21,1548028800000,0.31697,0.32163,0.3127,0.31767,29721620.1,0.31767
2019-01-22,1548115200000,0.31766,0.3202,0.30611,0.31762,51740083.2,0.31762
2019-01-23,1548201600000,0.31762,0.31933,0.312,0.31415,37351681.3,0.31415
2019-01-24,1548288000000,0.31422,0.31795,0.31255,0.31593,27176617.3,0.31593
2019-01-25,1548374400000,0.31584,0.31698,0.31,0.31384,23989294.4,0.31384
2019-01-26,1548460800000,0.314,0.31887,0.3119,0.31258,27927773.9,0.31258
2019-01-27,1548547200000,0.3126,0.31409,0.30272,0.30646,40448660.6,0.30646
2019-01-28,1548633600000,0.30653,0.30767,0.28089,0.29223,86788557.0,0.29223
2019-01-29,1548720000000,0.29223,0.294,0.28126,0.28693,46228128.9,0.28693
2019-01-30,1548806400000,0.28694,0.32646,0.28447,0.32109,135161854.0,0.32109
2019-01-31,1548892800000,0.32118,0.3358,0.30349,0.30911,173326720.7,0.30911
2019-02-01,1548979200000,0.3092,0.31197,0.295,0.30624,87742017.5,0.30624
2019-02-02,1549065600000,0.30628,0.31377,0.30428,0.3103,44389361.1,0.3103
2019-02-03,1549152000000,0.31042,0.31215,0.289,0.30219,55823769.6,0.30219
2019-02-04,1549238400000,0.30204,0.30566,0.29736,0.29939,44235957.5,0.29939
2019-02-05,1549324800000,0.29932,0.30225,0.29642,0.29972,53121022.0,0.29972
2019-02-06,1549411200000,0.29972,0.30101,0.28809,0.2894,60630230.6,0.2894
2019-02-07,1549497600000,0.28934,0.29469,0.28913,0.29145,32936661.6,0.29145
2019-02-08,1549584000000,0.29146,0.32129,0.28908,0.31205,93896197.0,0.31205
2019-02-09,1549670400000,0.31195,0.3164,0.30719,0.31215,65169202.2,0.31215
2019-02-10,1549756800000,0.31218,0.31286,0.29829,0.30988,65487258.0,0.30988
2019-02-11,1549843200000,0.30985,0.3103,0.30136,0.30255,41900510.2,0.30255
2019-02-12,1549929600000,0.30243,0.30842,0.29625,0.30514,50915657.1,0.30514
2019-02-13,1550016000000,0.3051,0.31373,0.30113,0.30382,54722420.4,0.30382
2019-02-14,1550102400000,0.30387,0.30556,0.29975,0.30081,38757408.1,0.30081
2019-02-15,1550188800000,0.30082,0.30646,0.296,0.30194,35931398.3,0.30194
2019-02-16,1550275200000,0.30195,0.30408,0.2997,0.30077,31126221.9,0.30077
2019-02-17,1550361600000,0.30084,0.308,0.29849,0.30318,49930873.1,0.30318
2019-02-18,1550448000000,0.3031,0.32862,0.30177,0.32194,172763975.2,0.32194
2019-02-19,1550534400000,0.32188,0.34777,0.31807,0.32238,198102626.4,0.32238
2019-02-20,1550620800000,0.3225,0.33476,0.3166,0.3315,103063793.8,0.3315
2019-02-21,1550707200000,0.33139,0.33297,0.31688,0.3207,74728496.6,0.3207
2019-02-22,1550793600000,0.32064,0.32333,0.31352,0.32105,47070036.8,0.32105
2019-02-23,1550880000000,0.32102,0.33395,0.31753,0.33201,65573265.4,0.33201
2019-02-24,1550966400000,0.33201,0.34345,0.29371,0.29757,168785982.4,0.29757
2019-02-25,1551052800000,0.29757,0.33975,0.29672,0.32731,198793053.8,0.32731
2019-02-26,1551139200000,0.3274,0.33502,0.31334,0.31658,156768298.4,0.31658
2019-02-27,1551225600000,0.31663,0.31874,0.30076,0.31067,86042683.7,0.31067
2019-02-28,1551312000000,0.31054,0.31771,0.30602,0.3139,82235972.7,0.3139
2019-03-01,1551398400000,0.31386,0.32354,0.31146,0.31564,82928007.7,0.31564
2019-03-02,1551484800000,0.31565,0.31819,0.30993,0.31382,49884108.0,0.31382
2019-03-03,1551571200000,0.31389,0.31542,0.308,0.31114,35107981.0,0.31114
2019-03-04,1551657600000,0.31115,0.31222,0.29728,0.30207,54554165.3,0.30207
2019-03-05,1551744000000,0.30197,0.31787,0.3008,0.31471,65812161.6,0.31471
2019-03-06,1551830400000,0.31473,0.32186,0.3095,0.31629,69108469.9,0.31629
2019-03-07,1551916800000,0.31628,0.31936,0.3124,0.31311,51060315.9,0.31311
2019-03-08,1552003200000,0.31324,0.316,0.305,0.30775,52311973.0,0.30775
2019-03-09,1552089600000,0.3078,0.319,0.3068,0.31389,60052162.0,0.31389
2019-03-10,1552176000000,0.31395,0.31705,0.30905,0.31289,43024192.8,0.31289
2019-03-11,1552262400000,0.31279,0.315,0.30658,0.30992,51679569.6,0.30992
2019-03-12,1552348800000,0.30991,0.31204,0.30766,0.31031,34008792.9,0.31031
2019-03-13,1552435200000,0.3103,0.32555,0.30733,0.31332,78566025.5,0.31332
2019-03-14,1552521600000,0.31345,0.31654,0.30585,0.31131,54311189.1,0.31131
2019-03-15,1552608000000,0.31131,0.31678,0.3107,0.31473,40022943.7,0.31473
2019-03-16,1552694400000,0.31485,0.323,0.31465,0.31868,59414487.2,0.31868
2019-03-17,1552780800000,0.31866,0.31892,0.314,0.3154,33510613.2,0.3154
2019-03-18,1552867200000,0.31546,0.32,0.31135,0.31452,46830749.7,0.31452
2019-03-19,1552953600000,0.31451,0.3166,0.3125,0.31594,37937661.9,0.31594
2019-03-20,1553040000000,0.31581,0.32275,0.3115,0.31779,61071284.0,0.31779
2019-03-21,1553126400000,0.3178,0.31915,0.29,0.30965,68244170.4,0.30965
2019-03-22,1553212800000,0.30965,0.31262,0.30642,0.31041,40997646.8,0.31041
2019-03-23,1553299200000,0.31041,0.31264,0.30883,0.31182,35555914.1,0.31182
2019-03-24,1553385600000,0.31174,0.31186,0.30471,0.30787,34884060.5,0.30787
2019-03-25,1553472000000,0.30792,0.308,0.3,0.3031,47533457.4,0.3031
2019-03-26,1553558400000,0.30296,0.30384,0.294,0.30302,45108158.9,0.30302
2019-03-27,1553644800000,0.303,0.31097,0.30055,0.31012,55385680.1,0.31012
2019-03-28,1553731200000,0.30986,0.31012,0.30418,0.30604,33354763.4,0.30604
2019-03-29,1553817600000,0.30603,0.31042,0.30475,0.30774,52565413.4,0.30774
2019-03-30,1553904000000,0.30775,0.31834,0.30687,0.31107,66842364.5,0.31107
2019-03-31,1553990400000,0.31092,0.31168,0.30718,0.30889,31804560.0,0.30889
2019-04-01,1554076800000,0.30889,0.31455,0.30739,0.31248,43573420.6,0.31248
2019-04-02,1554163200000,0.31249,0.35571,0.3115,0.3505,254825056.8,0.3505
2019-04-03,1554249600000,0.3505,0.3705,0.32354,0.34022,317885933.0,0.34022
2019-04-04,1554336000000,0.34022,0.34669,0.325,0.32996,142045982.4,0.32996
2019-04-05,1554422400000,0.32996,0.37999,0.32994,0.3613,277642035.5,0.3613
2019-04-06,1554508800000,0.36118,0.36224,0.3461,0.35264,127333234.4,0.35264
2019-04-07,1554595200000,0.35267,0.367,0.35041,0.3612,110132996.9,0.3612
2019-04-08,1554681600000,0.36149,0.37012,0.34365,0.35568,128130260.7,0.35568
2019-04-09,1554768000000,0.35558,0.35574,0.34385,0.34732,68738132.8,0.34732
2019-04-10,1554854400000,0.34728,0.3578,0.34608,0.35345,75219953.7,0.35345
2019-04-11,1554940800000,0.3535,0.35377,0.3191,0.32705,141965465.9,0.32705
2019-04-12,1555027200000,0.3271,0.3282,0.31391,0.32325,72144027.4,0.32325
2019-04-13,1555113600000,0.32314,0.3359,0.31936,0.32458,67170066.4,0.32458
2019-04-14,1555200000000,0.32459,0.33,0.32121,0.32762,36641180.9,0.32762
2019-04-15,1555286400000,0.32761,0.33184,0.31311,0.31905,60520268.3,0.31905
2019-04-16,1555372800000,0.31889,0.325,0.31541,0.32379,43657398.1,0.32379
2019-04-17,1555459200000,0.324,0.341,0.319,0.33436,104205590.3,0.33436
2019-04-18,1555545600000,0.33435,0.34671,0.33116,0.33533,89265139.5,0.33533
2019-04-19,1555632000000,0.33525,0.33537,0.32606,0.32999,56599475.8,0.32999
2019-04-20,1555718400000,0.33008,0.33241,0.321,0.32668,50641661.9,0.32668
2019-04-21,1555804800000,0.32673,0.32815,0.31356,0.31963,56724369.4,0.31963
2019-04-22,1555891200000,0.31972,0.3306,0.31624,0.32252,66794738.7,0.32252
2019-04-23,1555977600000,0.32232,0.32647,0.31684,0.31807,54953934.0,0.31807
2019-04-24,1556064000000,0.31802,0.31989,0.2888,0.29963,117021557.4,0.29963
2019-04-25,1556150400000,0.29971,0.30581,0.28455,0.29161,89489236.1,0.29161
2019-04-26,1556236800000,0.29162,0.30491,0.28839,0.3035,72046167.9,0.3035
2019-04-27,1556323200000,0.3034,0.30499,0.2975,0.29928,32921334.6,0.29928
2019-04-28,1556409600000,0.29942,0.30278,0.29535,0.29946,27792665.6,0.29946
2019-04-29,1556496000000,0.29948,0.30161,0.28959,0.29323,40369249.3,0.29323
2019-04-30,1556582400000,0.29313,0.31249,0.29154,0.3087,79732128.9,0.3087
2019-05-01,1556668800000,0.30855,0.31,0.29992,0.30304,48514885.7,0.30304
2019-05-02,1556755200000,0.30313,0.30478,0.30072,0.30205,33326988.7,0.30205
2019-05-03,1556841600000,0.30206,0.31053,0.3003,0.30784,69197287.9,0.30784
2019-05-04,1556928000000,0.30792,0.31856,0.29634,0.30305,66819936.9,0.30305
2019-05-05,1557014400000,0.30293,0.305,0.29892,0.30044,30103928.8,0.30044
