,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,1.3623,1.3974,1.2412,1.259,5080422.22,1.259
2021-01-01 04:00:00,1609473600000,1.259,1.2885,1.2044,1.2343,2651143.98,1.2343
2021-01-01 08:00:00,1609488000000,1.2343,1.2516,1.1212,1.1725,4211842.36,1.1725
2021-01-01 12:00:00,1609502400000,1.1703,1.2164,1.13,1.1702,3849226.11,1.1702
2021-01-01 16:00:00,1609516800000,1.1701,1.2072,1.0863,1.1378,3113645.32,1.1378
2021-01-01 20:00:00,1609531200000,1.1353,1.1709,1.115,1.155,1373712.27,1.155
2021-01-02 00:00:00,1609545600000,1.1521,1.1607,1.08,1.0952,1914101.01,1.0952
2021-01-02 04:00:00,1609560000000,1.0973,1.1138,1.085,1.095,842687.93,1.095
2021-01-02 08:00:00,1609574400000,1.0951,1.1172,1.0262,1.07,1948951.18,1.07
2021-01-02 12:00:00,1609588800000,1.0691,1.1323,1.0604,1.1091,2084029.78,1.1091
2021-01-02 16:00:00,1609603200000,1.1096,1.1323,1.05,1.069,2317584.06,1.069
2021-01-02 20:00:00,1609617600000,1.0713,1.0734,1.0,1.025,2815392.2,1.025
2021-01-03 00:00:00,1609632000000,1.0259,1.0692,1.0177,1.032,1067670.59,1.032
2021-01-03 04:00:00,1609646400000,1.0323,1.0557,0.96,0.9856,2590810.14,0.9856
2021-01-03 08:00:00,1609660800000,0.9853,1.0061,0.9456,0.9955,2798788.68,0.9955
2021-01-03 12:00:00,1609675200000,0.9974,1.1568,0.9952,1.112,7241796.71,1.112
2021-01-03 16:00:00,1609689600000,1.1143,1.1427,1.0608,1.0856,3719212.08,1.0856
2021-01-03 20:00:00,1609704000000,1.0859,1.14,1.0665,1.108,2729425.81,1.108
2021-01-04 00:00:00,1609718400000,1.108,1.24,1.0968,1.2068,4174076.25,1.2068
2021-01-04 04:00:00,1609732800000,1.2068,1.209,1.1,1.1098,4385773.55,1.1098
2021-01-04 08:00:00,1609747200000,1.1123,1.15,0.9666,1.0518,5161389.34,1.0518
2021-01-04 12:00:00,1609761600000,1.0517,1.0675,1.0125,1.0596,1888069.33,1.0596
2021-01-04 16:00:00,1609776000000,1.0588,1.065,1.0066,1.0556,1869337.73,1.0556
2021-01-04 20:00:00,1609790400000,1.055,1.062,1.0061,1.0317,1235804.16,1.0317
2021-01-05 00:00:00,1609804800000,1.0317,1.0783,1.0164,1.0188,1604006.25,1.0188
2021-01-05 04:00:00,1609819200000,1.0188,1.05,0.98,1.0099,1276819.71,1.0099
2021-01-05 08:00:00,1609833600000,1.0106,1.139,1.0106,1.1188,4464405.62,1.1188
2021-01-05 12:00:00,1609848000000,1.1194,1.1793,1.0505,1.1782,5183407.78,1.1782
