,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,0.3358,0.3614,0.331,0.3591,11345759.43,0.3591
2021-01-01 04:00:00,1609473600000,0.3591,0.369,0.3518,0.3574,6596055.82,0.3574
2021-01-01 08:00:00,1609488000000,0.3573,0.3787,0.3497,0.3668,12640234.29,0.3668
2021-01-01 12:00:00,1609502400000,0.3668,0.4321,0.3667,0.408,39015458.77,0.408
2021-01-01 16:00:00,1609516800000,0.4077,0.4257,0.3865,0.3931,18460898.26,0.3931
2021-01-01 20:00:00,1609531200000,0.3931,0.4274,0.3912,0.3978,15439030.19,0.3978
2021-01-02 00:00:00,1609545600000,0.3981,0.4235,0.3796,0.4106,23387999.35,0.4106
2021-01-02 04:00:00,1609560000000,0.4106,0.4633,0.4004,0.4352,29964370.66,0.4352
2021-01-02 08:00:00,1609574400000,0.4352,0.4574,0.4249,0.454,17085273.89,0.454
2021-01-02 12:00:00,1609588800000,0.4538,0.4562,0.4098,0.4299,23006584.66,0.4299
2021-01-02 16:00:00,1609603200000,0.4291,0.43,0.3935,0.406,18020626.27,0.406
2021-01-02 20:00:00,1609617600000,0.4058,0.41,0.3885,0.4075,10450251.36,0.4075
2021-01-03 00:00:00,1609632000000,0.4075,0.4359,0.4038,0.407,12058504.84,0.407
2021-01-03 04:00:00,1609646400000,0.4071,0.4313,0.4067,0.4163,10194642.06,0.4163
2021-01-03 08:00:00,1609660800000,0.4163,0.4173,0.3981,0.4101,8280087.1,0.4101
2021-01-03 12:00:00,1609675200000,0.4101,0.4381,0.4042,0.4171,16572971.58,0.4171
2021-01-03 16:00:00,1609689600000,0.4171,0.4304,0.4092,0.4167,10504178.09,0.4167
2021-01-03 20:00:00,1609704000000,0.4167,0.4281,0.399,0.4253,9298151.89,0.4253
2021-01-04 00:00:00,1609718400000,0.4255,0.4615,0.4254,0.4499,14663533.69,0.4499
2021-01-04 04:00:00,1609732800000,0.4501,0.4551,0.4034,0.4152,13287383.96,0.4152
2021-01-04 08:00:00,1609747200000,0.4149,0.4242,0.3673,0.3963,16330860.16,0.3963
2021-01-04 12:00:00,1609761600000,0.3966,0.4135,0.3888,0.4108,8467084.52,0.4108
2021-01-04 16:00:00,1609776000000,0.4108,0.4134,0.3843,0.3994,7098132.64,0.3994
2021-01-04 20:00:00,1609790400000,0.3998,0.448,0.3911,0.4463,9451279.53,0.4463
2021-01-05 00:00:00,1609804800000,0.4465,0.467,0.4112,0.413,20463691.09,0.413
