,datetime,open,high,low,close,volume,adj_close,signal
2021-03-15 04:00:00,1615780800000,0.1,60.0,0.1,22.4282,24655239.7,22.4282,sell
2021-03-15 08:00:00,1615795200000,22.358,47.1556,22.324,28.5019,28948649.86,28.5019,sell
2021-03-15 12:00:00,1615809600000,28.5,30.9987,21.2386,24.909,9658895.55,24.909,sell
2021-03-15 16:00:00,1615824000000,24.8883,27.6666,23.26,24.0313,4378258.9,24.0313,sell
2021-03-15 20:00:00,1615838400000,24.0325,24.8788,20.5,20.7403,2814008.25,20.7403,sell
2021-03-16 00:00:00,1615852800000,20.7406,25.6958,20.7405,23.4034,3037722.05,23.4034,sell
2021-03-16 04:00:00,1615867200000,23.4017,24.6888,20.87,22.1558,2266274.61,22.1558,sell
2021-03-16 08:00:00,1615881600000,22.1548,22.209,17.3648,18.3121,3913806.42,18.3121,sell
2021-03-16 12:00:00,1615896000000,18.3542,19.0879,15.501,16.697,3266247.2,16.697,sell
2021-03-16 16:00:00,1615910400000,16.697,17.7,15.6,16.6323,2238598.58,16.6323,sell
2021-03-16 20:00:00,1615924800000,16.6349,17.89,16.4,17.059,1082144.12,17.059,sell
2021-03-17 00:00:00,1615939200000,17.0148,18.8171,16.7,17.38,1128327.47,17.38,sell
2021-03-17 04:00:00,1615953600000,17.383,17.6893,15.8868,16.5512,765096.3,16.5512,sell
2021-03-17 08:00:00,1615968000000,16.5824,16.91,15.5861,15.7631,731136.44,15.7631,sell
2021-03-17 12:00:00,1615982400000,15.7897,15.8069,14.0851,15.0598,1604362.96,15.0598,sell
2021-03-17 16:00:00,1615996800000,15.0081,15.7596,14.25,15.262,986868.96,15.262,sell
2021-03-17 20:00:00,1616011200000,15.262,15.8,14.414,14.5949,743817.95,14.5949,sell
2021-03-18 00:00:00,1616025600000,14.5948,17.34,14.3023,16.9681,1483263.32,16.9681,sell
2021-03-18 04:00:00,1616040000000,16.9691,19.9247,16.1144,18.3059,4006221.25,18.3059,sell
2021-03-18 08:00:00,1616054400000,18.3615,18.3809,17.0202,17.407,1828784.18,17.407,sell
2021-03-18 12:00:00,1616068800000,17.4067,17.4415,15.899,16.2899,1696065.77,16.2899,sell
2021-03-18 16:00:00,1616083200000,16.2696,16.9397,15.7427,16.1012,943145.64,16.1012,sell
2021-03-18 20:00:00,1616097600000,16.1012,17.1,15.9371,17.0141,539550.78,17.0141,sell
2021-03-19 00:00:00,1616112000000,17.0125,17.9999,15.9719,17.7162,1040462.16,17.7162,sell
2021-03-19 04:00:00,1616126400000,17.7154,17.7158,15.9357,15.9844,816783.35,15.9844,sell
2021-03-19 08:00:00,1616140800000,15.9844,16.5811,15.9705,16.4452,637706.26,16.4452,sell
2021-03-19 12:00:00,1616155200000,16.4728,16.7539,16.0011,16.3923,441801.75,16.3923,sell
2021-03-19 16:00:00,1616169600000,16.4005,16.6331,16.0,16.0824,378510.46,16.0824,sell
2021-03-19 20:00:00,1616184000000,16.0887,16.25,14.96,15.1616,785570.2,15.1616,sell
2021-03-20 00:00:00,1616198400000,15.163,15.5,14.9999,15.0781,358432.87,15.0781,sell
2021-03-20 04:00:00,1616212800000,15.0583,15.58,14.9999,15.4344,357607.26,15.4344,sell
2021-03-20 08:00:00,1616227200000,15.4344,15.452,15.0655,15.26,332211.0,15.26,sell
2021-03-20 12:00:00,1616241600000,15.2524,15.4017,15.09,15.176,323414.56,15.176,sell
2021-03-20 16:00:00,1616256000000,15.1778,15.22,14.27,14.7884,660160.68,14.7884,sell
2021-03-20 20:00:00,1616270400000,14.7883,14.8163,14.31,14.354,301212.33,14.354,sell
2021-03-21 00:00:00,1616284800000,14.3576,14.6557,13.6,14.0613,623767.9,14.0613,sell
2021-03-21 04:00:00,1616299200000,14.07,14.0814,13.3,13.5134,515409.93,13.5134,sell
2021-03-21 08:00:00,1616313600000,13.5134,14.2554,13.1546,13.3883,629950.08,13.3883,sell
2021-03-21 12:00:00,1616328000000,13.386,14.42,13.11,13.7621,789907.38,13.7621,sell
2021-03-21 16:00:00,1616342400000,13.7621,13.9345,13.4365,13.83,234691.27,13.83,sell
