,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,3.0563,3.2164,3.0468,3.2164,123024.88,3.2164
2021-01-01 04:00:00,1609473600000,3.2142,3.2503,3.2006,3.2379,53259.95,3.2379
2021-01-01 08:00:00,1609488000000,3.2325,3.2411,3.1359,3.2127,64819.04,3.2127
2021-01-01 12:00:00,1609502400000,3.2086,3.233,3.1855,3.2243,46880.0,3.2243
2021-01-01 16:00:00,1609516800000,3.2243,3.2474,3.179,3.205,36446.25,3.205
2021-01-01 20:00:00,1609531200000,3.1938,3.2302,3.1938,3.2205,19449.12,3.2205
2021-01-02 00:00:00,1609545600000,3.2199,3.2253,3.1272,3.1588,41519.5,3.1588
2021-01-02 04:00:00,1609560000000,3.1588,3.1697,3.1444,3.1645,17607.01,3.1645
2021-01-02 08:00:00,1609574400000,3.1652,3.1747,3.1514,3.1673,16347.31,3.1673
2021-01-02 12:00:00,1609588800000,3.1746,3.2116,3.12,3.1204,37179.23,3.1204
2021-01-02 16:00:00,1609603200000,3.1291,3.142,3.0459,3.0633,48948.0,3.0633
2021-01-02 20:00:00,1609617600000,3.0555,3.1154,3.0003,3.1085,32794.38,3.1085
2021-01-03 00:00:00,1609632000000,3.1085,3.1501,3.091,3.1311,26961.2,3.1311
2021-01-03 04:00:00,1609646400000,3.1257,3.147,3.0876,3.0905,31054.19,3.0905
2021-01-03 08:00:00,1609660800000,3.0986,3.1559,3.0764,3.1384,32457.87,3.1384
2021-01-03 12:00:00,1609675200000,3.1386,3.2016,3.1228,3.1671,59207.03,3.1671
2021-01-03 16:00:00,1609689600000,3.1593,3.2103,2.96,3.0285,155318.91,3.0285
2021-01-03 20:00:00,1609704000000,3.0349,3.0693,3.0246,3.0597,51059.98,3.0597
2021-01-04 00:00:00,1609718400000,3.0597,3.2751,3.0591,3.2751,60617.89,3.2751
2021-01-04 04:00:00,1609732800000,3.2681,3.4338,3.1808,3.218,157747.06,3.218
2021-01-04 08:00:00,1609747200000,3.223,3.2636,3.0575,3.1165,81858.4,3.1165
2021-01-04 12:00:00,1609761600000,3.1238,3.2626,3.0618,3.2236,73578.18,3.2236
2021-01-04 16:00:00,1609776000000,3.2236,3.2279,3.1424,3.1954,43421.86,3.1954
2021-01-04 20:00:00,1609790400000,3.1953,3.3734,3.1602,3.3395,160487.89,3.3395
2021-01-05 00:00:00,1609804800000,3.3388,3.3747,3.2248,3.2339,61218.31,3.2339
2021-01-05 04:00:00,1609819200000,3.2382,3.2475,3.1789,3.2339,33021.77,3.2339
2021-01-05 08:00:00,1609833600000,3.2239,3.2997,3.2236,3.2863,37341.51,3.2863
2021-01-05 12:00:00,1609848000000,3.2925,3.3266,3.2443,3.3266,64656.4,3.3266
2021-01-05 16:00:00,1609862400000,3.3265,3.4223,3.2173,3.2351,151196.0,3.2351
2021-01-05 20:00:00,1609876800000,3.2346,3.3171,3.231,3.3004,45709.9,3.3004
2021-01-06 00:00:00,1609891200000,3.3034,3.3565,3.2893,3.352,40124.41,3.352
2021-01-06 04:00:00,1609905600000,3.352,3.3579,3.3065,3.3303,57039.28,3.3303
2021-01-06 08:00:00,1609920000000,3.3387,3.3943,3.3248,3.3943,66270.21,3.3943
2021-01-06 12:00:00,1609934400000,3.3943,3.5715,3.3731,3.4979,144723.69,3.4979
2021-01-06 16:00:00,1609948800000,3.4918,3.6,3.4878,3.4878,63633.61,3.4878
2021-01-06 20:00:00,1609963200000,3.4878,3.501,3.4409,3.4719,55149.48,3.4719
2021-01-07 00:00:00,1609977600000,3.4719,3.5083,3.4078,3.4587,95068.08,3.4587
2021-01-07 04:00:00,1609992000000,3.4587,3.8377,3.443,3.656,250469.95,3.656
2021-01-07 08:00:00,1610006400000,3.6562,3.8,3.6329,3.7288,73391.23,3.7288
2021-01-07 12:00:00,1610020800000,3.7297,3.802,3.6211,3.6967,65735.85,3.6967
2021-01-07 16:00:00,1610035200000,3.6921,3.756,3.3,3.4836,136804.94,3.4836
2021-01-07 20:00:00,1610049600000,3.4837,3.5248,3.3589,3.4707,119695.08,3.4707
2021-01-08 00:00:00,1610064000000,3.4711,3.4766,3.0991,3.3161,119822.63,3.3161
2021-01-08 04:00:00,1610078400000,3.3183,3.4037,3.2659,3.3886,66283.2,3.3886
2021-01-08 08:00:00,1610092800000,3.3817,3.47,3.3054,3.3945,42175.48,3.3945
2021-01-08 12:00:00,1610107200000,3.3926,3.5967,3.3611,3.4066,69871.6,3.4066
2021-01-08 16:00:00,1610121600000,3.4065,3.4331,3.2903,3.319,44995.82,3.319
2021-01-08 20:00:00,1610136000000,3.3289,3.3799,3.2116,3.2971,69111.59,3.2971
2021-01-09 00:00:00,1610150400000,3.2971,3.3721,3.2015,3.3721,111118.42,3.3721
2021-01-09 04:00:00,1610164800000,3.3724,3.3734,3.2014,3.2349,58436.27,3.2349
2021-01-09 08:00:00,1610179200000,3.2418,3.3672,3.1999,3.3499,107268.51,3.3499
2021-01-09 12:00:00,1610193600000,3.3499,3.4834,3.3431,3.4298,95118.67,3.4298
2021-01-09 16:00:00,1610208000000,3.4339,3.6824,3.2601,3.5451,320458.31,3.5451
2021-01-09 20:00:00,1610222400000,3.545,3.6134,3.4357,3.4863,77808.17,3.4863
2021-01-10 00:00:00,1610236800000,3.4863,3.7182,3.4863,3.6501,99384.19,3.6501
2021-01-10 04:00:00,1610251200000,3.6502,3.77,3.6439,3.7257,46422.86,3.7257
2021-01-10 08:00:00,1610265600000,3.7289,3.7678,3.4053,3.4076,107685.76,3.4076
2021-01-10 12:00:00,1610280000000,3.4185,3.6585,3.3801,3.6581,65483.11,3.6581
2021-01-10 16:00:00,1610294400000,3.6573,3.9434,3.52,3.5635,144663.71,3.5635
2021-01-10 20:00:00,1610308800000,3.5727,3.838,3.4362,3.8196,76820.52,3.8196
2021-01-11 00:00:00,1610323200000,3.826,3.8461,3.273,3.3685,102496.25,3.3685
2021-01-11 04:00:00,1610337600000,3.3807,3.4446,3.1707,3.36,66406.85,3.36
2021-01-11 08:00:00,1610352000000,3.3664,3.5267,3.3247,3.3665,57908.06,3.3665
2021-01-11 12:00:00,1610366400000,3.378,3.3797,3.0259,3.1451,140183.58,3.1451
2021-01-11 16:00:00,1610380800000,3.1342,3.2642,3.0343,3.1529,86141.14,3.1529
2021-01-11 20:00:00,1610395200000,3.1527,3.3699,3.0872,3.342,63124.36,3.342
2021-01-12 00:00:00,1610409600000,3.342,3.3642,3.1509,3.255,125918.01,3.255
2021-01-12 04:00:00,1610424000000,3.2593,3.3586,3.1878,3.3585,50990.18,3.3585
2021-01-12 08:00:00,1610438400000,3.3602,3.3612,3.1615,3.2315,64769.47,3.2315
2021-01-12 12:00:00,1610452800000,3.2305,3.2706,3.0251,3.1199,85164.72,3.1199
2021-01-12 16:00:00,1610467200000,3.1363,3.31,3.1197,3.2184,71459.94,3.2184
2021-01-12 20:00:00,1610481600000,3.2194,3.2237,3.1,3.1671,39860.26,3.1671
2021-01-13 00:00:00,1610496000000,3.1556,3.174,3.0655,3.1461,63581.84,3.1461
2021-01-13 04:00:00,1610510400000,3.1439,3.1666,3.0437,3.1596,51270.25,3.1596
2021-01-13 08:00:00,1610524800000,3.1594,3.1924,3.0736,3.1026,52381.2,3.1026
2021-01-13 12:00:00,1610539200000,3.1086,3.2129,3.0851,3.2014,47576.76,3.2014
2021-01-13 16:00:00,1610553600000,3.2014,3.35,3.1901,3.3046,46638.03,3.3046
2021-01-13 20:00:00,1610568000000,3.3056,3.3414,3.25,3.2875,47836.25,3.2875
2021-01-14 00:00:00,1610582400000,3.2907,3.3125,3.1747,3.2695,47995.24,3.2695
2021-01-14 04:00:00,1610596800000,3.2725,3.5,3.237,3.3434,145943.86,3.3434
2021-01-14 08:00:00,1610611200000,3.3434,3.3992,3.3068,3.3252,46817.29,3.3252
2021-01-14 12:00:00,1610625600000,3.3183,3.3684,3.2737,3.3453,31296.44,3.3453
2021-01-14 16:00:00,1610640000000,3.3453,3.395,3.337,3.3792,30033.39,3.3792
2021-01-14 20:00:00,1610654400000,3.3792,3.3792,3.1884,3.2799,76564.44,3.2799
2021-01-15 00:00:00,1610668800000,3.2799,3.3417,3.1862,3.2001,115563.28,3.2001
2021-01-15 04:00:00,1610683200000,3.1989,3.47,3.1,3.3635,239413.98,3.3635
2021-01-15 08:00:00,1610697600000,3.3748,3.4735,3.33,3.4566,143808.28,3.4566
2021-01-15 12:00:00,1610712000000,3.459,3.5761,3.124,3.3097,181306.66,3.3097
2021-01-15 16:00:00,1610726400000,3.3099,3.318,3.2081,3.2321,85832.96,3.2321
2021-01-15 20:00:00,1610740800000,3.2361,3.3842,3.2235,3.3493,56619.28,3.3493
2021-01-16 00:00:00,1610755200000,3.3458,3.5269,3.3431,3.4265,122216.99,3.4265
2021-01-16 04:00:00,1610769600000,3.4324,3.49,3.3612,3.4491,57832.17,3.4491
2021-01-16 08:00:00,1610784000000,3.4491,3.5936,3.422,3.5797,88848.22,3.5797
2021-01-16 12:00:00,1610798400000,3.5765,3.65,3.435,3.5977,215182.66,3.5977
2021-01-16 16:00:00,1610812800000,3.5996,3.5996,3.4695,3.5056,73284.79,3.5056
2021-01-16 20:00:00,1610827200000,3.5044,3.5768,3.4884,3.4984,52096.93,3.4984
2021-01-17 00:00:00,1610841600000,3.5027,3.7399,3.47,3.6567,85066.68,3.6567
2021-01-17 04:00:00,1610856000000,3.6642,3.7089,3.4321,3.4897,91703.63,3.4897
2021-01-17 08:00:00,1610870400000,3.4812,4.467,3.4241,4.2477,639496.19,4.2477
2021-01-17 12:00:00,1610884800000,4.2493,5.2894,4.2362,4.7597,1966885.54,4.7597
2021-01-17 16:00:00,1610899200000,4.765,4.8286,4.4401,4.6091,525180.83,4.6091
2021-01-17 20:00:00,1610913600000,4.6193,5.25,4.5734,4.8616,569995.88,4.8616
2021-01-18 00:00:00,1610928000000,4.8569,5.0309,4.2951,4.441,384179.03,4.441
2021-01-18 04:00:00,1610942400000,4.4442,4.7576,4.3891,4.7336,247706.48,4.7336
2021-01-18 08:00:00,1610956800000,4.7506,4.897,4.5459,4.6114,236774.23,4.6114
2021-01-18 12:00:00,1610971200000,4.6114,4.7176,4.4037,4.5145,202879.13,4.5145
2021-01-18 16:00:00,1610985600000,4.5199,4.5295,4.2116,4.239,167064.49,4.239
2021-01-18 20:00:00,1611000000000,4.237,4.3984,4.1515,4.2703,225345.12,4.2703
2021-01-19 00:00:00,1611014400000,4.2703,4.4145,4.1161,4.2151,231630.88,4.2151
2021-01-19 04:00:00,1611028800000,4.2151,4.3021,4.111,4.2275,135461.6,4.2275
2021-01-19 08:00:00,1611043200000,4.2275,4.3943,4.1704,4.2737,146776.43,4.2737
2021-01-19 12:00:00,1611057600000,4.2719,4.314,4.2123,4.2686,70401.2,4.2686
2021-01-19 16:00:00,1611072000000,4.2749,4.348,4.1588,4.1915,65724.46,4.1915
2021-01-19 20:00:00,1611086400000,4.1908,4.2033,4.0,4.0005,75881.56,4.0005
2021-01-20 00:00:00,1611100800000,4.0005,4.0751,3.9292,3.9372,101685.69,3.9372
2021-01-20 04:00:00,1611115200000,3.9294,4.1753,3.9,4.144,49299.96,4.144
2021-01-20 08:00:00,1611129600000,4.1454,4.1607,3.7069,3.7996,108959.8,3.7996
2021-01-20 12:00:00,1611144000000,3.7845,3.9735,3.6884,3.8771,133346.13,3.8771
2021-01-20 16:00:00,1611158400000,3.8604,4.0193,3.7105,3.9669,133984.77,3.9669
2021-01-20 20:00:00,1611172800000,3.9669,4.0553,3.8848,4.0116,95213.17,4.0116
2021-01-21 00:00:00,1611187200000,4.0231,4.0977,3.9004,3.912,76945.12,3.912
2021-01-21 04:00:00,1611201600000,3.912,3.971,3.73,3.8102,64885.8,3.8102
2021-01-21 08:00:00,1611216000000,3.8095,3.8097,3.5125,3.5749,225566.3,3.5749
2021-01-21 12:00:00,1611230400000,3.5745,3.74,3.5025,3.6666,186146.12,3.6666
2021-01-21 16:00:00,1611244800000,3.6579,3.7276,3.52,3.6423,107441.18,3.6423
2021-01-21 20:00:00,1611259200000,3.6394,3.6394,3.41,3.4333,78664.67,3.4333
2021-01-22 00:00:00,1611273600000,3.4206,3.4241,3.0205,3.2894,187712.01,3.2894
2021-01-22 04:00:00,1611288000000,3.2938,3.3396,3.2161,3.2496,128300.65,3.2496
2021-01-22 08:00:00,1611302400000,3.2436,3.4,3.2134,3.3857,120635.63,3.3857
2021-01-22 12:00:00,1611316800000,3.3857,3.4864,3.3502,3.4346,116906.52,3.4346
