,datetime,open,high,low,close,volume,adj_close
2022-01-21 08:00:00,1642752000000,4.19,6.662,4.19,5.674,4457016.96,5.674
2022-01-21 12:00:00,1642766400000,5.674,5.714,4.784,4.904,1621551.32,4.904
2022-01-21 16:00:00,1642780800000,4.904,5.12,4.591,4.781,792617.01,4.781
2022-01-21 20:00:00,1642795200000,4.781,4.875,4.052,4.67,713340.97,4.67
2022-01-22 00:00:00,1642809600000,4.681,6.3,4.546,6.193,2870239.73,6.193
2022-01-22 04:00:00,1642824000000,6.2,7.22,5.85,6.12,4481636.33,6.12
2022-01-22 08:00:00,1642838400000,6.127,6.729,4.56,4.823,3605226.75,4.823
2022-01-22 12:00:00,1642852800000,4.822,5.759,4.8,4.806,2583681.14,4.806
2022-01-22 16:00:00,1642867200000,4.812,5.198,4.6,4.616,1169766.76,4.616
2022-01-22 20:00:00,1642881600000,4.619,5.062,4.619,4.835,897946.2,4.835
2022-01-23 00:00:00,1642896000000,4.825,4.983,4.265,4.649,606513.19,4.649
2022-01-23 04:00:00,1642910400000,4.649,4.742,4.347,4.68,701702.72,4.68
2022-01-23 08:00:00,1642924800000,4.689,4.9,4.597,4.624,599493.19,4.624
2022-01-23 12:00:00,1642939200000,4.624,4.649,4.34,4.449,340543.71,4.449
2022-01-23 16:00:00,1642953600000,4.453,4.591,4.226,4.271,253749.11,4.271
2022-01-23 20:00:00,1642968000000,4.272,4.534,4.271,4.378,219624.87,4.378
2022-01-24 00:00:00,1642982400000,4.378,4.543,4.135,4.212,273249.6,4.212
2022-01-24 04:00:00,1642996800000,4.209,4.27,3.956,4.032,244160.03,4.032
2022-01-24 08:00:00,1643011200000,4.033,4.035,3.532,3.628,505330.41,3.628
2022-01-24 12:00:00,1643025600000,3.63,3.819,3.5,3.773,255954.94,3.773
2022-01-24 16:00:00,1643040000000,3.773,3.947,3.611,3.919,306503.59,3.919
2022-01-24 20:00:00,1643054400000,3.915,4.166,3.78,3.92,198944.15,3.92
2022-01-25 00:00:00,1643068800000,3.917,3.975,3.734,3.796,70710.38,3.796
2022-01-25 04:00:00,1643083200000,3.805,3.847,3.646,3.755,129000.24,3.755
2022-01-25 08:00:00,1643097600000,3.771,3.93,3.722,3.79,222286.79,3.79
2022-01-25 12:00:00,1643112000000,3.789,4.08,3.743,4.023,280397.52,4.023
2022-01-25 16:00:00,1643126400000,4.007,4.023,3.874,3.876,121265.73,3.876
2022-01-25 20:00:00,1643140800000,3.876,3.879,3.7,3.803,134841.25,3.803
2022-01-26 00:00:00,1643155200000,3.803,3.9,3.742,3.9,90983.53,3.9
2022-01-26 04:00:00,1643169600000,3.9,3.97,3.792,3.82,71702.82,3.82
2022-01-26 08:00:00,1643184000000,3.818,3.875,3.754,3.817,80295.53,3.817
2022-01-26 12:00:00,1643198400000,3.806,4.194,3.782,4.004,238857.76,4.004
2022-01-26 16:00:00,1643212800000,4.004,4.279,3.866,3.873,448326.02,3.873
2022-01-26 20:00:00,1643227200000,3.878,3.903,3.6,3.77,104050.94,3.77
2022-01-27 00:00:00,1643241600000,3.78,3.847,3.47,3.565,104782.42,3.565
2022-01-27 04:00:00,1643256000000,3.565,3.656,3.507,3.573,48987.0,3.573
2022-01-27 08:00:00,1643270400000,3.577,3.651,3.518,3.624,110554.96,3.624
2022-01-27 12:00:00,1643284800000,3.631,3.761,3.618,3.645,87056.63,3.645
2022-01-27 16:00:00,1643299200000,3.65,3.672,3.58,3.616,70775.08,3.616
2022-01-27 20:00:00,1643313600000,3.616,3.968,3.532,3.966,130832.05,3.966
2022-01-28 00:00:00,1643328000000,3.964,4.061,3.866,3.887,140385.63,3.887
2022-01-28 04:00:00,1643342400000,3.889,3.906,3.758,3.79,137350.62,3.79
2022-01-28 08:00:00,1643356800000,3.781,3.851,3.702,3.719,87198.65,3.719
2022-01-28 12:00:00,1643371200000,3.71,3.859,3.64,3.744,139535.69,3.744
2022-01-28 16:00:00,1643385600000,3.752,3.812,3.631,3.712,89535.35,3.712
2022-01-28 20:00:00,1643400000000,3.718,3.79,3.697,3.757,35715.89,3.757
2022-01-29 00:00:00,1643414400000,3.756,3.896,3.756,3.831,32356.05,3.831
2022-01-29 04:00:00,1643428800000,3.831,3.979,3.805,3.898,76500.06,3.898
2022-01-29 08:00:00,1643443200000,3.898,3.958,3.831,3.923,55689.32,3.923
2022-01-29 12:00:00,1643457600000,3.922,3.958,3.711,3.765,76299.73,3.765
2022-01-29 16:00:00,1643472000000,3.766,3.8,3.59,3.778,123274.15,3.778
2022-01-29 20:00:00,1643486400000,3.784,3.793,3.643,3.7,56415.01,3.7
2022-01-30 00:00:00,1643500800000,3.7,3.799,3.62,3.661,64457.66,3.661
2022-01-30 04:00:00,1643515200000,3.66,3.774,3.65,3.718,48694.24,3.718
2022-01-30 08:00:00,1643529600000,3.71,3.734,3.658,3.709,26969.48,3.709
2022-01-30 12:00:00,1643544000000,3.708,3.769,3.674,3.692,46590.15,3.692
2022-01-30 16:00:00,1643558400000,3.695,3.702,3.58,3.589,45316.81,3.589
2022-01-30 20:00:00,1643572800000,3.588,3.704,3.513,3.644,89203.37,3.644
2022-01-31 00:00:00,1643587200000,3.636,3.64,3.387,3.413,62771.81,3.413
2022-01-31 04:00:00,1643601600000,3.411,3.435,3.331,3.419,72271.32,3.419
2022-01-31 08:00:00,1643616000000,3.419,3.427,3.367,3.394,34538.76,3.394
2022-01-31 12:00:00,1643630400000,3.405,3.45,3.337,3.405,109704.11,3.405
2022-01-31 16:00:00,1643644800000,3.403,3.533,3.399,3.423,118422.53,3.423
2022-01-31 20:00:00,1643659200000,3.415,3.477,3.372,3.42,144711.33,3.42
2022-02-01 00:00:00,1643673600000,3.423,3.645,3.41,3.558,92455.43,3.558
2022-02-01 04:00:00,1643688000000,3.556,3.618,3.48,3.509,64219.46,3.509
2022-02-01 08:00:00,1643702400000,3.506,3.518,3.398,3.442,49214.33,3.442
