,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,0.02386,0.02459,0.02333,0.02455,29123096.0,0.02455,sell
2021-01-01 04:00:00,1609473600000,0.02454,0.02471,0.02391,0.02394,23902707.3,0.02394,sell
2021-01-01 08:00:00,1609488000000,0.02396,0.02483,0.0236,0.02476,37971821.7,0.02476,sell
2021-01-01 12:00:00,1609502400000,0.02476,0.02483,0.0238,0.02383,38596090.0,0.02383,sell
2021-01-01 16:00:00,1609516800000,0.02382,0.0241,0.02282,0.02297,30682147.1,0.02297,sell
2021-01-01 20:00:00,1609531200000,0.02298,0.0235,0.02285,0.02336,22804225.2,0.02336,sell
2021-01-02 00:00:00,1609545600000,0.02336,0.02336,0.02191,0.02232,29158507.0,0.02232,sell
2021-01-02 04:00:00,1609560000000,0.02233,0.02233,0.0215,0.02151,30411268.6,0.02151,sell
2021-01-02 08:00:00,1609574400000,0.02152,0.02251,0.02148,0.02194,31591935.2,0.02194,sell
2021-01-02 12:00:00,1609588800000,0.02195,0.0223,0.02157,0.02194,36569917.9,0.02194,sell
2021-01-02 16:00:00,1609603200000,0.02193,0.02195,0.02103,0.02128,34903581.3,0.02128,sell
2021-01-02 20:00:00,1609617600000,0.02126,0.02186,0.0207,0.02138,32738504.5,0.02138,sell
2021-01-03 00:00:00,1609632000000,0.02138,0.02192,0.02134,0.02162,21351523.7,0.02162,sell
2021-01-03 04:00:00,1609646400000,0.02166,0.02195,0.02113,0.02133,25573577.8,0.02133,sell
2021-01-03 08:00:00,1609660800000,0.02137,0.02143,0.02087,0.02115,33937664.2,0.02115,sell
2021-01-03 12:00:00,1609675200000,0.02117,0.02196,0.02094,0.02153,33594320.8,0.02153,sell
2021-01-03 16:00:00,1609689600000,0.02152,0.0225,0.02141,0.02197,34737625.4,0.02197,sell
2021-01-03 20:00:00,1609704000000,0.02197,0.02225,0.02158,0.02197,27000453.1,0.02197,sell
2021-01-04 00:00:00,1609718400000,0.02197,0.02316,0.0219,0.02289,28289103.7,0.02289,sell
2021-01-04 04:00:00,1609732800000,0.02288,0.0239,0.02182,0.02198,45967994.3,0.02198,sell
2021-01-04 08:00:00,1609747200000,0.022,0.0227,0.01913,0.02096,46433493.2,0.02096,sell
2021-01-04 12:00:00,1609761600000,0.02095,0.02153,0.0205,0.02147,28098927.9,0.02147,sell
2021-01-04 16:00:00,1609776000000,0.02147,0.0215,0.0208,0.02129,25833549.4,0.02129,sell
2021-01-04 20:00:00,1609790400000,0.0213,0.02193,0.02108,0.02186,24202726.3,0.02186,sell
2021-01-05 00:00:00,1609804800000,0.02189,0.02275,0.02166,0.02167,29320083.2,0.02167,sell
2021-01-05 04:00:00,1609819200000,0.02172,0.022,0.0209,0.0216,25663732.7,0.0216,sell
2021-01-05 08:00:00,1609833600000,0.02159,0.02333,0.02156,0.02257,39746875.0,0.02257,sell
2021-01-05 12:00:00,1609848000000,0.02261,0.02286,0.02208,0.02245,32326235.8,0.02245,sell
