,datetime,open,high,low,close,volume,adj_close
2021-05-14 12:00:00,1620993600000,27.18,77.8,27.18,32.272,1677703.74,32.272
2021-05-14 16:00:00,1621008000000,32.272,33.754,30.201,30.572,275619.91,30.572
2021-05-14 20:00:00,1621022400000,30.659,31.536,29.21,29.212,94817.03,29.212
2021-05-15 00:00:00,1621036800000,29.2,31.273,28.427,29.276,133664.29,29.276
2021-05-15 04:00:00,1621051200000,29.396,31.0,27.502,27.849,114522.19,27.849
2021-05-15 08:00:00,1621065600000,27.849,32.7,27.2,29.399,274995.88,29.399
2021-05-15 12:00:00,1621080000000,29.398,30.447,27.472,28.309,124931.72,28.309
2021-05-15 16:00:00,1621094400000,28.225,30.2,26.101,26.987,194315.68,26.987
2021-05-15 20:00:00,1621108800000,27.18,28.0,26.207,26.622,66988.15,26.622
2021-05-16 00:00:00,1621123200000,26.865,26.999,26.207,26.303,23310.97,26.303
2021-05-16 04:00:00,1621137600000,26.394,27.635,26.207,26.803,29231.92,26.803
2021-05-16 08:00:00,1621152000000,26.803,27.266,25.888,26.749,54706.87,26.749
2021-05-16 12:00:00,1621166400000,26.749,27.996,26.05,26.197,61864.3,26.197
2021-05-16 16:00:00,1621180800000,26.11,26.499,23.229,23.361,106230.18,23.361
2021-05-16 20:00:00,1621195200000,23.354,24.64,22.694,23.895,59545.89,23.895
2021-05-17 00:00:00,1621209600000,23.879,24.102,22.301,22.411,28110.12,22.411
2021-05-17 04:00:00,1621224000000,22.405,22.994,21.155,22.89,109580.25,22.89
2021-05-17 08:00:00,1621238400000,22.89,24.346,22.634,23.707,46899.5,23.707
2021-05-17 12:00:00,1621252800000,23.685,25.001,22.38,23.163,81995.9,23.163
2021-05-17 16:00:00,1621267200000,23.062,23.72,21.626,22.44,52718.62,22.44
2021-05-17 20:00:00,1621281600000,22.471,23.14,21.934,22.678,22963.55,22.678
2021-05-18 00:00:00,1621296000000,22.735,25.378,22.597,24.796,42913.55,24.796
2021-05-18 04:00:00,1621310400000,24.796,25.502,24.603,24.977,27682.47,24.977
2021-05-18 08:00:00,1621324800000,24.922,25.938,24.62,24.7,44036.61,24.7
2021-05-18 12:00:00,1621339200000,24.7,24.768,22.148,22.365,45026.59,22.365
2021-05-18 16:00:00,1621353600000,22.356,23.621,21.979,22.37,36399.37,22.37
2021-05-18 20:00:00,1621368000000,22.4,23.259,22.3,22.543,26300.92,22.543
2021-05-19 00:00:00,1621382400000,22.745,22.985,20.1,21.342,52004.08,21.342
2021-05-19 04:00:00,1621396800000,21.393,21.499,19.282,20.061,125970.45,20.061
2021-05-19 08:00:00,1621411200000,20.076,20.35,16.3,17.28,103612.95,17.28
2021-05-19 12:00:00,1621425600000,17.135,20.24,10.327,17.19,182313.44,17.19
2021-05-19 16:00:00,1621440000000,17.19,18.89,16.256,16.583,38749.47,16.583
2021-05-19 20:00:00,1621454400000,16.583,18.018,16.308,16.479,20359.79,16.479
2021-05-20 00:00:00,1621468800000,16.479,16.948,14.807,15.04,105660.34,15.04
2021-05-20 04:00:00,1621483200000,15.039,17.4,14.872,16.175,59242.76,16.175
2021-05-20 08:00:00,1621497600000,16.154,17.299,15.707,16.302,42144.98,16.302
2021-05-20 12:00:00,1621512000000,16.302,18.321,16.0,17.64,72181.65,17.64
2021-05-20 16:00:00,1621526400000,17.647,18.3,16.358,17.519,91521.95,17.519
2021-05-20 20:00:00,1621540800000,17.668,18.889,17.101,18.755,36075.3,18.755
2021-05-21 00:00:00,1621555200000,18.755,20.89,18.402,18.859,46127.39,18.859
2021-05-21 04:00:00,1621569600000,18.75,19.941,18.061,18.884,40482.55,18.884
2021-05-21 08:00:00,1621584000000,18.896,19.323,18.483,18.674,34540.09,18.674
2021-05-21 12:00:00,1621598400000,18.834,18.866,14.112,14.207,175818.11,14.207
2021-05-21 16:00:00,1621612800000,14.207,17.983,13.633,15.635,128638.49,15.635
2021-05-21 20:00:00,1621627200000,15.635,16.0,13.7,15.376,75401.39,15.376
2021-05-22 00:00:00,1621641600000,15.309,15.934,14.244,14.303,39685.5,14.303
2021-05-22 04:00:00,1621656000000,14.303,16.8,12.5,13.69,88077.76,13.69
2021-05-22 08:00:00,1621670400000,13.69,15.1,13.5,13.902,75228.21,13.902
2021-05-22 12:00:00,1621684800000,13.901,15.638,13.542,14.0,61697.59,14.0
2021-05-22 16:00:00,1621699200000,13.979,14.679,13.556,13.807,31513.44,13.807
2021-05-22 20:00:00,1621713600000,13.843,14.576,13.775,14.264,14914.94,14.264
2021-05-23 00:00:00,1621728000000,14.248,15.0,13.995,14.35,22038.26,14.35
2021-05-23 04:00:00,1621742400000,14.285,14.397,12.75,12.75,31825.16,12.75
2021-05-23 08:00:00,1621756800000,12.802,13.435,11.94,12.045,68247.03,12.045
2021-05-23 12:00:00,1621771200000,12.085,12.093,10.5,10.655,76274.36,10.655
2021-05-23 16:00:00,1621785600000,10.655,11.575,9.9,11.02,56041.98,11.02
