,datetime,open,high,low,close,volume,adj_close
2021-06-07 04:00:00,1623038400000,0.04139,4.5,0.04139,1.44241,93243279.0,1.44241
2021-06-07 08:00:00,1623052800000,1.44242,2.55655,1.43101,1.77306,176088117.0,1.77306
2021-06-07 12:00:00,1623067200000,1.773,1.89057,1.62,1.65052,41485717.0,1.65052
2021-06-07 16:00:00,1623081600000,1.65052,1.81,1.612,1.65879,30095485.0,1.65879
2021-06-07 20:00:00,1623096000000,1.65986,1.72,1.501,1.51209,15865906.0,1.51209
2021-06-08 00:00:00,1623110400000,1.51233,1.5999,1.27538,1.27538,17101724.0,1.27538
2021-06-08 04:00:00,1623124800000,1.27675,1.358,1.121,1.16136,16057131.0,1.16136
2021-06-08 08:00:00,1623139200000,1.16464,1.265,1.1569,1.20985,11471418.0,1.20985
2021-06-08 12:00:00,1623153600000,1.20895,1.22347,0.97262,1.05088,16630915.0,1.05088
2021-06-08 16:00:00,1623168000000,1.05417,1.1,1.01501,1.02637,10949633.0,1.02637
2021-06-08 20:00:00,1623182400000,1.02637,1.118,1.00201,1.01941,9698576.0,1.01941
2021-06-09 00:00:00,1623196800000,1.01941,1.02,0.83094,0.90341,11487182.0,0.90341
2021-06-09 04:00:00,1623211200000,0.90641,1.04,0.82001,0.98533,17701107.0,0.98533
2021-06-09 08:00:00,1623225600000,0.98803,0.98803,0.87521,0.89844,10290370.0,0.89844
2021-06-09 12:00:00,1623240000000,0.899,0.92947,0.846,0.8889,10520207.0,0.8889
2021-06-09 16:00:00,1623254400000,0.88723,0.99474,0.865,0.8895,12342378.0,0.8895
2021-06-09 20:00:00,1623268800000,0.88947,0.95547,0.88685,0.91966,4895316.0,0.91966
2021-06-10 00:00:00,1623283200000,0.91981,0.95,0.86228,0.91719,4857727.0,0.91719
2021-06-10 04:00:00,1623297600000,0.91719,0.92218,0.86,0.88601,4402832.0,0.88601
2021-06-10 08:00:00,1623312000000,0.886,0.89324,0.8209,0.83871,6383616.0,0.83871
2021-06-10 12:00:00,1623326400000,0.83871,0.86489,0.76721,0.78304,6403271.0,0.78304
2021-06-10 16:00:00,1623340800000,0.78403,0.79763,0.72658,0.73551,5177119.0,0.73551
