,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,6.468,6.5,6.18,6.185,1272185.643,6.185,sell
2021-01-01 04:00:00,1609473600000,6.185,6.216,5.857,6.026,1316130.819,6.026,sell
2021-01-01 08:00:00,1609488000000,6.025,6.087,5.862,6.006,751285.771,6.006,sell
2021-01-01 12:00:00,1609502400000,6.008,6.095,5.88,5.921,1004804.311,5.921,sell
2021-01-01 16:00:00,1609516800000,5.922,5.96,5.588,5.801,1364827.833,5.801,sell
2021-01-01 20:00:00,1609531200000,5.799,5.91,5.759,5.861,649279.263,5.861,sell
2021-01-02 00:00:00,1609545600000,5.859,5.881,5.56,5.735,918433.223,5.735,sell
2021-01-02 04:00:00,1609560000000,5.736,5.746,5.574,5.595,659923.939,5.595,sell
2021-01-02 08:00:00,1609574400000,5.594,5.608,5.389,5.461,1254505.06,5.461,sell
2021-01-02 12:00:00,1609588800000,5.46,5.659,5.28,5.608,3607982.878,5.608,sell
2021-01-02 16:00:00,1609603200000,5.609,5.694,5.426,5.644,1486668.432,5.644,sell
2021-01-02 20:00:00,1609617600000,5.644,5.658,5.18,5.42,897871.286,5.42,sell
2021-01-03 00:00:00,1609632000000,5.416,5.566,5.279,5.439,727283.843,5.439,sell
2021-01-03 04:00:00,1609646400000,5.437,5.461,5.327,5.343,390998.532,5.343,sell
2021-01-03 08:00:00,1609660800000,5.339,5.726,5.31,5.627,810300.098,5.627,sell
2021-01-03 12:00:00,1609675200000,5.623,5.836,5.48,5.602,1331898.463,5.602,sell
2021-01-03 16:00:00,1609689600000,5.596,5.78,5.542,5.608,841197.748,5.608,sell
2021-01-03 20:00:00,1609704000000,5.607,5.911,5.601,5.829,848188.499,5.829,sell
2021-01-04 00:00:00,1609718400000,5.831,6.179,5.831,6.103,1060901.938,6.103,sell
2021-01-04 04:00:00,1609732800000,6.1,6.269,5.601,5.743,1348923.293,5.743,sell
2021-01-04 08:00:00,1609747200000,5.75,6.05,5.259,5.69,2849740.196,5.69,sell
2021-01-04 12:00:00,1609761600000,5.697,5.952,5.626,5.885,818939.59,5.885,sell
2021-01-04 16:00:00,1609776000000,5.884,5.929,5.665,5.82,467854.935,5.82,sell
2021-01-04 20:00:00,1609790400000,5.82,6.05,5.727,6.044,381115.126,6.044,sell
2021-01-05 00:00:00,1609804800000,6.044,6.123,5.772,5.774,974611.598,5.774,sell
2021-01-05 04:00:00,1609819200000,5.781,5.859,5.64,5.791,595276.328,5.791,sell
2021-01-05 08:00:00,1609833600000,5.795,6.175,5.792,6.127,647467.083,6.127,sell
2021-01-05 12:00:00,1609848000000,6.13,6.167,5.832,6.063,979396.31,6.063,sell
2021-01-05 16:00:00,1609862400000,6.067,6.383,6.005,6.134,1383423.849,6.134,sell
2021-01-05 20:00:00,1609876800000,6.135,6.34,6.101,6.196,442435.816,6.196,buy
2021-01-06 00:00:00,1609891200000,6.201,6.276,5.86,5.917,1171358.043,5.917,buy
2021-01-06 04:00:00,1609905600000,5.919,6.231,5.907,6.098,738542.973,6.098,buy
2021-01-06 08:00:00,1609920000000,6.099,6.37,6.014,6.338,758153.936,6.338,buy
2021-01-06 12:00:00,1609934400000,6.335,6.81,6.219,6.532,1968692.983,6.532,buy
2021-01-06 16:00:00,1609948800000,6.534,6.954,6.497,6.571,1167601.998,6.571,buy
2021-01-06 20:00:00,1609963200000,6.579,6.81,6.38,6.682,969774.398,6.682,buy
2021-01-07 00:00:00,1609977600000,6.689,6.843,6.548,6.62,683772.295,6.62,buy
2021-01-07 04:00:00,1609992000000,6.614,6.786,6.467,6.493,615548.981,6.493,buy
2021-01-07 08:00:00,1610006400000,6.498,6.681,6.265,6.621,939377.798,6.621,buy
2021-01-07 12:00:00,1610020800000,6.609,6.825,6.505,6.626,869770.149,6.626,buy
2021-01-07 16:00:00,1610035200000,6.625,6.717,6.0,6.331,1329904.395,6.331,buy
2021-01-07 20:00:00,1610049600000,6.337,6.384,6.142,6.264,600031.014,6.264,buy
2021-01-08 00:00:00,1610064000000,6.266,6.343,5.802,6.007,1235881.704,6.007,sell
2021-01-08 04:00:00,1610078400000,6.008,6.203,5.882,6.202,536792.126,6.202,buy
2021-01-08 08:00:00,1610092800000,6.196,6.259,6.024,6.17,577488.853,6.17,buy
2021-01-08 12:00:00,1610107200000,6.168,6.227,5.906,6.02,752842.538,6.02,sell
2021-01-08 16:00:00,1610121600000,6.028,6.055,5.812,5.815,1081869.553,5.815,sell
2021-01-08 20:00:00,1610136000000,5.816,5.971,5.66,5.931,935274.917,5.931,sell
2021-01-09 00:00:00,1610150400000,5.929,6.619,5.811,6.533,1798881.532,6.533,buy
2021-01-09 04:00:00,1610164800000,6.533,6.537,6.167,6.342,876139.91,6.342,buy
