,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,13.652,14.26,13.57,14.2,33933.031,14.2,sell
2021-01-01 04:00:00,1609473600000,14.198,14.218,13.895,14.045,12207.922,14.045,sell
2021-01-01 08:00:00,1609488000000,14.048,14.271,13.753,14.245,27467.7,14.245,sell
2021-01-01 12:00:00,1609502400000,14.209,14.45,13.965,14.299,51792.97,14.299,sell
2021-01-01 16:00:00,1609516800000,14.306,14.442,13.656,13.848,31185.942,13.848,sell
2021-01-01 20:00:00,1609531200000,13.806,13.994,13.771,13.923,14261.045,13.923,sell
2021-01-02 00:00:00,1609545600000,13.95,13.961,13.533,13.86,13228.648,13.86,sell
2021-01-02 04:00:00,1609560000000,13.869,14.371,13.837,14.19,16683.868,14.19,sell
2021-01-02 08:00:00,1609574400000,14.218,14.368,13.7,13.778,19815.1,13.778,sell
2021-01-02 12:00:00,1609588800000,13.778,14.68,13.704,14.68,34051.563,14.68,sell
2021-01-02 16:00:00,1609603200000,14.68,14.989,14.413,14.746,45096.314,14.746,sell
2021-01-02 20:00:00,1609617600000,14.746,14.755,13.946,14.701,39143.305,14.701,sell
2021-01-03 00:00:00,1609632000000,14.716,15.0,14.442,14.493,42468.143,14.493,sell
2021-01-03 04:00:00,1609646400000,14.489,14.847,14.343,14.729,20208.416,14.729,sell
2021-01-03 08:00:00,1609660800000,14.743,15.691,14.505,15.474,65282.436,15.474,sell
2021-01-03 12:00:00,1609675200000,15.474,16.49,15.164,15.74,90997.855,15.74,sell
2021-01-03 16:00:00,1609689600000,15.74,16.2,14.857,15.078,75675.283,15.078,sell
2021-01-03 20:00:00,1609704000000,15.14,16.086,15.092,15.88,51274.301,15.88,sell
2021-01-04 00:00:00,1609718400000,15.888,16.487,15.8,16.475,49899.973,16.475,sell
2021-01-04 04:00:00,1609732800000,16.455,17.65,15.805,16.059,93305.414,16.059,sell
2021-01-04 08:00:00,1609747200000,16.076,16.431,13.851,14.943,109674.557,14.943,sell
2021-01-04 12:00:00,1609761600000,14.966,15.805,14.749,15.525,55828.384,15.525,sell
2021-01-04 16:00:00,1609776000000,15.587,15.86,14.824,15.668,48701.153,15.668,sell
2021-01-04 20:00:00,1609790400000,15.67,15.88,15.026,15.781,39661.916,15.781,sell
2021-01-05 00:00:00,1609804800000,15.797,16.845,15.2,15.312,94288.815,15.312,sell
2021-01-05 04:00:00,1609819200000,15.313,15.877,15.009,15.504,57060.933,15.504,sell
2021-01-05 08:00:00,1609833600000,15.525,16.642,15.525,16.098,70968.77,16.098,sell
2021-01-05 12:00:00,1609848000000,16.097,16.421,15.532,16.368,48177.568,16.368,sell
2021-01-05 16:00:00,1609862400000,16.419,17.189,16.171,17.047,50421.529,17.047,sell
2021-01-05 20:00:00,1609876800000,17.006,17.249,16.648,16.856,38667.058,16.856,buy
2021-01-06 00:00:00,1609891200000,16.863,17.027,16.252,16.761,36087.256,16.761,buy
2021-01-06 04:00:00,1609905600000,16.722,17.324,16.536,16.802,38071.645,16.802,buy
2021-01-06 08:00:00,1609920000000,16.804,17.833,16.692,17.8,37000.494,17.8,buy
2021-01-06 12:00:00,1609934400000,17.8,17.949,17.246,17.587,63132.555,17.587,buy
2021-01-06 16:00:00,1609948800000,17.615,18.557,17.615,17.65,64686.984,17.65,buy
2021-01-06 20:00:00,1609963200000,17.675,18.453,17.079,18.453,45544.754,18.453,buy
2021-01-07 00:00:00,1609977600000,18.438,18.719,17.351,17.854,46564.11,17.854,buy
2021-01-07 04:00:00,1609992000000,17.843,18.264,17.499,17.655,42029.389,17.655,buy
2021-01-07 08:00:00,1610006400000,17.661,17.92,17.077,17.734,32453.5,17.734,buy
2021-01-07 12:00:00,1610020800000,17.729,19.038,17.591,18.858,85113.544,18.858,buy
2021-01-07 16:00:00,1610035200000,18.871,19.282,15.82,18.408,117145.815,18.408,buy
2021-01-07 20:00:00,1610049600000,18.414,19.374,18.154,18.385,72279.326,18.385,buy
2021-01-08 00:00:00,1610064000000,18.446,18.609,15.763,16.734,99939.19,16.734,buy
2021-01-08 04:00:00,1610078400000,16.733,17.927,16.504,17.857,43420.237,17.857,buy
2021-01-08 08:00:00,1610092800000,17.837,18.699,17.481,18.396,47426.084,18.396,buy
2021-01-08 12:00:00,1610107200000,18.4,19.174,17.738,18.27,91815.969,18.27,buy
2021-01-08 16:00:00,1610121600000,18.292,18.787,17.66,17.713,45193.396,17.713,buy
2021-01-08 20:00:00,1610136000000,17.65,18.065,16.905,17.953,28760.62,17.953,buy
2021-01-09 00:00:00,1610150400000,17.979,18.63,17.375,18.329,32254.754,18.329,buy
2021-01-09 04:00:00,1610164800000,18.296,18.345,17.538,17.817,22644.978,17.817,buy
2021-01-09 08:00:00,1610179200000,17.85,18.8,17.622,18.636,43716.442,18.636,buy
2021-01-09 12:00:00,1610193600000,18.668,19.76,18.328,19.394,117532.872,19.394,buy
2021-01-09 16:00:00,1610208000000,19.413,19.849,18.594,19.551,65677.505,19.551,buy
2021-01-09 20:00:00,1610222400000,19.6,19.938,19.101,19.579,60375.875,19.579,buy
2021-01-10 00:00:00,1610236800000,19.585,20.624,19.585,20.057,40554.541,20.057,buy
2021-01-10 04:00:00,1610251200000,20.066,21.404,20.002,21.38,47193.914,21.38,buy
2021-01-10 08:00:00,1610265600000,21.38,21.559,19.62,19.709,68587.859,19.709,buy
2021-01-10 12:00:00,1610280000000,19.704,20.807,19.288,20.263,48175.021,20.263,buy
2021-01-10 16:00:00,1610294400000,20.259,20.473,18.724,19.188,54532.845,19.188,buy
2021-01-10 20:00:00,1610308800000,19.188,19.514,17.783,19.199,46013.242,19.199,buy
2021-01-11 00:00:00,1610323200000,19.166,19.228,15.421,16.325,69295.16,16.325,sell
2021-01-11 04:00:00,1610337600000,16.371,16.773,15.23,16.09,62089.514,16.09,sell
2021-01-11 08:00:00,1610352000000,16.097,16.916,15.665,15.779,45702.881,15.779,sell
2021-01-11 12:00:00,1610366400000,15.757,16.124,14.119,14.477,72790.517,14.477,sell
2021-01-11 16:00:00,1610380800000,14.498,15.077,13.555,14.561,62897.072,14.561,sell
2021-01-11 20:00:00,1610395200000,14.569,16.234,14.216,16.114,33082.758,16.114,sell
2021-01-12 00:00:00,1610409600000,16.115,16.582,15.299,16.344,59794.656,16.344,sell
2021-01-12 04:00:00,1610424000000,16.353,17.249,16.215,17.159,35081.805,17.159,sell
2021-01-12 08:00:00,1610438400000,17.17,17.241,15.746,16.167,55858.098,16.167,sell
2021-01-12 12:00:00,1610452800000,16.141,16.358,14.734,15.48,34789.642,15.48,sell
2021-01-12 16:00:00,1610467200000,15.487,16.698,15.482,15.949,30204.63,15.949,sell
2021-01-12 20:00:00,1610481600000,15.948,15.98,15.047,15.32,31506.6,15.32,sell
2021-01-13 00:00:00,1610496000000,15.358,15.704,14.816,15.403,41580.532,15.403,sell
2021-01-13 04:00:00,1610510400000,15.409,16.925,14.889,16.021,36163.442,16.021,sell
2021-01-13 08:00:00,1610524800000,16.024,16.62,15.872,16.124,57339.903,16.124,sell
2021-01-13 12:00:00,1610539200000,16.168,16.537,15.9,16.397,35436.07,16.397,sell
2021-01-13 16:00:00,1610553600000,16.397,17.12,16.316,16.9,44943.621,16.9,sell
2021-01-13 20:00:00,1610568000000,16.936,17.539,16.809,17.52,21463.104,17.52,buy
2021-01-14 00:00:00,1610582400000,17.516,17.795,16.6,16.637,29138.628,16.637,sell
2021-01-14 04:00:00,1610596800000,16.626,17.563,16.534,17.393,23351.228,17.393,buy
2021-01-14 08:00:00,1610611200000,17.357,17.946,17.304,17.801,29126.688,17.801,buy
2021-01-14 12:00:00,1610625600000,17.794,18.499,17.466,18.267,29740.92,18.267,buy
2021-01-14 16:00:00,1610640000000,18.297,18.762,18.023,18.398,24622.189,18.398,buy
2021-01-14 20:00:00,1610654400000,18.439,18.55,17.347,17.769,28132.162,17.769,buy
2021-01-15 00:00:00,1610668800000,17.812,18.262,17.418,17.582,30327.624,17.582,buy
2021-01-15 04:00:00,1610683200000,17.579,18.188,17.134,18.085,23762.34,18.085,buy
2021-01-15 08:00:00,1610697600000,18.101,18.486,17.881,18.204,36405.371,18.204,buy
2021-01-15 12:00:00,1610712000000,18.198,18.799,16.65,16.798,54117.148,16.798,buy
2021-01-15 16:00:00,1610726400000,16.789,17.451,15.765,16.893,40459.047,16.893,buy
2021-01-15 20:00:00,1610740800000,16.87,18.162,16.596,17.793,29541.722,17.793,buy
2021-01-16 00:00:00,1610755200000,17.826,18.399,17.734,18.148,37269.501,18.148,buy
2021-01-16 04:00:00,1610769600000,18.178,19.667,18.009,19.638,97224.32,19.638,buy
2021-01-16 08:00:00,1610784000000,19.676,20.344,19.651,20.3,43483.697,20.3,buy
2021-01-16 12:00:00,1610798400000,20.306,21.0,19.846,20.799,65925.633,20.799,buy
2021-01-16 16:00:00,1610812800000,20.8,20.994,19.264,19.602,54172.805,19.602,buy
2021-01-16 20:00:00,1610827200000,19.581,20.064,18.856,19.346,24616.805,19.346,buy
2021-01-17 00:00:00,1610841600000,19.36,20.389,18.616,19.574,31864.872,19.574,buy
2021-01-17 04:00:00,1610856000000,19.574,19.916,18.04,18.375,44530.902,18.375,buy
2021-01-17 08:00:00,1610870400000,18.385,19.009,17.983,18.969,24000.108,18.969,buy
2021-01-17 12:00:00,1610884800000,18.967,20.085,18.668,19.912,49810.029,19.912,buy
2021-01-17 16:00:00,1610899200000,19.928,21.0,19.707,20.423,81678.765,20.423,buy
2021-01-17 20:00:00,1610913600000,20.436,21.635,20.409,20.799,63590.014,20.799,buy
2021-01-18 00:00:00,1610928000000,20.824,21.52,20.205,20.443,52777.093,20.443,buy
2021-01-18 04:00:00,1610942400000,20.433,21.4,20.419,21.292,35639.158,21.292,buy
2021-01-18 08:00:00,1610956800000,21.317,22.376,21.307,21.745,88085.954,21.745,buy
2021-01-18 12:00:00,1610971200000,21.776,22.175,21.096,21.592,49423.508,21.592,buy
2021-01-18 16:00:00,1610985600000,21.605,21.94,21.105,21.903,31142.257,21.903,buy
2021-01-18 20:00:00,1611000000000,21.928,23.0,21.858,23.0,36025.405,23.0,buy
2021-01-19 00:00:00,1611014400000,22.999,24.242,22.607,23.63,59352.075,23.63,buy
2021-01-19 04:00:00,1611028800000,23.59,24.065,23.067,24.065,19194.343,24.065,buy
2021-01-19 08:00:00,1611043200000,24.053,24.988,23.838,24.895,43783.428,24.895,buy
2021-01-19 12:00:00,1611057600000,24.896,24.985,23.86,24.028,34057.202,24.028,buy
2021-01-19 16:00:00,1611072000000,24.057,24.485,21.822,22.287,62729.75,22.287,buy
2021-01-19 20:00:00,1611086400000,22.277,23.155,21.98,22.135,44979.45,22.135,buy
2021-01-20 00:00:00,1611100800000,22.077,22.758,21.564,21.633,44273.97,21.633,buy
2021-01-20 04:00:00,1611115200000,21.633,22.277,21.245,22.166,26207.87,22.166,buy
2021-01-20 08:00:00,1611129600000,22.166,22.276,20.008,20.285,49757.513,20.285,sell
2021-01-20 12:00:00,1611144000000,20.284,21.324,19.858,20.448,28133.667,20.448,sell
2021-01-20 16:00:00,1611158400000,20.442,21.558,20.02,21.431,24164.168,21.431,buy
2021-01-20 20:00:00,1611172800000,21.497,22.415,21.277,22.257,33190.312,22.257,buy
