,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,5.342,5.58,5.31,5.515,138853.01,5.515,sell
2021-01-01 04:00:00,1609473600000,5.515,5.642,5.4871,5.5633,142307.9,5.5633,sell
2021-01-01 08:00:00,1609488000000,5.5715,5.7211,5.4632,5.6968,160580.47,5.6968,sell
2021-01-01 12:00:00,1609502400000,5.6992,5.7687,5.53,5.613,246648.46,5.613,sell
2021-01-01 16:00:00,1609516800000,5.6131,5.6461,5.325,5.4374,132359.14,5.4374,sell
2021-01-01 20:00:00,1609531200000,5.4316,5.5202,5.404,5.5,58595.96,5.5,sell
2021-01-02 00:00:00,1609545600000,5.5031,5.5211,5.36,5.5035,88568.49,5.5035,sell
2021-01-02 04:00:00,1609560000000,5.5075,5.887,5.4809,5.8291,250677.98,5.8291,sell
2021-01-02 08:00:00,1609574400000,5.833,5.9658,5.7025,5.9135,318725.01,5.9135,sell
2021-01-02 12:00:00,1609588800000,5.9129,5.9337,5.6962,5.7406,249588.53,5.7406,sell
2021-01-02 16:00:00,1609603200000,5.7463,5.7997,5.61,5.6777,263950.09,5.6777,sell
2021-01-02 20:00:00,1609617600000,5.6721,6.0575,5.5205,6.0575,312764.11,6.0575,sell
2021-01-03 00:00:00,1609632000000,6.0502,6.473,6.0405,6.0983,836654.96,6.0983,sell
2021-01-03 04:00:00,1609646400000,6.0985,6.2094,5.922,5.9751,263125.18,5.9751,sell
2021-01-03 08:00:00,1609660800000,5.9753,6.2079,5.9013,6.1898,245990.24,6.1898,sell
2021-01-03 12:00:00,1609675200000,6.1952,6.5094,6.1163,6.4391,727766.39,6.4391,sell
2021-01-03 16:00:00,1609689600000,6.4312,6.8628,6.4267,6.484,687252.4,6.484,sell
2021-01-03 20:00:00,1609704000000,6.484,6.89,6.43,6.7703,416955.23,6.7703,sell
2021-01-04 00:00:00,1609718400000,6.7657,6.8615,6.5501,6.7648,354556.51,6.7648,sell
2021-01-04 04:00:00,1609732800000,6.7568,7.5,6.7562,6.8823,852797.77,6.8823,sell
2021-01-04 08:00:00,1609747200000,6.8823,7.0776,6.076,6.3656,840581.5,6.3656,sell
2021-01-04 12:00:00,1609761600000,6.3703,6.6986,6.3,6.63,351741.95,6.63,sell
2021-01-04 16:00:00,1609776000000,6.6264,6.8503,6.5309,6.6811,312222.86,6.6811,sell
2021-01-04 20:00:00,1609790400000,6.6936,6.8105,6.5505,6.7446,176174.83,6.7446,sell
