,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,0.1993,0.2064,0.1978,0.2045,2803858.88,0.2045
2021-01-01 04:00:00,1609473600000,0.2048,0.2051,0.2024,0.2036,1380988.44,0.2036
2021-01-01 08:00:00,1609488000000,0.2036,0.2052,0.2005,0.2045,2081271.92,0.2045
2021-01-01 12:00:00,1609502400000,0.2045,0.2109,0.204,0.2081,4744274.7,0.2081
2021-01-01 16:00:00,1609516800000,0.2081,0.21,0.199,0.2019,3324725.07,0.2019
2021-01-01 20:00:00,1609531200000,0.2018,0.2072,0.201,0.2042,3177431.8,0.2042
2021-01-02 00:00:00,1609545600000,0.2043,0.2053,0.1991,0.205,2058481.11,0.205
2021-01-02 04:00:00,1609560000000,0.2051,0.2069,0.2038,0.2046,1594638.91,0.2046
2021-01-02 08:00:00,1609574400000,0.2047,0.2094,0.2026,0.2047,5847932.54,0.2047
2021-01-02 12:00:00,1609588800000,0.2047,0.2074,0.2023,0.2044,5262835.63,0.2044
2021-01-02 16:00:00,1609603200000,0.2045,0.2066,0.2017,0.2049,5175699.98,0.2049
2021-01-02 20:00:00,1609617600000,0.2048,0.2052,0.1997,0.2037,4364390.25,0.2037
2021-01-03 00:00:00,1609632000000,0.2037,0.2049,0.2023,0.2023,1513084.35,0.2023
2021-01-03 04:00:00,1609646400000,0.2023,0.2035,0.1999,0.2,2833947.58,0.2
2021-01-03 08:00:00,1609660800000,0.2001,0.2104,0.1996,0.2084,8868915.39,0.2084
2021-01-03 12:00:00,1609675200000,0.2084,0.2134,0.2059,0.2115,8393186.46,0.2115
2021-01-03 16:00:00,1609689600000,0.2115,0.2163,0.2107,0.2126,7739544.91,0.2126
2021-01-03 20:00:00,1609704000000,0.213,0.2199,0.2106,0.217,5820255.33,0.217
2021-01-04 00:00:00,1609718400000,0.2171,0.2287,0.2171,0.2275,7113376.48,0.2275
2021-01-04 04:00:00,1609732800000,0.2276,0.2367,0.215,0.2182,11374529.25,0.2182
2021-01-04 08:00:00,1609747200000,0.2182,0.223,0.2027,0.2106,12817620.8,0.2106
2021-01-04 12:00:00,1609761600000,0.2106,0.214,0.2065,0.2126,6539377.45,0.2126
2021-01-04 16:00:00,1609776000000,0.2127,0.215,0.2066,0.2143,5455034.25,0.2143
2021-01-04 20:00:00,1609790400000,0.2142,0.2184,0.2122,0.2184,4701872.59,0.2184
2021-01-05 00:00:00,1609804800000,0.2184,0.2295,0.2167,0.2174,11137596.23,0.2174
2021-01-05 04:00:00,1609819200000,0.2174,0.2263,0.2158,0.2225,6827428.54,0.2225
2021-01-05 08:00:00,1609833600000,0.2226,0.2315,0.2224,0.2286,7589634.21,0.2286
2021-01-05 12:00:00,1609848000000,0.2287,0.2305,0.2223,0.2302,5357450.77,0.2302
2021-01-05 16:00:00,1609862400000,0.2302,0.2328,0.2247,0.2281,6323990.94,0.2281
