,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,342.05,355.4,335.71,350.95,53474.44877,350.95,sell
2021-01-01 04:00:00,1609473600000,350.93,352.65,344.5,345.91,20442.42038,345.91,sell
2021-01-01 08:00:00,1609488000000,345.92,350.2,339.87,347.97,31490.46548,347.97,sell
2021-01-01 12:00:00,1609502400000,347.83,352.46,343.25,344.99,41703.39658,344.99,sell
2021-01-01 16:00:00,1609516800000,344.96,347.39,331.16,337.46,34954.1385,337.46,sell
2021-01-01 20:00:00,1609531200000,337.46,343.54,336.35,341.83,13590.72289,341.83,sell
2021-01-02 00:00:00,1609545600000,341.74,344.96,333.05,339.38,35149.88058,339.38,sell
2021-01-02 04:00:00,1609560000000,339.34,345.21,337.47,342.68,19905.47446,342.68,sell
2021-01-02 08:00:00,1609574400000,342.68,352.64,337.56,343.14,50507.22565,343.14,sell
2021-01-02 12:00:00,1609588800000,342.94,356.59,342.37,354.13,79728.13255,354.13,sell
2021-01-02 16:00:00,1609603200000,354.01,368.0,352.47,361.65,100476.65973,361.65,sell
2021-01-02 20:00:00,1609617600000,361.62,362.21,344.0,354.55,56243.35297,354.55,sell
2021-01-03 00:00:00,1609632000000,354.35,368.0,354.22,355.81,49905.68883,355.81,sell
2021-01-03 04:00:00,1609646400000,355.79,369.03,354.47,363.32,69281.97678,363.32,sell
2021-01-03 08:00:00,1609660800000,363.32,396.21,359.61,389.43,181700.77432,389.43,sell
2021-01-03 12:00:00,1609675200000,389.38,408.33,381.76,397.43,180505.24711,397.43,sell
2021-01-03 16:00:00,1609689600000,397.41,417.66,392.16,396.23,160743.39755,396.23,sell
2021-01-03 20:00:00,1609704000000,396.5,433.83,396.01,423.61,97687.76694,423.61,sell
2021-01-04 00:00:00,1609718400000,423.72,434.63,385.68,433.68,118910.17499,433.68,sell
2021-01-04 04:00:00,1609732800000,433.82,464.33,413.71,428.72,172964.20044,428.72,sell
2021-01-04 08:00:00,1609747200000,428.6,435.92,380.42,404.4,196658.99498,404.4,sell
2021-01-04 12:00:00,1609761600000,404.39,413.28,396.5,403.61,97830.97043,403.61,sell
2021-01-04 16:00:00,1609776000000,403.62,418.11,389.54,401.91,92824.42598,401.91,sell
2021-01-04 20:00:00,1609790400000,401.94,406.96,394.04,405.49,32573.14781,405.49,sell
2021-01-05 00:00:00,1609804800000,405.61,425.44,395.28,396.23,99279.22402,396.23,sell
2021-01-05 04:00:00,1609819200000,396.17,404.15,389.46,396.41,68529.93565,396.41,sell
2021-01-05 08:00:00,1609833600000,396.36,418.57,396.29,413.67,49401.47605,413.67,sell
2021-01-05 12:00:00,1609848000000,413.69,415.95,399.58,408.78,46623.29453,408.78,sell
2021-01-05 16:00:00,1609862400000,408.81,419.22,405.68,414.89,48722.08732,414.89,sell
2021-01-05 20:00:00,1609876800000,414.92,422.89,411.64,418.09,38591.79887,418.09,buy
2021-01-06 00:00:00,1609891200000,418.49,422.93,410.63,414.67,39194.28936,414.67,buy
2021-01-06 04:00:00,1609905600000,414.49,434.2,413.38,422.41,71689.22988,422.41,buy
2021-01-06 08:00:00,1609920000000,422.43,441.85,419.33,439.23,60019.87448,439.23,buy
2021-01-06 12:00:00,1609934400000,439.29,442.28,426.54,435.89,61083.17227,435.89,buy
2021-01-06 16:00:00,1609948800000,435.92,458.0,435.25,437.8,83186.20342,437.8,buy
2021-01-06 20:00:00,1609963200000,437.69,455.69,429.58,453.44,53224.00755,453.44,buy
2021-01-07 00:00:00,1609977600000,453.72,466.23,446.76,460.44,64881.03906,460.44,buy
2021-01-07 04:00:00,1609992000000,460.21,461.16,439.72,442.8,61572.11708,442.8,buy
2021-01-07 08:00:00,1610006400000,442.95,451.36,432.37,449.3,57543.64639,449.3,buy
2021-01-07 12:00:00,1610020800000,449.22,457.87,443.53,456.0,66643.07268,456.0,buy
2021-01-07 16:00:00,1610035200000,456.0,484.0,426.82,450.39,165212.86213,450.39,buy
2021-01-07 20:00:00,1610049600000,450.39,461.47,440.36,448.0,55610.13018,448.0,buy
2021-01-08 00:00:00,1610064000000,448.01,451.65,401.95,420.59,90596.67446,420.59,sell
2021-01-08 04:00:00,1610078400000,420.59,432.75,412.01,430.9,49937.11169,430.9,buy
2021-01-08 08:00:00,1610092800000,430.8,452.3,421.0,444.59,70593.12485,444.59,buy
2021-01-08 12:00:00,1610107200000,444.67,454.41,422.01,432.21,109015.75655,432.21,buy
2021-01-08 16:00:00,1610121600000,432.15,453.36,429.87,431.03,73370.85543,431.03,buy
2021-01-08 20:00:00,1610136000000,431.35,440.2,418.78,436.98,56224.72327,436.98,buy
2021-01-09 00:00:00,1610150400000,437.14,440.85,424.33,430.9,53026.92032,430.9,buy
2021-01-09 04:00:00,1610164800000,430.88,431.36,417.52,424.75,41782.12944,424.75,sell
2021-01-09 08:00:00,1610179200000,424.78,460.82,421.59,449.79,103627.70829,449.79,buy
2021-01-09 12:00:00,1610193600000,449.95,465.54,445.0,459.29,116222.13927,459.29,buy
2021-01-09 16:00:00,1610208000000,459.36,549.28,455.01,544.37,323037.5541,544.37,buy
2021-01-09 20:00:00,1610222400000,544.43,588.67,528.87,574.88,187809.57723,574.88,buy
2021-01-10 00:00:00,1610236800000,574.97,585.62,558.39,570.54,135232.94482,570.54,buy
2021-01-10 04:00:00,1610251200000,570.56,629.79,568.98,614.31,233547.99105,614.31,buy
2021-01-10 08:00:00,1610265600000,614.6,617.14,548.4,558.94,250874.87168,558.94,buy
2021-01-10 12:00:00,1610280000000,559.26,618.22,550.0,586.16,280483.5173,586.16,buy
2021-01-10 16:00:00,1610294400000,586.15,622.61,567.64,589.4,244212.81303,589.4,buy
2021-01-10 20:00:00,1610308800000,589.82,613.47,558.88,599.98,220737.76447,599.98,buy
2021-01-11 00:00:00,1610323200000,599.94,602.92,471.11,507.41,260413.10312,507.41,buy
2021-01-11 04:00:00,1610337600000,507.47,519.46,457.11,490.07,218971.97652,490.07,buy
2021-01-11 08:00:00,1610352000000,490.1,525.77,482.6,485.45,162801.36438,485.45,buy
2021-01-11 12:00:00,1610366400000,485.08,498.95,440.0,440.87,255550.11578,440.87,sell
2021-01-11 16:00:00,1610380800000,441.2,453.58,400.0,431.02,298311.84811,431.02,sell
2021-01-11 20:00:00,1610395200000,431.3,484.27,421.56,476.78,136708.05385,476.78,sell
2021-01-12 00:00:00,1610409600000,476.87,490.69,456.57,489.27,127900.28996,489.27,buy
2021-01-12 04:00:00,1610424000000,488.98,510.0,476.55,502.96,121323.66443,502.96,buy
2021-01-12 08:00:00,1610438400000,502.76,503.42,463.0,477.79,140419.2504,477.79,sell
2021-01-12 12:00:00,1610452800000,477.71,485.0,443.01,461.0,114869.80779,461.0,sell
2021-01-12 16:00:00,1610467200000,461.17,478.86,455.56,461.74,66770.35655,461.74,sell
2021-01-12 20:00:00,1610481600000,461.9,468.92,444.49,451.88,57560.43797,451.88,sell
2021-01-13 00:00:00,1610496000000,451.81,485.96,435.1,470.49,156709.15193,470.49,sell
2021-01-13 04:00:00,1610510400000,470.21,478.94,455.62,474.32,74265.30596,474.32,sell
2021-01-13 08:00:00,1610524800000,474.35,487.67,469.13,476.43,75334.74808,476.43,sell
2021-01-13 12:00:00,1610539200000,476.46,483.0,469.56,479.01,50740.02889,479.01,sell
2021-01-13 16:00:00,1610553600000,479.09,484.31,472.0,481.19,42951.50009,481.19,sell
2021-01-13 20:00:00,1610568000000,481.16,500.88,478.8,496.06,69470.28709,496.06,sell
2021-01-14 00:00:00,1610582400000,496.11,507.0,483.5,486.91,65904.95828,486.91,sell
