,datetime,open,high,low,close,volume,adj_close
2021-11-04 08:00:00,1636012800000,109.7,230.0,109.7,141.1,246990.958,141.1
2021-11-04 12:00:00,1636027200000,141.0,143.0,115.0,128.9,118929.242,128.9
2021-11-04 16:00:00,1636041600000,128.7,137.9,120.0,136.7,43612.273,136.7
2021-11-04 20:00:00,1636056000000,136.6,143.0,128.7,131.4,26992.359,131.4
2021-11-05 00:00:00,1636070400000,131.6,131.7,119.5,120.0,21500.532,120.0
2021-11-05 04:00:00,1636084800000,120.0,124.5,116.2,120.7,22834.093,120.7
2021-11-05 08:00:00,1636099200000,120.8,123.5,115.2,118.6,18066.498,118.6
2021-11-05 12:00:00,1636113600000,118.5,120.7,107.3,113.6,23063.654,113.6
2021-11-05 16:00:00,1636128000000,114.4,120.0,112.7,116.6,8134.939,116.6
2021-11-05 20:00:00,1636142400000,116.6,118.0,114.0,114.1,3415.524,114.1
2021-11-06 00:00:00,1636156800000,114.2,120.0,111.6,117.4,11613.971,117.4
2021-11-06 04:00:00,1636171200000,117.1,130.0,116.8,123.1,15371.22,123.1
2021-11-06 08:00:00,1636185600000,123.1,155.0,122.6,133.8,105949.144,133.8
2021-11-06 12:00:00,1636200000000,133.6,137.3,123.6,129.3,38119.001,129.3
2021-11-06 16:00:00,1636214400000,129.3,140.3,129.0,134.2,29724.398,134.2
2021-11-06 20:00:00,1636228800000,134.1,137.5,130.4,136.0,9965.646,136.0
2021-11-07 00:00:00,1636243200000,136.0,159.8,131.2,145.5,59696.285,145.5
2021-11-07 04:00:00,1636257600000,145.3,153.0,137.5,140.6,30805.981,140.6
2021-11-07 08:00:00,1636272000000,140.9,155.4,137.6,140.8,18776.607,140.8
2021-11-07 12:00:00,1636286400000,140.7,153.0,138.8,144.7,27537.108,144.7
2021-11-07 16:00:00,1636300800000,144.8,149.8,143.7,146.2,6592.827,146.2
2021-11-07 20:00:00,1636315200000,146.2,155.5,144.9,148.5,11562.491,148.5
2021-11-08 00:00:00,1636329600000,148.5,160.0,144.5,154.1,14994.052,154.1
2021-11-08 04:00:00,1636344000000,154.2,159.0,150.1,155.1,9684.515,155.1
2021-11-08 08:00:00,1636358400000,155.0,156.8,149.6,152.5,9944.99,152.5
2021-11-08 12:00:00,1636372800000,152.6,158.0,152.1,157.3,6951.25,157.3
2021-11-08 16:00:00,1636387200000,157.1,158.2,150.1,150.8,8260.48,150.8
2021-11-08 20:00:00,1636401600000,150.9,151.3,143.9,144.6,5307.883,144.6
2021-11-09 00:00:00,1636416000000,144.8,144.9,137.2,142.7,10307.215,142.7
2021-11-09 04:00:00,1636430400000,142.7,149.4,142.5,146.4,10489.816,146.4
2021-11-09 08:00:00,1636444800000,146.4,147.2,144.6,145.2,5675.708,145.2
2021-11-09 12:00:00,1636459200000,145.0,147.0,142.3,142.9,4757.404,142.9
2021-11-09 16:00:00,1636473600000,142.9,145.0,141.6,144.1,2263.064,144.1
2021-11-09 20:00:00,1636488000000,144.3,146.9,143.7,144.5,1124.441,144.5
2021-11-10 00:00:00,1636502400000,144.9,146.7,143.0,143.0,2797.917,143.0
2021-11-10 04:00:00,1636516800000,143.1,153.8,143.0,150.8,8728.91,150.8
2021-11-10 08:00:00,1636531200000,150.8,157.5,149.7,156.5,7446.654,156.5
2021-11-10 12:00:00,1636545600000,156.5,173.3,154.6,163.3,33616.343,163.3
2021-11-10 16:00:00,1636560000000,163.1,169.9,157.6,159.3,7811.621,159.3
2021-11-10 20:00:00,1636574400000,159.4,167.2,156.1,164.6,9436.662,164.6
2021-11-11 00:00:00,1636588800000,164.3,178.0,163.9,167.8,21589.337,167.8
2021-11-11 04:00:00,1636603200000,167.9,173.8,162.4,169.7,6883.427,169.7
2021-11-11 08:00:00,1636617600000,169.8,169.9,160.5,162.6,9615.327,162.6
2021-11-11 12:00:00,1636632000000,163.0,178.7,158.6,164.5,14309.119,164.5
2021-11-11 16:00:00,1636646400000,164.5,170.0,161.5,164.9,4802.354,164.9
2021-11-11 20:00:00,1636660800000,164.9,168.0,163.9,166.1,1754.464,166.1
2021-11-12 00:00:00,1636675200000,166.1,168.0,163.0,164.0,3493.03,164.0
2021-11-12 04:00:00,1636689600000,164.0,169.7,163.8,167.8,3639.845,167.8
2021-11-12 08:00:00,1636704000000,168.1,171.0,161.3,166.8,7569.908,166.8
2021-11-12 12:00:00,1636718400000,167.0,169.5,165.0,165.7,4873.109,165.7
2021-11-12 16:00:00,1636732800000,165.5,165.6,159.5,163.8,5250.502,163.8
2021-11-12 20:00:00,1636747200000,164.2,169.8,163.9,167.2,1467.656,167.2
2021-11-13 00:00:00,1636761600000,167.5,177.5,166.5,173.7,5747.811,173.7
2021-11-13 04:00:00,1636776000000,174.0,186.8,172.4,185.8,15544.608,185.8
2021-11-13 08:00:00,1636790400000,185.8,189.5,178.6,184.7,19719.889,184.7
2021-11-13 12:00:00,1636804800000,184.6,198.0,182.5,192.5,21208.515,192.5
2021-11-13 16:00:00,1636819200000,192.8,199.0,190.0,197.1,10298.738,197.1
2021-11-13 20:00:00,1636833600000,196.9,198.2,191.5,194.4,5076.695,194.4
2021-11-14 00:00:00,1636848000000,194.3,196.8,186.2,194.9,10196.497,194.9
2021-11-14 04:00:00,1636862400000,194.9,220.0,193.7,211.8,19961.079,211.8
2021-11-14 08:00:00,1636876800000,211.8,227.0,206.4,216.5,29560.695,216.5
2021-11-14 12:00:00,1636891200000,216.4,216.8,196.3,200.0,14809.824,200.0
2021-11-14 16:00:00,1636905600000,200.0,206.7,192.5,197.0,8875.842,197.0
2021-11-14 20:00:00,1636920000000,197.9,201.6,195.1,200.0,2198.538,200.0
2021-11-15 00:00:00,1636934400000,199.6,212.5,199.5,210.1,11837.472,210.1
2021-11-15 04:00:00,1636948800000,210.2,210.7,197.4,202.2,10472.048,202.2
2021-11-15 08:00:00,1636963200000,202.2,203.9,194.6,194.9,5981.099,194.9
2021-11-15 12:00:00,1636977600000,194.9,196.6,180.5,181.0,17690.316,181.0
2021-11-15 16:00:00,1636992000000,180.9,183.0,177.6,180.0,5007.362,180.0
2021-11-15 20:00:00,1637006400000,179.6,186.2,177.5,184.2,2723.419,184.2
2021-11-16 00:00:00,1637020800000,184.2,185.9,170.0,172.3,11596.185,172.3
2021-11-16 04:00:00,1637035200000,172.2,186.5,171.4,182.2,14790.794,182.2
2021-11-16 08:00:00,1637049600000,182.2,186.7,168.4,178.1,10700.848,178.1
2021-11-16 12:00:00,1637064000000,178.0,184.0,178.0,183.4,6172.44,183.4
2021-11-16 16:00:00,1637078400000,183.4,183.9,179.0,181.8,4688.921,181.8
2021-11-16 20:00:00,1637092800000,182.1,182.6,176.3,178.5,4513.551,178.5
2021-11-17 00:00:00,1637107200000,178.4,179.0,173.9,176.2,4139.117,176.2
2021-11-17 04:00:00,1637121600000,176.2,181.8,173.9,179.1,7018.788,179.1
2021-11-17 08:00:00,1637136000000,179.1,193.2,179.0,191.3,13310.718,191.3
2021-11-17 12:00:00,1637150400000,191.3,195.0,184.5,187.6,9856.311,187.6
2021-11-17 16:00:00,1637164800000,187.4,193.0,186.9,191.0,4050.255,191.0
2021-11-17 20:00:00,1637179200000,190.2,191.0,187.2,190.2,1609.911,190.2
2021-11-18 00:00:00,1637193600000,189.9,205.0,189.8,196.6,9178.376,196.6
2021-11-18 04:00:00,1637208000000,196.3,196.3,187.5,193.7,5268.549,193.7
2021-11-18 08:00:00,1637222400000,193.8,200.6,192.8,194.7,9213.358,194.7
2021-11-18 12:00:00,1637236800000,194.6,195.5,175.0,177.5,10740.897,177.5
2021-11-18 16:00:00,1637251200000,177.6,179.5,173.1,176.6,8137.531,176.6
2021-11-18 20:00:00,1637265600000,176.3,179.9,170.3,170.8,4010.168,170.8
2021-11-19 00:00:00,1637280000000,170.8,176.4,168.9,172.0,7384.722,172.0
2021-11-19 04:00:00,1637294400000,172.1,183.3,172.0,179.9,5508.885,179.9
2021-11-19 08:00:00,1637308800000,179.9,185.0,179.9,184.4,4334.313,184.4
2021-11-19 12:00:00,1637323200000,183.8,184.5,177.0,180.4,5749.933,180.4
2021-11-19 16:00:00,1637337600000,181.1,184.4,179.5,179.8,3257.772,179.8
2021-11-19 20:00:00,1637352000000,180.0,182.0,178.5,181.1,1179.428,181.1
2021-11-20 00:00:00,1637366400000,181.1,181.1,178.3,178.9,2390.029,178.9
2021-11-20 04:00:00,1637380800000,178.9,183.0,178.7,182.7,3629.956,182.7
2021-11-20 08:00:00,1637395200000,182.9,195.0,182.1,191.8,6444.213,191.8
2021-11-20 12:00:00,1637409600000,192.0,192.3,180.2,180.7,9400.722,180.7
