,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,0.02066,0.0213,0.0206,0.0211,1376460.2,0.0211
2021-01-01 04:00:00,1609473600000,0.02115,0.0212,0.02086,0.02119,1012269.7,0.02119
2021-01-01 08:00:00,1609488000000,0.02119,0.02156,0.0211,0.02156,3243242.3,0.02156
2021-01-01 12:00:00,1609502400000,0.02156,0.0223,0.02127,0.02152,2334713.7,0.02152
2021-01-01 16:00:00,1609516800000,0.02154,0.02157,0.0213,0.0213,1011765.2,0.0213
2021-01-01 20:00:00,1609531200000,0.02145,0.02157,0.02118,0.02155,976857.8,0.02155
2021-01-02 00:00:00,1609545600000,0.02155,0.02155,0.0209,0.02139,1006846.3,0.02139
2021-01-02 04:00:00,1609560000000,0.02121,0.023,0.02063,0.02253,6673427.6,0.02253
2021-01-02 08:00:00,1609574400000,0.02256,0.02256,0.02155,0.02205,4011749.6,0.02205
2021-01-02 12:00:00,1609588800000,0.02211,0.0227,0.02163,0.02192,5045437.2,0.02192
2021-01-02 16:00:00,1609603200000,0.02198,0.02301,0.02191,0.02272,3736701.8,0.02272
2021-01-02 20:00:00,1609617600000,0.02264,0.0233,0.0224,0.02278,3132619.2,0.02278
2021-01-03 00:00:00,1609632000000,0.02278,0.02928,0.02278,0.02526,51709128.4,0.02526
2021-01-03 04:00:00,1609646400000,0.02517,0.02674,0.02435,0.02515,22777003.9,0.02515
2021-01-03 08:00:00,1609660800000,0.02513,0.02742,0.0249,0.02693,15132012.4,0.02693
2021-01-03 12:00:00,1609675200000,0.02693,0.02721,0.02513,0.02604,12862911.3,0.02604
2021-01-03 16:00:00,1609689600000,0.026,0.02612,0.02377,0.02397,8967687.6,0.02397
2021-01-03 20:00:00,1609704000000,0.02398,0.02454,0.02333,0.02444,4382634.3,0.02444
2021-01-04 00:00:00,1609718400000,0.02451,0.02578,0.02424,0.02553,4268750.1,0.02553
2021-01-04 04:00:00,1609732800000,0.02547,0.02659,0.024,0.02458,7165147.1,0.02458
2021-01-04 08:00:00,1609747200000,0.02468,0.02522,0.02221,0.02322,15047645.8,0.02322
2021-01-04 12:00:00,1609761600000,0.02322,0.02427,0.02305,0.02374,3534513.5,0.02374
2021-01-04 16:00:00,1609776000000,0.02372,0.02382,0.02299,0.02359,1300852.9,0.02359
2021-01-04 20:00:00,1609790400000,0.02362,0.02401,0.02337,0.0238,1366940.5,0.0238
2021-01-05 00:00:00,1609804800000,0.02385,0.02492,0.02325,0.02337,11010034.7,0.02337
2021-01-05 04:00:00,1609819200000,0.02341,0.0237,0.02275,0.0231,8129299.5,0.0231
2021-01-05 08:00:00,1609833600000,0.02309,0.0249,0.02309,0.02437,7404675.7,0.02437
2021-01-05 12:00:00,1609848000000,0.02456,0.02456,0.02332,0.02407,2423815.9,0.02407
