,datetime,open,high,low,close,volume,adj_close,signal
2021-01-05 08:00:00,1609833600000,1.588,4.12,1.588,2.5364,7381474.53,2.5364,sell
2021-01-05 12:00:00,1609848000000,2.5359,2.958,2.5356,2.7312,5060712.55,2.7312,sell
2021-01-05 16:00:00,1609862400000,2.726,2.75,2.1777,2.298,2245391.21,2.298,sell
2021-01-05 20:00:00,1609876800000,2.297,2.8756,2.2033,2.5765,2505723.05,2.5765,sell
2021-01-06 00:00:00,1609891200000,2.5765,2.6909,2.357,2.4909,1183481.59,2.4909,sell
2021-01-06 04:00:00,1609905600000,2.4862,2.5003,2.3,2.39,556273.06,2.39,sell
2021-01-06 08:00:00,1609920000000,2.3747,2.509,2.32,2.3201,345280.69,2.3201,sell
2021-01-06 12:00:00,1609934400000,2.3201,2.3803,2.2032,2.3201,441610.68,2.3201,sell
2021-01-06 16:00:00,1609948800000,2.32,2.3528,2.2383,2.2602,219922.8,2.2602,sell
2021-01-06 20:00:00,1609963200000,2.2601,2.346,2.2237,2.302,151487.66,2.302,sell
2021-01-07 00:00:00,1609977600000,2.3183,2.3307,2.2241,2.2318,139887.92,2.2318,sell
2021-01-07 04:00:00,1609992000000,2.2318,2.2318,2.1155,2.2235,303088.63,2.2235,sell
2021-01-07 08:00:00,1610006400000,2.224,2.29,2.144,2.16,236811.64,2.16,sell
2021-01-07 12:00:00,1610020800000,2.1606,2.2,2.147,2.157,261223.64,2.157,sell
2021-01-07 16:00:00,1610035200000,2.1574,2.2239,2.1293,2.1499,225470.13,2.1499,sell
2021-01-07 20:00:00,1610049600000,2.142,2.51,2.125,2.2091,459568.64,2.2091,sell
2021-01-08 00:00:00,1610064000000,2.2102,2.334,2.0,2.135,245882.24,2.135,sell
2021-01-08 04:00:00,1610078400000,2.1339,2.4441,2.12,2.1346,266926.79,2.1346,sell
2021-01-08 08:00:00,1610092800000,2.1341,2.245,2.1341,2.1752,117717.85,2.1752,sell
