,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,0.02133,0.02177,0.02122,0.02173,1451241.9,0.02173,sell
2021-01-01 04:00:00,1609473600000,0.02166,0.02185,0.02136,0.02153,1511833.6,0.02153,sell
2021-01-01 08:00:00,1609488000000,0.0215,0.02197,0.02143,0.02185,1420463.4,0.02185,sell
2021-01-01 12:00:00,1609502400000,0.02186,0.02519,0.02177,0.02268,28278116.6,0.02268,sell
2021-01-01 16:00:00,1609516800000,0.02271,0.0243,0.02202,0.0222,7285892.0,0.0222,sell
2021-01-01 20:00:00,1609531200000,0.0222,0.02418,0.02217,0.0231,6418550.6,0.0231,sell
2021-01-02 00:00:00,1609545600000,0.02291,0.02337,0.02225,0.02241,5892434.0,0.02241,sell
2021-01-02 04:00:00,1609560000000,0.02241,0.02287,0.02234,0.02287,2563582.0,0.02287,sell
2021-01-02 08:00:00,1609574400000,0.02288,0.02296,0.0222,0.02288,2019545.6,0.02288,sell
2021-01-02 12:00:00,1609588800000,0.02293,0.02312,0.02231,0.02265,4932630.6,0.02265,sell
2021-01-02 16:00:00,1609603200000,0.02265,0.02293,0.02209,0.02233,4523676.2,0.02233,sell
2021-01-02 20:00:00,1609617600000,0.02233,0.02252,0.0213,0.02181,3651875.8,0.02181,sell
2021-01-03 00:00:00,1609632000000,0.02184,0.02267,0.02172,0.02207,1808161.4,0.02207,sell
2021-01-03 04:00:00,1609646400000,0.02206,0.02279,0.02189,0.0222,1912522.0,0.0222,sell
2021-01-03 08:00:00,1609660800000,0.0222,0.02233,0.0216,0.02197,4068980.6,0.02197,sell
2021-01-03 12:00:00,1609675200000,0.02199,0.02247,0.02169,0.0223,5618210.2,0.0223,sell
2021-01-03 16:00:00,1609689600000,0.0223,0.02249,0.02185,0.02208,3564608.9,0.02208,sell
2021-01-03 20:00:00,1609704000000,0.02208,0.02265,0.022,0.02207,2523303.3,0.02207,sell
2021-01-04 00:00:00,1609718400000,0.0221,0.02269,0.0218,0.02243,9446470.2,0.02243,sell
2021-01-04 04:00:00,1609732800000,0.02245,0.0248,0.02193,0.02258,18524971.3,0.02258,sell
2021-01-04 08:00:00,1609747200000,0.0227,0.02288,0.02074,0.02185,6957318.8,0.02185,sell
2021-01-04 12:00:00,1609761600000,0.02189,0.0229,0.02122,0.0229,5248828.0,0.0229,sell
2021-01-04 16:00:00,1609776000000,0.02262,0.02303,0.02161,0.02212,3192462.6,0.02212,sell
2021-01-04 20:00:00,1609790400000,0.02221,0.02277,0.02197,0.02277,1418996.0,0.02277,sell
2021-01-05 00:00:00,1609804800000,0.02278,0.02299,0.02163,0.02204,1524634.4,0.02204,sell
2021-01-05 04:00:00,1609819200000,0.02198,0.02215,0.02158,0.02183,1958208.1,0.02183,sell
2021-01-05 08:00:00,1609833600000,0.02183,0.02328,0.02181,0.02328,3711805.4,0.02328,sell
2021-01-05 12:00:00,1609848000000,0.02323,0.02369,0.02226,0.02314,5223334.6,0.02314,sell
2021-01-05 16:00:00,1609862400000,0.02313,0.02404,0.0225,0.02289,4415261.1,0.02289,sell
2021-01-05 20:00:00,1609876800000,0.02289,0.02309,0.02261,0.02296,2628908.2,0.02296,buy
2021-01-06 00:00:00,1609891200000,0.02291,0.02309,0.02261,0.02295,959609.3,0.02295,buy
2021-01-06 04:00:00,1609905600000,0.02292,0.0239,0.02277,0.02328,3977212.4,0.02328,buy
2021-01-06 08:00:00,1609920000000,0.02329,0.0235,0.02263,0.0232,5436781.3,0.0232,buy
2021-01-06 12:00:00,1609934400000,0.02319,0.02424,0.02299,0.0236,10382064.8,0.0236,buy
2021-01-06 16:00:00,1609948800000,0.02355,0.027,0.02355,0.02595,35350958.7,0.02595,buy
2021-01-06 20:00:00,1609963200000,0.02592,0.02639,0.025,0.02604,8690070.3,0.02604,buy
2021-01-07 00:00:00,1609977600000,0.02604,0.02654,0.02527,0.02626,5003519.0,0.02626,buy
2021-01-07 04:00:00,1609992000000,0.02631,0.02707,0.02598,0.02665,6375925.7,0.02665,buy
2021-01-07 08:00:00,1610006400000,0.02665,0.02679,0.02558,0.0258,6622352.9,0.0258,buy
2021-01-07 12:00:00,1610020800000,0.0258,0.02656,0.02568,0.0263,5890055.2,0.0263,buy
2021-01-07 16:00:00,1610035200000,0.0263,0.02639,0.0232,0.02464,21600637.2,0.02464,buy
2021-01-07 20:00:00,1610049600000,0.02459,0.02499,0.024,0.02427,5015909.7,0.02427,buy
2021-01-08 00:00:00,1610064000000,0.0243,0.0247,0.02267,0.02333,6222902.9,0.02333,sell
2021-01-08 04:00:00,1610078400000,0.02335,0.02477,0.0229,0.02458,5268296.7,0.02458,buy
2021-01-08 08:00:00,1610092800000,0.0245,0.02515,0.02407,0.02501,8069528.8,0.02501,buy
2021-01-08 12:00:00,1610107200000,0.02502,0.026,0.02422,0.02456,9165832.0,0.02456,buy
2021-01-08 16:00:00,1610121600000,0.02462,0.026,0.02454,0.02505,4885598.7,0.02505,buy
2021-01-08 20:00:00,1610136000000,0.02509,0.02538,0.0243,0.02507,3134675.0,0.02507,buy
2021-01-09 00:00:00,1610150400000,0.02507,0.02651,0.02466,0.02646,5526148.5,0.02646,buy
2021-01-09 04:00:00,1610164800000,0.0265,0.02887,0.02543,0.02826,13767664.6,0.02826,buy
2021-01-09 08:00:00,1610179200000,0.02826,0.029,0.0273,0.02759,8765430.9,0.02759,buy
2021-01-09 12:00:00,1610193600000,0.02762,0.03135,0.02752,0.02894,33192864.2,0.02894,buy
2021-01-09 16:00:00,1610208000000,0.02894,0.03064,0.02783,0.03024,11304411.3,0.03024,buy
2021-01-09 20:00:00,1610222400000,0.03046,0.031,0.029,0.02947,8544631.0,0.02947,buy
2021-01-10 00:00:00,1610236800000,0.02948,0.03036,0.02915,0.02981,3239111.2,0.02981,buy
2021-01-10 04:00:00,1610251200000,0.02976,0.03,0.02919,0.02941,3190847.3,0.02941,buy
2021-01-10 08:00:00,1610265600000,0.02933,0.02947,0.02684,0.0271,18403925.2,0.0271,buy
2021-01-10 12:00:00,1610280000000,0.02711,0.02827,0.02691,0.02779,8804470.3,0.02779,buy
2021-01-10 16:00:00,1610294400000,0.02784,0.02806,0.02598,0.02609,9018942.9,0.02609,buy
2021-01-10 20:00:00,1610308800000,0.02607,0.0274,0.0245,0.02695,7445263.4,0.02695,buy
2021-01-11 00:00:00,1610323200000,0.02695,0.02697,0.023,0.0238,7865807.0,0.0238,sell
2021-01-11 04:00:00,1610337600000,0.02405,0.02479,0.02239,0.02371,6124183.4,0.02371,sell
2021-01-11 08:00:00,1610352000000,0.0238,0.025,0.02337,0.02352,6231889.7,0.02352,sell
2021-01-11 12:00:00,1610366400000,0.0235,0.02425,0.02085,0.02158,11597788.4,0.02158,sell
2021-01-11 16:00:00,1610380800000,0.02146,0.02269,0.02008,0.02188,8541135.6,0.02188,sell
2021-01-11 20:00:00,1610395200000,0.02188,0.0237,0.02157,0.0235,3533214.8,0.0235,sell
2021-01-12 00:00:00,1610409600000,0.02342,0.0239,0.02271,0.02373,1309496.5,0.02373,sell
2021-01-12 04:00:00,1610424000000,0.02371,0.02446,0.02358,0.02401,3363055.4,0.02401,sell
