,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,149.03,154.86,146.53,154.66,5999.28883,154.66
2021-01-01 04:00:00,1609473600000,154.78,155.0,140.0,144.48,49955.12688,144.48
2021-01-01 08:00:00,1609488000000,144.46,144.96,142.0,144.43,5090.47603,144.43
2021-01-01 12:00:00,1609502400000,144.43,147.04,142.0,143.06,7300.22694,143.06
2021-01-01 16:00:00,1609516800000,143.05,145.12,139.7,143.15,6262.47165,143.15
2021-01-01 20:00:00,1609531200000,143.0,145.88,142.24,145.54,2251.6243,145.54
2021-01-02 00:00:00,1609545600000,145.56,147.0,141.21,145.78,5090.78842,145.78
2021-01-02 04:00:00,1609560000000,145.68,147.67,144.56,145.3,3129.75874,145.3
2021-01-02 08:00:00,1609574400000,145.3,146.15,140.73,142.08,2735.63801,142.08
2021-01-02 12:00:00,1609588800000,142.11,144.96,140.49,141.73,4780.24188,141.73
2021-01-02 16:00:00,1609603200000,141.76,143.62,140.11,143.41,4657.52193,143.41
2021-01-02 20:00:00,1609617600000,143.38,143.79,134.48,136.71,10791.15803,136.71
2021-01-03 00:00:00,1609632000000,136.6,138.64,135.58,137.72,3779.22182,137.72
2021-01-03 04:00:00,1609646400000,137.72,138.79,136.49,137.02,3264.55413,137.02
2021-01-03 08:00:00,1609660800000,137.0,143.42,136.35,141.51,6058.88306,141.51
2021-01-03 12:00:00,1609675200000,141.69,149.0,141.33,146.95,10767.58638,146.95
2021-01-03 16:00:00,1609689600000,146.96,151.69,143.61,145.0,9456.89078,145.0
2021-01-03 20:00:00,1609704000000,144.95,151.5,144.06,146.9,8418.00437,146.9
2021-01-04 00:00:00,1609718400000,146.92,157.99,146.92,157.07,9537.72594,157.07
2021-01-04 04:00:00,1609732800000,157.21,161.92,144.44,148.15,22417.97122,148.15
2021-01-04 08:00:00,1609747200000,148.19,151.5,137.0,144.71,18243.13288,144.71
2021-01-04 12:00:00,1609761600000,144.63,149.57,142.0,147.77,4725.19145,147.77
2021-01-04 16:00:00,1609776000000,147.77,149.0,142.56,146.84,6209.93376,146.84
2021-01-04 20:00:00,1609790400000,146.94,151.6,144.65,151.24,5304.08226,151.24
2021-01-05 00:00:00,1609804800000,151.25,159.8,149.96,150.58,14160.76824,150.58
2021-01-05 04:00:00,1609819200000,150.56,153.41,146.52,149.43,6108.41274,149.43
2021-01-05 08:00:00,1609833600000,149.63,156.96,149.55,156.3,5160.59301,156.3
2021-01-05 12:00:00,1609848000000,156.42,161.21,152.72,160.9,8545.61781,160.9
2021-01-05 16:00:00,1609862400000,160.99,166.0,157.23,159.8,12868.59338,159.8
2021-01-05 20:00:00,1609876800000,159.73,166.31,158.0,161.48,5925.15221,161.48
2021-01-06 00:00:00,1609891200000,161.44,165.72,159.43,162.64,5924.66568,162.64
2021-01-06 04:00:00,1609905600000,162.63,169.14,162.4,168.16,6153.04533,168.16
2021-01-06 08:00:00,1609920000000,168.16,171.0,164.6,170.47,5970.81586,170.47
2021-01-06 12:00:00,1609934400000,170.31,172.64,164.31,169.11,7206.75757,169.11
2021-01-06 16:00:00,1609948800000,168.93,186.57,168.13,178.1,20041.09226,178.1
2021-01-06 20:00:00,1609963200000,178.15,187.0,167.89,183.98,12898.58254,183.98
2021-01-07 00:00:00,1609977600000,184.27,191.94,177.22,179.53,12496.92724,179.53
2021-01-07 04:00:00,1609992000000,179.52,180.11,170.0,171.37,8367.83062,171.37
2021-01-07 08:00:00,1610006400000,171.18,175.94,165.38,174.4,10815.82826,174.4
