,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,0.628,0.677,0.611,0.664,7201305.676,0.664
2021-01-01 04:00:00,1609473600000,0.664,0.667,0.625,0.64,3752820.818,0.64
2021-01-01 08:00:00,1609488000000,0.641,0.649,0.612,0.638,5515831.239,0.638
2021-01-01 12:00:00,1609502400000,0.637,0.666,0.613,0.648,5052807.521,0.648
2021-01-01 16:00:00,1609516800000,0.649,0.674,0.605,0.624,4816176.48,0.624
2021-01-01 20:00:00,1609531200000,0.623,0.648,0.608,0.62,4952366.393,0.62
2021-01-02 00:00:00,1609545600000,0.621,0.621,0.564,0.59,9708717.043,0.59
2021-01-02 04:00:00,1609560000000,0.59,0.596,0.573,0.581,2374743.988,0.581
2021-01-02 08:00:00,1609574400000,0.582,0.59,0.567,0.578,3371313.09,0.578
2021-01-02 12:00:00,1609588800000,0.578,0.61,0.566,0.594,5249051.112,0.594
2021-01-02 16:00:00,1609603200000,0.594,0.625,0.585,0.612,5299410.963,0.612
2021-01-02 20:00:00,1609617600000,0.612,0.621,0.585,0.613,3768828.228,0.613
2021-01-03 00:00:00,1609632000000,0.613,0.637,0.611,0.633,2587207.724,0.633
2021-01-03 04:00:00,1609646400000,0.632,0.638,0.595,0.6,3817230.86,0.6
2021-01-03 08:00:00,1609660800000,0.6,0.61,0.586,0.606,5382835.234,0.606
2021-01-03 12:00:00,1609675200000,0.606,0.648,0.602,0.623,6461465.522,0.623
2021-01-03 16:00:00,1609689600000,0.624,0.642,0.606,0.615,3673958.605,0.615
2021-01-03 20:00:00,1609704000000,0.613,0.696,0.613,0.677,6738399.62,0.677
2021-01-04 00:00:00,1609718400000,0.678,0.726,0.665,0.707,6585054.03,0.707
2021-01-04 04:00:00,1609732800000,0.707,0.733,0.642,0.652,10403200.339,0.652
2021-01-04 08:00:00,1609747200000,0.652,0.68,0.581,0.633,9612992.533,0.633
2021-01-04 12:00:00,1609761600000,0.633,0.655,0.61,0.633,5929985.436,0.633
2021-01-04 16:00:00,1609776000000,0.635,0.636,0.606,0.632,4303491.815,0.632
2021-01-04 20:00:00,1609790400000,0.632,0.68,0.622,0.676,4087020.737,0.676
2021-01-05 00:00:00,1609804800000,0.676,0.711,0.633,0.639,6102507.341,0.639
2021-01-05 04:00:00,1609819200000,0.64,0.653,0.623,0.634,5543979.865,0.634
2021-01-05 08:00:00,1609833600000,0.635,0.685,0.635,0.68,4494047.799,0.68
2021-01-05 12:00:00,1609848000000,0.68,0.7,0.647,0.693,5103758.718,0.693
2021-01-05 16:00:00,1609862400000,0.694,0.728,0.672,0.696,8756030.642,0.696
2021-01-05 20:00:00,1609876800000,0.696,0.7,0.683,0.688,3393044.629,0.688
2021-01-06 00:00:00,1609891200000,0.688,0.733,0.67,0.724,7350799.564,0.724
2021-01-06 04:00:00,1609905600000,0.724,0.73,0.7,0.707,4303284.863,0.707
