,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,0.8482,0.8924,0.84,0.8776,320126.13,0.8776
2021-01-01 04:00:00,1609473600000,0.8781,0.8794,0.8517,0.8656,158492.41,0.8656
2021-01-01 08:00:00,1609488000000,0.8651,0.8928,0.8532,0.8798,145203.44,0.8798
2021-01-01 12:00:00,1609502400000,0.8798,0.9099,0.871,0.8896,298863.15,0.8896
2021-01-01 16:00:00,1609516800000,0.89,0.8942,0.8368,0.8414,281496.79,0.8414
2021-01-01 20:00:00,1609531200000,0.8414,0.8699,0.8372,0.8697,100043.68,0.8697
2021-01-02 00:00:00,1609545600000,0.8697,0.919,0.8457,0.8958,400449.43,0.8958
2021-01-02 04:00:00,1609560000000,0.8954,0.9278,0.8865,0.8865,344447.77,0.8865
2021-01-02 08:00:00,1609574400000,0.8865,0.8912,0.87,0.8842,97119.7,0.8842
2021-01-02 12:00:00,1609588800000,0.8842,0.9078,0.8702,0.8809,268721.4,0.8809
2021-01-02 16:00:00,1609603200000,0.8813,0.8946,0.8658,0.8896,160499.65,0.8896
2021-01-02 20:00:00,1609617600000,0.8896,0.8933,0.8536,0.8754,126560.85,0.8754
2021-01-03 00:00:00,1609632000000,0.8757,0.8896,0.87,0.8861,93569.89,0.8861
2021-01-03 04:00:00,1609646400000,0.8865,0.8978,0.867,0.8718,209289.2,0.8718
2021-01-03 08:00:00,1609660800000,0.8718,0.8859,0.8632,0.8824,276666.42,0.8824
2021-01-03 12:00:00,1609675200000,0.8824,0.9229,0.8708,0.8985,572479.03,0.8985
2021-01-03 16:00:00,1609689600000,0.8985,0.93,0.8755,0.9056,488026.05,0.9056
2021-01-03 20:00:00,1609704000000,0.9054,0.927,0.9044,0.9254,290887.08,0.9254
2021-01-04 00:00:00,1609718400000,0.9257,1.0454,0.9254,1.0124,1321893.04,1.0124
2021-01-04 04:00:00,1609732800000,1.0123,1.0789,0.9633,0.9756,1710938.49,0.9756
2021-01-04 08:00:00,1609747200000,0.9754,1.005,0.8706,0.924,1119427.46,0.924
2021-01-04 12:00:00,1609761600000,0.9244,0.95,0.908,0.9401,678279.11,0.9401
2021-01-04 16:00:00,1609776000000,0.9413,0.9702,0.9116,0.9678,474038.82,0.9678
2021-01-04 20:00:00,1609790400000,0.969,0.9793,0.9452,0.9786,535773.77,0.9786
2021-01-05 00:00:00,1609804800000,0.9786,0.987,0.9122,0.9381,745034.66,0.9381
2021-01-05 04:00:00,1609819200000,0.937,1.0335,0.9185,1.0081,1243970.42,1.0081
2021-01-05 08:00:00,1609833600000,1.0091,1.1286,1.0091,1.1123,2654936.36,1.1123
2021-01-05 12:00:00,1609848000000,1.1154,1.3012,0.987,0.9995,7294364.7,0.9995
2021-01-05 16:00:00,1609862400000,0.9994,1.0118,0.8792,0.916,3419696.35,0.916
2021-01-05 20:00:00,1609876800000,0.9168,0.9296,0.8922,0.9178,1102068.4,0.9178
2021-01-06 00:00:00,1609891200000,0.918,0.95,0.9024,0.9301,2093722.73,0.9301
2021-01-06 04:00:00,1609905600000,0.931,0.9669,0.91,0.934,2440035.94,0.934
2021-01-06 08:00:00,1609920000000,0.9342,0.9704,0.9257,0.9584,1839032.29,0.9584
2021-01-06 12:00:00,1609934400000,0.9584,0.9997,0.9369,0.9782,2527109.04,0.9782
2021-01-06 16:00:00,1609948800000,0.9784,0.9853,0.9202,0.9245,1849325.97,0.9245
2021-01-06 20:00:00,1609963200000,0.9277,0.95,0.9085,0.9446,1864243.21,0.9446
2021-01-07 00:00:00,1609977600000,0.9446,0.9482,0.92,0.9447,1636400.36,0.9447
2021-01-07 04:00:00,1609992000000,0.9447,0.9725,0.9295,0.9366,2011894.14,0.9366
2021-01-07 08:00:00,1610006400000,0.9381,0.9548,0.9109,0.9391,2416734.13,0.9391
2021-01-07 12:00:00,1610020800000,0.9392,0.9665,0.9242,0.946,2137742.9,0.946
2021-01-07 16:00:00,1610035200000,0.946,0.9547,0.8323,0.8902,2152097.72,0.8902
2021-01-07 20:00:00,1610049600000,0.8902,0.9135,0.8801,0.9006,1252555.2,0.9006
2021-01-08 00:00:00,1610064000000,0.9006,0.9061,0.848,0.8728,1588525.08,0.8728
2021-01-08 04:00:00,1610078400000,0.8731,0.8866,0.8537,0.882,714509.39,0.882
2021-01-08 08:00:00,1610092800000,0.8824,0.915,0.872,0.8962,876599.97,0.8962
2021-01-08 12:00:00,1610107200000,0.8964,0.9199,0.86,0.8827,877051.44,0.8827
2021-01-08 16:00:00,1610121600000,0.8837,0.8988,0.8776,0.8811,630558.36,0.8811
2021-01-08 20:00:00,1610136000000,0.8828,0.904,0.8756,0.9026,586551.53,0.9026
2021-01-09 00:00:00,1610150400000,0.9025,0.9277,0.8755,0.9143,875116.7,0.9143
2021-01-09 04:00:00,1610164800000,0.9138,0.9439,0.9062,0.9264,892329.59,0.9264
2021-01-09 08:00:00,1610179200000,0.926,0.9382,0.9161,0.9217,690024.71,0.9217
2021-01-09 12:00:00,1610193600000,0.9235,0.931,0.8997,0.9107,887490.62,0.9107
2021-01-09 16:00:00,1610208000000,0.9106,0.9571,0.88,0.9272,776092.1,0.9272
2021-01-09 20:00:00,1610222400000,0.9279,0.931,0.9149,0.9208,531863.6,0.9208
