,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,0.08415,0.0874,0.0831,0.08629,4454691.4,0.08629,sell
2021-01-01 04:00:00,1609473600000,0.08629,0.08635,0.08486,0.08591,2014912.1,0.08591,sell
2021-01-01 08:00:00,1609488000000,0.08612,0.08941,0.0846,0.08655,5798488.0,0.08655,sell
2021-01-01 12:00:00,1609502400000,0.08654,0.08799,0.08635,0.08669,3066550.2,0.08669,sell
2021-01-01 16:00:00,1609516800000,0.08678,0.08749,0.08363,0.08469,8639724.5,0.08469,sell
2021-01-01 20:00:00,1609531200000,0.08453,0.08625,0.08436,0.08564,1381501.5,0.08564,sell
2021-01-02 00:00:00,1609545600000,0.08583,0.08747,0.08401,0.08567,4787288.1,0.08567,sell
2021-01-02 04:00:00,1609560000000,0.0857,0.08728,0.08546,0.08654,1759280.0,0.08654,sell
2021-01-02 08:00:00,1609574400000,0.08677,0.08683,0.08431,0.08563,1059494.7,0.08563,sell
2021-01-02 12:00:00,1609588800000,0.0857,0.08642,0.0846,0.08499,1688841.9,0.08499,sell
2021-01-02 16:00:00,1609603200000,0.08506,0.0851,0.08302,0.08376,4088387.9,0.08376,sell
2021-01-02 20:00:00,1609617600000,0.08372,0.08538,0.08159,0.08538,5070492.7,0.08538,sell
2021-01-03 00:00:00,1609632000000,0.08517,0.08547,0.08382,0.08396,2926468.6,0.08396,sell
2021-01-03 04:00:00,1609646400000,0.08381,0.08574,0.08322,0.08358,5439639.7,0.08358,sell
2021-01-03 08:00:00,1609660800000,0.08358,0.08544,0.08263,0.08473,4279538.7,0.08473,sell
2021-01-03 12:00:00,1609675200000,0.08469,0.08933,0.08406,0.08813,16890891.9,0.08813,sell
2021-01-03 16:00:00,1609689600000,0.08821,0.08929,0.08469,0.08558,4521577.9,0.08558,sell
2021-01-03 20:00:00,1609704000000,0.08532,0.08836,0.08531,0.08756,3276635.8,0.08756,sell
2021-01-04 00:00:00,1609718400000,0.08754,0.09222,0.08664,0.09209,6695706.8,0.09209,sell
2021-01-04 04:00:00,1609732800000,0.09207,0.09813,0.084,0.08661,12710500.2,0.08661,sell
2021-01-04 08:00:00,1609747200000,0.08652,0.089,0.078,0.083,9437955.7,0.083,sell
2021-01-04 12:00:00,1609761600000,0.083,0.08544,0.08159,0.08522,5184888.6,0.08522,sell
2021-01-04 16:00:00,1609776000000,0.08522,0.08778,0.08005,0.08427,11080572.6,0.08427,sell
2021-01-04 20:00:00,1609790400000,0.08431,0.08467,0.08285,0.08464,2952733.0,0.08464,sell
2021-01-05 00:00:00,1609804800000,0.08467,0.0859,0.08226,0.08278,4867347.1,0.08278,sell
2021-01-05 04:00:00,1609819200000,0.08273,0.08537,0.082,0.08509,4266697.4,0.08509,sell
2021-01-05 08:00:00,1609833600000,0.08518,0.08965,0.08513,0.08769,5554064.5,0.08769,sell
2021-01-05 12:00:00,1609848000000,0.08769,0.0902,0.08594,0.09009,4092026.7,0.09009,sell
2021-01-05 16:00:00,1609862400000,0.09007,0.09438,0.08835,0.09009,6835873.8,0.09009,sell
2021-01-05 20:00:00,1609876800000,0.0902,0.09372,0.08996,0.0918,5299536.8,0.0918,buy
2021-01-06 00:00:00,1609891200000,0.09209,0.09499,0.09002,0.09471,5329524.5,0.09471,buy
2021-01-06 04:00:00,1609905600000,0.09444,0.09574,0.09159,0.09253,6420909.5,0.09253,buy
2021-01-06 08:00:00,1609920000000,0.093,0.09624,0.093,0.09571,4399259.3,0.09571,buy
2021-01-06 12:00:00,1609934400000,0.09571,0.124,0.09534,0.09848,39281211.0,0.09848,buy
2021-01-06 16:00:00,1609948800000,0.09858,0.10617,0.09754,0.09845,10243036.0,0.09845,buy
2021-01-06 20:00:00,1609963200000,0.09845,0.10786,0.09532,0.1057,9905858.2,0.1057,buy
2021-01-07 00:00:00,1609977600000,0.10557,0.11433,0.10183,0.10927,22063338.8,0.10927,buy
2021-01-07 04:00:00,1609992000000,0.1091,0.138,0.10674,0.1212,61517420.4,0.1212,buy
2021-01-07 08:00:00,1610006400000,0.12118,0.17,0.1139,0.13586,91986770.6,0.13586,buy
2021-01-07 12:00:00,1610020800000,0.1361,0.17406,0.13545,0.16509,71064894.2,0.16509,buy
2021-01-07 16:00:00,1610035200000,0.16539,0.16898,0.13303,0.15097,24778604.2,0.15097,buy
2021-01-07 20:00:00,1610049600000,0.15135,0.21,0.14144,0.20827,48003366.6,0.20827,buy
2021-01-08 00:00:00,1610064000000,0.2058,0.21999,0.15791,0.17635,84035047.2,0.17635,buy
2021-01-08 04:00:00,1610078400000,0.17639,0.21356,0.17596,0.18608,60896914.8,0.18608,buy
2021-01-08 08:00:00,1610092800000,0.18631,0.2047,0.178,0.18141,45355742.5,0.18141,buy
2021-01-08 12:00:00,1610107200000,0.18129,0.185,0.15511,0.1625,31514023.4,0.1625,buy
2021-01-08 16:00:00,1610121600000,0.16251,0.169,0.15604,0.15813,17881791.2,0.15813,buy
2021-01-08 20:00:00,1610136000000,0.15813,0.17176,0.15095,0.16442,10379907.0,0.16442,buy
2021-01-09 00:00:00,1610150400000,0.16457,0.17563,0.14766,0.14884,20061786.9,0.14884,buy
2021-01-09 04:00:00,1610164800000,0.14884,0.15346,0.14613,0.15115,14592155.1,0.15115,buy
2021-01-09 08:00:00,1610179200000,0.15116,0.15622,0.14889,0.15138,15862405.5,0.15138,buy
2021-01-09 12:00:00,1610193600000,0.1516,0.15733,0.14946,0.15232,11450510.2,0.15232,buy
2021-01-09 16:00:00,1610208000000,0.15234,0.15235,0.14076,0.14946,10222304.6,0.14946,buy
2021-01-09 20:00:00,1610222400000,0.1493,0.15369,0.14431,0.1515,9852350.6,0.1515,buy
2021-01-10 00:00:00,1610236800000,0.15166,0.17057,0.14832,0.15618,21194778.4,0.15618,buy
2021-01-10 04:00:00,1610251200000,0.15617,0.15899,0.15276,0.1552,6976296.3,0.1552,buy
2021-01-10 08:00:00,1610265600000,0.15547,0.15904,0.13879,0.14123,12725049.6,0.14123,buy
2021-01-10 12:00:00,1610280000000,0.14121,0.14766,0.13786,0.14448,9015873.6,0.14448,buy
2021-01-10 16:00:00,1610294400000,0.1444,0.14521,0.13316,0.13445,6561868.7,0.13445,sell
2021-01-10 20:00:00,1610308800000,0.13367,0.14378,0.128,0.14026,8253416.6,0.14026,sell
2021-01-11 00:00:00,1610323200000,0.14026,0.1408,0.11126,0.11979,11669344.8,0.11979,sell
2021-01-11 04:00:00,1610337600000,0.1194,0.12457,0.11174,0.1209,10981438.9,0.1209,sell
2021-01-11 08:00:00,1610352000000,0.12092,0.12582,0.11596,0.11682,6699351.4,0.11682,sell
2021-01-11 12:00:00,1610366400000,0.11694,0.127,0.10056,0.10787,16901290.1,0.10787,sell
2021-01-11 16:00:00,1610380800000,0.10779,0.11236,0.0989,0.1071,11377711.6,0.1071,sell
2021-01-11 20:00:00,1610395200000,0.107,0.1215,0.10502,0.12109,11771983.1,0.12109,sell
2021-01-12 00:00:00,1610409600000,0.12106,0.14693,0.11607,0.13376,22022270.4,0.13376,sell
2021-01-12 04:00:00,1610424000000,0.13377,0.15473,0.1319,0.15289,22890849.7,0.15289,buy
2021-01-12 08:00:00,1610438400000,0.15288,0.15958,0.13855,0.14248,31254371.3,0.14248,sell
2021-01-12 12:00:00,1610452800000,0.14252,0.14911,0.1363,0.1432,22043272.4,0.1432,sell
2021-01-12 16:00:00,1610467200000,0.14262,0.17572,0.14246,0.17301,49574628.0,0.17301,buy
2021-01-12 20:00:00,1610481600000,0.17301,0.19246,0.1612,0.17091,113632255.3,0.17091,buy
2021-01-13 00:00:00,1610496000000,0.17115,0.178,0.15059,0.15821,45555451.8,0.15821,buy
2021-01-13 04:00:00,1610510400000,0.15807,0.17898,0.15747,0.1664,45836793.4,0.1664,buy
2021-01-13 08:00:00,1610524800000,0.16696,0.175,0.16195,0.16365,27953191.9,0.16365,buy
2021-01-13 12:00:00,1610539200000,0.16374,0.169,0.15805,0.16306,15087004.3,0.16306,buy
2021-01-13 16:00:00,1610553600000,0.16319,0.16355,0.15605,0.15911,14237915.2,0.15911,buy
2021-01-13 20:00:00,1610568000000,0.15935,0.17216,0.15854,0.17069,11182149.0,0.17069,buy
2021-01-14 00:00:00,1610582400000,0.17069,0.17434,0.15827,0.15916,11290277.3,0.15916,buy
2021-01-14 04:00:00,1610596800000,0.15896,0.16435,0.15709,0.16122,9252912.2,0.16122,buy
2021-01-14 08:00:00,1610611200000,0.16126,0.16445,0.15955,0.16122,7500934.1,0.16122,buy
2021-01-14 12:00:00,1610625600000,0.16128,0.16275,0.15991,0.16139,6635044.0,0.16139,buy
2021-01-14 16:00:00,1610640000000,0.16169,0.17418,0.1613,0.16556,25270223.0,0.16556,buy
2021-01-14 20:00:00,1610654400000,0.16537,0.17116,0.16188,0.16587,14560213.9,0.16587,buy
2021-01-15 00:00:00,1610668800000,0.16591,0.16722,0.15451,0.15651,13334267.4,0.15651,buy
2021-01-15 04:00:00,1610683200000,0.15651,0.15863,0.15211,0.15746,8146683.7,0.15746,buy
2021-01-15 08:00:00,1610697600000,0.1578,0.16015,0.15556,0.15822,5959617.9,0.15822,buy
