,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,99.48,102.42,98.1,101.08,16234.23499,101.08,sell
2021-01-01 04:00:00,1609473600000,101.12,101.57,99.18,99.7,8739.58366,99.7,sell
2021-01-01 08:00:00,1609488000000,99.7,102.65,98.25,102.18,20946.62205,102.18,sell
2021-01-01 12:00:00,1609502400000,102.2,102.83,100.19,101.15,15937.80218,101.15,sell
2021-01-01 16:00:00,1609516800000,101.23,101.98,88.21,90.59,177085.31086,90.59,sell
2021-01-01 20:00:00,1609531200000,90.62,91.44,85.9,87.97,115880.80614,87.97,sell
2021-01-02 00:00:00,1609545600000,87.97,89.84,84.72,88.77,79825.26981,88.77,sell
2021-01-02 04:00:00,1609560000000,88.76,89.18,86.85,87.65,26936.75329,87.65,sell
2021-01-02 08:00:00,1609574400000,87.62,89.1,84.63,87.45,57338.4013,87.45,sell
2021-01-02 12:00:00,1609588800000,87.44,91.58,86.71,90.56,57716.33432,90.56,sell
2021-01-02 16:00:00,1609603200000,90.59,94.0,89.38,90.06,61755.49294,90.06,sell
2021-01-02 20:00:00,1609617600000,90.05,90.12,85.67,87.02,50523.97231,87.02,sell
2021-01-03 00:00:00,1609632000000,86.98,87.98,86.03,86.24,21755.44988,86.24,sell
2021-01-03 04:00:00,1609646400000,86.21,88.19,85.63,85.75,21041.44059,85.75,sell
2021-01-03 08:00:00,1609660800000,85.74,90.8,85.19,89.25,43073.02967,89.25,sell
2021-01-03 12:00:00,1609675200000,89.32,91.45,87.24,89.54,55726.06469,89.54,sell
2021-01-03 16:00:00,1609689600000,89.49,92.11,87.0,87.67,55647.48081,87.67,sell
2021-01-03 20:00:00,1609704000000,87.67,90.64,87.63,89.65,28631.34256,89.65,sell
2021-01-04 00:00:00,1609718400000,89.68,93.81,89.63,92.91,38320.3874,92.91,sell
2021-01-04 04:00:00,1609732800000,92.84,96.89,89.21,91.57,76748.12661,91.57,sell
2021-01-04 08:00:00,1609747200000,91.7,92.79,85.11,88.27,69161.31151,88.27,sell
2021-01-04 12:00:00,1609761600000,88.25,88.8,86.41,87.88,30231.3754,87.88,sell
2021-01-04 16:00:00,1609776000000,87.89,88.37,86.04,88.2,27776.23814,88.2,sell
2021-01-04 20:00:00,1609790400000,88.25,89.03,86.75,89.01,17750.44991,89.01,sell
2021-01-05 00:00:00,1609804800000,88.97,90.2,86.27,86.63,32859.54956,86.63,sell
2021-01-05 04:00:00,1609819200000,86.56,87.63,85.6,86.28,17395.69768,86.28,sell
2021-01-05 08:00:00,1609833600000,86.28,89.81,86.28,89.4,22017.8324,89.4,sell
2021-01-05 12:00:00,1609848000000,89.49,89.73,87.15,88.97,19780.81993,88.97,sell
2021-01-05 16:00:00,1609862400000,89.04,90.0,87.75,89.51,35537.6186,89.51,sell
2021-01-05 20:00:00,1609876800000,89.47,90.2,88.27,89.11,22784.14746,89.11,sell
2021-01-06 00:00:00,1609891200000,89.18,94.78,87.93,93.35,41757.35147,93.35,buy
2021-01-06 04:00:00,1609905600000,93.29,93.35,89.34,90.31,35638.62541,90.31,buy
2021-01-06 08:00:00,1609920000000,90.36,91.75,89.5,91.54,34782.15929,91.54,buy
2021-01-06 12:00:00,1609934400000,91.56,94.0,90.69,93.57,50674.41416,93.57,buy
2021-01-06 16:00:00,1609948800000,93.61,94.95,92.48,93.1,39646.99213,93.1,buy
2021-01-06 20:00:00,1609963200000,93.03,94.37,88.78,94.22,51802.04307,94.22,buy
