,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,0.0001876,0.000194,0.0001836,0.0001914,127894706.0,0.0001914,sell
2021-01-01 04:00:00,1609473600000,0.0001898,0.0001918,0.0001881,0.0001917,37377283.0,0.0001917,sell
2021-01-01 08:00:00,1609488000000,0.0001903,0.000195,0.0001903,0.0001939,118729427.0,0.0001939,sell
2021-01-01 12:00:00,1609502400000,0.0001939,0.000199,0.0001901,0.0001955,299151554.0,0.0001955,sell
2021-01-01 16:00:00,1609516800000,0.0001964,0.0002036,0.0001932,0.0001963,185985641.0,0.0001963,sell
2021-01-01 20:00:00,1609531200000,0.0001972,0.0002009,0.0001931,0.0001933,86234897.0,0.0001933,sell
2021-01-02 00:00:00,1609545600000,0.0001933,0.0001992,0.0001933,0.0001978,37818452.0,0.0001978,sell
2021-01-02 04:00:00,1609560000000,0.0001978,0.0001978,0.0001945,0.0001959,67935813.0,0.0001959,sell
2021-01-02 08:00:00,1609574400000,0.0001971,0.0001986,0.0001953,0.0001965,50405577.0,0.0001965,sell
2021-01-02 12:00:00,1609588800000,0.0001964,0.0002054,0.000195,0.0002041,231070671.0,0.0002041,sell
2021-01-02 16:00:00,1609603200000,0.0002038,0.0002399,0.0002037,0.0002144,884002159.0,0.0002144,sell
2021-01-02 20:00:00,1609617600000,0.0002143,0.0002143,0.0002,0.0002035,362867182.0,0.0002035,sell
2021-01-03 00:00:00,1609632000000,0.0002041,0.0002096,0.0002008,0.0002053,56307999.0,0.0002053,sell
2021-01-03 04:00:00,1609646400000,0.0002053,0.0002126,0.0002022,0.0002093,112431766.0,0.0002093,sell
2021-01-03 08:00:00,1609660800000,0.0002092,0.0002155,0.000207,0.0002091,167634989.0,0.0002091,sell
2021-01-03 12:00:00,1609675200000,0.0002085,0.0002121,0.0002022,0.0002067,240383403.0,0.0002067,sell
2021-01-03 16:00:00,1609689600000,0.000208,0.0002122,0.0002047,0.0002109,153849043.0,0.0002109,sell
2021-01-03 20:00:00,1609704000000,0.0002097,0.00022,0.0002082,0.0002199,237989641.0,0.0002199,sell
2021-01-04 00:00:00,1609718400000,0.00022,0.0002222,0.000214,0.0002168,82869869.0,0.0002168,sell
2021-01-04 04:00:00,1609732800000,0.0002171,0.0002369,0.0002126,0.000214,403999511.0,0.000214,sell
2021-01-04 08:00:00,1609747200000,0.0002151,0.0002195,0.000205,0.0002151,245375508.0,0.0002151,sell
2021-01-04 12:00:00,1609761600000,0.0002154,0.0002196,0.0002105,0.0002143,102373259.0,0.0002143,sell
2021-01-04 16:00:00,1609776000000,0.0002143,0.0002197,0.0002121,0.0002188,104688441.0,0.0002188,sell
2021-01-04 20:00:00,1609790400000,0.0002185,0.0002208,0.000206,0.000219,286145917.0,0.000219,sell
2021-01-05 00:00:00,1609804800000,0.0002195,0.0002275,0.0002115,0.0002138,166107098.0,0.0002138,sell
2021-01-05 04:00:00,1609819200000,0.0002133,0.0002141,0.00021,0.0002101,94000034.0,0.0002101,sell
2021-01-05 08:00:00,1609833600000,0.0002119,0.0002167,0.0002099,0.000216,59863117.0,0.000216,sell
2021-01-05 12:00:00,1609848000000,0.0002144,0.0002169,0.00021,0.0002128,118339150.0,0.0002128,sell
2021-01-05 16:00:00,1609862400000,0.0002128,0.0002183,0.0002116,0.0002144,163926773.0,0.0002144,sell
2021-01-05 20:00:00,1609876800000,0.0002143,0.0002176,0.0002109,0.000214,119967840.0,0.000214,buy
2021-01-06 00:00:00,1609891200000,0.0002138,0.0002169,0.0002117,0.0002168,63133076.0,0.0002168,buy
2021-01-06 04:00:00,1609905600000,0.0002163,0.0002196,0.0002147,0.0002178,101759467.0,0.0002178,buy
2021-01-06 08:00:00,1609920000000,0.0002178,0.00023,0.0002178,0.0002275,343053444.0,0.0002275,buy
2021-01-06 12:00:00,1609934400000,0.0002276,0.000233,0.0002256,0.0002272,179550137.0,0.0002272,buy
2021-01-06 16:00:00,1609948800000,0.0002272,0.0002324,0.0002253,0.0002305,181489345.0,0.0002305,buy
2021-01-06 20:00:00,1609963200000,0.0002305,0.000233,0.0002212,0.0002327,241485326.0,0.0002327,buy
2021-01-07 00:00:00,1609977600000,0.0002313,0.0002419,0.0002313,0.000238,219666926.0,0.000238,buy
