,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,0.0249,0.02627,0.02466,0.0261,12694881.0,0.0261,sell
2021-01-01 04:00:00,1609473600000,0.02616,0.02633,0.02495,0.02518,8831373.6,0.02518,sell
2021-01-01 08:00:00,1609488000000,0.02518,0.02645,0.02506,0.02552,6541689.8,0.02552,sell
2021-01-01 12:00:00,1609502400000,0.02557,0.0258,0.025,0.02559,10712967.0,0.02559,sell
2021-01-01 16:00:00,1609516800000,0.02559,0.02722,0.02486,0.02692,20559500.3,0.02692,sell
2021-01-01 20:00:00,1609531200000,0.02684,0.02703,0.02604,0.02645,10444290.3,0.02645,sell
2021-01-02 00:00:00,1609545600000,0.02653,0.027,0.02528,0.02566,12464887.8,0.02566,sell
2021-01-02 04:00:00,1609560000000,0.02566,0.02619,0.02537,0.0261,4360091.8,0.0261,sell
2021-01-02 08:00:00,1609574400000,0.02614,0.0275,0.02597,0.0265,18053823.3,0.0265,sell
2021-01-02 12:00:00,1609588800000,0.02654,0.02835,0.02599,0.02784,27818266.8,0.02784,sell
2021-01-02 16:00:00,1609603200000,0.02785,0.03139,0.0278,0.02892,77563768.9,0.02892,sell
2021-01-02 20:00:00,1609617600000,0.02882,0.02886,0.0241,0.02863,31109492.2,0.02863,sell
2021-01-03 00:00:00,1609632000000,0.02864,0.03134,0.02799,0.02972,45431295.4,0.02972,sell
2021-01-03 04:00:00,1609646400000,0.02972,0.03426,0.02965,0.03231,80214144.4,0.03231,sell
2021-01-03 08:00:00,1609660800000,0.03219,0.03364,0.03071,0.03154,42120132.6,0.03154,sell
2021-01-03 12:00:00,1609675200000,0.03154,0.03317,0.02965,0.03055,50627882.0,0.03055,sell
2021-01-03 16:00:00,1609689600000,0.03053,0.03185,0.02979,0.03047,25758265.3,0.03047,sell
2021-01-03 20:00:00,1609704000000,0.03047,0.03289,0.03038,0.0325,30882139.1,0.0325,sell
2021-01-04 00:00:00,1609718400000,0.0325,0.03254,0.0299,0.03019,25550808.0,0.03019,sell
2021-01-04 04:00:00,1609732800000,0.03019,0.03095,0.02835,0.02886,42321777.8,0.02886,sell
2021-01-04 08:00:00,1609747200000,0.02888,0.02966,0.02603,0.02797,44077950.2,0.02797,sell
2021-01-04 12:00:00,1609761600000,0.02794,0.0285,0.02712,0.02798,17614683.5,0.02798,sell
2021-01-04 16:00:00,1609776000000,0.02798,0.02826,0.02687,0.02797,20484896.4,0.02797,sell
2021-01-04 20:00:00,1609790400000,0.02797,0.02845,0.02649,0.02844,13205566.6,0.02844,sell
2021-01-05 00:00:00,1609804800000,0.02844,0.029,0.02703,0.02713,16613440.3,0.02713,sell
2021-01-05 04:00:00,1609819200000,0.02713,0.02819,0.02623,0.02749,13959900.1,0.02749,sell
2021-01-05 08:00:00,1609833600000,0.02749,0.02876,0.02737,0.0282,12643992.3,0.0282,sell
2021-01-05 12:00:00,1609848000000,0.0282,0.02968,0.02806,0.02909,18365316.6,0.02909,sell
2021-01-05 16:00:00,1609862400000,0.02901,0.02934,0.02726,0.02793,24511770.2,0.02793,sell
2021-01-05 20:00:00,1609876800000,0.02788,0.02824,0.02711,0.02796,16616294.0,0.02796,sell
2021-01-06 00:00:00,1609891200000,0.02799,0.0284,0.02715,0.02833,10914104.7,0.02833,buy
2021-01-06 04:00:00,1609905600000,0.02833,0.02877,0.02705,0.02788,18440091.8,0.02788,sell
2021-01-06 08:00:00,1609920000000,0.02794,0.02852,0.0275,0.02759,21688115.9,0.02759,sell
2021-01-06 12:00:00,1609934400000,0.02759,0.02999,0.02724,0.02889,38177472.9,0.02889,buy
2021-01-06 16:00:00,1609948800000,0.02889,0.03034,0.02888,0.02939,23137368.4,0.02939,buy
2021-01-06 20:00:00,1609963200000,0.02927,0.02999,0.02808,0.02943,19967505.6,0.02943,buy
2021-01-07 00:00:00,1609977600000,0.02951,0.0324,0.02898,0.03212,30439326.5,0.03212,buy
2021-01-07 04:00:00,1609992000000,0.03213,0.03225,0.03007,0.03011,19489197.2,0.03011,buy
2021-01-07 08:00:00,1610006400000,0.0301,0.03225,0.03002,0.03185,17609742.8,0.03185,buy
2021-01-07 12:00:00,1610020800000,0.03189,0.033,0.0312,0.03211,26733059.5,0.03211,buy
2021-01-07 16:00:00,1610035200000,0.03209,0.03219,0.029,0.03141,28831931.5,0.03141,buy
2021-01-07 20:00:00,1610049600000,0.03127,0.0331,0.03077,0.03173,22615013.6,0.03173,buy
2021-01-08 00:00:00,1610064000000,0.03174,0.03225,0.029,0.03051,16155980.4,0.03051,buy
2021-01-08 04:00:00,1610078400000,0.0305,0.03119,0.02888,0.03086,15849035.6,0.03086,buy
2021-01-08 08:00:00,1610092800000,0.03083,0.03246,0.02976,0.03149,20971398.8,0.03149,buy
2021-01-08 12:00:00,1610107200000,0.0315,0.03184,0.0299,0.03013,25357239.3,0.03013,buy
2021-01-08 16:00:00,1610121600000,0.03013,0.03036,0.029,0.02945,17542050.8,0.02945,sell
2021-01-08 20:00:00,1610136000000,0.02943,0.03085,0.02838,0.03036,19509355.5,0.03036,buy
2021-01-09 00:00:00,1610150400000,0.03037,0.03062,0.02931,0.0303,9411174.6,0.0303,buy
