,datetime,open,high,low,close,volume,adj_close,signal
2021-02-19 08:00:00,1613721600000,2.788,10.0,2.788,7.064,24413150.246,7.064,sell
2021-02-19 12:00:00,1613736000000,7.064,7.3,5.345,5.9,13533340.073,5.9,sell
2021-02-19 16:00:00,1613750400000,5.899,6.5,5.656,6.151,3170005.901,6.151,sell
2021-02-19 20:00:00,1613764800000,6.159,6.65,5.615,6.225,4408671.382,6.225,sell
2021-02-20 00:00:00,1613779200000,6.225,6.439,5.762,6.179,3644997.096,6.179,sell
2021-02-20 04:00:00,1613793600000,6.185,7.491,5.9,7.123,6839745.008,7.123,sell
2021-02-20 08:00:00,1613808000000,7.124,8.75,6.926,7.38,18260735.749,7.38,sell
2021-02-20 12:00:00,1613822400000,7.38,7.427,6.411,6.781,7580255.03,6.781,sell
2021-02-20 16:00:00,1613836800000,6.794,7.5,6.78,7.34,4592962.313,7.34,sell
2021-02-20 20:00:00,1613851200000,7.341,7.415,5.85,6.503,3652819.379,6.503,sell
2021-02-21 00:00:00,1613865600000,6.503,7.186,6.227,6.727,2621275.372,6.727,sell
2021-02-21 04:00:00,1613880000000,6.727,6.913,6.274,6.345,1735395.714,6.345,sell
2021-02-21 08:00:00,1613894400000,6.345,6.753,6.21,6.753,2514674.608,6.753,sell
2021-02-21 12:00:00,1613908800000,6.74,7.45,6.543,7.241,4362654.891,7.241,sell
2021-02-21 16:00:00,1613923200000,7.241,7.3,6.59,6.844,2499979.473,6.844,sell
2021-02-21 20:00:00,1613937600000,6.849,7.02,6.6,6.844,1144282.001,6.844,sell
2021-02-22 00:00:00,1613952000000,6.843,7.07,6.13,6.262,2294016.093,6.262,sell
2021-02-22 04:00:00,1613966400000,6.262,6.6,6.135,6.499,1566318.583,6.499,sell
2021-02-22 08:00:00,1613980800000,6.495,6.88,5.969,6.076,2732207.451,6.076,sell
2021-02-22 12:00:00,1613995200000,6.074,6.078,4.49,5.486,6283202.433,5.486,sell
2021-02-22 16:00:00,1614009600000,5.473,5.8,5.198,5.619,2725401.221,5.619,sell
2021-02-22 20:00:00,1614024000000,5.61,6.179,5.6,5.68,1757382.701,5.68,sell
2021-02-23 00:00:00,1614038400000,5.691,5.718,4.801,4.998,2369584.402,4.998,sell
2021-02-23 04:00:00,1614052800000,4.998,5.098,4.5,4.933,2730117.593,4.933,sell
2021-02-23 08:00:00,1614067200000,4.933,4.99,3.5,4.15,5695719.196,4.15,sell
2021-02-23 12:00:00,1614081600000,4.15,4.978,3.922,4.828,3870439.842,4.828,sell
2021-02-23 16:00:00,1614096000000,4.82,4.945,4.286,4.343,1427207.852,4.343,sell
2021-02-23 20:00:00,1614110400000,4.343,4.851,4.303,4.838,819899.25,4.838,sell
2021-02-24 00:00:00,1614124800000,4.837,5.285,4.544,5.28,1541939.302,5.28,sell
2021-02-24 04:00:00,1614139200000,5.286,5.66,5.06,5.272,2614469.142,5.272,sell
2021-02-24 08:00:00,1614153600000,5.272,5.62,5.12,5.222,1953085.882,5.222,sell
2021-02-24 12:00:00,1614168000000,5.228,5.43,4.618,4.916,2056613.079,4.916,sell
2021-02-24 16:00:00,1614182400000,4.921,5.1,4.645,4.645,912935.099,4.645,sell
2021-02-24 20:00:00,1614196800000,4.667,4.9,4.473,4.868,891558.557,4.868,sell
2021-02-25 00:00:00,1614211200000,4.876,5.267,4.763,4.805,1294034.512,4.805,sell
2021-02-25 04:00:00,1614225600000,4.811,5.071,4.697,5.029,1045578.406,5.029,sell
2021-02-25 08:00:00,1614240000000,5.029,5.1,4.486,4.724,1568225.981,4.724,sell
2021-02-25 12:00:00,1614254400000,4.73,4.922,4.722,4.806,1127622.81,4.806,sell
2021-02-25 16:00:00,1614268800000,4.806,5.0,4.53,4.612,1087317.392,4.612,sell
2021-02-25 20:00:00,1614283200000,4.612,4.72,4.221,4.265,920956.004,4.265,sell
2021-02-26 00:00:00,1614297600000,4.264,4.318,4.0,4.127,1542057.482,4.127,sell
2021-02-26 04:00:00,1614312000000,4.128,4.222,3.71,3.84,1542384.193,3.84,sell
2021-02-26 08:00:00,1614326400000,3.84,4.2,3.8,4.01,1505022.18,4.01,sell
2021-02-26 12:00:00,1614340800000,4.01,4.181,3.9,4.121,1012855.268,4.121,sell
2021-02-26 16:00:00,1614355200000,4.121,4.379,4.013,4.05,1476972.307,4.05,sell
2021-02-26 20:00:00,1614369600000,4.05,4.087,3.845,3.982,584046.214,3.982,sell
2021-02-27 00:00:00,1614384000000,3.977,4.24,3.959,4.117,740154.4,4.117,sell
2021-02-27 04:00:00,1614398400000,4.128,4.303,4.058,4.161,769810.607,4.161,sell
2021-02-27 08:00:00,1614412800000,4.163,4.366,3.97,4.302,1411647.682,4.302,sell
2021-02-27 12:00:00,1614427200000,4.292,4.63,4.191,4.232,2770244.04,4.232,sell
