,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,9.262,9.428,8.993,9.1177,7866708.71,9.1177
2021-01-01 04:00:00,1609473600000,9.1179,9.2471,8.6793,9.0064,6002973.68,9.0064
2021-01-01 08:00:00,1609488000000,9.0032,9.1058,8.7293,8.9269,5560329.56,8.9269
2021-01-01 12:00:00,1609502400000,8.9269,8.9889,8.3223,8.5065,7911947.67,8.5065
2021-01-01 16:00:00,1609516800000,8.5066,8.6721,8.0729,8.2298,9269807.26,8.2298
2021-01-01 20:00:00,1609531200000,8.2305,8.4506,8.1267,8.2776,3833202.93,8.2776
2021-01-02 00:00:00,1609545600000,8.2775,8.7344,7.89,8.6502,7845883.57,8.6502
2021-01-02 04:00:00,1609560000000,8.6435,8.7,8.2226,8.227,4411428.67,8.227
2021-01-02 08:00:00,1609574400000,8.2323,8.6981,8.1223,8.557,4095971.2,8.557
2021-01-02 12:00:00,1609588800000,8.5576,9.3,8.4052,9.2971,9533193.5,9.2971
2021-01-02 16:00:00,1609603200000,9.2979,9.89,9.0967,9.4343,8936480.45,9.4343
2021-01-02 20:00:00,1609617600000,9.4354,9.4444,8.41,9.2037,6719083.22,9.2037
2021-01-03 00:00:00,1609632000000,9.2056,9.3,8.8448,9.0153,3375336.39,9.0153
2021-01-03 04:00:00,1609646400000,9.0142,9.4478,8.9955,9.1235,3770769.89,9.1235
2021-01-03 08:00:00,1609660800000,9.1198,9.5241,8.8867,9.187,4952002.88,9.187
2021-01-03 12:00:00,1609675200000,9.186,9.7508,9.0,9.1765,8360277.4,9.1765
2021-01-03 16:00:00,1609689600000,9.1749,9.8,9.1699,9.68,8190823.08,9.68
2021-01-03 20:00:00,1609704000000,9.6888,10.5,9.6058,10.1307,8575513.8,10.1307
2021-01-04 00:00:00,1609718400000,10.1453,10.5169,9.9295,10.4738,4865023.47,10.4738
2021-01-04 04:00:00,1609732800000,10.4738,10.4836,9.269,9.7162,8565002.43,9.7162
2021-01-04 08:00:00,1609747200000,9.7158,9.9745,8.7,9.3804,9963081.69,9.3804
2021-01-04 12:00:00,1609761600000,9.3854,9.7299,8.9,9.5189,6096467.48,9.5189
2021-01-04 16:00:00,1609776000000,9.5244,9.5601,9.0817,9.5078,3942117.8,9.5078
2021-01-04 20:00:00,1609790400000,9.5091,9.5413,9.2,9.5126,1802304.24,9.5126
2021-01-05 00:00:00,1609804800000,9.5147,9.9498,9.2755,9.2845,4917543.38,9.2845
2021-01-05 04:00:00,1609819200000,9.275,9.4074,9.01,9.1927,3067009.89,9.1927
