,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,0.0452,0.0463,0.0446,0.0455,834608.0,0.0455,sell
2021-01-01 04:00:00,1609473600000,0.0455,0.046,0.0447,0.0454,385428.86,0.0454,sell
2021-01-01 08:00:00,1609488000000,0.0454,0.0458,0.0444,0.045,393375.83,0.045,sell
2021-01-01 12:00:00,1609502400000,0.045,0.0454,0.0433,0.0449,3062555.07,0.0449,sell
2021-01-01 16:00:00,1609516800000,0.045,0.0453,0.0431,0.0438,728440.49,0.0438,sell
2021-01-01 20:00:00,1609531200000,0.0435,0.0449,0.0434,0.0438,696673.38,0.0438,sell
2021-01-02 00:00:00,1609545600000,0.0438,0.0438,0.0426,0.0437,517026.06,0.0437,sell
2021-01-02 04:00:00,1609560000000,0.0437,0.044,0.043,0.0434,765575.52,0.0434,sell
2021-01-02 08:00:00,1609574400000,0.0435,0.0435,0.0426,0.0432,615922.02,0.0432,sell
2021-01-02 12:00:00,1609588800000,0.043,0.0439,0.0429,0.0433,657552.42,0.0433,sell
2021-01-02 16:00:00,1609603200000,0.0434,0.046,0.0434,0.0453,1888685.29,0.0453,sell
2021-01-02 20:00:00,1609617600000,0.0453,0.0466,0.044,0.0455,1686740.67,0.0455,sell
2021-01-03 00:00:00,1609632000000,0.0455,0.0463,0.045,0.0456,685861.14,0.0456,sell
2021-01-03 04:00:00,1609646400000,0.0456,0.0479,0.0453,0.0477,956827.57,0.0477,sell
2021-01-03 08:00:00,1609660800000,0.0477,0.0479,0.0461,0.0468,726557.46,0.0468,sell
2021-01-03 12:00:00,1609675200000,0.0467,0.0475,0.0457,0.0465,1102281.3,0.0465,sell
2021-01-03 16:00:00,1609689600000,0.0465,0.0469,0.0449,0.0456,1000798.87,0.0456,sell
2021-01-03 20:00:00,1609704000000,0.0457,0.0474,0.0457,0.047,786135.91,0.047,sell
2021-01-04 00:00:00,1609718400000,0.0469,0.0486,0.0466,0.0484,491804.71,0.0484,sell
2021-01-04 04:00:00,1609732800000,0.0486,0.0505,0.0471,0.0482,1636277.91,0.0482,sell
2021-01-04 08:00:00,1609747200000,0.0481,0.0493,0.0435,0.0455,2306393.48,0.0455,sell
2021-01-04 12:00:00,1609761600000,0.0456,0.0467,0.0452,0.0459,671248.49,0.0459,sell
2021-01-04 16:00:00,1609776000000,0.0459,0.0465,0.0445,0.0464,1010688.83,0.0464,sell
2021-01-04 20:00:00,1609790400000,0.0461,0.0491,0.0451,0.0491,843535.88,0.0491,sell
2021-01-05 00:00:00,1609804800000,0.049,0.0494,0.0453,0.0453,1610007.42,0.0453,sell
2021-01-05 04:00:00,1609819200000,0.0456,0.0463,0.0447,0.0453,1142945.21,0.0453,sell
2021-01-05 08:00:00,1609833600000,0.0456,0.0481,0.0456,0.0476,857185.54,0.0476,sell
2021-01-05 12:00:00,1609848000000,0.0476,0.0479,0.0457,0.0468,1544076.59,0.0468,sell
2021-01-05 16:00:00,1609862400000,0.0468,0.0491,0.0466,0.0474,1702846.25,0.0474,sell
2021-01-05 20:00:00,1609876800000,0.0474,0.0483,0.0468,0.0474,983529.1,0.0474,buy
2021-01-06 00:00:00,1609891200000,0.0476,0.0493,0.0475,0.048,684868.37,0.048,buy
2021-01-06 04:00:00,1609905600000,0.0481,0.0489,0.0473,0.0475,391787.19,0.0475,buy
2021-01-06 08:00:00,1609920000000,0.0477,0.0505,0.0466,0.0496,1933304.93,0.0496,buy
2021-01-06 12:00:00,1609934400000,0.0495,0.0543,0.0492,0.0535,2373005.67,0.0535,buy
2021-01-06 16:00:00,1609948800000,0.0533,0.0537,0.0507,0.0507,3792054.42,0.0507,buy
2021-01-06 20:00:00,1609963200000,0.0507,0.0518,0.0482,0.0517,1653749.0,0.0517,buy
2021-01-07 00:00:00,1609977600000,0.0514,0.054,0.051,0.0532,1685020.51,0.0532,buy
2021-01-07 04:00:00,1609992000000,0.0532,0.0568,0.0528,0.0552,2181887.99,0.0552,buy
2021-01-07 08:00:00,1610006400000,0.0554,0.06,0.0542,0.0555,4514763.69,0.0555,buy
2021-01-07 12:00:00,1610020800000,0.0554,0.0576,0.0551,0.0572,1912262.92,0.0572,buy
2021-01-07 16:00:00,1610035200000,0.0571,0.0576,0.0501,0.0548,4029552.18,0.0548,buy
2021-01-07 20:00:00,1610049600000,0.0546,0.059,0.0535,0.0549,2954441.72,0.0549,buy
2021-01-08 00:00:00,1610064000000,0.0549,0.06,0.0538,0.0599,2391144.03,0.0599,buy
2021-01-08 04:00:00,1610078400000,0.0598,0.0599,0.0545,0.0591,2265001.53,0.0591,buy
2021-01-08 08:00:00,1610092800000,0.059,0.063,0.058,0.0597,5390086.35,0.0597,buy
2021-01-08 12:00:00,1610107200000,0.0596,0.0599,0.0555,0.0566,3530003.61,0.0566,buy
2021-01-08 16:00:00,1610121600000,0.0569,0.0579,0.055,0.0564,1146500.38,0.0564,buy
2021-01-08 20:00:00,1610136000000,0.0564,0.0586,0.0529,0.0573,2419305.57,0.0573,buy
2021-01-09 00:00:00,1610150400000,0.0573,0.0605,0.0551,0.0602,1394759.2,0.0602,buy
2021-01-09 04:00:00,1610164800000,0.0604,0.065,0.0598,0.0609,3409822.27,0.0609,buy
2021-01-09 08:00:00,1610179200000,0.0609,0.0685,0.0604,0.0616,6408083.13,0.0616,buy
2021-01-09 12:00:00,1610193600000,0.0616,0.0636,0.0602,0.0619,2437414.58,0.0619,buy
2021-01-09 16:00:00,1610208000000,0.0618,0.0637,0.0592,0.0627,1574003.16,0.0627,buy
2021-01-09 20:00:00,1610222400000,0.0627,0.0637,0.0613,0.0617,1579724.85,0.0617,buy
2021-01-10 00:00:00,1610236800000,0.0621,0.0632,0.0603,0.0603,1434630.62,0.0603,buy
