,datetime,open,high,low,close,volume,adj_close,signal
2021-09-09 00:00:00,1631145600000,3.0,14.849,3.0,13.499,9706449.23,13.499,sell
2021-09-09 04:00:00,1631160000000,13.499,14.099,11.302,11.939,5033835.15,11.939,sell
2021-09-09 08:00:00,1631174400000,11.949,16.1,11.805,16.082,8069037.95,16.082,sell
2021-09-09 12:00:00,1631188800000,16.091,16.435,13.651,15.798,9099567.36,15.798,sell
2021-09-09 16:00:00,1631203200000,15.797,16.182,13.051,13.171,4307611.39,13.171,sell
2021-09-09 20:00:00,1631217600000,13.17,13.497,12.543,12.971,2229539.88,12.971,sell
2021-09-10 00:00:00,1631232000000,12.992,14.5,12.62,12.803,2969362.24,12.803,sell
2021-09-10 04:00:00,1631246400000,12.805,13.7,11.468,12.088,3161879.98,12.088,sell
2021-09-10 08:00:00,1631260800000,12.084,12.36,11.118,11.427,2494174.46,11.427,sell
2021-09-10 12:00:00,1631275200000,11.427,11.67,9.821,11.129,5168723.08,11.129,sell
2021-09-10 16:00:00,1631289600000,11.135,11.806,10.597,10.966,2634073.43,10.966,sell
2021-09-10 20:00:00,1631304000000,10.963,11.33,10.002,10.425,1993527.32,10.425,sell
2021-09-11 00:00:00,1631318400000,10.425,11.78,10.424,10.814,2069614.87,10.814,sell
2021-09-11 04:00:00,1631332800000,10.814,12.759,10.8,12.057,3177394.14,12.057,sell
2021-09-11 08:00:00,1631347200000,12.056,12.545,11.759,12.166,1515194.35,12.166,sell
2021-09-11 12:00:00,1631361600000,12.166,12.332,10.703,10.967,2317959.73,10.967,sell
2021-09-11 16:00:00,1631376000000,10.974,11.368,10.745,11.097,908028.7,11.097,sell
2021-09-11 20:00:00,1631390400000,11.11,11.449,10.414,10.933,1253220.64,10.933,sell
2021-09-12 00:00:00,1631404800000,10.929,11.543,10.692,11.184,1187159.52,11.184,sell
2021-09-12 04:00:00,1631419200000,11.18,11.38,10.821,11.078,849567.75,11.078,sell
2021-09-12 08:00:00,1631433600000,11.078,12.5,10.949,12.121,2180230.89,12.121,sell
2021-09-12 12:00:00,1631448000000,12.126,12.691,11.544,11.786,2015810.71,11.786,sell
2021-09-12 16:00:00,1631462400000,11.792,12.242,11.115,11.25,1185953.46,11.25,sell
2021-09-12 20:00:00,1631476800000,11.25,11.608,10.801,11.303,840825.34,11.303,sell
2021-09-13 00:00:00,1631491200000,11.293,11.484,10.31,10.328,1862739.74,10.328,sell
2021-09-13 04:00:00,1631505600000,10.327,10.542,9.9,10.211,2672953.78,10.211,sell
2021-09-13 08:00:00,1631520000000,10.2,10.365,9.522,10.302,1938707.21,10.302,sell
2021-09-13 12:00:00,1631534400000,10.276,10.583,9.1,9.861,2172122.71,9.861,sell
2021-09-13 16:00:00,1631548800000,9.854,10.418,9.762,10.239,781823.11,10.239,sell
2021-09-13 20:00:00,1631563200000,10.245,10.793,10.129,10.4,694261.09,10.4,sell
2021-09-14 00:00:00,1631577600000,10.401,10.577,9.996,10.367,735266.04,10.367,sell
2021-09-14 04:00:00,1631592000000,10.386,10.465,10.067,10.337,662092.66,10.337,sell
2021-09-14 08:00:00,1631606400000,10.337,11.25,10.293,10.828,2211293.92,10.828,sell
2021-09-14 12:00:00,1631620800000,10.838,11.925,10.824,11.797,2772394.75,11.797,buy
2021-09-14 16:00:00,1631635200000,11.798,12.2,11.039,11.163,1753053.7,11.163,buy
2021-09-14 20:00:00,1631649600000,11.164,11.7,11.0,11.699,592618.19,11.699,buy
