,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,24.673,25.0,24.452,24.798,35643.007,24.798
2021-01-01 04:00:00,1609473600000,24.795,25.627,24.699,25.581,40055.636,25.581
2021-01-01 08:00:00,1609488000000,25.579,26.913,25.359,26.413,117676.847,26.413
2021-01-01 12:00:00,1609502400000,26.454,27.287,25.739,26.784,197841.012,26.784
2021-01-01 16:00:00,1609516800000,26.778,27.23,25.4,26.127,281125.766,26.127
2021-01-01 20:00:00,1609531200000,26.127,26.478,25.79,26.007,47335.542,26.007
2021-01-02 00:00:00,1609545600000,26.007,26.074,24.618,25.662,265027.412,25.662
2021-01-02 04:00:00,1609560000000,25.652,25.933,25.452,25.822,26540.074,25.822
2021-01-02 08:00:00,1609574400000,25.849,25.929,24.95,25.42,89518.456,25.42
2021-01-02 12:00:00,1609588800000,25.418,26.888,25.155,26.251,102786.196,26.251
2021-01-02 16:00:00,1609603200000,26.251,26.957,25.757,25.85,101689.348,25.85
2021-01-02 20:00:00,1609617600000,25.85,26.227,25.0,25.875,106702.662,25.875
2021-01-03 00:00:00,1609632000000,25.872,26.54,25.751,26.465,38950.179,26.465
2021-01-03 04:00:00,1609646400000,26.478,26.492,25.424,25.518,54040.365,25.518
2021-01-03 08:00:00,1609660800000,25.491,26.181,25.3,25.843,75542.105,25.843
2021-01-03 12:00:00,1609675200000,25.855,27.1,25.535,26.5,180832.14,26.5
2021-01-03 16:00:00,1609689600000,26.523,28.07,26.0,26.793,251696.831,26.793
2021-01-03 20:00:00,1609704000000,26.794,27.85,26.56,27.321,108376.9,27.321
2021-01-04 00:00:00,1609718400000,27.323,29.0,27.26,28.611,74057.397,28.611
2021-01-04 04:00:00,1609732800000,28.664,30.179,28.0,28.2,167416.49,28.2
2021-01-04 08:00:00,1609747200000,28.288,29.459,26.0,27.739,320291.155,27.739
2021-01-04 12:00:00,1609761600000,27.76,28.857,26.933,28.771,195446.663,28.771
2021-01-04 16:00:00,1609776000000,28.77,31.2,28.001,31.112,332355.985,31.112
2021-01-04 20:00:00,1609790400000,31.131,31.156,29.369,30.658,234675.799,30.658
2021-01-05 00:00:00,1609804800000,30.658,32.384,29.296,29.79,193240.718,29.79
2021-01-05 04:00:00,1609819200000,29.815,31.117,29.565,30.758,118082.982,30.758
2021-01-05 08:00:00,1609833600000,30.772,33.836,30.73,33.777,247082.244,33.777
2021-01-05 12:00:00,1609848000000,33.789,34.943,32.6,34.533,316310.74,34.533
2021-01-05 16:00:00,1609862400000,34.533,35.0,32.223,33.268,265593.855,33.268
2021-01-05 20:00:00,1609876800000,33.268,34.908,32.761,33.969,138041.4,33.969
2021-01-06 00:00:00,1609891200000,33.969,34.838,33.5,34.241,82895.11,34.241
2021-01-06 04:00:00,1609905600000,34.246,35.512,33.562,35.51,101144.707,35.51
2021-01-06 08:00:00,1609920000000,35.516,37.003,35.354,36.051,191053.441,36.051
2021-01-06 12:00:00,1609934400000,36.035,37.731,35.515,37.7,198499.505,37.7
2021-01-06 16:00:00,1609948800000,37.7,39.468,37.45,38.1,248327.821,38.1
2021-01-06 20:00:00,1609963200000,38.1,39.758,37.5,38.5,264406.153,38.5
2021-01-07 00:00:00,1609977600000,38.5,39.495,37.45,38.503,91770.401,38.503
2021-01-07 04:00:00,1609992000000,38.509,39.79,37.669,38.2,99314.507,38.2
2021-01-07 08:00:00,1610006400000,38.176,39.465,38.151,39.182,153513.5,39.182
2021-01-07 12:00:00,1610020800000,39.18,42.0,39.039,41.861,270932.314,41.861
2021-01-07 16:00:00,1610035200000,41.827,41.95,31.377,39.149,442143.158,39.149
2021-01-07 20:00:00,1610049600000,39.178,39.55,36.736,36.985,177103.948,36.985
2021-01-08 00:00:00,1610064000000,37.031,37.562,33.5,35.812,179659.229,35.812
2021-01-08 04:00:00,1610078400000,35.855,38.83,35.376,38.753,131436.076,38.753
2021-01-08 08:00:00,1610092800000,38.77,39.781,37.714,38.643,144629.358,38.643
2021-01-08 12:00:00,1610107200000,38.643,40.892,37.454,38.52,188224.255,38.52
2021-01-08 16:00:00,1610121600000,38.523,38.683,36.313,36.948,149221.442,36.948
2021-01-08 20:00:00,1610136000000,36.985,37.492,35.5,37.36,165964.562,37.36
