,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,2.5906,2.6493,2.567,2.6353,1789419.09,2.6353,sell
2021-01-01 04:00:00,1609473600000,2.6353,2.6693,2.5962,2.62,1427427.42,2.62,sell
2021-01-01 08:00:00,1609488000000,2.6208,2.6617,2.5784,2.6402,2195627.25,2.6402,sell
2021-01-01 12:00:00,1609502400000,2.6401,2.7313,2.621,2.6685,3913839.05,2.6685,sell
2021-01-01 16:00:00,1609516800000,2.669,2.6989,2.585,2.6157,2861780.33,2.6157,sell
2021-01-01 20:00:00,1609531200000,2.6153,2.64,2.6077,2.6378,1110099.38,2.6378,sell
2021-01-02 00:00:00,1609545600000,2.6381,2.6491,2.5627,2.6064,2202067.78,2.6064,sell
2021-01-02 04:00:00,1609560000000,2.6061,2.6288,2.5931,2.6095,910330.99,2.6095,sell
2021-01-02 08:00:00,1609574400000,2.6097,2.6303,2.569,2.6015,2891815.64,2.6015,sell
2021-01-02 12:00:00,1609588800000,2.6012,2.6746,2.592,2.6312,4282852.78,2.6312,sell
2021-01-02 16:00:00,1609603200000,2.6319,2.7232,2.6056,2.6588,4664262.72,2.6588,sell
2021-01-02 20:00:00,1609617600000,2.6586,2.6587,2.5692,2.6321,2598052.53,2.6321,sell
2021-01-03 00:00:00,1609632000000,2.6316,2.6432,2.585,2.5863,2361422.97,2.5863,sell
2021-01-03 04:00:00,1609646400000,2.5866,2.6439,2.5767,2.5975,3974003.09,2.5975,sell
2021-01-03 08:00:00,1609660800000,2.5975,2.8,2.5878,2.7341,7335552.69,2.7341,sell
2021-01-03 12:00:00,1609675200000,2.7342,2.8444,2.665,2.7131,10506403.5,2.7131,sell
2021-01-03 16:00:00,1609689600000,2.7132,2.795,2.6843,2.7019,7002622.84,2.7019,sell
2021-01-03 20:00:00,1609704000000,2.7018,2.8438,2.7009,2.7985,3506419.8,2.7985,sell
2021-01-04 00:00:00,1609718400000,2.799,3.049,2.7816,2.9849,11141535.1,2.9849,sell
2021-01-04 04:00:00,1609732800000,2.9853,3.122,2.82,2.8943,13640102.14,2.8943,sell
2021-01-04 08:00:00,1609747200000,2.894,2.9365,2.62,2.7582,13089686.98,2.7582,sell
2021-01-04 12:00:00,1609761600000,2.758,2.828,2.7194,2.7628,6166275.83,2.7628,sell
2021-01-04 16:00:00,1609776000000,2.7633,2.7835,2.698,2.773,5077359.27,2.773,sell
2021-01-04 20:00:00,1609790400000,2.7733,2.822,2.7142,2.8191,3136762.23,2.8191,sell
2021-01-05 00:00:00,1609804800000,2.8199,2.8895,2.7434,2.7481,7559174.56,2.7481,sell
2021-01-05 04:00:00,1609819200000,2.7467,2.79,2.7104,2.7605,3924837.14,2.7605,sell
