,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,5.6576,5.7792,5.612,5.7431,206054.46,5.7431,sell
2021-01-01 04:00:00,1609473600000,5.7449,5.8614,5.6755,5.7214,228749.45,5.7214,sell
2021-01-01 08:00:00,1609488000000,5.7197,5.7716,5.6116,5.744,202990.9,5.744,sell
2021-01-01 12:00:00,1609502400000,5.7443,5.8588,5.7158,5.739,266777.78,5.739,sell
2021-01-01 16:00:00,1609516800000,5.74,5.7804,5.594,5.635,218197.82,5.635,sell
2021-01-01 20:00:00,1609531200000,5.6282,5.7048,5.6078,5.6938,73026.7,5.6938,sell
2021-01-02 00:00:00,1609545600000,5.6962,5.7196,5.5725,5.6538,169743.42,5.6538,sell
2021-01-02 04:00:00,1609560000000,5.654,5.722,5.6206,5.6949,103975.19,5.6949,sell
2021-01-02 08:00:00,1609574400000,5.6949,5.7425,5.6222,5.6679,169260.71,5.6679,sell
2021-01-02 12:00:00,1609588800000,5.6657,5.8746,5.6302,5.8039,480109.27,5.8039,sell
2021-01-02 16:00:00,1609603200000,5.8052,5.9604,5.7615,5.8666,681445.43,5.8666,sell
2021-01-02 20:00:00,1609617600000,5.8641,5.866,5.601,5.7763,445288.61,5.7763,sell
2021-01-03 00:00:00,1609632000000,5.7765,5.9228,5.7594,5.89,284311.47,5.89,sell
2021-01-03 04:00:00,1609646400000,5.8931,6.086,5.8301,6.019,512363.23,6.019,sell
2021-01-03 08:00:00,1609660800000,6.0217,6.48,6.0015,6.313,1609700.86,6.313,sell
2021-01-03 12:00:00,1609675200000,6.3101,6.6366,6.1928,6.349,1419198.12,6.349,sell
2021-01-03 16:00:00,1609689600000,6.3522,6.6652,6.2501,6.3032,1231552.27,6.3032,sell
2021-01-03 20:00:00,1609704000000,6.3068,6.6676,6.3042,6.5678,627877.64,6.5678,sell
2021-01-04 00:00:00,1609718400000,6.569,6.9398,6.515,6.9337,998293.09,6.9337,sell
2021-01-04 04:00:00,1609732800000,6.9334,7.6398,6.8393,6.9821,3190978.98,6.9821,sell
2021-01-04 08:00:00,1609747200000,6.9821,7.1672,6.25,6.8089,3160623.77,6.8089,sell
2021-01-04 12:00:00,1609761600000,6.8127,7.22,6.7181,7.0234,1274221.52,7.0234,sell
2021-01-04 16:00:00,1609776000000,7.0171,7.063,6.68,6.9098,1000062.57,6.9098,sell
2021-01-04 20:00:00,1609790400000,6.9128,7.0569,6.7574,7.0374,635831.74,7.0374,sell
2021-01-05 00:00:00,1609804800000,7.0333,7.4169,6.7693,6.817,1794463.29,6.817,sell
2021-01-05 04:00:00,1609819200000,6.817,6.9501,6.6902,6.8073,883203.44,6.8073,sell
2021-01-05 08:00:00,1609833600000,6.8116,7.1233,6.8116,7.1029,724309.97,7.1029,sell
2021-01-05 12:00:00,1609848000000,7.1019,7.1367,6.8002,6.9878,731620.77,6.9878,sell
2021-01-05 16:00:00,1609862400000,6.9906,7.1832,6.9045,7.0964,850089.51,7.0964,sell
2021-01-05 20:00:00,1609876800000,7.0913,7.284,7.047,7.271,581784.87,7.271,buy
2021-01-06 00:00:00,1609891200000,7.2715,7.3,6.974,7.0614,501530.92,7.0614,buy
2021-01-06 04:00:00,1609905600000,7.0637,7.271,7.0449,7.1285,550402.58,7.1285,buy
2021-01-06 08:00:00,1609920000000,7.1318,7.5,7.0931,7.4316,928710.76,7.4316,buy
2021-01-06 12:00:00,1609934400000,7.4302,7.5641,7.315,7.4242,933751.73,7.4242,buy
2021-01-06 16:00:00,1609948800000,7.426,7.7564,7.426,7.492,1057109.35,7.492,buy
2021-01-06 20:00:00,1609963200000,7.5073,7.6494,7.1927,7.5723,968915.01,7.5723,buy
