,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,736.42,749.0,729.33,744.82,130893.19622,744.82
2021-01-01 04:00:00,1609473600000,744.87,747.09,734.4,737.38,72474.10311,737.38
2021-01-01 08:00:00,1609488000000,737.37,741.76,725.1,738.85,128108.21447,738.85
2021-01-01 12:00:00,1609502400000,738.85,743.33,732.12,735.39,121504.02184,735.39
2021-01-01 16:00:00,1609516800000,735.39,737.73,714.29,725.34,156457.71927,725.34
2021-01-01 20:00:00,1609531200000,725.34,731.97,722.5,728.91,65676.83838,728.91
2021-01-02 00:00:00,1609545600000,728.91,734.4,714.91,730.39,119184.4496,730.39
2021-01-02 04:00:00,1609560000000,730.39,740.49,726.26,735.12,97938.27713,735.12
2021-01-02 08:00:00,1609574400000,735.12,738.35,723.01,729.7,120264.73109,729.7
2021-01-02 12:00:00,1609588800000,729.7,772.8,728.25,768.43,428448.45842,768.43
2021-01-02 16:00:00,1609603200000,768.45,787.69,764.5,784.79,334396.9924,784.79
2021-01-02 20:00:00,1609617600000,784.79,785.48,750.12,774.56,252385.66804,774.56
2021-01-03 00:00:00,1609632000000,774.44,781.59,770.59,772.37,114309.37983,772.37
2021-01-03 04:00:00,1609646400000,772.44,805.74,768.71,799.78,285411.98757,799.78
2021-01-03 08:00:00,1609660800000,799.74,832.3,791.5,829.76,334288.39418,829.76
2021-01-03 12:00:00,1609675200000,829.77,921.73,826.38,917.72,698095.22416,917.72
2021-01-03 16:00:00,1609689600000,917.95,978.0,888.93,921.53,805040.39911,921.53
2021-01-03 20:00:00,1609704000000,921.61,1011.07,920.08,978.28,576458.5013,978.28
2021-01-04 00:00:00,1609718400000,978.33,1025.81,954.22,1021.41,432623.86115,1021.41
2021-01-04 04:00:00,1609732800000,1021.41,1162.97,1012.0,1044.31,996550.05419,1044.31
2021-01-04 08:00:00,1609747200000,1044.3,1078.93,890.0,976.8,1176111.38746,976.8
2021-01-04 12:00:00,1609761600000,976.97,1058.16,956.12,1040.01,815345.81432,1040.01
2021-01-04 16:00:00,1609776000000,1040.0,1048.0,982.05,1042.28,540996.24594,1042.28
2021-01-04 20:00:00,1609790400000,1042.16,1049.7,992.7,1041.43,283383.57698,1041.43
2021-01-05 00:00:00,1609804800000,1041.45,1134.6,995.0,1001.76,753792.30594,1001.76
2021-01-05 04:00:00,1609819200000,1001.75,1030.81,974.45,1003.45,525071.48466,1003.45
2021-01-05 08:00:00,1609833600000,1003.52,1050.93,1003.51,1042.21,324534.17389,1042.21
2021-01-05 12:00:00,1609848000000,1042.23,1064.0,1001.0,1052.82,326089.03064,1052.82
2021-01-05 16:00:00,1609862400000,1052.83,1108.0,1036.29,1096.33,458535.68236,1096.33
2021-01-05 20:00:00,1609876800000,1096.36,1120.0,1074.44,1099.56,318972.99776,1099.56
2021-01-06 00:00:00,1609891200000,1100.16,1110.3,1057.26,1075.49,272291.19258,1075.49
2021-01-06 04:00:00,1609905600000,1075.49,1135.02,1073.03,1106.59,397722.28203,1106.59
2021-01-06 08:00:00,1609920000000,1106.61,1166.58,1091.0,1151.88,427002.85506,1151.88
2021-01-06 12:00:00,1609934400000,1151.88,1158.96,1121.0,1143.89,356213.35095,1143.89
2021-01-06 16:00:00,1609948800000,1144.01,1208.57,1144.01,1160.78,514560.21454,1160.78
2021-01-06 20:00:00,1609963200000,1160.78,1213.0,1116.61,1208.42,422346.69818,1208.42
2021-01-07 00:00:00,1609977600000,1208.75,1224.11,1179.91,1213.17,276767.00381,1213.17
2021-01-07 04:00:00,1609992000000,1213.17,1218.04,1181.09,1186.21,223588.06912,1186.21
2021-01-07 08:00:00,1610006400000,1186.39,1205.7,1159.03,1201.12,239241.20032,1201.12
2021-01-07 12:00:00,1610020800000,1201.32,1249.98,1197.64,1249.83,320851.12478,1249.83
2021-01-07 16:00:00,1610035200000,1249.84,1289.0,1131.0,1234.14,647222.06056,1234.14
2021-01-07 20:00:00,1610049600000,1234.23,1267.33,1201.45,1224.87,265253.362,1224.87
2021-01-08 00:00:00,1610064000000,1224.86,1233.0,1065.0,1150.1,457136.18423,1150.1
2021-01-08 04:00:00,1610078400000,1150.1,1214.27,1125.41,1208.42,317360.18426,1208.42
2021-01-08 08:00:00,1610092800000,1208.2,1270.24,1181.73,1255.43,340828.16003,1255.43
2021-01-08 12:00:00,1610107200000,1255.24,1273.75,1171.72,1216.77,412593.06251,1216.77
2021-01-08 16:00:00,1610121600000,1216.93,1242.18,1173.0,1184.75,287616.62425,1184.75
2021-01-08 20:00:00,1610136000000,1184.75,1229.69,1135.51,1216.93,315638.70813,1216.93
2021-01-09 00:00:00,1610150400000,1216.72,1234.67,1171.36,1226.53,256010.80317,1226.53
2021-01-09 04:00:00,1610164800000,1226.53,1227.49,1173.65,1196.49,195105.52631,1196.49
2021-01-09 08:00:00,1610179200000,1196.5,1237.0,1184.64,1220.64,216546.78765,1220.64
2021-01-09 12:00:00,1610193600000,1220.65,1235.5,1207.29,1219.95,182191.76916,1219.95
2021-01-09 16:00:00,1610208000000,1219.96,1235.69,1194.08,1229.42,193868.19879,1229.42
2021-01-09 20:00:00,1610222400000,1229.33,1304.37,1217.54,1276.0,405148.03006,1276.0
2021-01-10 00:00:00,1610236800000,1276.0,1340.98,1273.82,1310.97,318325.25142,1310.97
2021-01-10 04:00:00,1610251200000,1310.91,1345.69,1305.74,1344.7,185032.87094,1344.7
2021-01-10 08:00:00,1610265600000,1344.77,1348.33,1257.6,1259.28,340055.23108,1259.28
2021-01-10 12:00:00,1610280000000,1259.28,1323.71,1237.0,1303.18,308278.58018,1303.18
2021-01-10 16:00:00,1610294400000,1303.4,1325.0,1248.59,1263.17,362908.80802,1263.17
2021-01-10 20:00:00,1610308800000,1263.32,1287.51,1170.0,1254.25,436578.60839,1254.25
2021-01-11 00:00:00,1610323200000,1254.24,1260.0,1010.91,1104.14,631801.97474,1104.14
2021-01-11 04:00:00,1610337600000,1105.02,1133.87,1011.1,1071.84,720369.03247,1071.84
2021-01-11 08:00:00,1610352000000,1071.98,1149.99,1063.0,1067.87,503363.61135,1067.87
2021-01-11 12:00:00,1610366400000,1067.65,1103.12,950.0,977.21,869009.99081,977.21
2021-01-11 16:00:00,1610380800000,977.21,1024.0,915.0,984.41,883171.42096,984.41
2021-01-11 20:00:00,1610395200000,984.15,1094.0,958.0,1087.01,461068.62645,1087.01
2021-01-12 00:00:00,1610409600000,1087.0,1091.36,1038.34,1088.52,339890.45246,1088.52
2021-01-12 04:00:00,1610424000000,1088.72,1150.02,1076.25,1139.05,362239.29376,1139.05
2021-01-12 08:00:00,1610438400000,1139.25,1144.11,1065.95,1099.16,429916.10678,1099.16
2021-01-12 12:00:00,1610452800000,1099.15,1111.54,1006.33,1053.34,574695.8558,1053.34
2021-01-12 16:00:00,1610467200000,1053.54,1126.88,1052.79,1082.76,349691.07608,1082.76
2021-01-12 20:00:00,1610481600000,1082.76,1088.25,1025.0,1050.16,246212.55564,1050.16
2021-01-13 00:00:00,1610496000000,1050.36,1059.66,987.48,1046.72,401920.25192,1046.72
2021-01-13 04:00:00,1610510400000,1046.72,1080.75,1010.79,1076.35,228998.34353,1076.35
2021-01-13 08:00:00,1610524800000,1076.33,1096.64,1053.79,1061.6,275185.64194,1061.6
2021-01-13 12:00:00,1610539200000,1061.64,1084.0,1045.07,1071.5,203460.13647,1071.5
2021-01-13 16:00:00,1610553600000,1071.14,1109.78,1060.78,1102.08,217411.59435,1102.08
2021-01-13 20:00:00,1610568000000,1102.02,1137.65,1091.25,1129.89,237226.4226,1129.89
2021-01-14 00:00:00,1610582400000,1129.79,1147.97,1091.02,1096.39,232428.00407,1096.39
2021-01-14 04:00:00,1610596800000,1096.39,1162.57,1086.7,1148.0,244121.19684,1148.0
2021-01-14 08:00:00,1610611200000,1147.85,1174.73,1141.78,1166.59,239439.34481,1166.59
2021-01-14 12:00:00,1610625600000,1166.48,1220.63,1147.51,1212.8,330253.14759,1212.8
2021-01-14 16:00:00,1610640000000,1212.99,1247.55,1203.2,1231.53,279222.47659,1231.53
2021-01-14 20:00:00,1610654400000,1231.2,1235.84,1163.68,1231.62,230273.21566,1231.62
2021-01-15 00:00:00,1610668800000,1231.89,1256.98,1201.0,1219.07,261526.78997,1219.07
2021-01-15 04:00:00,1610683200000,1219.08,1242.99,1175.41,1240.97,278007.05622,1240.97
2021-01-15 08:00:00,1610697600000,1240.99,1247.88,1205.0,1226.12,208874.90779,1226.12
2021-01-15 12:00:00,1610712000000,1226.28,1230.64,1126.44,1141.52,433661.50301,1141.52
2021-01-15 16:00:00,1610726400000,1141.66,1175.34,1069.42,1133.74,570819.55179,1133.74
2021-01-15 20:00:00,1610740800000,1133.75,1175.08,1111.52,1168.53,191149.0286,1168.53
2021-01-16 00:00:00,1610755200000,1168.48,1198.1,1157.77,1179.34,200202.60126,1179.34
2021-01-16 04:00:00,1610769600000,1179.23,1189.76,1151.77,1182.9,164701.47717,1182.9
2021-01-16 08:00:00,1610784000000,1182.88,1225.52,1177.0,1219.0,254743.79593,1219.0
2021-01-16 12:00:00,1610798400000,1219.0,1278.0,1188.0,1276.27,382893.20169,1276.27
2021-01-16 16:00:00,1610812800000,1276.29,1298.0,1218.4,1252.59,317143.87898,1252.59
