,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,0.1255,0.1288,0.1227,0.1263,1626989.7,0.1263
2021-01-01 04:00:00,1609473600000,0.1266,0.129,0.1249,0.1276,1535057.75,0.1276
2021-01-01 08:00:00,1609488000000,0.1277,0.1281,0.1238,0.1263,1772354.27,0.1263
2021-01-01 12:00:00,1609502400000,0.1264,0.129,0.125,0.1273,2035029.21,0.1273
2021-01-01 16:00:00,1609516800000,0.1274,0.1307,0.1237,0.1264,3992702.27,0.1264
2021-01-01 20:00:00,1609531200000,0.1267,0.1295,0.1258,0.1295,707371.47,0.1295
2021-01-02 00:00:00,1609545600000,0.1295,0.1309,0.1252,0.1305,2420645.22,0.1305
2021-01-02 04:00:00,1609560000000,0.1307,0.1328,0.1295,0.1296,1564815.11,0.1296
2021-01-02 08:00:00,1609574400000,0.1296,0.1306,0.126,0.1274,1838090.33,0.1274
2021-01-02 12:00:00,1609588800000,0.1276,0.1301,0.1258,0.1279,1542837.74,0.1279
2021-01-02 16:00:00,1609603200000,0.1279,0.1279,0.1222,0.1245,3675088.48,0.1245
2021-01-02 20:00:00,1609617600000,0.1244,0.1244,0.1184,0.1235,2922560.86,0.1235
2021-01-03 00:00:00,1609632000000,0.1237,0.1242,0.1224,0.1229,805037.61,0.1229
2021-01-03 04:00:00,1609646400000,0.1227,0.1244,0.1218,0.1225,2364303.33,0.1225
2021-01-03 08:00:00,1609660800000,0.1225,0.1282,0.1217,0.1266,2148459.25,0.1266
2021-01-03 12:00:00,1609675200000,0.1269,0.1314,0.1265,0.1296,3345002.56,0.1296
2021-01-03 16:00:00,1609689600000,0.1298,0.1315,0.125,0.1268,2323424.46,0.1268
2021-01-03 20:00:00,1609704000000,0.1268,0.1339,0.1268,0.132,1755438.53,0.132
2021-01-04 00:00:00,1609718400000,0.1323,0.149,0.1318,0.1473,6075647.07,0.1473
2021-01-04 04:00:00,1609732800000,0.1473,0.1539,0.1355,0.1381,6591378.41,0.1381
2021-01-04 08:00:00,1609747200000,0.1381,0.1447,0.1245,0.134,7779762.03,0.134
2021-01-04 12:00:00,1609761600000,0.1339,0.1408,0.1316,0.1394,3032049.6,0.1394
2021-01-04 16:00:00,1609776000000,0.1396,0.141,0.1345,0.1398,2890949.11,0.1398
2021-01-04 20:00:00,1609790400000,0.1399,0.143,0.1352,0.1425,1827986.52,0.1425
2021-01-05 00:00:00,1609804800000,0.1426,0.1448,0.1326,0.1328,3583396.14,0.1328
2021-01-05 04:00:00,1609819200000,0.1329,0.1355,0.1299,0.1327,2237382.9,0.1327
2021-01-05 08:00:00,1609833600000,0.133,0.1426,0.133,0.1421,3533993.2,0.1421
2021-01-05 12:00:00,1609848000000,0.1426,0.1432,0.1356,0.1425,3244122.82,0.1425
2021-01-05 16:00:00,1609862400000,0.1427,0.1509,0.1401,0.1438,5154058.53,0.1438
2021-01-05 20:00:00,1609876800000,0.1433,0.1449,0.14,0.1422,1491863.48,0.1422
2021-01-06 00:00:00,1609891200000,0.1424,0.1451,0.1401,0.1421,1372890.99,0.1421
2021-01-06 04:00:00,1609905600000,0.1421,0.1458,0.1413,0.1452,2362260.85,0.1452
2021-01-06 08:00:00,1609920000000,0.1453,0.1565,0.1431,0.1534,5872608.2,0.1534
2021-01-06 12:00:00,1609934400000,0.1537,0.158,0.1483,0.152,6447283.96,0.152
2021-01-06 16:00:00,1609948800000,0.1522,0.1553,0.1442,0.1458,3255124.87,0.1458
2021-01-06 20:00:00,1609963200000,0.1458,0.1521,0.1403,0.1494,3934840.88,0.1494
2021-01-07 00:00:00,1609977600000,0.1494,0.1538,0.1486,0.1535,3127204.69,0.1535
2021-01-07 04:00:00,1609992000000,0.1537,0.1549,0.1496,0.1512,2406928.21,0.1512
2021-01-07 08:00:00,1610006400000,0.1516,0.1541,0.1473,0.1516,2987667.31,0.1516
2021-01-07 12:00:00,1610020800000,0.1516,0.1625,0.1505,0.1601,3909641.28,0.1601
2021-01-07 16:00:00,1610035200000,0.1602,0.161,0.1355,0.1465,7357325.88,0.1465
2021-01-07 20:00:00,1610049600000,0.1466,0.1487,0.14,0.1426,2829854.0,0.1426
2021-01-08 00:00:00,1610064000000,0.1428,0.1453,0.1264,0.1343,5101731.35,0.1343
2021-01-08 04:00:00,1610078400000,0.1342,0.1415,0.1294,0.1414,4718998.47,0.1414
2021-01-08 08:00:00,1610092800000,0.141,0.1475,0.1378,0.1442,2655562.65,0.1442
2021-01-08 12:00:00,1610107200000,0.1442,0.1499,0.138,0.1439,5712541.9,0.1439
2021-01-08 16:00:00,1610121600000,0.1438,0.1475,0.138,0.1389,3385977.92,0.1389
2021-01-08 20:00:00,1610136000000,0.1388,0.1466,0.1331,0.1466,4242207.47,0.1466
2021-01-09 00:00:00,1610150400000,0.1465,0.1545,0.1402,0.1525,3197490.13,0.1525
2021-01-09 04:00:00,1610164800000,0.1522,0.1522,0.1434,0.1483,2755846.35,0.1483
2021-01-09 08:00:00,1610179200000,0.1482,0.1529,0.1466,0.15,2158428.71,0.15
2021-01-09 12:00:00,1610193600000,0.1501,0.1548,0.1479,0.1517,2742249.37,0.1517
