,datetime,open,high,low,close,volume,adj_close
2021-07-30 12:00:00,1627646400000,18.31,35.61,18.31,22.86,3156323.5,22.86
2021-07-30 16:00:00,1627660800000,22.86,23.5,22.18,23.07,726925.32,23.07
2021-07-30 20:00:00,1627675200000,23.08,24.3,22.7,23.9,599795.09,23.9
2021-07-31 00:00:00,1627689600000,23.91,28.0,22.96,26.16,1342768.02,26.16
2021-07-31 04:00:00,1627704000000,26.15,27.12,25.62,25.77,756317.09,25.77
2021-07-31 08:00:00,1627718400000,25.78,26.16,24.03,24.5,476691.83,24.5
2021-07-31 12:00:00,1627732800000,24.5,24.83,23.42,23.5,310036.88,23.5
2021-07-31 16:00:00,1627747200000,23.5,24.04,22.93,23.63,246312.52,23.63
2021-07-31 20:00:00,1627761600000,23.62,24.73,23.21,24.36,340943.82,24.36
2021-08-01 00:00:00,1627776000000,24.37,24.42,21.93,22.3,312372.07,22.3
2021-08-01 04:00:00,1627790400000,22.3,22.83,22.26,22.53,169009.69,22.53
2021-08-01 08:00:00,1627804800000,22.53,22.6,21.64,21.89,161217.07,21.89
2021-08-01 12:00:00,1627819200000,21.89,22.67,21.76,22.43,132394.17,22.43
2021-08-01 16:00:00,1627833600000,22.43,23.87,22.24,22.48,233840.34,22.48
2021-08-01 20:00:00,1627848000000,22.46,22.5,21.07,21.09,133184.84,21.09
2021-08-02 00:00:00,1627862400000,21.13,22.7,20.75,21.73,306982.02,21.73
2021-08-02 04:00:00,1627876800000,21.73,22.01,21.42,21.55,106005.7,21.55
2021-08-02 08:00:00,1627891200000,21.54,21.98,21.13,21.72,127484.47,21.72
2021-08-02 12:00:00,1627905600000,21.71,21.8,21.34,21.68,96948.77,21.68
2021-08-02 16:00:00,1627920000000,21.67,21.79,21.4,21.51,70667.45,21.51
2021-08-02 20:00:00,1627934400000,21.51,22.33,21.26,22.15,146738.91,22.15
2021-08-03 00:00:00,1627948800000,22.15,22.4,21.03,21.18,87638.0,21.18
2021-08-03 04:00:00,1627963200000,21.19,21.27,20.53,21.04,95783.67,21.04
2021-08-03 08:00:00,1627977600000,21.02,21.05,20.75,20.81,37475.17,20.81
2021-08-03 12:00:00,1627992000000,20.81,21.12,20.5,20.77,63617.44,20.77
2021-08-03 16:00:00,1628006400000,20.77,20.87,20.6,20.6,33951.59,20.6
2021-08-03 20:00:00,1628020800000,20.61,20.98,20.5,20.84,57197.58,20.84
2021-08-04 00:00:00,1628035200000,20.84,21.05,20.53,20.62,65544.16,20.62
2021-08-04 04:00:00,1628049600000,20.62,20.76,20.27,20.66,72220.67,20.66
2021-08-04 08:00:00,1628064000000,20.6,21.82,20.33,21.23,145402.71,21.23
2021-08-04 12:00:00,1628078400000,21.23,22.29,21.08,22.16,128647.19,22.16
2021-08-04 16:00:00,1628092800000,22.16,22.39,21.78,21.95,157588.84,21.95
2021-08-04 20:00:00,1628107200000,21.95,22.48,21.76,22.3,92568.46,22.3
2021-08-05 00:00:00,1628121600000,22.32,22.46,21.53,21.64,70298.01,21.64
2021-08-05 04:00:00,1628136000000,21.64,21.86,21.4,21.45,60041.93,21.45
2021-08-05 08:00:00,1628150400000,21.45,21.63,20.91,21.2,118877.87,21.2
2021-08-05 12:00:00,1628164800000,21.19,23.5,20.94,22.29,218155.32,22.29
2021-08-05 16:00:00,1628179200000,22.26,22.65,22.21,22.33,115124.5,22.33
2021-08-05 20:00:00,1628193600000,22.35,22.5,22.18,22.32,54754.38,22.32
2021-08-06 00:00:00,1628208000000,22.28,22.35,21.56,21.56,61394.74,21.56
2021-08-06 04:00:00,1628222400000,21.58,22.38,21.51,21.98,51614.3,21.98
2021-08-06 08:00:00,1628236800000,21.98,22.31,21.79,21.99,56871.15,21.99
2021-08-06 12:00:00,1628251200000,21.97,22.18,21.7,22.17,79032.76,22.17
2021-08-06 16:00:00,1628265600000,22.11,22.64,22.09,22.27,62529.24,22.27
2021-08-06 20:00:00,1628280000000,22.26,22.51,22.03,22.42,38657.89,22.42
2021-08-07 00:00:00,1628294400000,22.45,22.57,21.92,22.21,47060.49,22.21
2021-08-07 04:00:00,1628308800000,22.22,22.43,22.12,22.25,32069.72,22.25
2021-08-07 08:00:00,1628323200000,22.25,23.37,22.18,22.85,133705.7,22.85
2021-08-07 12:00:00,1628337600000,22.83,22.94,22.0,22.32,79876.96,22.32
2021-08-07 16:00:00,1628352000000,22.34,22.58,21.92,22.51,61967.08,22.51
2021-08-07 20:00:00,1628366400000,22.53,22.85,22.22,22.67,33325.79,22.67
2021-08-08 00:00:00,1628380800000,22.66,23.4,22.0,22.61,155569.12,22.61
2021-08-08 04:00:00,1628395200000,22.61,22.87,22.3,22.54,44306.27,22.54
2021-08-08 08:00:00,1628409600000,22.51,22.57,22.05,22.14,35227.1,22.14
2021-08-08 12:00:00,1628424000000,22.13,22.36,21.55,21.7,52287.08,21.7
2021-08-08 16:00:00,1628438400000,21.72,21.87,21.19,21.36,40543.39,21.36
2021-08-08 20:00:00,1628452800000,21.33,21.76,21.28,21.46,17017.36,21.46
2021-08-09 00:00:00,1628467200000,21.46,21.84,20.57,21.09,121561.8,21.09
2021-08-09 04:00:00,1628481600000,21.09,21.24,20.9,21.22,50815.35,21.22
2021-08-09 08:00:00,1628496000000,21.24,22.07,21.2,22.07,97301.49,22.07
2021-08-09 12:00:00,1628510400000,22.05,22.32,21.74,22.2,97656.23,22.2
2021-08-09 16:00:00,1628524800000,22.2,22.36,22.01,22.04,47710.36,22.04
2021-08-09 20:00:00,1628539200000,22.04,22.21,21.7,22.19,59581.13,22.19
2021-08-10 00:00:00,1628553600000,22.19,22.3,21.68,21.79,50019.21,21.79
2021-08-10 04:00:00,1628568000000,21.79,21.91,21.66,21.88,30420.72,21.88
2021-08-10 08:00:00,1628582400000,21.91,24.11,21.8,23.52,245616.4,23.52
2021-08-10 12:00:00,1628596800000,23.52,23.8,22.73,22.86,171651.13,22.86
2021-08-10 16:00:00,1628611200000,22.86,22.99,22.23,22.89,111448.71,22.89
2021-08-10 20:00:00,1628625600000,22.89,23.52,22.74,23.09,101980.58,23.09
2021-08-11 00:00:00,1628640000000,23.16,26.69,22.97,25.04,329025.86,25.04
2021-08-11 04:00:00,1628654400000,25.01,25.8,24.56,25.2,147217.17,25.2
2021-08-11 08:00:00,1628668800000,25.2,25.32,23.88,24.07,138655.58,24.07
2021-08-11 12:00:00,1628683200000,24.06,24.47,23.71,24.07,91421.76,24.07
2021-08-11 16:00:00,1628697600000,24.08,24.6,23.94,24.6,51870.88,24.6
2021-08-11 20:00:00,1628712000000,24.57,24.75,23.54,23.8,53187.28,23.8
2021-08-12 00:00:00,1628726400000,23.78,24.0,23.09,23.68,80336.93,23.68
2021-08-12 04:00:00,1628740800000,23.72,23.79,22.38,23.01,89459.04,23.01
2021-08-12 08:00:00,1628755200000,23.05,23.6,22.56,22.65,81998.92,22.65
2021-08-12 12:00:00,1628769600000,22.64,23.2,22.02,22.19,62681.3,22.19
2021-08-12 16:00:00,1628784000000,22.18,22.86,22.0,22.54,37029.51,22.54
2021-08-12 20:00:00,1628798400000,22.54,22.62,21.9,22.56,33435.99,22.56
2021-08-13 00:00:00,1628812800000,22.56,24.0,22.4,23.12,61026.85,23.12
2021-08-13 04:00:00,1628827200000,23.09,23.61,22.9,23.48,32491.24,23.48
2021-08-13 08:00:00,1628841600000,23.48,23.73,23.22,23.24,45516.87,23.24
2021-08-13 12:00:00,1628856000000,23.21,23.55,22.82,23.04,50079.62,23.04
2021-08-13 16:00:00,1628870400000,23.03,23.29,22.88,23.25,17049.64,23.25
2021-08-13 20:00:00,1628884800000,23.24,23.77,23.19,23.67,47883.38,23.67
2021-08-14 00:00:00,1628899200000,23.65,23.65,23.08,23.17,39501.02,23.17
2021-08-14 04:00:00,1628913600000,23.18,23.56,23.1,23.39,33323.8,23.39
2021-08-14 08:00:00,1628928000000,23.39,23.91,22.5,22.96,114567.41,22.96
2021-08-14 12:00:00,1628942400000,22.92,23.82,22.59,23.09,80740.07,23.09
2021-08-14 16:00:00,1628956800000,23.08,23.21,22.87,23.07,40186.18,23.07
2021-08-14 20:00:00,1628971200000,23.05,23.38,22.74,23.31,30773.96,23.31
2021-08-15 00:00:00,1628985600000,23.32,23.39,22.75,22.84,29031.48,22.84
2021-08-15 04:00:00,1629000000000,22.84,22.97,22.13,22.27,46983.29,22.27
2021-08-15 08:00:00,1629014400000,22.26,22.65,22.17,22.55,43348.29,22.55
2021-08-15 12:00:00,1629028800000,22.53,22.7,22.23,22.51,44501.09,22.51
2021-08-15 16:00:00,1629043200000,22.52,22.79,22.16,22.71,65222.84,22.71
2021-08-15 20:00:00,1629057600000,22.72,23.06,22.68,23.06,42630.59,23.06
2021-08-16 00:00:00,1629072000000,23.05,23.45,22.9,22.9,69898.71,22.9
2021-08-16 04:00:00,1629086400000,22.9,23.4,22.89,23.31,51509.02,23.31
2021-08-16 08:00:00,1629100800000,23.32,23.74,23.05,23.47,67302.42,23.47
2021-08-16 12:00:00,1629115200000,23.49,23.56,22.65,23.16,68231.93,23.16
2021-08-16 16:00:00,1629129600000,23.17,23.27,22.9,22.9,17625.53,22.9
2021-08-16 20:00:00,1629144000000,22.89,22.94,22.48,22.78,23877.63,22.78
2021-08-17 00:00:00,1629158400000,22.81,23.04,22.08,22.74,105118.94,22.74
2021-08-17 04:00:00,1629172800000,22.78,22.91,22.22,22.42,50207.47,22.42
2021-08-17 08:00:00,1629187200000,22.42,24.56,22.42,24.39,190268.29,24.39
2021-08-17 12:00:00,1629201600000,24.36,25.11,23.2,23.25,169065.6,23.25
2021-08-17 16:00:00,1629216000000,23.25,23.74,22.87,23.02,37969.96,23.02
2021-08-17 20:00:00,1629230400000,23.0,23.09,21.86,22.22,49617.41,22.22
2021-08-18 00:00:00,1629244800000,22.23,22.56,21.12,21.81,81139.24,21.81
2021-08-18 04:00:00,1629259200000,21.81,23.5,21.69,22.33,99151.14,22.33
2021-08-18 08:00:00,1629273600000,22.36,24.0,21.93,22.12,127299.48,22.12
2021-08-18 12:00:00,1629288000000,22.13,22.78,22.05,22.77,53982.79,22.77
2021-08-18 16:00:00,1629302400000,22.76,22.85,22.32,22.49,18315.57,22.49
2021-08-18 20:00:00,1629316800000,22.49,22.63,21.98,22.36,20347.17,22.36
2021-08-19 00:00:00,1629331200000,22.37,22.47,21.59,21.67,36120.45,21.67
2021-08-19 04:00:00,1629345600000,21.66,22.06,21.53,21.87,36757.47,21.87
2021-08-19 08:00:00,1629360000000,21.91,22.02,21.35,21.39,48463.36,21.39
2021-08-19 12:00:00,1629374400000,21.36,22.04,21.25,22.04,22703.31,22.04
2021-08-19 16:00:00,1629388800000,22.03,22.44,21.71,22.31,24211.31,22.31
2021-08-19 20:00:00,1629403200000,22.3,23.02,22.19,22.83,36978.58,22.83
2021-08-20 00:00:00,1629417600000,22.87,22.98,22.43,22.47,32497.97,22.47
2021-08-20 04:00:00,1629432000000,22.47,22.71,22.28,22.45,22004.65,22.45
2021-08-20 08:00:00,1629446400000,22.45,23.3,22.34,22.86,40007.21,22.86
2021-08-20 12:00:00,1629460800000,22.84,23.5,22.84,23.24,85958.39,23.24
2021-08-20 16:00:00,1629475200000,23.25,23.5,22.88,23.13,38067.93,23.13
