,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,5.762,5.868,5.715,5.847,54700.168,5.847,sell
2021-01-01 04:00:00,1609473600000,5.848,5.859,5.768,5.788,15900.971,5.788,sell
2021-01-01 08:00:00,1609488000000,5.792,5.872,5.75,5.847,47212.666,5.847,sell
2021-01-01 12:00:00,1609502400000,5.855,5.906,5.791,5.826,47731.321,5.826,sell
2021-01-01 16:00:00,1609516800000,5.826,5.851,5.698,5.758,48651.551,5.758,sell
2021-01-01 20:00:00,1609531200000,5.748,5.817,5.722,5.806,23405.911,5.806,sell
2021-01-02 00:00:00,1609545600000,5.802,5.824,5.723,5.824,23004.448,5.824,sell
2021-01-02 04:00:00,1609560000000,5.827,5.874,5.799,5.861,20017.654,5.861,sell
2021-01-02 08:00:00,1609574400000,5.861,5.885,5.797,5.87,34861.625,5.87,sell
2021-01-02 12:00:00,1609588800000,5.868,10.841,5.868,6.194,269019.024,6.194,sell
2021-01-02 16:00:00,1609603200000,6.197,6.301,6.155,6.261,151989.032,6.261,sell
2021-01-02 20:00:00,1609617600000,6.267,6.267,5.851,6.2,96172.144,6.2,sell
2021-01-03 00:00:00,1609632000000,6.201,6.279,6.155,6.239,30041.61,6.239,sell
2021-01-03 04:00:00,1609646400000,6.241,6.613,6.212,6.548,67573.81,6.548,sell
2021-01-03 08:00:00,1609660800000,6.549,6.765,6.47,6.765,203208.514,6.765,sell
2021-01-03 12:00:00,1609675200000,6.766,7.003,6.2,6.943,177264.793,6.943,sell
2021-01-03 16:00:00,1609689600000,6.945,7.04,6.694,6.811,108390.351,6.811,sell
2021-01-03 20:00:00,1609704000000,6.811,7.014,6.809,6.945,95592.388,6.945,sell
2021-01-04 00:00:00,1609718400000,6.951,7.012,6.863,6.991,117600.812,6.991,sell
2021-01-04 04:00:00,1609732800000,6.99,7.605,6.946,7.125,110384.524,7.125,sell
2021-01-04 08:00:00,1609747200000,7.124,7.317,6.259,6.998,89760.061,6.998,sell
2021-01-04 12:00:00,1609761600000,6.979,7.434,6.901,7.39,48747.821,7.39,sell
2021-01-04 16:00:00,1609776000000,7.396,7.433,7.035,7.4,50101.909,7.4,sell
2021-01-04 20:00:00,1609790400000,7.4,7.636,7.194,7.535,59335.856,7.535,sell
2021-01-05 00:00:00,1609804800000,7.532,7.894,7.401,7.428,82572.29,7.428,sell
2021-01-05 04:00:00,1609819200000,7.422,7.564,7.065,7.286,48789.992,7.286,sell
2021-01-05 08:00:00,1609833600000,7.294,7.613,7.294,7.597,29321.549,7.597,sell
2021-01-05 12:00:00,1609848000000,7.601,7.951,7.584,7.938,56189.521,7.938,sell
2021-01-05 16:00:00,1609862400000,7.94,8.441,7.862,8.395,113778.934,8.395,sell
2021-01-05 20:00:00,1609876800000,8.395,8.727,8.271,8.656,90238.499,8.656,buy
2021-01-06 00:00:00,1609891200000,8.636,8.76,8.3,8.464,98443.601,8.464,buy
2021-01-06 04:00:00,1609905600000,8.47,8.842,8.466,8.729,47608.08,8.729,buy
2021-01-06 08:00:00,1609920000000,8.719,8.939,8.529,8.866,73395.719,8.866,buy
2021-01-06 12:00:00,1609934400000,8.873,8.894,8.655,8.748,55417.19,8.748,buy
2021-01-06 16:00:00,1609948800000,8.775,9.219,8.775,8.991,113764.421,8.991,buy
2021-01-06 20:00:00,1609963200000,8.957,9.404,8.744,9.383,64505.329,9.383,buy
2021-01-07 00:00:00,1609977600000,9.404,9.655,9.249,9.611,37136.06,9.611,buy
2021-01-07 04:00:00,1609992000000,9.615,9.7,9.37,9.414,78856.221,9.414,buy
2021-01-07 08:00:00,1610006400000,9.407,9.545,9.151,9.545,29780.55,9.545,buy
2021-01-07 12:00:00,1610020800000,9.545,9.841,9.5,9.837,63220.732,9.837,buy
2021-01-07 16:00:00,1610035200000,9.842,10.091,8.923,9.848,115853.37,9.848,buy
2021-01-07 20:00:00,1610049600000,9.813,9.866,9.412,9.571,56647.039,9.571,buy
2021-01-08 00:00:00,1610064000000,9.577,9.639,8.044,8.982,270733.841,8.982,buy
2021-01-08 04:00:00,1610078400000,8.959,9.249,8.738,9.232,48291.792,9.232,buy
