,datetime,open,high,low,close,volume,adj_close
2022-03-09 12:00:00,1646827200000,0.01,0.19,0.01,0.14399,1304195873.4,0.14399
2022-03-09 16:00:00,1646841600000,0.14384,0.1492,0.12617,0.13611,260409202.1,0.13611
2022-03-09 20:00:00,1646856000000,0.1361,0.14117,0.125,0.13262,106250711.5,0.13262
2022-03-10 00:00:00,1646870400000,0.13308,0.145,0.1292,0.1303,112061577.4,0.1303
2022-03-10 04:00:00,1646884800000,0.13026,0.139,0.12765,0.13344,91780018.2,0.13344
2022-03-10 08:00:00,1646899200000,0.13344,0.14375,0.1288,0.13748,114438599.4,0.13748
2022-03-10 12:00:00,1646913600000,0.13739,0.138,0.1118,0.1118,132739452.6,0.1118
2022-03-10 16:00:00,1646928000000,0.11219,0.119,0.11,0.1137,47177225.8,0.1137
2022-03-10 20:00:00,1646942400000,0.11382,0.11793,0.112,0.11677,17798976.6,0.11677
2022-03-11 00:00:00,1646956800000,0.11677,0.11765,0.10006,0.10439,41136195.7,0.10439
2022-03-11 04:00:00,1646971200000,0.10448,0.115,0.10052,0.11099,46192050.0,0.11099
2022-03-11 08:00:00,1646985600000,0.11098,0.11357,0.105,0.10974,33106783.6,0.10974
2022-03-11 12:00:00,1647000000000,0.10978,0.146,0.1078,0.14335,215997778.7,0.14335
2022-03-11 16:00:00,1647014400000,0.14313,0.1588,0.13256,0.13495,237414010.7,0.13495
2022-03-11 20:00:00,1647028800000,0.1346,0.166,0.13459,0.15958,121380327.7,0.15958
2022-03-12 00:00:00,1647043200000,0.16003,0.21,0.15562,0.18566,378670355.0,0.18566
2022-03-12 04:00:00,1647057600000,0.18593,0.2929,0.17633,0.28534,553417133.3,0.28534
2022-03-12 08:00:00,1647072000000,0.28562,0.308,0.23378,0.26299,631092396.3,0.26299
2022-03-12 12:00:00,1647086400000,0.26294,0.26299,0.2214,0.22556,282888548.3,0.22556
2022-03-12 16:00:00,1647100800000,0.22552,0.297,0.2242,0.26047,451157643.0,0.26047
2022-03-12 20:00:00,1647115200000,0.26047,0.31232,0.24695,0.28472,303399278.9,0.28472
2022-03-13 00:00:00,1647129600000,0.28499,0.296,0.25273,0.2719,236875556.2,0.2719
2022-03-13 04:00:00,1647144000000,0.27205,0.328,0.26259,0.28553,334667966.7,0.28553
2022-03-13 08:00:00,1647158400000,0.28555,0.322,0.27396,0.30585,293577895.7,0.30585
2022-03-13 12:00:00,1647172800000,0.30583,0.43699,0.29696,0.42749,773510172.2,0.42749
2022-03-13 16:00:00,1647187200000,0.42749,0.441,0.38705,0.43,349131111.6,0.43
2022-03-13 20:00:00,1647201600000,0.4303,0.4334,0.362,0.39885,216795780.0,0.39885
2022-03-14 00:00:00,1647216000000,0.39878,0.45,0.378,0.39797,265312402.0,0.39797
2022-03-14 04:00:00,1647230400000,0.39795,0.41011,0.34217,0.35988,233103938.9,0.35988
2022-03-14 08:00:00,1647244800000,0.35962,0.40798,0.343,0.38013,218895268.9,0.38013
2022-03-14 12:00:00,1647259200000,0.38,0.388,0.3475,0.35124,165136768.1,0.35124
2022-03-14 16:00:00,1647273600000,0.3512,0.363,0.34267,0.34801,62429441.8,0.34801
2022-03-14 20:00:00,1647288000000,0.34801,0.3657,0.348,0.35948,47769331.5,0.35948
2022-03-15 00:00:00,1647302400000,0.35944,0.35949,0.3052,0.3202,117649586.8,0.3202
2022-03-15 04:00:00,1647316800000,0.32013,0.34549,0.30775,0.3298,109366703.4,0.3298
2022-03-15 08:00:00,1647331200000,0.32971,0.3305,0.28343,0.28571,122218672.8,0.28571
2022-03-15 12:00:00,1647345600000,0.28541,0.30414,0.27791,0.30174,114677510.6,0.30174
2022-03-15 16:00:00,1647360000000,0.30172,0.4,0.30147,0.3405,330408413.6,0.3405
2022-03-15 20:00:00,1647374400000,0.34035,0.36588,0.31547,0.33128,101959498.9,0.33128
2022-03-16 00:00:00,1647388800000,0.33127,0.38,0.31712,0.35274,138363172.7,0.35274
2022-03-16 04:00:00,1647403200000,0.35255,0.481,0.35,0.46858,345678896.8,0.46858
2022-03-16 08:00:00,1647417600000,0.46858,0.5549,0.44199,0.50756,469698110.6,0.50756
2022-03-16 12:00:00,1647432000000,0.50753,0.56888,0.4921,0.50969,320305663.1,0.50969
2022-03-16 16:00:00,1647446400000,0.50991,0.545,0.47227,0.53764,213895661.0,0.53764
2022-03-16 20:00:00,1647460800000,0.5378,0.5555,0.506,0.55492,136480686.3,0.55492
2022-03-17 00:00:00,1647475200000,0.55493,0.71475,0.5385,0.6916,337653851.0,0.6916
2022-03-17 04:00:00,1647489600000,0.6916,0.72,0.62004,0.64099,200235052.3,0.64099
2022-03-17 08:00:00,1647504000000,0.64098,0.71,0.625,0.66316,230865774.6,0.66316
2022-03-17 12:00:00,1647518400000,0.66315,0.703,0.63333,0.67445,162084053.8,0.67445
2022-03-17 16:00:00,1647532800000,0.67453,0.77,0.65188,0.76379,272806531.5,0.76379
2022-03-17 20:00:00,1647547200000,0.76399,0.8448,0.73255,0.83862,180733009.8,0.83862
2022-03-18 00:00:00,1647561600000,0.83862,0.844,0.72012,0.73575,187979790.8,0.73575
2022-03-18 04:00:00,1647576000000,0.73605,0.76282,0.666,0.68258,175788927.6,0.68258
2022-03-18 08:00:00,1647590400000,0.68277,0.77,0.655,0.71512,206474346.6,0.71512
2022-03-18 12:00:00,1647604800000,0.71529,0.765,0.68657,0.73998,146727261.4,0.73998
2022-03-18 16:00:00,1647619200000,0.73995,0.78888,0.71093,0.7264,145399076.2,0.7264
2022-03-18 20:00:00,1647633600000,0.72641,0.74643,0.69256,0.69968,62921658.0,0.69968
2022-03-19 00:00:00,1647648000000,0.6995,0.735,0.67001,0.70695,73688147.8,0.70695
2022-03-19 04:00:00,1647662400000,0.70696,0.77551,0.70384,0.736,106625235.3,0.736
2022-03-19 08:00:00,1647676800000,0.736,0.75,0.71001,0.73592,64790763.7,0.73592
2022-03-19 12:00:00,1647691200000,0.73592,0.74,0.7075,0.71587,55192236.1,0.71587
2022-03-19 16:00:00,1647705600000,0.71587,0.7247,0.6505,0.65589,74398094.3,0.65589
2022-03-19 20:00:00,1647720000000,0.65595,0.69974,0.651,0.67196,59114281.8,0.67196
2022-03-20 00:00:00,1647734400000,0.67267,0.708,0.66536,0.68033,48858578.5,0.68033
2022-03-20 04:00:00,1647748800000,0.68052,0.68477,0.6231,0.635,60549468.1,0.635
2022-03-20 08:00:00,1647763200000,0.63394,0.64778,0.62101,0.62657,46871801.4,0.62657
2022-03-20 12:00:00,1647777600000,0.62633,0.62881,0.60517,0.6098,53650954.5,0.6098
2022-03-20 16:00:00,1647792000000,0.60979,0.62,0.58302,0.59075,61393075.1,0.59075
2022-03-20 20:00:00,1647806400000,0.59047,0.59685,0.575,0.57803,34585479.6,0.57803
2022-03-21 00:00:00,1647820800000,0.57805,0.67,0.57563,0.65301,150448663.6,0.65301
2022-03-21 04:00:00,1647835200000,0.65301,0.7999,0.64731,0.75099,203101473.5,0.75099
2022-03-21 08:00:00,1647849600000,0.75078,0.81111,0.72012,0.79099,219372147.3,0.79099
2022-03-21 12:00:00,1647864000000,0.79099,0.832,0.75506,0.7757,209578013.1,0.7757
2022-03-21 16:00:00,1647878400000,0.77606,0.79768,0.72419,0.74491,84775698.8,0.74491
2022-03-21 20:00:00,1647892800000,0.74507,0.80915,0.72764,0.79799,90954504.1,0.79799
2022-03-22 00:00:00,1647907200000,0.79795,0.89499,0.79501,0.81724,224573830.2,0.81724
2022-03-22 04:00:00,1647921600000,0.8176,0.82299,0.76566,0.78449,130217633.6,0.78449
2022-03-22 08:00:00,1647936000000,0.78433,0.82798,0.77,0.7988,98265959.1,0.7988
2022-03-22 12:00:00,1647950400000,0.79881,0.807,0.75629,0.77231,107420944.5,0.77231
2022-03-22 16:00:00,1647964800000,0.77233,0.789,0.75527,0.77723,56832599.1,0.77723
2022-03-22 20:00:00,1647979200000,0.77727,0.81517,0.77098,0.80704,66699231.2,0.80704
2022-03-23 00:00:00,1647993600000,0.80665,0.82237,0.75721,0.7682,58720986.3,0.7682
2022-03-23 04:00:00,1648008000000,0.76822,0.7725,0.73355,0.75763,58338473.9,0.75763
2022-03-23 08:00:00,1648022400000,0.75758,0.76497,0.7454,0.75399,33956772.4,0.75399
2022-03-23 12:00:00,1648036800000,0.75399,0.768,0.74772,0.7605,35491735.1,0.7605
2022-03-23 16:00:00,1648051200000,0.7605,0.802,0.75016,0.77012,74092249.7,0.77012
2022-03-23 20:00:00,1648065600000,0.7698,0.777,0.75595,0.76876,23789150.9,0.76876
2022-03-24 00:00:00,1648080000000,0.76876,0.771,0.733,0.74714,32787106.6,0.74714
2022-03-24 04:00:00,1648094400000,0.74714,0.78571,0.74,0.7809,29137307.7,0.7809
2022-03-24 08:00:00,1648108800000,0.7809,0.79,0.75001,0.75553,37861348.4,0.75553
2022-03-24 12:00:00,1648123200000,0.75561,0.76749,0.745,0.76327,29618047.7,0.76327
2022-03-24 16:00:00,1648137600000,0.76305,0.77113,0.74638,0.74882,25796703.4,0.74882
2022-03-24 20:00:00,1648152000000,0.74903,0.75873,0.69361,0.70093,34172820.8,0.70093
2022-03-25 00:00:00,1648166400000,0.70076,0.72047,0.67358,0.68895,67038631.1,0.68895
2022-03-25 04:00:00,1648180800000,0.68869,0.72722,0.68536,0.70368,58286895.4,0.70368
2022-03-25 08:00:00,1648195200000,0.70366,0.73627,0.68741,0.72969,46861634.2,0.72969
2022-03-25 12:00:00,1648209600000,0.72982,0.79999,0.71758,0.76441,137430363.0,0.76441
2022-03-25 16:00:00,1648224000000,0.76449,0.7772,0.74319,0.76941,46316435.5,0.76941
2022-03-25 20:00:00,1648238400000,0.76947,0.79523,0.753,0.78087,57111028.9,0.78087
2022-03-26 00:00:00,1648252800000,0.78087,0.838,0.76684,0.81169,130922088.6,0.81169
2022-03-26 04:00:00,1648267200000,0.81187,0.81775,0.78145,0.79564,52216336.9,0.79564
2022-03-26 08:00:00,1648281600000,0.79555,0.8011,0.7621,0.76311,47036154.7,0.76311
2022-03-26 12:00:00,1648296000000,0.76315,0.78135,0.755,0.77249,46011620.0,0.77249
2022-03-26 16:00:00,1648310400000,0.7727,0.77415,0.75763,0.76163,26363751.2,0.76163
2022-03-26 20:00:00,1648324800000,0.76124,0.77001,0.75029,0.76419,21465207.6,0.76419
2022-03-27 00:00:00,1648339200000,0.76415,0.77745,0.754,0.76636,25899471.6,0.76636
2022-03-27 04:00:00,1648353600000,0.76638,0.77899,0.76116,0.77222,18509287.0,0.77222
2022-03-27 08:00:00,1648368000000,0.77222,0.79397,0.76657,0.77329,34814497.4,0.77329
2022-03-27 12:00:00,1648382400000,0.77304,0.7784,0.73803,0.75436,41075897.3,0.75436
2022-03-27 16:00:00,1648396800000,0.75457,0.7623,0.751,0.75276,12939590.1,0.75276
2022-03-27 20:00:00,1648411200000,0.75252,0.77701,0.74512,0.77113,23427676.2,0.77113
2022-03-28 00:00:00,1648425600000,0.77115,0.7937,0.76494,0.78148,44868618.9,0.78148
2022-03-28 04:00:00,1648440000000,0.78148,0.92397,0.77045,0.90845,179657614.3,0.90845
2022-03-28 08:00:00,1648454400000,0.90821,1.055,0.90214,1.01942,299908814.8,1.01942
2022-03-28 12:00:00,1648468800000,1.01926,1.06666,0.98201,1.03117,168330430.4,1.03117
2022-03-28 16:00:00,1648483200000,1.03128,1.0914,1.02,1.07299,158509582.9,1.07299
2022-03-28 20:00:00,1648497600000,1.07299,1.15,1.00859,1.13152,115177378.5,1.13152
2022-03-29 00:00:00,1648512000000,1.13152,1.175,1.057,1.0588,132998951.1,1.0588
2022-03-29 04:00:00,1648526400000,1.05887,1.08499,1.03146,1.05429,64472870.7,1.05429
2022-03-29 08:00:00,1648540800000,1.05435,1.175,1.04886,1.15924,156262577.8,1.15924
2022-03-29 12:00:00,1648555200000,1.15947,1.22737,1.12501,1.21076,189245689.2,1.21076
2022-03-29 16:00:00,1648569600000,1.21153,1.522,1.18007,1.4622,382403907.2,1.4622
2022-03-29 20:00:00,1648584000000,1.46159,1.87321,1.45502,1.6822,428763498.5,1.6822
2022-03-30 00:00:00,1648598400000,1.68221,1.8,1.61461,1.77021,164899767.7,1.77021
2022-03-30 04:00:00,1648612800000,1.77013,2.23939,1.739,2.02033,385866623.4,2.02033
2022-03-30 08:00:00,1648627200000,2.02025,2.099,1.88182,2.06191,219989402.3,2.06191
2022-03-30 12:00:00,1648641600000,2.06234,2.33892,1.94659,2.05898,240313175.1,2.05898
2022-03-30 16:00:00,1648656000000,2.05988,2.14842,1.93735,2.02343,139647333.8,2.02343
2022-03-30 20:00:00,1648670400000,2.02342,2.14,1.94107,2.035,78825340.0,2.035
2022-03-31 00:00:00,1648684800000,2.03566,2.0887,1.83586,1.87406,100583762.2,1.87406
2022-03-31 04:00:00,1648699200000,1.87407,1.94447,1.78333,1.89408,106529030.3,1.89408
2022-03-31 08:00:00,1648713600000,1.89311,2.36869,1.87304,2.35364,203360214.7,2.35364
2022-03-31 12:00:00,1648728000000,2.35357,2.48342,2.17454,2.37283,367301081.9,2.37283
2022-03-31 16:00:00,1648742400000,2.37283,2.41,2.234,2.36141,113981677.1,2.36141
2022-03-31 20:00:00,1648756800000,2.36117,2.645,2.3348,2.49176,162487958.5,2.49176
2022-04-01 00:00:00,1648771200000,2.49176,2.63068,2.38,2.5741,124298559.4,2.5741
2022-04-01 04:00:00,1648785600000,2.57357,3.031,2.56844,2.91511,219153660.3,2.91511
2022-04-01 08:00:00,1648800000000,2.915,3.13108,2.8232,2.86772,197469746.1,2.86772
2022-04-01 12:00:00,1648814400000,2.86724,2.9989,2.75,2.93623,125494777.0,2.93623
2022-04-01 16:00:00,1648828800000,2.93624,2.99,2.84452,2.94876,76178578.4,2.94876
2022-04-01 20:00:00,1648843200000,2.94872,3.07179,2.63266,2.69002,113601816.2,2.69002
2022-04-02 00:00:00,1648857600000,2.69003,2.897,2.52501,2.85242,117870430.7,2.85242
2022-04-02 04:00:00,1648872000000,2.85276,2.89459,2.63137,2.64317,53356079.9,2.64317
2022-04-02 08:00:00,1648886400000,2.64317,2.8,2.58435,2.66066,68722615.9,2.66066
2022-04-02 12:00:00,1648900800000,2.66047,2.76,2.40008,2.45923,84661613.0,2.45923
2022-04-02 16:00:00,1648915200000,2.45847,2.53096,2.41666,2.44016,60353632.6,2.44016
2022-04-02 20:00:00,1648929600000,2.44025,2.56391,2.26666,2.31381,73299736.8,2.31381
2022-04-03 00:00:00,1648944000000,2.3138,2.44938,2.26,2.42087,73167222.2,2.42087
2022-04-03 04:00:00,1648958400000,2.42039,2.67343,2.36306,2.63014,94690472.5,2.63014
2022-04-03 08:00:00,1648972800000,2.63014,2.75,2.60461,2.64976,83995411.5,2.64976
2022-04-03 12:00:00,1648987200000,2.64903,2.71,2.4,2.49575,86055204.7,2.49575
2022-04-03 16:00:00,1649001600000,2.49577,2.4979,2.33267,2.37533,51517192.7,2.37533
2022-04-03 20:00:00,1649016000000,2.37524,2.48313,2.24458,2.45379,67116792.4,2.45379
2022-04-04 00:00:00,1649030400000,2.45384,2.55852,2.33311,2.34889,65764697.9,2.34889
2022-04-04 04:00:00,1649044800000,2.34941,2.475,2.33,2.3616,42405756.9,2.3616
2022-04-04 08:00:00,1649059200000,2.3616,2.39142,2.29002,2.33837,41418553.5,2.33837
2022-04-04 12:00:00,1649073600000,2.33861,2.36982,2.2337,2.26291,52667295.5,2.26291
2022-04-04 16:00:00,1649088000000,2.26291,2.28558,2.05322,2.15311,93558190.1,2.15311
2022-04-04 20:00:00,1649102400000,2.15311,2.22076,2.08458,2.16605,47198655.9,2.16605
2022-04-05 00:00:00,1649116800000,2.16605,2.3014,2.10031,2.24474,53986546.2,2.24474
2022-04-05 04:00:00,1649131200000,2.24505,2.32422,2.21118,2.24323,43698129.8,2.24323
2022-04-05 08:00:00,1649145600000,2.24362,2.25396,2.12456,2.16906,40773494.6,2.16906
2022-04-05 12:00:00,1649160000000,2.1693,2.32,2.12436,2.25874,100262004.1,2.25874
2022-04-05 16:00:00,1649174400000,2.25771,2.3,2.15554,2.21413,56983860.8,2.21413
2022-04-05 20:00:00,1649188800000,2.2148,2.225,2.089,2.1314,37884754.6,2.1314
2022-04-06 00:00:00,1649203200000,2.1313,2.5059,2.11727,2.38674,147823657.5,2.38674
2022-04-06 04:00:00,1649217600000,2.38673,2.5362,2.37299,2.46895,70584608.7,2.46895
2022-04-06 08:00:00,1649232000000,2.46825,2.70547,2.45024,2.65416,145589847.6,2.65416
2022-04-06 12:00:00,1649246400000,2.65416,2.6893,2.38536,2.43727,128419800.0,2.43727
2022-04-06 16:00:00,1649260800000,2.43727,2.4484,2.15666,2.27493,122566981.4,2.27493
2022-04-06 20:00:00,1649275200000,2.27523,2.35096,2.20352,2.32943,51307018.4,2.32943
2022-04-07 00:00:00,1649289600000,2.32942,2.37372,2.15698,2.27862,65668912.4,2.27862
2022-04-07 04:00:00,1649304000000,2.27861,2.31,2.20643,2.28113,31595239.6,2.28113
2022-04-07 08:00:00,1649318400000,2.28123,2.296,2.2,2.25118,35265295.3,2.25118
2022-04-07 12:00:00,1649332800000,2.25102,2.26863,2.00845,2.05754,71132878.8,2.05754
2022-04-07 16:00:00,1649347200000,2.05753,2.13,2.01999,2.07255,49412889.6,2.07255
2022-04-07 20:00:00,1649361600000,2.07254,2.22,2.06325,2.18924,32665575.3,2.18924
2022-04-08 00:00:00,1649376000000,2.18924,2.3927,2.13601,2.38654,62193886.6,2.38654
2022-04-08 04:00:00,1649390400000,2.38702,2.44161,2.172,2.21742,83341186.0,2.21742
2022-04-08 08:00:00,1649404800000,2.21732,2.235,2.11021,2.13698,44282316.0,2.13698
2022-04-08 12:00:00,1649419200000,2.13697,2.21108,2.09148,2.19094,63180765.2,2.19094
