,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,0.35046,0.37905,0.34505,0.36629,33496440.5,0.36629
2021-01-01 04:00:00,1609473600000,0.36645,0.37069,0.35554,0.35601,9898239.9,0.35601
2021-01-01 08:00:00,1609488000000,0.35601,0.36783,0.34962,0.36438,11514228.1,0.36438
2021-01-01 12:00:00,1609502400000,0.36438,0.37857,0.35681,0.36277,23020721.9,0.36277
2021-01-01 16:00:00,1609516800000,0.36291,0.37668,0.34654,0.36069,19398351.5,0.36069
2021-01-01 20:00:00,1609531200000,0.36032,0.3654,0.35333,0.36169,9218528.7,0.36169
2021-01-02 00:00:00,1609545600000,0.36195,0.36195,0.34924,0.35563,7625433.5,0.35563
2021-01-02 04:00:00,1609560000000,0.35569,0.35773,0.351,0.3516,4083306.5,0.3516
2021-01-02 08:00:00,1609574400000,0.3516,0.35895,0.35128,0.35425,5174620.5,0.35425
2021-01-02 12:00:00,1609588800000,0.35402,0.35793,0.33,0.34045,20161154.3,0.34045
2021-01-02 16:00:00,1609603200000,0.34045,0.34653,0.323,0.32808,25882450.8,0.32808
2021-01-02 20:00:00,1609617600000,0.32808,0.33457,0.30265,0.32751,21893948.1,0.32751
2021-01-03 00:00:00,1609632000000,0.32691,0.33,0.31394,0.322,10111883.6,0.322
2021-01-03 04:00:00,1609646400000,0.32257,0.3246,0.29207,0.30103,20906209.7,0.30103
2021-01-03 08:00:00,1609660800000,0.30103,0.3255,0.28111,0.3248,28004157.6,0.3248
2021-01-03 12:00:00,1609675200000,0.32476,0.33734,0.3,0.31106,49280928.9,0.31106
2021-01-03 16:00:00,1609689600000,0.31106,0.31293,0.29999,0.3089,20128255.1,0.3089
2021-01-03 20:00:00,1609704000000,0.30898,0.31881,0.295,0.29857,24992229.5,0.29857
2021-01-04 00:00:00,1609718400000,0.29884,0.35,0.29058,0.3291,49827309.7,0.3291
2021-01-04 04:00:00,1609732800000,0.32956,0.34687,0.30588,0.31618,32602650.2,0.31618
2021-01-04 08:00:00,1609747200000,0.31697,0.32469,0.29001,0.30218,19443085.6,0.30218
2021-01-04 12:00:00,1609761600000,0.3022,0.31683,0.29955,0.3075,16725465.2,0.3075
2021-01-04 16:00:00,1609776000000,0.30749,0.30875,0.2965,0.30241,10885995.6,0.30241
2021-01-04 20:00:00,1609790400000,0.30234,0.30999,0.29435,0.30888,12176719.6,0.30888
2021-01-05 00:00:00,1609804800000,0.30888,0.32,0.29041,0.29383,17821037.4,0.29383
2021-01-05 04:00:00,1609819200000,0.29383,0.29688,0.28511,0.29123,12706237.0,0.29123
2021-01-05 08:00:00,1609833600000,0.2912,0.31595,0.29008,0.31049,12394401.7,0.31049
2021-01-05 12:00:00,1609848000000,0.31049,0.31067,0.29819,0.31045,11179303.3,0.31045
2021-01-05 16:00:00,1609862400000,0.3105,0.349,0.30593,0.31981,57338656.3,0.31981
2021-01-05 20:00:00,1609876800000,0.31982,0.34099,0.30734,0.33823,27624672.2,0.33823
2021-01-06 00:00:00,1609891200000,0.33783,0.34428,0.315,0.33525,23032770.0,0.33525
2021-01-06 04:00:00,1609905600000,0.33525,0.39047,0.32349,0.357,57016162.1,0.357
2021-01-06 08:00:00,1609920000000,0.357,0.39685,0.345,0.37707,46149585.8,0.37707
2021-01-06 12:00:00,1609934400000,0.377,0.3838,0.35164,0.36399,33959815.6,0.36399
2021-01-06 16:00:00,1609948800000,0.36413,0.37647,0.353,0.3577,29989028.1,0.3577
2021-01-06 20:00:00,1609963200000,0.35814,0.3764,0.34254,0.36991,28207677.6,0.36991
2021-01-07 00:00:00,1609977600000,0.36979,0.372,0.35026,0.3536,20744039.7,0.3536
2021-01-07 04:00:00,1609992000000,0.3535,0.36653,0.34928,0.357,19127332.9,0.357
2021-01-07 08:00:00,1610006400000,0.35668,0.42,0.355,0.40207,58193167.4,0.40207
2021-01-07 12:00:00,1610020800000,0.40207,0.40352,0.37739,0.38099,31251858.0,0.38099
2021-01-07 16:00:00,1610035200000,0.381,0.39,0.31686,0.35603,44566238.6,0.35603
