,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,0.03183,0.03292,0.03151,0.03222,13130916.2,0.03222,sell
2021-01-01 04:00:00,1609473600000,0.03222,0.03375,0.03197,0.03314,9316869.1,0.03314,sell
2021-01-01 08:00:00,1609488000000,0.03315,0.03323,0.03196,0.03249,5941728.5,0.03249,sell
2021-01-01 12:00:00,1609502400000,0.03249,0.03354,0.0324,0.03298,6527882.4,0.03298,sell
2021-01-01 16:00:00,1609516800000,0.03297,0.03343,0.032,0.03219,8408508.4,0.03219,sell
2021-01-01 20:00:00,1609531200000,0.0322,0.033,0.032,0.03298,3699431.0,0.03298,sell
2021-01-02 00:00:00,1609545600000,0.03298,0.033,0.03201,0.03282,2336758.8,0.03282,sell
2021-01-02 04:00:00,1609560000000,0.03284,0.03318,0.03274,0.03292,1086274.4,0.03292,sell
2021-01-02 08:00:00,1609574400000,0.03287,0.03293,0.03203,0.03261,3275255.3,0.03261,sell
2021-01-02 12:00:00,1609588800000,0.0326,0.0335,0.03205,0.0325,9329177.6,0.0325,sell
2021-01-02 16:00:00,1609603200000,0.03252,0.03358,0.03196,0.03339,10247965.4,0.03339,sell
2021-01-02 20:00:00,1609617600000,0.03339,0.03535,0.03241,0.03335,18837401.9,0.03335,sell
2021-01-03 00:00:00,1609632000000,0.03335,0.03335,0.03225,0.03236,3508733.0,0.03236,sell
2021-01-03 04:00:00,1609646400000,0.03242,0.03289,0.03153,0.0317,5999679.2,0.0317,sell
2021-01-03 08:00:00,1609660800000,0.03169,0.03279,0.03157,0.03237,6698895.8,0.03237,sell
2021-01-03 12:00:00,1609675200000,0.03234,0.03385,0.03201,0.03281,16569351.2,0.03281,sell
2021-01-03 16:00:00,1609689600000,0.03274,0.03377,0.03268,0.03305,8340305.0,0.03305,sell
2021-01-03 20:00:00,1609704000000,0.03304,0.03399,0.03281,0.03305,10756133.9,0.03305,sell
2021-01-04 00:00:00,1609718400000,0.03309,0.03355,0.03274,0.03353,8567599.0,0.03353,sell
2021-01-04 04:00:00,1609732800000,0.03354,0.03605,0.03187,0.03215,24459368.0,0.03215,sell
2021-01-04 08:00:00,1609747200000,0.03231,0.03307,0.02965,0.03126,19152367.4,0.03126,sell
2021-01-04 12:00:00,1609761600000,0.03126,0.0324,0.031,0.03176,9043406.7,0.03176,sell
2021-01-04 16:00:00,1609776000000,0.03178,0.03248,0.03029,0.03236,13188199.1,0.03236,sell
2021-01-04 20:00:00,1609790400000,0.03232,0.03259,0.032,0.03245,5380329.7,0.03245,sell
2021-01-05 00:00:00,1609804800000,0.03243,0.0355,0.03235,0.0333,34584517.3,0.0333,sell
2021-01-05 04:00:00,1609819200000,0.03327,0.03999,0.03315,0.03754,77433962.4,0.03754,sell
2021-01-05 08:00:00,1609833600000,0.03741,0.03849,0.03558,0.03806,54561641.4,0.03806,sell
2021-01-05 12:00:00,1609848000000,0.03809,0.03859,0.03546,0.03584,34299851.0,0.03584,sell
2021-01-05 16:00:00,1609862400000,0.03589,0.03657,0.03542,0.03603,21497456.5,0.03603,sell
2021-01-05 20:00:00,1609876800000,0.03602,0.03798,0.03552,0.03754,17465215.2,0.03754,buy
2021-01-06 00:00:00,1609891200000,0.03743,0.03952,0.0361,0.03768,40278192.4,0.03768,buy
2021-01-06 04:00:00,1609905600000,0.03768,0.0381,0.03543,0.03586,38116880.1,0.03586,buy
2021-01-06 08:00:00,1609920000000,0.03576,0.03672,0.035,0.03611,29811212.7,0.03611,buy
2021-01-06 12:00:00,1609934400000,0.03615,0.03979,0.03551,0.03801,48610455.3,0.03801,buy
2021-01-06 16:00:00,1609948800000,0.038,0.03889,0.03607,0.03699,32013980.8,0.03699,buy
2021-01-06 20:00:00,1609963200000,0.03704,0.03877,0.03614,0.03834,19596254.8,0.03834,buy
2021-01-07 00:00:00,1609977600000,0.03824,0.04,0.03755,0.03926,29985167.1,0.03926,buy
2021-01-07 04:00:00,1609992000000,0.03938,0.04,0.03791,0.03873,21098222.2,0.03873,buy
2021-01-07 08:00:00,1610006400000,0.03881,0.04062,0.03677,0.03882,29075717.9,0.03882,buy
2021-01-07 12:00:00,1610020800000,0.0388,0.04198,0.03825,0.0397,33389892.2,0.0397,buy
2021-01-07 16:00:00,1610035200000,0.03969,0.04193,0.0368,0.03989,38915959.0,0.03989,buy
2021-01-07 20:00:00,1610049600000,0.03986,0.04137,0.0372,0.03824,25536503.3,0.03824,buy
2021-01-08 00:00:00,1610064000000,0.03832,0.045,0.03781,0.03984,58602294.7,0.03984,buy
2021-01-08 04:00:00,1610078400000,0.03983,0.04252,0.03892,0.04215,20276406.5,0.04215,buy
2021-01-08 08:00:00,1610092800000,0.04213,0.06741,0.041,0.05609,459939840.9,0.05609,buy
2021-01-08 12:00:00,1610107200000,0.05609,0.062,0.05142,0.05682,210843438.5,0.05682,buy
2021-01-08 16:00:00,1610121600000,0.05687,0.06567,0.05502,0.0578,218007471.3,0.0578,buy
2021-01-08 20:00:00,1610136000000,0.05783,0.064,0.05271,0.06091,119857763.1,0.06091,buy
2021-01-09 00:00:00,1610150400000,0.0612,0.0622,0.051,0.05261,92746659.8,0.05261,buy
2021-01-09 04:00:00,1610164800000,0.05262,0.0531,0.04875,0.05068,60493301.2,0.05068,buy
2021-01-09 08:00:00,1610179200000,0.05071,0.05196,0.04865,0.04954,56463918.2,0.04954,buy
2021-01-09 12:00:00,1610193600000,0.04961,0.05168,0.04872,0.05009,44123068.5,0.05009,buy
2021-01-09 16:00:00,1610208000000,0.05009,0.05166,0.04835,0.05166,38341130.8,0.05166,buy
2021-01-09 20:00:00,1610222400000,0.05141,0.05164,0.04945,0.05074,24088095.9,0.05074,buy
2021-01-10 00:00:00,1610236800000,0.05075,0.053,0.05,0.05052,34375198.2,0.05052,buy
2021-01-10 04:00:00,1610251200000,0.05061,0.05242,0.0504,0.05169,14960556.1,0.05169,buy
2021-01-10 08:00:00,1610265600000,0.05169,0.05207,0.04537,0.04605,44526660.7,0.04605,buy
2021-01-10 12:00:00,1610280000000,0.04602,0.04837,0.04521,0.04781,21618160.8,0.04781,buy
2021-01-10 16:00:00,1610294400000,0.04774,0.048,0.04539,0.04564,19866010.0,0.04564,buy
2021-01-10 20:00:00,1610308800000,0.0457,0.04964,0.04277,0.04941,45431484.0,0.04941,buy
2021-01-11 00:00:00,1610323200000,0.04892,0.04963,0.03988,0.04144,33120688.3,0.04144,sell
