,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,1.291,1.331,1.285,1.329,15770.27,1.329
2021-01-01 04:00:00,1609473600000,1.329,1.435,1.327,1.417,116833.2,1.417
2021-01-01 08:00:00,1609488000000,1.414,1.419,1.384,1.414,73905.827,1.414
2021-01-01 12:00:00,1609502400000,1.419,1.42,1.366,1.381,68596.442,1.381
2021-01-01 16:00:00,1609516800000,1.39,1.4,1.307,1.351,69705.347,1.351
2021-01-01 20:00:00,1609531200000,1.344,1.376,1.339,1.359,19981.919,1.359
2021-01-02 00:00:00,1609545600000,1.355,1.356,1.298,1.333,26598.293,1.333
2021-01-02 04:00:00,1609560000000,1.336,1.397,1.328,1.375,74794.362,1.375
2021-01-02 08:00:00,1609574400000,1.374,1.379,1.301,1.328,54232.935,1.328
2021-01-02 12:00:00,1609588800000,1.331,1.358,1.312,1.338,36931.491,1.338
2021-01-02 16:00:00,1609603200000,1.342,1.351,1.32,1.324,58147.075,1.324
2021-01-02 20:00:00,1609617600000,1.324,1.327,1.26,1.292,72345.972,1.292
2021-01-03 00:00:00,1609632000000,1.292,1.308,1.277,1.308,41624.35,1.308
2021-01-03 04:00:00,1609646400000,1.306,1.314,1.258,1.274,59679.995,1.274
2021-01-03 08:00:00,1609660800000,1.277,1.302,1.22,1.277,78608.993,1.277
2021-01-03 12:00:00,1609675200000,1.282,1.359,1.271,1.319,66200.821,1.319
2021-01-03 16:00:00,1609689600000,1.322,1.347,1.277,1.304,112170.881,1.304
2021-01-03 20:00:00,1609704000000,1.306,1.333,1.294,1.311,30014.018,1.311
2021-01-04 00:00:00,1609718400000,1.311,1.418,1.291,1.415,104228.377,1.415
2021-01-04 04:00:00,1609732800000,1.41,1.455,1.304,1.342,95569.615,1.342
2021-01-04 08:00:00,1609747200000,1.357,1.419,1.274,1.331,115873.736,1.331
2021-01-04 12:00:00,1609761600000,1.337,1.369,1.312,1.361,45323.744,1.361
2021-01-04 16:00:00,1609776000000,1.364,1.365,1.316,1.346,43904.644,1.346
2021-01-04 20:00:00,1609790400000,1.346,1.366,1.313,1.363,24710.549,1.363
2021-01-05 00:00:00,1609804800000,1.363,1.428,1.329,1.331,109412.567,1.331
