,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,0.467,0.4738,0.4573,0.469,885283.49,0.469
2021-01-01 04:00:00,1609473600000,0.4691,0.4737,0.4614,0.4635,1171050.37,0.4635
2021-01-01 08:00:00,1609488000000,0.4638,0.4674,0.4527,0.465,1136146.83,0.465
2021-01-01 12:00:00,1609502400000,0.4656,0.4677,0.455,0.4615,1507059.85,0.4615
2021-01-01 16:00:00,1609516800000,0.4615,0.465,0.4341,0.4419,2035922.91,0.4419
2021-01-01 20:00:00,1609531200000,0.4417,0.4517,0.4376,0.4497,1353316.05,0.4497
2021-01-02 00:00:00,1609545600000,0.4493,0.4506,0.4359,0.4454,1134255.37,0.4454
2021-01-02 04:00:00,1609560000000,0.4455,0.4525,0.4436,0.4498,656497.28,0.4498
2021-01-02 08:00:00,1609574400000,0.4493,0.45,0.4406,0.4445,647150.41,0.4445
2021-01-02 12:00:00,1609588800000,0.4444,0.4606,0.4406,0.4474,1747179.26,0.4474
2021-01-02 16:00:00,1609603200000,0.4474,0.454,0.4381,0.445,1976679.53,0.445
2021-01-02 20:00:00,1609617600000,0.4442,0.4455,0.425,0.434,2284341.21,0.434
2021-01-03 00:00:00,1609632000000,0.4341,0.4423,0.4317,0.4388,668122.46,0.4388
2021-01-03 04:00:00,1609646400000,0.4388,0.4448,0.43,0.4385,1394595.77,0.4385
2021-01-03 08:00:00,1609660800000,0.439,0.455,0.4329,0.4516,2324690.64,0.4516
2021-01-03 12:00:00,1609675200000,0.4519,0.4925,0.4483,0.4646,6770707.15,0.4646
2021-01-03 16:00:00,1609689600000,0.4642,0.4779,0.4581,0.4725,3144224.36,0.4725
2021-01-03 20:00:00,1609704000000,0.4731,0.4926,0.47,0.4864,2512793.52,0.4864
2021-01-04 00:00:00,1609718400000,0.4868,0.498,0.4809,0.4893,2552995.71,0.4893
2021-01-04 04:00:00,1609732800000,0.4889,0.5192,0.4609,0.4712,4452425.56,0.4712
2021-01-04 08:00:00,1609747200000,0.4719,0.5198,0.45,0.4712,7186390.94,0.4712
2021-01-04 12:00:00,1609761600000,0.4712,0.492,0.4637,0.4845,2425222.46,0.4845
2021-01-04 16:00:00,1609776000000,0.484,0.499,0.4716,0.499,2048359.22,0.499
2021-01-04 20:00:00,1609790400000,0.4985,0.5241,0.4911,0.523,3222662.46,0.523
2021-01-05 00:00:00,1609804800000,0.523,0.5275,0.4918,0.4926,3833946.07,0.4926
2021-01-05 04:00:00,1609819200000,0.493,0.4997,0.4771,0.4929,2432879.65,0.4929
2021-01-05 08:00:00,1609833600000,0.4926,0.529,0.4904,0.5226,3100571.03,0.5226
2021-01-05 12:00:00,1609848000000,0.5223,0.5498,0.5049,0.5429,4470572.9,0.5429
2021-01-05 16:00:00,1609862400000,0.543,0.572,0.5222,0.5372,5033293.53,0.5372
2021-01-05 20:00:00,1609876800000,0.5372,0.5516,0.5322,0.5472,2214814.38,0.5472
2021-01-06 00:00:00,1609891200000,0.5472,0.5607,0.5317,0.5562,2013109.47,0.5562
2021-01-06 04:00:00,1609905600000,0.5562,0.5885,0.55,0.5783,3365552.55,0.5783
2021-01-06 08:00:00,1609920000000,0.5783,0.6126,0.5721,0.6117,4981293.2,0.6117
2021-01-06 12:00:00,1609934400000,0.6121,0.6559,0.6052,0.6279,8195878.74,0.6279
2021-01-06 16:00:00,1609948800000,0.6278,0.658,0.6166,0.6172,4073118.19,0.6172
2021-01-06 20:00:00,1609963200000,0.6172,0.6385,0.584,0.6253,5023510.77,0.6253
2021-01-07 00:00:00,1609977600000,0.6253,0.6361,0.62,0.6223,2532574.16,0.6223
2021-01-07 04:00:00,1609992000000,0.6217,0.623,0.5992,0.6009,2378082.1,0.6009
2021-01-07 08:00:00,1610006400000,0.6019,0.6127,0.5841,0.5873,3028926.13,0.5873
2021-01-07 12:00:00,1610020800000,0.5873,0.6292,0.5814,0.6129,5279566.77,0.6129
2021-01-07 16:00:00,1610035200000,0.6128,0.6171,0.55,0.5828,5570945.19,0.5828
2021-01-07 20:00:00,1610049600000,0.5818,0.5965,0.5608,0.574,2672590.22,0.574
2021-01-08 00:00:00,1610064000000,0.5731,0.5999,0.5196,0.538,4747101.47,0.538
2021-01-08 04:00:00,1610078400000,0.5381,0.596,0.5351,0.5853,2287721.91,0.5853
2021-01-08 08:00:00,1610092800000,0.5853,0.6085,0.57,0.5967,3036946.18,0.5967
2021-01-08 12:00:00,1610107200000,0.5963,0.65,0.5755,0.6009,6020578.58,0.6009
2021-01-08 16:00:00,1610121600000,0.6018,0.6303,0.5988,0.6045,2948904.26,0.6045
2021-01-08 20:00:00,1610136000000,0.6043,0.632,0.5774,0.628,3177496.92,0.628
2021-01-09 00:00:00,1610150400000,0.6286,0.642,0.599,0.6373,2607047.9,0.6373
2021-01-09 04:00:00,1610164800000,0.6373,0.6374,0.6,0.6297,2084931.12,0.6297
2021-01-09 08:00:00,1610179200000,0.6297,0.68,0.6246,0.6619,3934719.7,0.6619
