,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,0.2965,0.3033,0.2917,0.3004,2167612.95,0.3004
2021-01-01 04:00:00,1609473600000,0.3004,0.3029,0.2941,0.2968,1023587.65,0.2968
2021-01-01 08:00:00,1609488000000,0.2968,0.2986,0.2913,0.2977,1290425.09,0.2977
2021-01-01 12:00:00,1609502400000,0.2977,0.303,0.2964,0.2992,1972475.54,0.2992
2021-01-01 16:00:00,1609516800000,0.299,0.3017,0.2885,0.2922,2254462.96,0.2922
2021-01-01 20:00:00,1609531200000,0.2918,0.2948,0.2906,0.2912,988685.7,0.2912
2021-01-02 00:00:00,1609545600000,0.2914,0.2967,0.2853,0.2948,2492500.91,0.2948
2021-01-02 04:00:00,1609560000000,0.2948,0.2967,0.2917,0.2918,702037.96,0.2918
2021-01-02 08:00:00,1609574400000,0.2918,0.2925,0.2838,0.287,3329294.72,0.287
2021-01-02 12:00:00,1609588800000,0.2871,0.2908,0.2845,0.289,3023374.12,0.289
2021-01-02 16:00:00,1609603200000,0.289,0.2918,0.2853,0.2891,4192516.68,0.2891
2021-01-02 20:00:00,1609617600000,0.2892,0.2893,0.277,0.2863,4291125.88,0.2863
2021-01-03 00:00:00,1609632000000,0.2865,0.2872,0.2812,0.2817,1124939.56,0.2817
2021-01-03 04:00:00,1609646400000,0.2817,0.2844,0.2771,0.278,1866260.79,0.278
2021-01-03 08:00:00,1609660800000,0.278,0.301,0.277,0.2962,6835344.77,0.2962
2021-01-03 12:00:00,1609675200000,0.2961,0.3094,0.2891,0.2954,7111266.95,0.2954
2021-01-03 16:00:00,1609689600000,0.2955,0.3051,0.2931,0.2958,4715286.93,0.2958
2021-01-03 20:00:00,1609704000000,0.2956,0.3142,0.2956,0.3098,5788433.31,0.3098
2021-01-04 00:00:00,1609718400000,0.3099,0.3257,0.3099,0.3181,5459357.32,0.3181
2021-01-04 04:00:00,1609732800000,0.3183,0.33,0.3001,0.3055,10187989.64,0.3055
