,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,1.2922,1.3369,1.274,1.3256,329478.41,1.3256,sell
2021-01-01 04:00:00,1609473600000,1.3265,1.3297,1.2978,1.316,210635.4,1.316,sell
2021-01-01 08:00:00,1609488000000,1.3159,1.3237,1.2891,1.3199,299844.64,1.3199,sell
2021-01-01 12:00:00,1609502400000,1.3198,1.355,1.2997,1.342,519923.92,1.342,sell
2021-01-01 16:00:00,1609516800000,1.342,1.3529,1.2627,1.2861,456437.25,1.2861,sell
2021-01-01 20:00:00,1609531200000,1.287,1.3082,1.2834,1.3034,146815.43,1.3034,sell
2021-01-02 00:00:00,1609545600000,1.3021,1.3026,1.2555,1.2921,401622.93,1.2921,sell
2021-01-02 04:00:00,1609560000000,1.2914,1.3087,1.2864,1.2906,159905.3,1.2906,sell
2021-01-02 08:00:00,1609574400000,1.2906,1.3012,1.2649,1.2964,462453.45,1.2964,sell
2021-01-02 12:00:00,1609588800000,1.2964,1.318,1.263,1.3129,321591.98,1.3129,sell
2021-01-02 16:00:00,1609603200000,1.3128,1.3369,1.2956,1.32,453038.0,1.32,sell
2021-01-02 20:00:00,1609617600000,1.3201,1.3281,1.2722,1.2917,465060.98,1.2917,sell
2021-01-03 00:00:00,1609632000000,1.2933,1.3063,1.2785,1.2839,184265.05,1.2839,sell
2021-01-03 04:00:00,1609646400000,1.2838,1.2875,1.2513,1.2558,267689.91,1.2558,sell
2021-01-03 08:00:00,1609660800000,1.2551,1.2657,1.239,1.2638,786502.31,1.2638,sell
2021-01-03 12:00:00,1609675200000,1.2635,1.3248,1.2598,1.2977,862336.58,1.2977,sell
2021-01-03 16:00:00,1609689600000,1.2985,1.3249,1.29,1.3101,766555.62,1.3101,sell
2021-01-03 20:00:00,1609704000000,1.3102,1.4139,1.3068,1.3835,1062270.62,1.3835,sell
2021-01-04 00:00:00,1609718400000,1.3835,1.4508,1.3835,1.4417,958344.95,1.4417,sell
2021-01-04 04:00:00,1609732800000,1.4407,1.597,1.3862,1.4248,1783080.3,1.4248,sell
2021-01-04 08:00:00,1609747200000,1.4249,1.4708,1.255,1.3494,1608497.31,1.3494,sell
2021-01-04 12:00:00,1609761600000,1.3506,1.4154,1.33,1.3922,769384.47,1.3922,sell
2021-01-04 16:00:00,1609776000000,1.393,1.4447,1.34,1.4406,621487.33,1.4406,sell
2021-01-04 20:00:00,1609790400000,1.4404,1.52,1.3976,1.516,921671.52,1.516,sell
