,datetime,open,high,low,close,volume,adj_close,signal
2021-06-24 08:00:00,1624521600000,0.8974,1.356,0.8974,1.08,21916118.0,1.08,sell
2021-06-24 12:00:00,1624536000000,1.0799,1.129,1.017,1.019,6285704.0,1.019,sell
2021-06-24 16:00:00,1624550400000,1.0189,1.076,1.006,1.027,3380272.0,1.027,sell
2021-06-24 20:00:00,1624564800000,1.0273,1.111,1.0114,1.0157,2641966.0,1.0157,sell
2021-06-25 00:00:00,1624579200000,1.0158,1.0791,1.0022,1.0347,2505770.0,1.0347,sell
2021-06-25 04:00:00,1624593600000,1.0347,1.0667,1.0014,1.006,1598560.0,1.006,sell
2021-06-25 08:00:00,1624608000000,1.0063,1.0091,0.939,0.9723,2344832.0,0.9723,sell
2021-06-25 12:00:00,1624622400000,0.9713,1.0,0.945,0.9738,1256982.0,0.9738,sell
2021-06-25 16:00:00,1624636800000,0.9727,0.9787,0.9301,0.9593,1017148.0,0.9593,sell
2021-06-25 20:00:00,1624651200000,0.954,0.97,0.9178,0.931,652310.0,0.931,sell
2021-06-26 00:00:00,1624665600000,0.93,0.9606,0.9158,0.9488,708072.0,0.9488,sell
2021-06-26 04:00:00,1624680000000,0.9494,0.965,0.8743,0.8916,766890.0,0.8916,sell
2021-06-26 08:00:00,1624694400000,0.894,0.9361,0.8635,0.9305,1020653.0,0.9305,sell
2021-06-26 12:00:00,1624708800000,0.9321,0.94,0.8882,0.9198,645939.0,0.9198,sell
2021-06-26 16:00:00,1624723200000,0.9177,0.9282,0.9042,0.9174,267851.0,0.9174,sell
2021-06-26 20:00:00,1624737600000,0.9157,0.936,0.9001,0.9341,188499.0,0.9341,sell
2021-06-27 00:00:00,1624752000000,0.9341,0.9734,0.9264,0.9664,338281.0,0.9664,sell
2021-06-27 04:00:00,1624766400000,0.9653,0.9658,0.9283,0.9453,505929.0,0.9453,sell
2021-06-27 08:00:00,1624780800000,0.946,0.9548,0.92,0.9448,445207.0,0.9448,sell
2021-06-27 12:00:00,1624795200000,0.9448,0.9545,0.93,0.943,329610.0,0.943,sell
2021-06-27 16:00:00,1624809600000,0.9416,0.9472,0.9303,0.9325,177317.0,0.9325,sell
2021-06-27 20:00:00,1624824000000,0.9325,1.0014,0.9226,0.9933,522868.0,0.9933,sell
2021-06-28 00:00:00,1624838400000,0.9911,0.9943,0.9574,0.9651,487013.0,0.9651,sell
2021-06-28 04:00:00,1624852800000,0.9655,0.99,0.957,0.9792,563434.0,0.9792,sell
2021-06-28 08:00:00,1624867200000,0.9793,0.996,0.962,0.963,417387.0,0.963,sell
2021-06-28 12:00:00,1624881600000,0.9627,1.0074,0.9605,1.0012,533342.0,1.0012,sell
2021-06-28 16:00:00,1624896000000,1.0013,1.0147,0.9715,0.996,414959.0,0.996,sell
2021-06-28 20:00:00,1624910400000,0.9952,1.046,0.988,1.0028,573774.0,1.0028,sell
2021-06-29 00:00:00,1624924800000,1.0029,1.0542,1.0004,1.0245,1027402.0,1.0245,sell
2021-06-29 04:00:00,1624939200000,1.0241,1.0504,1.0185,1.0376,530091.0,1.0376,buy
2021-06-29 08:00:00,1624953600000,1.0371,1.064,1.0151,1.0596,898749.0,1.0596,buy
2021-06-29 12:00:00,1624968000000,1.0607,1.07,1.0205,1.0353,999362.0,1.0353,buy
2021-06-29 16:00:00,1624982400000,1.0342,1.0573,1.0342,1.0445,248863.0,1.0445,buy
2021-06-29 20:00:00,1624996800000,1.0412,1.0479,1.0202,1.0301,242307.0,1.0301,buy
2021-06-30 00:00:00,1625011200000,1.0289,1.0322,0.9839,0.9896,461820.0,0.9896,buy
2021-06-30 04:00:00,1625025600000,0.9898,1.0111,0.9715,1.0042,295312.0,1.0042,buy
2021-06-30 08:00:00,1625040000000,1.0057,1.012,0.9655,0.9966,384379.0,0.9966,buy
2021-06-30 12:00:00,1625054400000,0.9966,1.0029,0.956,0.964,319158.0,0.964,sell
2021-06-30 16:00:00,1625068800000,0.9564,1.0062,0.9564,1.0052,159829.0,1.0052,buy
2021-06-30 20:00:00,1625083200000,1.0044,1.025,1.0012,1.0241,142067.0,1.0241,buy
2021-07-01 00:00:00,1625097600000,1.0243,1.04,0.9848,0.9933,206870.0,0.9933,buy
2021-07-01 04:00:00,1625112000000,0.9926,1.0014,0.9613,0.9621,240518.0,0.9621,sell
2021-07-01 08:00:00,1625126400000,0.9634,0.994,0.953,0.9737,530574.0,0.9737,sell
2021-07-01 12:00:00,1625140800000,0.9737,0.979,0.9551,0.975,232743.0,0.975,sell
2021-07-01 16:00:00,1625155200000,0.975,0.9988,0.9608,0.9731,372405.0,0.9731,sell
2021-07-01 20:00:00,1625169600000,0.9727,0.9863,0.9685,0.9745,129790.0,0.9745,sell
2021-07-02 00:00:00,1625184000000,0.9745,1.0359,0.9395,0.9498,904319.0,0.9498,sell
2021-07-02 04:00:00,1625198400000,0.9482,0.9642,0.9394,0.9597,271516.0,0.9597,sell
2021-07-02 08:00:00,1625212800000,0.9615,0.9715,0.941,0.9506,272236.0,0.9506,sell
2021-07-02 12:00:00,1625227200000,0.9533,0.982,0.9435,0.9779,362947.0,0.9779,sell
2021-07-02 16:00:00,1625241600000,0.9763,0.9782,0.9569,0.9628,99953.0,0.9628,sell
2021-07-02 20:00:00,1625256000000,0.9628,0.9815,0.957,0.9784,132116.0,0.9784,sell
2021-07-03 00:00:00,1625270400000,0.9771,0.987,0.9641,0.9765,145295.0,0.9765,sell
2021-07-03 04:00:00,1625284800000,0.9749,1.0352,0.9734,1.0218,462604.0,1.0218,buy
2021-07-03 08:00:00,1625299200000,1.0227,1.0236,1.0045,1.0114,632761.0,1.0114,buy
2021-07-03 12:00:00,1625313600000,1.0125,1.0255,1.0,1.0127,419617.0,1.0127,buy
2021-07-03 16:00:00,1625328000000,1.0114,1.054,1.0042,1.0165,291967.0,1.0165,buy
2021-07-03 20:00:00,1625342400000,1.0165,1.03,1.0,1.0084,205972.0,1.0084,buy
2021-07-04 00:00:00,1625356800000,1.0084,1.0128,0.9998,1.0043,147531.0,1.0043,buy
2021-07-04 04:00:00,1625371200000,1.0048,1.04,1.0043,1.0326,409284.0,1.0326,buy
2021-07-04 08:00:00,1625385600000,1.0328,1.035,1.0202,1.0263,180817.0,1.0263,buy
2021-07-04 12:00:00,1625400000000,1.0279,1.031,1.015,1.0308,336495.0,1.0308,buy
