,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,0.799,0.827,0.792,0.82,501516.431,0.82
2021-01-01 04:00:00,1609473600000,0.82,0.821,0.802,0.812,153200.399,0.812
2021-01-01 08:00:00,1609488000000,0.812,0.829,0.796,0.829,274320.829,0.829
2021-01-01 12:00:00,1609502400000,0.829,0.838,0.802,0.813,475379.87,0.813
2021-01-01 16:00:00,1609516800000,0.813,0.823,0.775,0.789,773170.296,0.789
2021-01-01 20:00:00,1609531200000,0.788,0.8,0.786,0.799,140654.427,0.799
2021-01-02 00:00:00,1609545600000,0.799,0.799,0.781,0.798,167096.364,0.798
2021-01-02 04:00:00,1609560000000,0.798,0.811,0.792,0.793,230257.653,0.793
2021-01-02 08:00:00,1609574400000,0.793,0.797,0.785,0.795,143527.019,0.795
2021-01-02 12:00:00,1609588800000,0.795,0.804,0.788,0.799,255945.737,0.799
2021-01-02 16:00:00,1609603200000,0.8,0.805,0.79,0.796,420319.328,0.796
2021-01-02 20:00:00,1609617600000,0.795,0.797,0.78,0.784,323714.357,0.784
2021-01-03 00:00:00,1609632000000,0.785,0.787,0.78,0.784,142237.806,0.784
2021-01-03 04:00:00,1609646400000,0.784,0.785,0.765,0.77,452973.961,0.77
2021-01-03 08:00:00,1609660800000,0.77,0.789,0.766,0.787,546277.608,0.787
2021-01-03 12:00:00,1609675200000,0.787,0.818,0.785,0.803,1213165.212,0.803
2021-01-03 16:00:00,1609689600000,0.803,0.823,0.8,0.813,854788.878,0.813
2021-01-03 20:00:00,1609704000000,0.814,0.845,0.8,0.829,640377.582,0.829
2021-01-04 00:00:00,1609718400000,0.829,0.862,0.829,0.856,771282.284,0.856
2021-01-04 04:00:00,1609732800000,0.856,0.934,0.832,0.842,1131720.903,0.842
2021-01-04 08:00:00,1609747200000,0.842,0.859,0.76,0.806,1290014.659,0.806
2021-01-04 12:00:00,1609761600000,0.807,0.835,0.799,0.834,473882.749,0.834
2021-01-04 16:00:00,1609776000000,0.834,0.838,0.812,0.836,441563.984,0.836
2021-01-04 20:00:00,1609790400000,0.837,0.839,0.8,0.822,1017885.598,0.822
2021-01-05 00:00:00,1609804800000,0.822,0.849,0.813,0.815,945363.599,0.815
2021-01-05 04:00:00,1609819200000,0.816,0.825,0.798,0.814,520249.204,0.814
2021-01-05 08:00:00,1609833600000,0.814,0.86,0.814,0.852,453024.102,0.852
2021-01-05 12:00:00,1609848000000,0.852,0.88,0.835,0.879,883784.966,0.879
2021-01-05 16:00:00,1609862400000,0.879,0.923,0.873,0.875,1195814.519,0.875
2021-01-05 20:00:00,1609876800000,0.875,0.913,0.871,0.909,537366.965,0.909
2021-01-06 00:00:00,1609891200000,0.907,0.944,0.879,0.924,856994.848,0.924
2021-01-06 04:00:00,1609905600000,0.925,0.925,0.893,0.907,434180.625,0.907
2021-01-06 08:00:00,1609920000000,0.909,0.939,0.901,0.935,577758.312,0.935
2021-01-06 12:00:00,1609934400000,0.937,1.003,0.935,0.967,1607598.853,0.967
2021-01-06 16:00:00,1609948800000,0.967,1.233,0.967,1.147,4134930.609,1.147
2021-01-06 20:00:00,1609963200000,1.147,1.254,1.039,1.181,4913344.661,1.181
2021-01-07 00:00:00,1609977600000,1.182,1.3,1.182,1.206,2649988.08,1.206
2021-01-07 04:00:00,1609992000000,1.206,1.208,1.103,1.106,1266673.875,1.106
2021-01-07 08:00:00,1610006400000,1.106,1.146,1.08,1.126,1109952.359,1.126
2021-01-07 12:00:00,1610020800000,1.127,1.194,1.101,1.134,1794635.546,1.134
2021-01-07 16:00:00,1610035200000,1.135,1.141,0.969,1.054,2435240.176,1.054
2021-01-07 20:00:00,1610049600000,1.054,1.116,1.042,1.061,1495044.994,1.061
2021-01-08 00:00:00,1610064000000,1.061,1.075,0.946,1.022,1884498.033,1.022
2021-01-08 04:00:00,1610078400000,1.021,1.093,1.01,1.085,1210552.121,1.085
2021-01-08 08:00:00,1610092800000,1.083,1.149,1.075,1.113,1513602.188,1.113
2021-01-08 12:00:00,1610107200000,1.112,1.223,1.09,1.147,3011096.04,1.147
2021-01-08 16:00:00,1610121600000,1.147,1.173,1.086,1.09,849503.611,1.09
2021-01-08 20:00:00,1610136000000,1.091,1.133,1.033,1.126,725905.231,1.126
2021-01-09 00:00:00,1610150400000,1.127,1.196,1.083,1.182,1243961.272,1.182
2021-01-09 04:00:00,1610164800000,1.183,1.183,1.096,1.14,826899.893,1.14
2021-01-09 08:00:00,1610179200000,1.14,1.148,1.104,1.122,509190.615,1.122
2021-01-09 12:00:00,1610193600000,1.122,1.228,1.114,1.225,3345194.972,1.225
2021-01-09 16:00:00,1610208000000,1.225,1.283,1.176,1.215,4571945.338,1.215
2021-01-09 20:00:00,1610222400000,1.215,1.216,1.164,1.187,1054855.232,1.187
2021-01-10 00:00:00,1610236800000,1.188,1.232,1.188,1.21,712648.207,1.21
2021-01-10 04:00:00,1610251200000,1.211,1.264,1.209,1.248,1185090.504,1.248
2021-01-10 08:00:00,1610265600000,1.251,1.29,1.156,1.174,2560696.484,1.174
2021-01-10 12:00:00,1610280000000,1.174,1.226,1.144,1.171,1488774.913,1.171
2021-01-10 16:00:00,1610294400000,1.17,1.18,1.066,1.089,1332859.151,1.089
2021-01-10 20:00:00,1610308800000,1.088,1.149,1.018,1.134,942054.093,1.134
2021-01-11 00:00:00,1610323200000,1.136,1.138,0.967,1.023,1345143.455,1.023
2021-01-11 04:00:00,1610337600000,1.02,1.037,0.943,0.99,818632.002,0.99
2021-01-11 08:00:00,1610352000000,0.988,1.05,0.98,0.998,844116.192,0.998
2021-01-11 12:00:00,1610366400000,1.0,1.008,0.891,0.917,1364321.556,0.917
2021-01-11 16:00:00,1610380800000,0.915,0.99,0.857,0.926,4208841.225,0.926
2021-01-11 20:00:00,1610395200000,0.926,0.982,0.905,0.978,897184.25,0.978
2021-01-12 00:00:00,1610409600000,0.98,1.099,0.98,1.032,3029926.806,1.032
2021-01-12 04:00:00,1610424000000,1.032,1.091,1.023,1.038,1565993.556,1.038
2021-01-12 08:00:00,1610438400000,1.039,1.046,0.988,1.017,930252.511,1.017
2021-01-12 12:00:00,1610452800000,1.018,1.038,0.961,0.99,643781.478,0.99
2021-01-12 16:00:00,1610467200000,0.991,1.049,0.989,1.028,458239.382,1.028
2021-01-12 20:00:00,1610481600000,1.029,1.031,0.982,0.998,365025.428,0.998
2021-01-13 00:00:00,1610496000000,1.003,1.02,0.977,1.015,536590.43,1.015
2021-01-13 04:00:00,1610510400000,1.012,1.035,0.981,1.03,295591.86,1.03
2021-01-13 08:00:00,1610524800000,1.032,1.06,1.024,1.043,454360.363,1.043
