,datetime,open,high,low,close,volume,adj_close,signal
2021-03-18 12:00:00,1616068800000,0.085,1.0,0.085,0.2246,1248126815.88,0.2246,sell
2021-03-18 16:00:00,1616083200000,0.2246,0.231,0.191,0.1953,278801703.51,0.1953,sell
2021-03-18 20:00:00,1616097600000,0.1953,0.2133,0.1842,0.2054,147591713.93,0.2054,sell
2021-03-19 00:00:00,1616112000000,0.2054,0.2057,0.1855,0.1965,71252192.04,0.1965,sell
2021-03-19 04:00:00,1616126400000,0.1963,0.205,0.1847,0.1891,83375751.54,0.1891,sell
2021-03-19 08:00:00,1616140800000,0.1891,0.1953,0.1869,0.1908,62007590.94,0.1908,sell
2021-03-19 12:00:00,1616155200000,0.1908,0.1915,0.1725,0.176,98677188.46,0.176,sell
2021-03-19 16:00:00,1616169600000,0.176,0.1776,0.1666,0.1737,65048254.39,0.1737,sell
2021-03-19 20:00:00,1616184000000,0.1736,0.1738,0.1665,0.1685,35817158.5,0.1685,sell
2021-03-20 00:00:00,1616198400000,0.1684,0.1697,0.1527,0.1531,70167309.69,0.1531,sell
2021-03-20 04:00:00,1616212800000,0.1532,0.1635,0.1526,0.1633,46898136.25,0.1633,sell
2021-03-20 08:00:00,1616227200000,0.1633,0.1777,0.162,0.1714,78299371.18,0.1714,sell
2021-03-20 12:00:00,1616241600000,0.1714,0.1731,0.1606,0.1707,41907867.42,0.1707,sell
2021-03-20 16:00:00,1616256000000,0.1707,0.175,0.166,0.1681,43282318.52,0.1681,sell
2021-03-20 20:00:00,1616270400000,0.1682,0.1684,0.155,0.1559,36397214.84,0.1559,sell
2021-03-21 00:00:00,1616284800000,0.156,0.1663,0.1546,0.1617,42294577.12,0.1617,sell
2021-03-21 04:00:00,1616299200000,0.1616,0.175,0.1583,0.1746,77172719.91,0.1746,sell
2021-03-21 08:00:00,1616313600000,0.1745,0.18,0.1621,0.1656,81560658.95,0.1656,sell
2021-03-21 12:00:00,1616328000000,0.1656,0.1734,0.1603,0.1655,49181806.81,0.1655,sell
2021-03-21 16:00:00,1616342400000,0.1654,0.1689,0.1647,0.1653,31124544.39,0.1653,sell
2021-03-21 20:00:00,1616356800000,0.1652,0.171,0.1622,0.1692,29964220.3,0.1692,sell
2021-03-22 00:00:00,1616371200000,0.1695,0.1698,0.16,0.163,35313738.89,0.163,sell
2021-03-22 04:00:00,1616385600000,0.1628,0.1647,0.1606,0.1613,24508867.96,0.1613,sell
2021-03-22 08:00:00,1616400000000,0.1613,0.1622,0.158,0.16,32537428.67,0.16,sell
2021-03-22 12:00:00,1616414400000,0.1599,0.1611,0.1551,0.1587,28847216.83,0.1587,sell
2021-03-22 16:00:00,1616428800000,0.1587,0.1604,0.1458,0.1479,55024440.56,0.1479,sell
2021-03-22 20:00:00,1616443200000,0.1478,0.1494,0.1313,0.1409,57594526.1,0.1409,sell
2021-03-23 00:00:00,1616457600000,0.1407,0.148,0.1358,0.1383,24850871.41,0.1383,sell
2021-03-23 04:00:00,1616472000000,0.1383,0.1392,0.126,0.1348,41355726.07,0.1348,sell
2021-03-23 08:00:00,1616486400000,0.1346,0.1385,0.1323,0.1329,27113755.15,0.1329,sell
2021-03-23 12:00:00,1616500800000,0.1331,0.1415,0.1323,0.1325,26601674.93,0.1325,sell
2021-03-23 16:00:00,1616515200000,0.1325,0.1458,0.1306,0.1367,58705006.75,0.1367,sell
2021-03-23 20:00:00,1616529600000,0.1367,0.1369,0.1296,0.1304,20820617.25,0.1304,sell
2021-03-24 00:00:00,1616544000000,0.1304,0.1373,0.128,0.1334,20352831.92,0.1334,sell
2021-03-24 04:00:00,1616558400000,0.1334,0.149,0.1322,0.1452,41112445.55,0.1452,sell
2021-03-24 08:00:00,1616572800000,0.1452,0.1487,0.14,0.1463,45807083.48,0.1463,sell
2021-03-24 12:00:00,1616587200000,0.1463,0.1475,0.141,0.1414,26998353.45,0.1414,sell
2021-03-24 16:00:00,1616601600000,0.1415,0.142,0.13,0.1308,34908773.47,0.1308,sell
2021-03-24 20:00:00,1616616000000,0.1307,0.1312,0.115,0.1213,49551966.56,0.1213,sell
2021-03-25 00:00:00,1616630400000,0.1212,0.124,0.1147,0.1196,24978104.12,0.1196,sell
2021-03-25 04:00:00,1616644800000,0.1195,0.1269,0.1169,0.1179,22535562.76,0.1179,sell
2021-03-25 08:00:00,1616659200000,0.1179,0.1238,0.1166,0.1192,21274318.4,0.1192,sell
2021-03-25 12:00:00,1616673600000,0.1192,0.1219,0.1118,0.118,38821451.05,0.118,sell
2021-03-25 16:00:00,1616688000000,0.118,0.12,0.1132,0.1189,19186870.77,0.1189,sell
2021-03-25 20:00:00,1616702400000,0.1188,0.1216,0.1135,0.115,13227670.13,0.115,sell
2021-03-26 00:00:00,1616716800000,0.1149,0.1238,0.1149,0.1208,15446579.52,0.1208,sell
2021-03-26 04:00:00,1616731200000,0.1208,0.125,0.12,0.1246,18932809.2,0.1246,sell
2021-03-26 08:00:00,1616745600000,0.1247,0.1272,0.1212,0.1237,34072105.56,0.1237,sell
2021-03-26 12:00:00,1616760000000,0.1238,0.1363,0.1231,0.1314,64431217.46,0.1314,sell
2021-03-26 16:00:00,1616774400000,0.1313,0.1345,0.1274,0.1291,25256722.23,0.1291,sell
2021-03-26 20:00:00,1616788800000,0.129,0.132,0.1277,0.1306,15231321.44,0.1306,sell
2021-03-27 00:00:00,1616803200000,0.1307,0.1345,0.1251,0.13,22986195.37,0.13,sell
2021-03-27 04:00:00,1616817600000,0.13,0.1331,0.1286,0.1306,17151719.81,0.1306,sell
2021-03-27 08:00:00,1616832000000,0.1306,0.139,0.1282,0.129,33792181.83,0.129,sell
2021-03-27 12:00:00,1616846400000,0.1289,0.132,0.1258,0.1317,20797414.86,0.1317,buy
2021-03-27 16:00:00,1616860800000,0.1318,0.145,0.1308,0.1442,67569159.96,0.1442,buy
2021-03-27 20:00:00,1616875200000,0.144,0.1449,0.1365,0.1383,26747275.69,0.1383,buy
2021-03-28 00:00:00,1616889600000,0.1384,0.146,0.1355,0.1419,32662385.24,0.1419,buy
2021-03-28 04:00:00,1616904000000,0.1419,0.1425,0.1385,0.1417,26130690.71,0.1417,buy
2021-03-28 08:00:00,1616918400000,0.1417,0.159,0.1416,0.1485,102776877.26,0.1485,buy
2021-03-28 12:00:00,1616932800000,0.1485,0.1568,0.1439,0.1544,58214234.4,0.1544,buy
2021-03-28 16:00:00,1616947200000,0.1545,0.1555,0.1397,0.1432,45783078.15,0.1432,buy
2021-03-28 20:00:00,1616961600000,0.1432,0.1461,0.1383,0.1454,25478804.8,0.1454,buy
2021-03-29 00:00:00,1616976000000,0.1454,0.1488,0.1401,0.1477,19018464.17,0.1477,buy
2021-03-29 04:00:00,1616990400000,0.1478,0.1516,0.1435,0.1479,29502064.97,0.1479,buy
2021-03-29 08:00:00,1617004800000,0.1479,0.1519,0.1468,0.1499,31723342.84,0.1499,buy
2021-03-29 12:00:00,1617019200000,0.15,0.153,0.1444,0.1477,36462943.92,0.1477,buy
2021-03-29 16:00:00,1617033600000,0.1478,0.1487,0.1434,0.1442,26018911.84,0.1442,buy
2021-03-29 20:00:00,1617048000000,0.144,0.1454,0.1417,0.1434,20208575.01,0.1434,buy
2021-03-30 00:00:00,1617062400000,0.1435,0.1442,0.14,0.1413,19699578.93,0.1413,buy
2021-03-30 04:00:00,1617076800000,0.1413,0.1449,0.1401,0.1442,25033935.24,0.1442,buy
2021-03-30 08:00:00,1617091200000,0.1443,0.1498,0.1426,0.1477,36603455.35,0.1477,buy
