,datetime,open,high,low,close,volume,adj_close,signal
2021-02-04 04:00:00,1612411200000,0.25,18.8264,0.25,3.9761,28206433.43,3.9761,sell
2021-02-04 08:00:00,1612425600000,3.9761,5.36,3.7,4.4518,12249777.33,4.4518,sell
2021-02-04 12:00:00,1612440000000,4.4481,4.4481,3.7109,4.1309,6242714.28,4.1309,sell
2021-02-04 16:00:00,1612454400000,4.1318,4.248,3.3211,3.423,4074278.66,3.423,sell
2021-02-04 20:00:00,1612468800000,3.423,3.546,3.02,3.0605,4171034.99,3.0605,sell
2021-02-05 00:00:00,1612483200000,3.0606,3.85,3.0524,3.319,4666282.44,3.319,sell
2021-02-05 04:00:00,1612497600000,3.3041,3.491,3.2,3.26,1941806.0,3.26,sell
2021-02-05 08:00:00,1612512000000,3.263,3.4975,3.2401,3.3221,1886850.62,3.3221,sell
2021-02-05 12:00:00,1612526400000,3.3221,3.4069,3.21,3.242,1414270.47,3.242,sell
2021-02-05 16:00:00,1612540800000,3.2421,3.9092,3.242,3.7542,2685730.07,3.7542,sell
2021-02-05 20:00:00,1612555200000,3.7538,5.9362,3.6206,5.4999,8094264.44,5.4999,sell
2021-02-06 00:00:00,1612569600000,5.5,5.5572,4.1103,4.73,7530020.35,4.73,sell
2021-02-06 04:00:00,1612584000000,4.7215,5.36,4.3889,5.0999,3614860.22,5.0999,sell
2021-02-06 08:00:00,1612598400000,5.1,7.0889,4.82,6.5701,10058771.18,6.5701,sell
2021-02-06 12:00:00,1612612800000,6.5779,9.5001,6.045,7.7808,24993892.59,7.7808,sell
2021-02-06 16:00:00,1612627200000,7.8371,8.8,6.6529,7.1326,10623175.7,7.1326,sell
2021-02-06 20:00:00,1612641600000,7.1369,8.2889,6.9526,7.3618,6596555.33,7.3618,sell
2021-02-07 00:00:00,1612656000000,7.3788,8.1,7.1413,7.7289,3665245.38,7.7289,sell
2021-02-07 04:00:00,1612670400000,7.7293,8.91,7.7,8.0058,5526561.1,8.0058,sell
2021-02-07 08:00:00,1612684800000,8.0057,9.6686,8.0046,8.9849,8244517.46,8.9849,sell
2021-02-07 12:00:00,1612699200000,8.991,9.25,7.3246,7.849,7913945.07,7.849,sell
2021-02-07 16:00:00,1612713600000,7.8488,8.0959,6.95,7.8617,5043024.03,7.8617,sell
2021-02-07 20:00:00,1612728000000,7.8612,7.8958,7.0,7.52,2628532.1,7.52,sell
2021-02-08 00:00:00,1612742400000,7.5212,7.77,7.051,7.6552,1576146.88,7.6552,sell
2021-02-08 04:00:00,1612756800000,7.6615,8.5399,7.4588,8.1295,2174044.4,8.1295,sell
