,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,124.22,133.97,122.89,131.66,485134.28259,131.66,sell
2021-01-01 04:00:00,1609473600000,131.66,132.3,128.11,129.41,250047.36727,129.41,sell
2021-01-01 08:00:00,1609488000000,129.4,129.99,124.77,127.62,286085.60039,127.62,sell
2021-01-01 12:00:00,1609502400000,127.62,130.27,125.74,126.34,230773.22239,126.34,sell
2021-01-01 16:00:00,1609516800000,126.34,127.55,123.35,125.26,195453.30175,125.26,sell
2021-01-01 20:00:00,1609531200000,125.26,126.49,124.75,126.24,92308.03376,126.24,sell
2021-01-02 00:00:00,1609545600000,126.2,126.75,123.15,125.1,176592.57828,125.1,sell
2021-01-02 04:00:00,1609560000000,125.1,127.36,124.22,125.4,118672.01427,125.4,sell
2021-01-02 08:00:00,1609574400000,125.41,127.09,123.8,125.35,140340.8956,125.35,sell
2021-01-02 12:00:00,1609588800000,125.33,132.51,125.07,131.13,665456.15618,131.13,sell
2021-01-02 16:00:00,1609603200000,131.13,142.0,129.6,138.38,884602.47828,138.38,sell
2021-01-02 20:00:00,1609617600000,138.38,138.59,131.78,136.96,456602.64239,136.96,sell
2021-01-03 00:00:00,1609632000000,136.94,139.0,135.36,135.77,249933.71051,135.77,sell
2021-01-03 04:00:00,1609646400000,135.78,142.79,135.3,139.16,506557.38314,139.16,sell
2021-01-03 08:00:00,1609660800000,139.18,155.0,137.51,151.82,906032.20179,151.82,sell
2021-01-03 12:00:00,1609675200000,151.83,156.17,147.2,150.83,799956.9931,150.83,sell
2021-01-03 16:00:00,1609689600000,150.87,160.0,147.55,151.3,869015.70179,151.3,sell
2021-01-03 20:00:00,1609704000000,151.31,164.7,151.15,161.24,482338.08636,161.24,sell
2021-01-04 00:00:00,1609718400000,161.23,164.72,153.0,163.9,433847.47348,163.9,sell
2021-01-04 04:00:00,1609732800000,163.89,173.66,152.34,160.36,855071.13221,160.36,sell
2021-01-04 08:00:00,1609747200000,160.42,163.46,139.31,152.6,1013306.40815,152.6,sell
2021-01-04 12:00:00,1609761600000,152.61,157.95,149.81,152.78,572924.0905,152.78,sell
2021-01-04 16:00:00,1609776000000,152.88,153.97,146.24,152.9,414907.95986,152.9,sell
2021-01-04 20:00:00,1609790400000,152.88,155.8,148.66,155.34,240365.13972,155.34,sell
