,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,0.6539,0.665,0.6499,0.663,713736.2,0.663
2021-01-01 04:00:00,1609473600000,0.6635,0.6638,0.6384,0.6431,456291.4,0.6431
2021-01-01 08:00:00,1609488000000,0.6431,0.654,0.6342,0.6362,459398.95,0.6362
2021-01-01 12:00:00,1609502400000,0.6363,0.6459,0.6298,0.6416,814032.53,0.6416
2021-01-01 16:00:00,1609516800000,0.6419,0.6422,0.6298,0.6354,406452.14,0.6354
2021-01-01 20:00:00,1609531200000,0.6344,0.6737,0.6309,0.648,1628813.03,0.648
2021-01-02 00:00:00,1609545600000,0.6477,0.6478,0.6282,0.6309,551998.54,0.6309
2021-01-02 04:00:00,1609560000000,0.6309,0.6388,0.6293,0.634,362172.04,0.634
2021-01-02 08:00:00,1609574400000,0.634,0.6376,0.6269,0.6376,428028.95,0.6376
2021-01-02 12:00:00,1609588800000,0.6375,0.6434,0.6287,0.6302,798161.65,0.6302
2021-01-02 16:00:00,1609603200000,0.6302,0.6362,0.625,0.6305,960626.95,0.6305
2021-01-02 20:00:00,1609617600000,0.6305,0.6336,0.615,0.6299,1037800.33,0.6299
2021-01-03 00:00:00,1609632000000,0.6302,0.6519,0.6281,0.6492,516205.65,0.6492
2021-01-03 04:00:00,1609646400000,0.6497,0.6501,0.6393,0.6498,1004729.26,0.6498
2021-01-03 08:00:00,1609660800000,0.6499,0.6784,0.6471,0.6742,3143207.91,0.6742
2021-01-03 12:00:00,1609675200000,0.6749,0.6769,0.6653,0.6673,1476551.15,0.6673
2021-01-03 16:00:00,1609689600000,0.6676,0.6691,0.6245,0.6331,3372246.51,0.6331
2021-01-03 20:00:00,1609704000000,0.6331,0.6657,0.6331,0.6583,977700.63,0.6583
2021-01-04 00:00:00,1609718400000,0.6586,0.705,0.6491,0.7039,3108918.27,0.7039
2021-01-04 04:00:00,1609732800000,0.7039,0.7221,0.6708,0.6807,4124825.78,0.6807
2021-01-04 08:00:00,1609747200000,0.6807,0.6853,0.6294,0.654,4527300.65,0.654
2021-01-04 12:00:00,1609761600000,0.6547,0.6703,0.6467,0.6703,2400851.7,0.6703
2021-01-04 16:00:00,1609776000000,0.6695,0.6742,0.6575,0.6585,909090.76,0.6585
2021-01-04 20:00:00,1609790400000,0.6587,0.6684,0.65,0.6672,1036176.74,0.6672
2021-01-05 00:00:00,1609804800000,0.6682,0.6687,0.6454,0.6587,2005578.39,0.6587
2021-01-05 04:00:00,1609819200000,0.6587,0.6938,0.6521,0.6835,4301325.15,0.6835
2021-01-05 08:00:00,1609833600000,0.684,0.7185,0.6839,0.7108,4116662.86,0.7108
2021-01-05 12:00:00,1609848000000,0.7114,0.7123,0.6993,0.7003,1349860.55,0.7003
2021-01-05 16:00:00,1609862400000,0.7013,0.713,0.699,0.711,684447.01,0.711
2021-01-05 20:00:00,1609876800000,0.7102,0.7172,0.7086,0.7143,504355.09,0.7143
2021-01-06 00:00:00,1609891200000,0.7144,0.7216,0.7084,0.7125,528431.79,0.7125
2021-01-06 04:00:00,1609905600000,0.7125,0.7193,0.709,0.714,677105.37,0.714
2021-01-06 08:00:00,1609920000000,0.7138,0.716,0.6986,0.7014,914799.75,0.7014
2021-01-06 12:00:00,1609934400000,0.7011,0.7177,0.6997,0.7116,1273932.98,0.7116
2021-01-06 16:00:00,1609948800000,0.7116,0.7165,0.7093,0.7107,506142.95,0.7107
2021-01-06 20:00:00,1609963200000,0.7108,0.7148,0.699,0.7135,1467455.56,0.7135
2021-01-07 00:00:00,1609977600000,0.7135,0.72,0.7075,0.72,1056785.86,0.72
2021-01-07 04:00:00,1609992000000,0.7193,0.798,0.7172,0.7961,6300751.85,0.7961
2021-01-07 08:00:00,1610006400000,0.796,0.9565,0.796,0.8856,13502986.76,0.8856
2021-01-07 12:00:00,1610020800000,0.8856,0.906,0.8667,0.8726,1890212.77,0.8726
2021-01-07 16:00:00,1610035200000,0.8726,0.8924,0.8471,0.8569,1737711.26,0.8569
2021-01-07 20:00:00,1610049600000,0.8567,0.8666,0.8478,0.8572,1367977.02,0.8572
2021-01-08 00:00:00,1610064000000,0.8572,0.8599,0.8286,0.8347,1626059.94,0.8347
2021-01-08 04:00:00,1610078400000,0.8344,0.8601,0.828,0.8492,1923652.17,0.8492
2021-01-08 08:00:00,1610092800000,0.8491,0.897,0.8322,0.8686,4497429.39,0.8686
2021-01-08 12:00:00,1610107200000,0.8686,0.8703,0.8396,0.8461,1629741.58,0.8461
2021-01-08 16:00:00,1610121600000,0.8464,0.851,0.831,0.8394,1006449.1,0.8394
2021-01-08 20:00:00,1610136000000,0.8397,0.8499,0.825,0.8479,1103977.89,0.8479
2021-01-09 00:00:00,1610150400000,0.8484,0.85,0.8227,0.8276,818694.93,0.8276
2021-01-09 04:00:00,1610164800000,0.8276,0.8296,0.8124,0.819,839864.39,0.819
2021-01-09 08:00:00,1610179200000,0.819,0.82,0.8115,0.8137,615263.44,0.8137
2021-01-09 12:00:00,1610193600000,0.8137,0.8336,0.8134,0.8328,854997.97,0.8328
2021-01-09 16:00:00,1610208000000,0.8332,0.8337,0.8192,0.8244,740552.85,0.8244
2021-01-09 20:00:00,1610222400000,0.8244,0.8386,0.798,0.8137,2113159.98,0.8137
2021-01-10 00:00:00,1610236800000,0.8136,0.8303,0.8134,0.8159,754401.84,0.8159
2021-01-10 04:00:00,1610251200000,0.8159,0.871,0.8108,0.8682,2529089.58,0.8682
2021-01-10 08:00:00,1610265600000,0.8682,0.8871,0.8569,0.8592,3754255.1,0.8592
