,datetime,open,high,low,close,volume,adj_close
2021-05-25 04:00:00,1621915200000,8.118,11.0,8.118,9.237,1087684.6,9.237
2021-05-25 08:00:00,1621929600000,9.239,9.268,7.88,7.953,360083.59,7.953
2021-05-25 12:00:00,1621944000000,7.951,8.6,7.75,8.509,216197.88,8.509
2021-05-25 16:00:00,1621958400000,8.514,9.284,7.592,7.793,238322.93,7.793
2021-05-25 20:00:00,1621972800000,7.792,8.277,7.715,8.013,79157.44,8.013
2021-05-26 00:00:00,1621987200000,8.043,8.758,7.903,8.501,88859.08,8.501
2021-05-26 04:00:00,1622001600000,8.501,8.938,8.29,8.603,122183.71,8.603
2021-05-26 08:00:00,1622016000000,8.6,8.62,8.093,8.403,97346.46,8.403
2021-05-26 12:00:00,1622030400000,8.425,8.539,7.9,8.16,74611.46,8.16
2021-05-26 16:00:00,1622044800000,8.143,8.5,7.65,7.764,221607.26,7.764
2021-05-26 20:00:00,1622059200000,7.764,8.131,7.691,8.03,53239.5,8.03
2021-05-27 00:00:00,1622073600000,8.023,8.072,7.364,7.615,115671.24,7.615
2021-05-27 04:00:00,1622088000000,7.622,7.73,7.447,7.626,41271.05,7.626
2021-05-27 08:00:00,1622102400000,7.655,8.179,7.524,8.037,59606.53,8.037
2021-05-27 12:00:00,1622116800000,8.009,8.16,7.798,8.012,65770.77,8.012
2021-05-27 16:00:00,1622131200000,8.026,8.5,7.816,7.99,80940.71,7.99
2021-05-27 20:00:00,1622145600000,8.0,8.062,7.626,7.768,37587.91,7.768
2021-05-28 00:00:00,1622160000000,7.736,8.056,7.461,7.892,54559.82,7.892
2021-05-28 04:00:00,1622174400000,7.89,7.893,6.889,7.122,133594.35,7.122
2021-05-28 08:00:00,1622188800000,7.122,7.271,6.75,6.779,43201.45,6.779
2021-05-28 12:00:00,1622203200000,6.781,7.413,6.75,7.185,52677.78,7.185
2021-05-28 16:00:00,1622217600000,7.154,7.5,6.872,7.456,52576.4,7.456
2021-05-28 20:00:00,1622232000000,7.47,7.488,6.915,7.202,34763.8,7.202
2021-05-29 00:00:00,1622246400000,7.202,7.655,7.183,7.432,39910.37,7.432
2021-05-29 04:00:00,1622260800000,7.433,7.552,7.222,7.291,17398.56,7.291
2021-05-29 08:00:00,1622275200000,7.257,7.27,6.928,7.058,21676.41,7.058
2021-05-29 12:00:00,1622289600000,7.045,7.472,6.861,7.014,72030.56,7.014
2021-05-29 16:00:00,1622304000000,7.012,7.122,6.863,6.908,17797.4,6.908
2021-05-29 20:00:00,1622318400000,6.908,7.166,6.85,6.973,5988.37,6.973
2021-05-30 00:00:00,1622332800000,6.94,7.024,6.75,6.991,9677.41,6.991
2021-05-30 04:00:00,1622347200000,7.01,7.213,6.963,7.108,18382.74,7.108
2021-05-30 08:00:00,1622361600000,7.142,7.183,6.977,7.081,16644.85,7.081
2021-05-30 12:00:00,1622376000000,7.098,7.121,6.75,7.084,35635.63,7.084
2021-05-30 16:00:00,1622390400000,7.092,7.199,6.828,7.072,29060.99,7.072
2021-05-30 20:00:00,1622404800000,7.06,7.138,6.827,6.992,25244.8,6.992
2021-05-31 00:00:00,1622419200000,6.995,7.0,6.61,6.818,44987.0,6.818
2021-05-31 04:00:00,1622433600000,6.817,6.888,6.582,6.838,49211.58,6.838
2021-05-31 08:00:00,1622448000000,6.838,7.106,6.804,6.957,56281.64,6.957
2021-05-31 12:00:00,1622462400000,6.967,7.06,6.777,6.958,18781.05,6.958
2021-05-31 16:00:00,1622476800000,6.988,7.122,6.81,7.02,41648.09,7.02
2021-05-31 20:00:00,1622491200000,7.028,7.039,6.818,7.0,45490.12,7.0
2021-06-01 00:00:00,1622505600000,6.969,7.08,6.83,6.957,29003.6,6.957
2021-06-01 04:00:00,1622520000000,6.957,7.099,6.871,6.975,20908.47,6.975
2021-06-01 08:00:00,1622534400000,6.999,7.278,6.666,6.826,187584.71,6.826
2021-06-01 12:00:00,1622548800000,6.803,6.876,6.582,6.723,78840.58,6.723
2021-06-01 16:00:00,1622563200000,6.723,7.03,6.5,6.546,67134.13,6.546
2021-06-01 20:00:00,1622577600000,6.546,6.755,6.493,6.692,33825.74,6.692
2021-06-02 00:00:00,1622592000000,6.69,6.706,6.482,6.505,75788.08,6.505
2021-06-02 04:00:00,1622606400000,6.505,6.556,6.494,6.547,82682.13,6.547
2021-06-02 08:00:00,1622620800000,6.543,6.637,6.48,6.507,129322.08,6.507
2021-06-02 12:00:00,1622635200000,6.507,6.689,6.414,6.685,214160.63,6.685
2021-06-02 16:00:00,1622649600000,6.685,6.734,6.445,6.521,128393.05,6.521
2021-06-02 20:00:00,1622664000000,6.521,6.543,6.2,6.267,215845.4,6.267
2021-06-03 00:00:00,1622678400000,6.267,6.45,6.221,6.397,81081.57,6.397
2021-06-03 04:00:00,1622692800000,6.4,6.59,6.387,6.577,103180.38,6.577
2021-06-03 08:00:00,1622707200000,6.57,6.751,6.504,6.562,114623.4,6.562
2021-06-03 12:00:00,1622721600000,6.555,6.7,6.36,6.532,92115.2,6.532
2021-06-03 16:00:00,1622736000000,6.519,6.9,6.362,6.709,94844.52,6.709
2021-06-03 20:00:00,1622750400000,6.711,7.213,6.711,6.889,104127.34,6.889
2021-06-04 00:00:00,1622764800000,6.906,7.009,6.514,6.649,139450.1,6.649
2021-06-04 04:00:00,1622779200000,6.648,6.685,6.123,6.26,216630.29,6.26
2021-06-04 08:00:00,1622793600000,6.229,6.465,6.18,6.249,87033.67,6.249
2021-06-04 12:00:00,1622808000000,6.233,6.698,6.138,6.691,93345.96,6.691
2021-06-04 16:00:00,1622822400000,6.691,6.721,6.42,6.523,69043.51,6.523
2021-06-04 20:00:00,1622836800000,6.534,6.662,6.458,6.508,26102.93,6.508
2021-06-05 00:00:00,1622851200000,6.523,6.695,6.438,6.582,42549.19,6.582
2021-06-05 04:00:00,1622865600000,6.599,6.699,6.58,6.629,26088.97,6.629
2021-06-05 08:00:00,1622880000000,6.63,6.657,6.295,6.307,78058.74,6.307
2021-06-05 12:00:00,1622894400000,6.304,6.495,6.25,6.414,55995.62,6.414
2021-06-05 16:00:00,1622908800000,6.39,6.426,6.221,6.242,43339.85,6.242
2021-06-05 20:00:00,1622923200000,6.251,6.38,6.153,6.262,41112.76,6.262
2021-06-06 00:00:00,1622937600000,6.244,6.386,6.217,6.319,49303.93,6.319
2021-06-06 04:00:00,1622952000000,6.32,6.4,6.253,6.347,37811.27,6.347
2021-06-06 08:00:00,1622966400000,6.355,6.376,6.13,6.151,58384.93,6.151
2021-06-06 12:00:00,1622980800000,6.16,6.32,6.12,6.257,81807.24,6.257
2021-06-06 16:00:00,1622995200000,6.26,6.28,6.08,6.107,33788.45,6.107
2021-06-06 20:00:00,1623009600000,6.096,6.201,6.063,6.179,17822.46,6.179
2021-06-07 00:00:00,1623024000000,6.176,6.3,6.141,6.251,34753.65,6.251
2021-06-07 04:00:00,1623038400000,6.244,6.275,6.07,6.125,53803.0,6.125
2021-06-07 08:00:00,1623052800000,6.125,6.329,6.081,6.169,88270.47,6.169
2021-06-07 12:00:00,1623067200000,6.159,6.24,6.115,6.19,31706.59,6.19
2021-06-07 16:00:00,1623081600000,6.207,6.293,6.151,6.245,21753.72,6.245
2021-06-07 20:00:00,1623096000000,6.247,6.259,5.361,5.532,114243.41,5.532
2021-06-08 00:00:00,1623110400000,5.516,5.534,4.888,5.037,154651.85,5.037
2021-06-08 04:00:00,1623124800000,5.026,5.258,4.931,5.092,124652.27,5.092
2021-06-08 08:00:00,1623139200000,5.086,5.24,5.044,5.138,54178.95,5.138
2021-06-08 12:00:00,1623153600000,5.14,5.182,4.614,4.881,96287.55,4.881
2021-06-08 16:00:00,1623168000000,4.876,5.1,4.726,4.945,61551.34,4.945
2021-06-08 20:00:00,1623182400000,4.947,5.033,4.856,4.915,54650.51,4.915
2021-06-09 00:00:00,1623196800000,4.915,4.941,4.62,4.759,58138.55,4.759
2021-06-09 04:00:00,1623211200000,4.756,5.099,4.654,5.014,70638.74,5.014
2021-06-09 08:00:00,1623225600000,5.016,5.016,4.873,4.977,42571.34,4.977
2021-06-09 12:00:00,1623240000000,4.977,5.113,4.831,5.096,64218.31,5.096
2021-06-09 16:00:00,1623254400000,5.105,5.207,4.9,4.949,109251.46,4.949
2021-06-09 20:00:00,1623268800000,4.956,5.091,4.871,5.058,34610.08,5.058
2021-06-10 00:00:00,1623283200000,5.068,5.112,4.904,4.984,44761.0,4.984
2021-06-10 04:00:00,1623297600000,4.978,5.004,4.94,4.972,17008.02,4.972
2021-06-10 08:00:00,1623312000000,4.972,5.049,4.793,5.009,63699.45,5.009
2021-06-10 12:00:00,1623326400000,5.001,5.04,4.841,4.95,47387.91,4.95
2021-06-10 16:00:00,1623340800000,4.927,5.35,4.886,4.972,99193.12,4.972
2021-06-10 20:00:00,1623355200000,4.947,5.088,4.855,5.019,25521.48,5.019
