,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,585.45,599.7,580.37,597.03,462.8391,597.03
2021-01-01 04:00:00,1609473600000,596.12,598.36,588.93,594.54,373.53717,594.54
2021-01-01 08:00:00,1609488000000,595.06,599.76,586.91,596.84,409.87545,596.84
2021-01-01 12:00:00,1609502400000,597.09,601.0,592.0,599.19,549.90885,599.19
2021-01-01 16:00:00,1609516800000,599.37,600.77,572.11,574.73,1253.61467,574.73
2021-01-01 20:00:00,1609531200000,574.73,582.07,571.86,581.06,278.01363,581.06
2021-01-02 00:00:00,1609545600000,580.83,583.0,568.21,582.35,448.59943,582.35
2021-01-02 04:00:00,1609560000000,582.98,592.56,577.17,585.77,451.09267,585.77
2021-01-02 08:00:00,1609574400000,586.04,587.57,578.19,584.29,175.39023,584.29
2021-01-02 12:00:00,1609588800000,584.57,617.44,580.42,612.69,1025.06782,612.69
2021-01-02 16:00:00,1609603200000,612.84,614.0,595.18,613.7,1499.33907,613.7
2021-01-02 20:00:00,1609617600000,613.7,616.98,588.11,610.68,1066.57977,610.68
2021-01-03 00:00:00,1609632000000,610.68,650.05,608.06,639.12,1837.07746,639.12
2021-01-03 04:00:00,1609646400000,639.96,659.0,635.24,645.76,919.47912,645.76
2021-01-03 08:00:00,1609660800000,645.52,669.37,631.74,653.24,1113.88756,653.24
2021-01-03 12:00:00,1609675200000,653.51,698.0,646.83,682.48,2764.87283,682.48
2021-01-03 16:00:00,1609689600000,682.51,700.0,653.24,662.85,1729.7382,662.85
2021-01-03 20:00:00,1609704000000,662.87,693.56,659.58,675.38,869.92528,675.38
2021-01-04 00:00:00,1609718400000,674.82,699.78,667.41,696.79,606.48507,696.79
2021-01-04 04:00:00,1609732800000,696.82,752.53,686.22,697.85,1973.63216,697.85
2021-01-04 08:00:00,1609747200000,698.88,716.8,618.14,664.35,2283.62472,664.35
2021-01-04 12:00:00,1609761600000,664.71,694.16,658.93,691.31,675.46303,691.31
2021-01-04 16:00:00,1609776000000,691.31,704.23,661.42,698.89,474.60427,698.89
2021-01-04 20:00:00,1609790400000,700.39,700.47,668.51,689.91,400.73992,689.91
2021-01-05 00:00:00,1609804800000,689.99,720.74,673.21,673.72,1162.17583,673.72
2021-01-05 04:00:00,1609819200000,673.33,683.98,653.01,669.21,785.83281,669.21
2021-01-05 08:00:00,1609833600000,669.21,706.04,669.21,703.49,687.50108,703.49
2021-01-05 12:00:00,1609848000000,703.89,721.91,680.75,721.91,1298.59423,721.91
2021-01-05 16:00:00,1609862400000,721.61,742.25,712.14,736.68,861.45682,736.68
2021-01-05 20:00:00,1609876800000,737.3,780.0,730.0,765.26,1248.03621,765.26
2021-01-06 00:00:00,1609891200000,766.25,773.61,743.46,748.01,612.26234,748.01
2021-01-06 04:00:00,1609905600000,748.93,801.18,747.5,796.8,1362.95029,796.8
2021-01-06 08:00:00,1609920000000,797.78,849.0,781.06,848.89,1065.28659,848.89
2021-01-06 12:00:00,1609934400000,848.94,907.66,822.46,888.85,2507.91967,888.85
2021-01-06 16:00:00,1609948800000,888.85,1248.99,888.06,1076.4,19244.38329,1076.4
2021-01-06 20:00:00,1609963200000,1076.4,1132.34,985.8,1036.42,6623.52357,1036.42
2021-01-07 00:00:00,1609977600000,1038.6,1150.0,1013.36,1140.93,5638.64705,1140.93
2021-01-07 04:00:00,1609992000000,1140.6,1190.0,1049.99,1062.2,3592.58735,1062.2
2021-01-07 08:00:00,1610006400000,1062.19,1083.81,1025.22,1053.66,2060.2859,1053.66
2021-01-07 12:00:00,1610020800000,1053.71,1122.0,1021.01,1120.0,3139.85991,1120.0
2021-01-07 16:00:00,1610035200000,1119.98,1141.11,1000.03,1064.16,2166.84495,1064.16
2021-01-07 20:00:00,1610049600000,1065.56,1120.87,1045.76,1056.66,1232.40518,1056.66
2021-01-08 00:00:00,1610064000000,1058.98,1089.22,955.0,1028.31,2049.89165,1028.31
2021-01-08 04:00:00,1610078400000,1030.72,1102.33,1023.26,1091.68,2366.67781,1091.68
2021-01-08 08:00:00,1610092800000,1092.92,1125.0,1062.69,1111.67,1929.22529,1111.67
2021-01-08 12:00:00,1610107200000,1111.72,1122.26,1028.93,1060.58,1347.76402,1060.58
2021-01-08 16:00:00,1610121600000,1061.38,1076.18,1005.03,1005.54,1033.62395,1005.54
2021-01-08 20:00:00,1610136000000,1005.55,1047.61,982.78,1039.74,1015.84853,1039.74
2021-01-09 00:00:00,1610150400000,1038.43,1094.74,1025.76,1088.36,854.45148,1088.36
2021-01-09 04:00:00,1610164800000,1088.27,1088.28,1041.0,1074.38,923.00065,1074.38
2021-01-09 08:00:00,1610179200000,1074.86,1170.95,1061.02,1162.87,1979.75922,1162.87
2021-01-09 12:00:00,1610193600000,1163.69,1268.64,1140.01,1241.92,2769.34433,1241.92
2021-01-09 16:00:00,1610208000000,1242.42,1547.78,1242.42,1522.44,12728.89495,1522.44
2021-01-09 20:00:00,1610222400000,1525.31,1602.0,1440.69,1598.25,5879.51755,1598.25
2021-01-10 00:00:00,1610236800000,1597.54,1754.63,1597.5,1706.26,9354.48254,1706.26
2021-01-10 04:00:00,1610251200000,1706.26,1978.77,1701.91,1837.35,10568.13585,1837.35
2021-01-10 08:00:00,1610265600000,1838.81,1880.53,1620.0,1654.0,8295.72426,1654.0
2021-01-10 12:00:00,1610280000000,1654.48,1785.0,1621.59,1705.73,3870.33601,1705.73
2021-01-10 16:00:00,1610294400000,1705.73,1727.1,1523.09,1554.86,4697.51282,1554.86
2021-01-10 20:00:00,1610308800000,1554.86,1573.58,1427.03,1487.41,2788.7111,1487.41
2021-01-11 00:00:00,1610323200000,1487.4,1498.87,1225.97,1312.91,5248.82732,1312.91
2021-01-11 04:00:00,1610337600000,1315.05,1418.13,1227.5,1322.72,4405.7315,1322.72
2021-01-11 08:00:00,1610352000000,1326.83,1459.75,1300.0,1311.71,3605.93881,1311.71
2021-01-11 12:00:00,1610366400000,1314.44,1360.85,1153.2,1183.4,4126.31954,1183.4
2021-01-11 16:00:00,1610380800000,1181.49,1218.02,1077.0,1157.44,3106.59164,1157.44
2021-01-11 20:00:00,1610395200000,1153.46,1420.0,1129.0,1407.26,2600.75986,1407.26
2021-01-12 00:00:00,1610409600000,1407.61,1413.57,1313.63,1354.96,2742.2347,1354.96
2021-01-12 04:00:00,1610424000000,1354.96,1639.0,1351.27,1555.51,6087.36898,1555.51
2021-01-12 08:00:00,1610438400000,1555.5,1570.84,1438.49,1487.16,2039.05311,1487.16
2021-01-12 12:00:00,1610452800000,1488.12,1516.95,1346.91,1416.91,2647.93424,1416.91
