,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,0.407,0.4085,0.3843,0.4,238436.88,0.4,sell
2021-01-01 04:00:00,1609473600000,0.4,0.4,0.3839,0.3851,59810.67,0.3851,sell
2021-01-01 08:00:00,1609488000000,0.385,0.3897,0.3795,0.3872,163330.33,0.3872,sell
2021-01-01 12:00:00,1609502400000,0.3885,0.4037,0.3823,0.3973,121884.61,0.3973,sell
2021-01-01 16:00:00,1609516800000,0.3996,0.4029,0.3807,0.3822,97427.74,0.3822,sell
2021-01-01 20:00:00,1609531200000,0.3844,0.4004,0.3832,0.4004,36079.73,0.4004,sell
2021-01-02 00:00:00,1609545600000,0.3998,0.4023,0.384,0.3898,56052.23,0.3898,sell
2021-01-02 04:00:00,1609560000000,0.3879,0.3897,0.3845,0.3877,36297.11,0.3877,sell
2021-01-02 08:00:00,1609574400000,0.3851,0.3876,0.3738,0.3795,90252.65,0.3795,sell
2021-01-02 12:00:00,1609588800000,0.3798,0.3867,0.3758,0.3822,96512.11,0.3822,sell
2021-01-02 16:00:00,1609603200000,0.384,0.3902,0.3785,0.3865,80139.37,0.3865,sell
2021-01-02 20:00:00,1609617600000,0.3866,0.3899,0.3745,0.3898,125511.44,0.3898,sell
2021-01-03 00:00:00,1609632000000,0.3889,0.395,0.372,0.383,197278.67,0.383,sell
2021-01-03 04:00:00,1609646400000,0.3811,0.3822,0.3691,0.3716,101221.65,0.3716,sell
2021-01-03 08:00:00,1609660800000,0.3699,0.4048,0.3649,0.384,298783.23,0.384,sell
2021-01-03 12:00:00,1609675200000,0.384,0.3948,0.3771,0.3793,167310.53,0.3793,sell
2021-01-03 16:00:00,1609689600000,0.3795,0.3858,0.3744,0.3837,113709.77,0.3837,sell
2021-01-03 20:00:00,1609704000000,0.3855,0.3908,0.3801,0.3907,106084.94,0.3907,sell
2021-01-04 00:00:00,1609718400000,0.3907,0.4005,0.3813,0.3986,206673.94,0.3986,sell
2021-01-04 04:00:00,1609732800000,0.3986,0.416,0.3673,0.3787,837732.4,0.3787,sell
2021-01-04 08:00:00,1609747200000,0.3788,0.3809,0.3426,0.363,506995.55,0.363,sell
2021-01-04 12:00:00,1609761600000,0.3629,0.3748,0.353,0.3712,322382.89,0.3712,sell
2021-01-04 16:00:00,1609776000000,0.373,0.3743,0.3595,0.3693,150901.16,0.3693,sell
2021-01-04 20:00:00,1609790400000,0.3691,0.3747,0.3632,0.3667,284171.93,0.3667,sell
2021-01-05 00:00:00,1609804800000,0.3667,0.3667,0.353,0.3541,323076.19,0.3541,sell
2021-01-05 04:00:00,1609819200000,0.3542,0.3608,0.349,0.3541,345767.31,0.3541,sell
2021-01-05 08:00:00,1609833600000,0.3549,0.3667,0.3549,0.3653,487425.24,0.3653,sell
2021-01-05 12:00:00,1609848000000,0.3664,0.3731,0.3597,0.3696,286060.08,0.3696,sell
2021-01-05 16:00:00,1609862400000,0.3707,0.3785,0.3691,0.3739,182668.52,0.3739,sell
2021-01-05 20:00:00,1609876800000,0.3737,0.3793,0.3696,0.3784,108228.77,0.3784,sell
2021-01-06 00:00:00,1609891200000,0.3784,0.3794,0.3693,0.3744,230816.31,0.3744,sell
2021-01-06 04:00:00,1609905600000,0.3757,0.3817,0.3724,0.3762,190443.09,0.3762,sell
2021-01-06 08:00:00,1609920000000,0.3764,0.3865,0.3693,0.3811,197486.44,0.3811,buy
2021-01-06 12:00:00,1609934400000,0.3825,0.3999,0.3809,0.3866,305174.54,0.3866,buy
2021-01-06 16:00:00,1609948800000,0.3873,0.3985,0.3863,0.3864,336491.67,0.3864,buy
2021-01-06 20:00:00,1609963200000,0.3868,0.4027,0.3788,0.3989,290606.18,0.3989,buy
2021-01-07 00:00:00,1609977600000,0.3995,0.4371,0.3958,0.4239,750261.55,0.4239,buy
2021-01-07 04:00:00,1609992000000,0.4221,0.4272,0.4074,0.42,427343.45,0.42,buy
2021-01-07 08:00:00,1610006400000,0.4193,0.44,0.4084,0.4223,481013.09,0.4223,buy
2021-01-07 12:00:00,1610020800000,0.4218,0.4383,0.4154,0.43,327621.78,0.43,buy
2021-01-07 16:00:00,1610035200000,0.43,0.4314,0.3911,0.4114,536307.31,0.4114,buy
