,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,14.262,14.668,14.119,14.592,67772.862,14.592,sell
2021-01-01 04:00:00,1609473600000,14.597,14.736,14.4,14.45,54181.745,14.45,sell
2021-01-01 08:00:00,1609488000000,14.449,14.608,14.286,14.545,48689.592,14.545,sell
2021-01-01 12:00:00,1609502400000,14.534,14.88,14.509,14.61,141007.528,14.61,sell
2021-01-01 16:00:00,1609516800000,14.61,14.948,14.118,14.303,136582.833,14.303,sell
2021-01-01 20:00:00,1609531200000,14.29,14.486,14.229,14.461,58953.121,14.461,sell
2021-01-02 00:00:00,1609545600000,14.459,14.799,14.092,14.607,114282.752,14.607,sell
2021-01-02 04:00:00,1609560000000,14.618,14.749,14.438,14.512,92391.095,14.512,sell
2021-01-02 08:00:00,1609574400000,14.516,14.585,14.332,14.454,51469.3,14.454,sell
2021-01-02 12:00:00,1609588800000,14.45,14.657,14.3,14.43,123849.483,14.43,sell
2021-01-02 16:00:00,1609603200000,14.441,14.645,14.235,14.553,212710.151,14.553,sell
2021-01-02 20:00:00,1609617600000,14.575,14.579,14.081,14.426,151450.156,14.426,sell
2021-01-03 00:00:00,1609632000000,14.422,14.553,14.245,14.252,69013.283,14.252,sell
2021-01-03 04:00:00,1609646400000,14.252,14.442,14.051,14.066,127697.018,14.066,sell
2021-01-03 08:00:00,1609660800000,14.075,15.844,14.0,15.283,557841.583,15.283,sell
2021-01-03 12:00:00,1609675200000,15.273,15.678,14.8,15.23,491645.601,15.23,sell
2021-01-03 16:00:00,1609689600000,15.23,15.7,14.846,14.988,330898.538,14.988,sell
2021-01-03 20:00:00,1609704000000,14.988,16.333,14.97,16.024,421084.243,16.024,sell
2021-01-04 00:00:00,1609718400000,16.024,17.0,16.019,16.807,361322.108,16.807,sell
2021-01-04 04:00:00,1609732800000,16.791,17.736,16.0,16.442,634718.43,16.442,sell
2021-01-04 08:00:00,1609747200000,16.442,16.781,14.57,15.617,583301.739,15.617,sell
2021-01-04 12:00:00,1609761600000,15.616,16.136,15.432,16.0,247395.56,16.0,sell
2021-01-04 16:00:00,1609776000000,15.998,16.327,15.65,16.073,288662.19,16.073,sell
2021-01-04 20:00:00,1609790400000,16.073,16.379,15.721,16.372,201615.673,16.372,sell
2021-01-05 00:00:00,1609804800000,16.353,16.631,15.697,15.697,259798.346,15.697,sell
2021-01-05 04:00:00,1609819200000,15.704,15.879,15.4,15.607,172835.025,15.607,sell
2021-01-05 08:00:00,1609833600000,15.61,17.319,15.605,16.838,350660.029,16.838,sell
2021-01-05 12:00:00,1609848000000,16.85,17.1,15.957,16.562,457508.527,16.562,sell
2021-01-05 16:00:00,1609862400000,16.551,17.29,16.3,16.946,399851.98,16.946,sell
2021-01-05 20:00:00,1609876800000,16.971,16.998,16.64,16.868,147288.885,16.868,buy
2021-01-06 00:00:00,1609891200000,16.872,17.139,16.526,16.923,169236.221,16.923,buy
2021-01-06 04:00:00,1609905600000,16.902,17.4,16.815,17.359,214217.991,17.359,buy
2021-01-06 08:00:00,1609920000000,17.369,17.58,16.964,17.44,330168.063,17.44,buy
2021-01-06 12:00:00,1609934400000,17.458,20.65,17.345,19.318,1448116.708,19.318,buy
2021-01-06 16:00:00,1609948800000,19.341,19.73,18.196,18.355,494387.879,18.355,buy
2021-01-06 20:00:00,1609963200000,18.342,19.769,17.711,19.535,709532.677,19.535,buy
2021-01-07 00:00:00,1609977600000,19.552,20.76,18.992,20.253,465663.156,20.253,buy
2021-01-07 04:00:00,1609992000000,20.24,20.308,19.3,19.456,364694.455,19.456,buy
2021-01-07 08:00:00,1610006400000,19.454,19.886,18.7,19.519,403644.48,19.519,buy
2021-01-07 12:00:00,1610020800000,19.518,21.928,19.421,21.708,908056.791,21.708,buy
2021-01-07 16:00:00,1610035200000,21.707,22.88,19.001,21.472,1328034.901,21.472,buy
2021-01-07 20:00:00,1610049600000,21.471,22.498,20.167,20.889,759814.009,20.889,buy
2021-01-08 00:00:00,1610064000000,20.906,21.411,18.524,19.565,539692.417,19.565,buy
2021-01-08 04:00:00,1610078400000,19.552,20.642,19.076,20.601,372302.135,20.601,buy
2021-01-08 08:00:00,1610092800000,20.581,21.5,20.041,20.656,447818.335,20.656,buy
2021-01-08 12:00:00,1610107200000,20.666,21.39,19.35,19.936,478581.723,19.936,buy
2021-01-08 16:00:00,1610121600000,19.967,20.531,19.4,19.503,274474.769,19.503,buy
2021-01-08 20:00:00,1610136000000,19.51,19.877,18.7,19.724,304213.356,19.724,buy
2021-01-09 00:00:00,1610150400000,19.744,20.75,19.0,20.713,418095.302,20.713,buy
2021-01-09 04:00:00,1610164800000,20.724,20.74,19.52,19.859,310258.801,19.859,buy
2021-01-09 08:00:00,1610179200000,19.878,20.782,19.664,20.501,334979.772,20.501,buy
2021-01-09 12:00:00,1610193600000,20.525,21.06,20.194,20.68,304216.588,20.68,buy
2021-01-09 16:00:00,1610208000000,20.671,21.409,20.54,21.278,498115.478,21.278,buy
2021-01-09 20:00:00,1610222400000,21.295,21.675,20.62,21.338,370662.566,21.338,buy
2021-01-10 00:00:00,1610236800000,21.35,22.989,21.346,21.965,546801.439,21.965,buy
2021-01-10 04:00:00,1610251200000,21.979,23.4,21.926,23.031,341737.11,23.031,buy
2021-01-10 08:00:00,1610265600000,23.05,23.798,20.8,21.389,864377.437,21.389,buy
2021-01-10 12:00:00,1610280000000,21.415,22.583,20.851,21.794,586957.126,21.794,buy
2021-01-10 16:00:00,1610294400000,21.779,22.84,20.201,22.175,822558.479,22.175,buy
2021-01-10 20:00:00,1610308800000,22.18,26.61,20.5,24.921,2235089.352,24.921,buy
2021-01-11 00:00:00,1610323200000,24.906,26.715,20.2,21.956,1744958.44,21.956,buy
2021-01-11 04:00:00,1610337600000,21.962,23.564,20.7,22.231,1406146.801,22.231,buy
2021-01-11 08:00:00,1610352000000,22.231,24.8,22.0,22.705,1137457.585,22.705,buy
2021-01-11 12:00:00,1610366400000,22.68,23.724,21.06,22.372,1595128.566,22.372,buy
2021-01-11 16:00:00,1610380800000,22.355,22.987,21.002,21.946,1334722.846,21.946,buy
2021-01-11 20:00:00,1610395200000,21.913,24.431,21.215,23.658,779312.069,23.658,buy
2021-01-12 00:00:00,1610409600000,23.666,24.05,22.255,23.992,520108.251,23.992,buy
2021-01-12 04:00:00,1610424000000,24.011,24.694,23.254,23.671,544525.207,23.671,buy
2021-01-12 08:00:00,1610438400000,23.654,23.691,21.9,22.875,466154.825,22.875,buy
2021-01-12 12:00:00,1610452800000,22.857,23.15,21.5,22.31,439751.626,22.31,buy
2021-01-12 16:00:00,1610467200000,22.32,22.949,21.933,22.368,289524.624,22.368,buy
2021-01-12 20:00:00,1610481600000,22.363,22.5,21.7,22.148,210986.356,22.148,buy
2021-01-13 00:00:00,1610496000000,22.165,22.194,20.7,21.42,372269.316,21.42,sell
2021-01-13 04:00:00,1610510400000,21.407,22.0,20.947,21.936,186362.873,21.936,buy
2021-01-13 08:00:00,1610524800000,21.935,22.551,21.67,21.818,288038.015,21.818,sell
2021-01-13 12:00:00,1610539200000,21.811,22.292,21.224,21.946,303507.312,21.946,buy
2021-01-13 16:00:00,1610553600000,21.946,22.9,21.65,22.594,307757.71,22.594,buy
2021-01-13 20:00:00,1610568000000,22.594,24.0,22.359,23.229,443812.292,23.229,buy
2021-01-14 00:00:00,1610582400000,23.207,23.35,22.272,22.308,250116.123,22.308,buy
2021-01-14 04:00:00,1610596800000,22.314,23.2,22.108,22.823,172991.949,22.823,buy
2021-01-14 08:00:00,1610611200000,22.797,23.04,22.199,22.709,209235.992,22.709,buy
2021-01-14 12:00:00,1610625600000,22.715,23.614,22.287,23.45,326981.428,23.45,buy
2021-01-14 16:00:00,1610640000000,23.472,23.97,22.93,23.201,333194.595,23.201,buy
2021-01-14 20:00:00,1610654400000,23.201,23.305,22.282,23.104,275385.59,23.104,buy
2021-01-15 00:00:00,1610668800000,23.104,23.885,22.777,23.024,357410.803,23.024,buy
2021-01-15 04:00:00,1610683200000,23.03,23.659,22.55,23.279,228833.208,23.279,buy
2021-01-15 08:00:00,1610697600000,23.26,25.486,23.05,24.388,982022.552,24.388,buy
2021-01-15 12:00:00,1610712000000,24.389,25.271,22.519,22.807,753996.161,22.807,buy
2021-01-15 16:00:00,1610726400000,22.84,23.5,21.5,22.738,573103.525,22.738,sell
2021-01-15 20:00:00,1610740800000,22.752,23.66,22.533,23.493,204342.217,23.493,buy
2021-01-16 00:00:00,1610755200000,23.426,23.95,22.957,23.789,241480.464,23.789,buy
2021-01-16 04:00:00,1610769600000,23.775,23.958,22.802,23.79,184072.881,23.79,buy
2021-01-16 08:00:00,1610784000000,23.793,24.5,23.73,24.2,340703.123,24.2,buy
2021-01-16 12:00:00,1610798400000,24.2,24.55,23.45,24.259,387572.737,24.259,buy
2021-01-16 16:00:00,1610812800000,24.254,24.438,23.456,23.963,346448.32,23.963,buy
2021-01-16 20:00:00,1610827200000,23.99,24.382,23.0,23.58,247462.257,23.58,buy
2021-01-17 00:00:00,1610841600000,23.605,23.973,23.199,23.651,162362.388,23.651,buy
2021-01-17 04:00:00,1610856000000,23.651,23.903,22.23,22.578,233396.687,22.578,sell
2021-01-17 08:00:00,1610870400000,22.578,23.183,22.204,23.067,273713.139,23.067,buy
2021-01-17 12:00:00,1610884800000,23.071,23.18,22.53,23.075,197558.126,23.075,buy
2021-01-17 16:00:00,1610899200000,23.054,23.47,23.0,23.177,137802.575,23.177,buy
2021-01-17 20:00:00,1610913600000,23.179,24.7,23.104,23.841,452572.671,23.841,buy
2021-01-18 00:00:00,1610928000000,23.831,24.281,23.043,23.186,252594.831,23.186,buy
2021-01-18 04:00:00,1610942400000,23.187,24.649,23.168,24.181,276999.652,24.181,buy
2021-01-18 08:00:00,1610956800000,24.169,27.6,24.147,27.244,1193323.63,27.244,buy
2021-01-18 12:00:00,1610971200000,27.244,27.989,26.2,26.962,896047.663,26.962,buy
2021-01-18 16:00:00,1610985600000,26.96,28.349,26.076,27.761,743855.812,27.761,buy
2021-01-18 20:00:00,1611000000000,27.796,28.181,26.96,27.055,357908.548,27.055,buy
2021-01-19 00:00:00,1611014400000,27.083,28.0,26.651,27.146,427168.531,27.146,buy
2021-01-19 04:00:00,1611028800000,27.167,27.491,26.487,26.935,370339.168,26.935,buy
2021-01-19 08:00:00,1611043200000,26.94,27.488,26.7,26.758,358608.948,26.758,buy
2021-01-19 12:00:00,1611057600000,26.74,28.868,26.318,27.452,694774.231,27.452,buy
2021-01-19 16:00:00,1611072000000,27.471,28.028,26.222,26.705,454044.759,26.705,buy
2021-01-19 20:00:00,1611086400000,26.7,27.22,26.269,26.273,195837.334,26.273,buy
2021-01-20 00:00:00,1611100800000,26.268,26.82,25.16,25.259,409729.559,25.259,buy
2021-01-20 04:00:00,1611115200000,25.258,26.27,24.761,26.112,381933.179,26.112,buy
2021-01-20 08:00:00,1611129600000,26.095,26.225,23.918,24.261,484033.409,24.261,sell
2021-01-20 12:00:00,1611144000000,24.268,25.39,23.811,24.603,434618.477,24.603,sell
2021-01-20 16:00:00,1611158400000,24.63,25.832,24.0,25.804,357827.122,25.804,buy
2021-01-20 20:00:00,1611172800000,25.82,26.265,25.22,26.072,177020.211,26.072,buy
2021-01-21 00:00:00,1611187200000,26.08,26.24,24.952,25.041,150323.394,25.041,sell
2021-01-21 04:00:00,1611201600000,25.023,25.375,24.516,25.098,154229.682,25.098,sell
2021-01-21 08:00:00,1611216000000,25.097,25.115,23.066,23.373,402943.807,23.373,sell
