,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,0.3279,0.341,0.3213,0.3374,2415923.13,0.3374
2021-01-01 04:00:00,1609473600000,0.338,0.3488,0.3356,0.3464,1301452.4,0.3464
2021-01-01 08:00:00,1609488000000,0.3467,0.3598,0.3377,0.3516,2965900.25,0.3516
2021-01-01 12:00:00,1609502400000,0.352,0.3659,0.3479,0.3559,2917519.22,0.3559
2021-01-01 16:00:00,1609516800000,0.3569,0.3618,0.3344,0.3372,4351696.86,0.3372
2021-01-01 20:00:00,1609531200000,0.3373,0.3492,0.3358,0.3483,1820856.89,0.3483
2021-01-02 00:00:00,1609545600000,0.3483,0.35,0.331,0.3375,1583062.11,0.3375
2021-01-02 04:00:00,1609560000000,0.3375,0.3476,0.3366,0.3385,1843951.0,0.3385
2021-01-02 08:00:00,1609574400000,0.3384,0.3422,0.3345,0.3421,1027952.36,0.3421
2021-01-02 12:00:00,1609588800000,0.3417,0.3495,0.336,0.3418,2075140.14,0.3418
2021-01-02 16:00:00,1609603200000,0.3421,0.345,0.334,0.3405,2929903.99,0.3405
2021-01-02 20:00:00,1609617600000,0.3405,0.3409,0.3215,0.3306,3361574.47,0.3306
2021-01-03 00:00:00,1609632000000,0.331,0.3381,0.3288,0.3378,1055102.73,0.3378
2021-01-03 04:00:00,1609646400000,0.338,0.3419,0.3332,0.334,1154259.96,0.334
2021-01-03 08:00:00,1609660800000,0.3341,0.3859,0.3308,0.3772,6540452.63,0.3772
2021-01-03 12:00:00,1609675200000,0.3773,0.419,0.3752,0.399,10859927.89,0.399
2021-01-03 16:00:00,1609689600000,0.3984,0.4077,0.3777,0.3884,6714627.35,0.3884
2021-01-03 20:00:00,1609704000000,0.3884,0.4065,0.3864,0.3954,4248726.28,0.3954
2021-01-04 00:00:00,1609718400000,0.3957,0.4313,0.3875,0.4279,4619482.43,0.4279
2021-01-04 04:00:00,1609732800000,0.4282,0.4545,0.3871,0.3997,6792910.21,0.3997
2021-01-04 08:00:00,1609747200000,0.4002,0.4148,0.366,0.3879,9996007.66,0.3879
2021-01-04 12:00:00,1609761600000,0.388,0.4013,0.3808,0.3863,4730921.08,0.3863
2021-01-04 16:00:00,1609776000000,0.3868,0.3908,0.371,0.3852,3689353.96,0.3852
2021-01-04 20:00:00,1609790400000,0.3853,0.3965,0.376,0.3965,2418582.58,0.3965
2021-01-05 00:00:00,1609804800000,0.3966,0.4083,0.3647,0.3661,7093666.06,0.3661
2021-01-05 04:00:00,1609819200000,0.3655,0.374,0.36,0.3698,3937699.8,0.3698
2021-01-05 08:00:00,1609833600000,0.3703,0.4077,0.3703,0.3992,4946575.19,0.3992
2021-01-05 12:00:00,1609848000000,0.3992,0.4322,0.3954,0.4316,6259133.42,0.4316
2021-01-05 16:00:00,1609862400000,0.4316,0.4327,0.4042,0.413,5317302.13,0.413
2021-01-05 20:00:00,1609876800000,0.4128,0.4812,0.4098,0.4492,9520771.88,0.4492
2021-01-06 00:00:00,1609891200000,0.4491,0.4826,0.4452,0.4577,5772955.08,0.4577
2021-01-06 04:00:00,1609905600000,0.4578,0.5,0.4564,0.4878,5954078.17,0.4878
2021-01-06 08:00:00,1609920000000,0.4871,0.497,0.4563,0.4761,5521657.22,0.4761
2021-01-06 12:00:00,1609934400000,0.4756,0.4798,0.4538,0.479,5601111.77,0.479
2021-01-06 16:00:00,1609948800000,0.4789,0.4836,0.4366,0.4378,5377728.88,0.4378
2021-01-06 20:00:00,1609963200000,0.4375,0.4543,0.4254,0.4503,4661282.16,0.4503
2021-01-07 00:00:00,1609977600000,0.4508,0.4684,0.4408,0.4644,3276010.87,0.4644
2021-01-07 04:00:00,1609992000000,0.4647,0.469,0.4508,0.4528,1987812.72,0.4528
2021-01-07 08:00:00,1610006400000,0.4529,0.4904,0.4396,0.4715,4727077.04,0.4715
2021-01-07 12:00:00,1610020800000,0.4716,0.4877,0.4647,0.4688,3485281.57,0.4688
2021-01-07 16:00:00,1610035200000,0.4697,0.4752,0.4048,0.4452,8032306.4,0.4452
2021-01-07 20:00:00,1610049600000,0.4459,0.4525,0.42,0.4301,3716116.18,0.4301
2021-01-08 00:00:00,1610064000000,0.4301,0.4427,0.38,0.405,4411774.68,0.405
2021-01-08 04:00:00,1610078400000,0.405,0.4229,0.3949,0.419,3778688.78,0.419
2021-01-08 08:00:00,1610092800000,0.4195,0.45,0.4077,0.4344,5888818.39,0.4344
2021-01-08 12:00:00,1610107200000,0.4335,0.4492,0.415,0.426,4213271.43,0.426
2021-01-08 16:00:00,1610121600000,0.4271,0.4348,0.4052,0.4093,2901742.71,0.4093
2021-01-08 20:00:00,1610136000000,0.4093,0.4192,0.3938,0.4186,2506013.59,0.4186
2021-01-09 00:00:00,1610150400000,0.4183,0.4249,0.4006,0.4213,2920126.48,0.4213
2021-01-09 04:00:00,1610164800000,0.4213,0.4315,0.4117,0.4309,2449462.77,0.4309
2021-01-09 08:00:00,1610179200000,0.4312,0.45,0.4289,0.4388,3186186.58,0.4388
2021-01-09 12:00:00,1610193600000,0.4391,0.4672,0.439,0.4663,3749298.86,0.4663
2021-01-09 16:00:00,1610208000000,0.4663,0.4777,0.45,0.4577,5577053.82,0.4577
2021-01-09 20:00:00,1610222400000,0.4577,0.4723,0.447,0.4597,2950039.1,0.4597
2021-01-10 00:00:00,1610236800000,0.4597,0.4718,0.4391,0.4436,3160378.05,0.4436
2021-01-10 04:00:00,1610251200000,0.4436,0.4645,0.4432,0.4634,1942137.23,0.4634
2021-01-10 08:00:00,1610265600000,0.4633,0.485,0.4394,0.4432,5660279.52,0.4432
2021-01-10 12:00:00,1610280000000,0.4431,0.4652,0.4304,0.4478,3899878.12,0.4478
2021-01-10 16:00:00,1610294400000,0.4478,0.4647,0.4202,0.4308,4675495.91,0.4308
2021-01-10 20:00:00,1610308800000,0.4311,0.4445,0.4069,0.4373,3922576.38,0.4373
2021-01-11 00:00:00,1610323200000,0.4372,0.4378,0.3787,0.3923,4483952.98,0.3923
2021-01-11 04:00:00,1610337600000,0.3925,0.4031,0.3634,0.3816,5590731.4,0.3816
2021-01-11 08:00:00,1610352000000,0.3816,0.4029,0.375,0.3779,3557748.38,0.3779
2021-01-11 12:00:00,1610366400000,0.3779,0.3825,0.334,0.3471,6979923.14,0.3471
2021-01-11 16:00:00,1610380800000,0.3477,0.3681,0.3111,0.3496,6659718.35,0.3496
2021-01-11 20:00:00,1610395200000,0.3492,0.3845,0.3426,0.3832,2665236.92,0.3832
2021-01-12 00:00:00,1610409600000,0.3827,0.3889,0.3664,0.3882,1827853.44,0.3882
2021-01-12 04:00:00,1610424000000,0.3886,0.4111,0.3836,0.4012,2692586.71,0.4012
2021-01-12 08:00:00,1610438400000,0.4018,0.4029,0.3725,0.3798,2458764.71,0.3798
2021-01-12 12:00:00,1610452800000,0.3797,0.3845,0.3522,0.373,3231755.19,0.373
2021-01-12 16:00:00,1610467200000,0.3733,0.41,0.3733,0.3881,3139383.58,0.3881
2021-01-12 20:00:00,1610481600000,0.3875,0.4081,0.3847,0.3945,3240303.29,0.3945
2021-01-13 00:00:00,1610496000000,0.3939,0.3941,0.3719,0.3926,2560584.15,0.3926
2021-01-13 04:00:00,1610510400000,0.3935,0.4166,0.3831,0.4157,2145952.77,0.4157
2021-01-13 08:00:00,1610524800000,0.4158,0.4281,0.4034,0.4211,3172336.46,0.4211
2021-01-13 12:00:00,1610539200000,0.4216,0.4339,0.4115,0.4336,2726371.87,0.4336
2021-01-13 16:00:00,1610553600000,0.4336,0.4393,0.426,0.4356,2375021.77,0.4356
2021-01-13 20:00:00,1610568000000,0.4363,0.4399,0.4265,0.4336,2402310.64,0.4336
2021-01-14 00:00:00,1610582400000,0.4329,0.44,0.4251,0.429,1648323.14,0.429
2021-01-14 04:00:00,1610596800000,0.4288,0.45,0.426,0.4468,1762671.22,0.4468
