,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,0.1132,0.1157,0.1119,0.1152,772754.31,0.1152,sell
2021-01-01 04:00:00,1609473600000,0.115,0.1163,0.114,0.1156,545667.39,0.1156,sell
2021-01-01 08:00:00,1609488000000,0.1159,0.1179,0.1145,0.117,715842.31,0.117,sell
2021-01-01 12:00:00,1609502400000,0.117,0.1185,0.1163,0.1176,943805.28,0.1176,sell
2021-01-01 16:00:00,1609516800000,0.1174,0.12,0.115,0.1189,1342342.63,0.1189,sell
2021-01-01 20:00:00,1609531200000,0.1186,0.1265,0.1183,0.1208,1948286.8,0.1208,sell
2021-01-02 00:00:00,1609545600000,0.1208,0.1222,0.1167,0.1212,1041071.91,0.1212,sell
2021-01-02 04:00:00,1609560000000,0.1212,0.1248,0.1202,0.1206,750558.67,0.1206,sell
2021-01-02 08:00:00,1609574400000,0.1205,0.1212,0.1175,0.1192,650128.49,0.1192,sell
2021-01-02 12:00:00,1609588800000,0.1195,0.124,0.118,0.1209,1302041.98,0.1209,sell
2021-01-02 16:00:00,1609603200000,0.1208,0.126,0.117,0.1239,1818777.09,0.1239,sell
2021-01-02 20:00:00,1609617600000,0.124,0.1268,0.1212,0.1234,1259505.69,0.1234,sell
2021-01-03 00:00:00,1609632000000,0.1233,0.1239,0.1215,0.1219,368133.94,0.1219,sell
2021-01-03 04:00:00,1609646400000,0.122,0.1234,0.1204,0.1207,751905.8,0.1207,sell
2021-01-03 08:00:00,1609660800000,0.121,0.123,0.1182,0.1215,2214292.61,0.1215,sell
2021-01-03 12:00:00,1609675200000,0.1213,0.1319,0.1201,0.1292,3454714.12,0.1292,sell
2021-01-03 16:00:00,1609689600000,0.1295,0.1306,0.1209,0.1229,1566100.09,0.1229,sell
2021-01-03 20:00:00,1609704000000,0.1229,0.1319,0.1229,0.1296,1208519.5,0.1296,sell
2021-01-04 00:00:00,1609718400000,0.1296,0.135,0.1279,0.13,1975479.72,0.13,sell
2021-01-04 04:00:00,1609732800000,0.1301,0.138,0.1248,0.127,2369368.9,0.127,sell
2021-01-04 08:00:00,1609747200000,0.1271,0.1305,0.113,0.1212,3167667.54,0.1212,sell
2021-01-04 12:00:00,1609761600000,0.1213,0.1246,0.1193,0.1234,796224.31,0.1234,sell
2021-01-04 16:00:00,1609776000000,0.124,0.1399,0.124,0.1304,4986216.58,0.1304,sell
2021-01-04 20:00:00,1609790400000,0.1304,0.132,0.1252,0.1315,1070195.24,0.1315,sell
2021-01-05 00:00:00,1609804800000,0.1315,0.1335,0.1253,0.1259,683325.82,0.1259,sell
2021-01-05 04:00:00,1609819200000,0.126,0.1266,0.1208,0.1237,904565.57,0.1237,sell
2021-01-05 08:00:00,1609833600000,0.124,0.1296,0.1224,0.1284,1061387.1,0.1284,sell
2021-01-05 12:00:00,1609848000000,0.1284,0.1317,0.1256,0.1305,1433462.3,0.1305,sell
2021-01-05 16:00:00,1609862400000,0.1307,0.1398,0.1293,0.1331,2313229.53,0.1331,sell
2021-01-05 20:00:00,1609876800000,0.1333,0.1355,0.1321,0.1327,941131.88,0.1327,buy
2021-01-06 00:00:00,1609891200000,0.1326,0.1401,0.1293,0.14,3050291.12,0.14,buy
2021-01-06 04:00:00,1609905600000,0.1401,0.1445,0.136,0.1404,3866952.7,0.1404,buy
2021-01-06 08:00:00,1609920000000,0.1404,0.1428,0.1355,0.14,3068326.89,0.14,buy
2021-01-06 12:00:00,1609934400000,0.14,0.1498,0.1394,0.1478,3282631.19,0.1478,buy
2021-01-06 16:00:00,1609948800000,0.148,0.1489,0.1412,0.1414,2204334.36,0.1414,buy
2021-01-06 20:00:00,1609963200000,0.1414,0.1443,0.136,0.1424,1524002.77,0.1424,buy
2021-01-07 00:00:00,1609977600000,0.1425,0.1497,0.142,0.148,1420444.8,0.148,buy
2021-01-07 04:00:00,1609992000000,0.1483,0.1518,0.1424,0.1492,2374386.57,0.1492,buy
2021-01-07 08:00:00,1610006400000,0.1487,0.168,0.1481,0.1655,7088852.65,0.1655,buy
2021-01-07 12:00:00,1610020800000,0.1655,0.1813,0.1577,0.1784,7842457.08,0.1784,buy
2021-01-07 16:00:00,1610035200000,0.1787,0.1788,0.152,0.1635,5942134.48,0.1635,buy
2021-01-07 20:00:00,1610049600000,0.1633,0.17,0.158,0.1631,3234220.26,0.1631,buy
2021-01-08 00:00:00,1610064000000,0.1632,0.175,0.1522,0.1581,4252865.03,0.1581,buy
2021-01-08 04:00:00,1610078400000,0.1581,0.1589,0.1505,0.1586,3618542.49,0.1586,buy
2021-01-08 08:00:00,1610092800000,0.1583,0.165,0.1553,0.163,5471723.97,0.163,buy
2021-01-08 12:00:00,1610107200000,0.1632,0.175,0.1561,0.1662,4661936.06,0.1662,buy
2021-01-08 16:00:00,1610121600000,0.1671,0.1706,0.1607,0.1657,2464201.23,0.1657,buy
2021-01-08 20:00:00,1610136000000,0.1657,0.1729,0.1602,0.1669,2377047.43,0.1669,buy
2021-01-09 00:00:00,1610150400000,0.1669,0.17,0.16,0.1667,2711011.87,0.1667,buy
2021-01-09 04:00:00,1610164800000,0.1665,0.17,0.16,0.1658,3218769.35,0.1658,buy
2021-01-09 08:00:00,1610179200000,0.1658,0.178,0.1639,0.1726,7049369.63,0.1726,buy
2021-01-09 12:00:00,1610193600000,0.1726,0.174,0.1669,0.1699,3335885.1,0.1699,buy
2021-01-09 16:00:00,1610208000000,0.1699,0.175,0.1671,0.1743,2482221.63,0.1743,buy
2021-01-09 20:00:00,1610222400000,0.1743,0.1764,0.167,0.1752,2594855.18,0.1752,buy
2021-01-10 00:00:00,1610236800000,0.1751,0.178,0.1708,0.1734,1879086.83,0.1734,buy
2021-01-10 04:00:00,1610251200000,0.1736,0.1799,0.172,0.1791,1763870.12,0.1791,buy
2021-01-10 08:00:00,1610265600000,0.1791,0.181,0.163,0.164,5014843.54,0.164,buy
2021-01-10 12:00:00,1610280000000,0.1633,0.1729,0.161,0.1676,2942408.32,0.1676,buy
2021-01-10 16:00:00,1610294400000,0.1676,0.1679,0.1495,0.1531,5320986.03,0.1531,sell
2021-01-10 20:00:00,1610308800000,0.1526,0.1625,0.1454,0.1593,3501934.1,0.1593,sell
2021-01-11 00:00:00,1610323200000,0.1593,0.1598,0.1402,0.1427,4180745.6,0.1427,sell
2021-01-11 04:00:00,1610337600000,0.1428,0.1467,0.131,0.1393,4541432.78,0.1393,sell
2021-01-11 08:00:00,1610352000000,0.1393,0.1487,0.1362,0.1412,2750903.62,0.1412,sell
2021-01-11 12:00:00,1610366400000,0.1413,0.151,0.137,0.1373,3493921.62,0.1373,sell
2021-01-11 16:00:00,1610380800000,0.1371,0.1427,0.1313,0.1373,2514156.86,0.1373,sell
2021-01-11 20:00:00,1610395200000,0.1372,0.148,0.1336,0.1455,2002012.79,0.1455,sell
2021-01-12 00:00:00,1610409600000,0.1454,0.147,0.1397,0.1454,1992231.06,0.1454,sell
2021-01-12 04:00:00,1610424000000,0.1455,0.1514,0.144,0.1495,2330969.43,0.1495,sell
2021-01-12 08:00:00,1610438400000,0.1494,0.1502,0.1397,0.1438,2163995.07,0.1438,sell
2021-01-12 12:00:00,1610452800000,0.1437,0.1463,0.1344,0.1392,1930809.35,0.1392,sell
2021-01-12 16:00:00,1610467200000,0.1391,0.1454,0.139,0.1415,1553134.02,0.1415,sell
2021-01-12 20:00:00,1610481600000,0.1415,0.1434,0.1355,0.139,1204384.1,0.139,sell
2021-01-13 00:00:00,1610496000000,0.1391,0.1406,0.1334,0.1388,1490566.93,0.1388,sell
2021-01-13 04:00:00,1610510400000,0.139,0.1413,0.1352,0.141,1406367.43,0.141,sell
2021-01-13 08:00:00,1610524800000,0.141,0.147,0.14,0.1456,1790410.41,0.1456,sell
2021-01-13 12:00:00,1610539200000,0.1456,0.1469,0.1423,0.1449,1531086.3,0.1449,sell
2021-01-13 16:00:00,1610553600000,0.1447,0.1497,0.1441,0.1474,1418625.64,0.1474,sell
2021-01-13 20:00:00,1610568000000,0.1476,0.1515,0.1476,0.15,1457526.32,0.15,sell
