,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,2.4742,2.5658,2.4397,2.5314,488340.07,2.5314,sell
2021-01-01 04:00:00,1609473600000,2.5328,2.5878,2.5063,2.5461,422668.36,2.5461,sell
2021-01-01 08:00:00,1609488000000,2.5481,2.6811,2.4889,2.6696,1050136.41,2.6696,sell
2021-01-01 12:00:00,1609502400000,2.6677,2.7682,2.6181,2.6637,1391249.67,2.6637,sell
2021-01-01 16:00:00,1609516800000,2.6662,2.6874,2.5,2.5434,811238.23,2.5434,sell
2021-01-01 20:00:00,1609531200000,2.5453,2.5917,2.5271,2.5432,396173.0,2.5432,sell
2021-01-02 00:00:00,1609545600000,2.5432,2.5887,2.4583,2.5583,647234.95,2.5583,sell
2021-01-02 04:00:00,1609560000000,2.5604,2.7297,2.55,2.6098,800902.46,2.6098,sell
2021-01-02 08:00:00,1609574400000,2.6087,2.642,2.5425,2.5956,700637.87,2.5956,sell
2021-01-02 12:00:00,1609588800000,2.5965,2.63,2.5226,2.5656,884554.98,2.5656,sell
2021-01-02 16:00:00,1609603200000,2.5657,2.6353,2.5237,2.562,854471.66,2.562,sell
2021-01-02 20:00:00,1609617600000,2.5641,2.5692,2.48,2.5422,736903.84,2.5422,sell
2021-01-03 00:00:00,1609632000000,2.5408,2.5848,2.53,2.544,490276.26,2.544,sell
2021-01-03 04:00:00,1609646400000,2.5437,2.5598,2.4853,2.494,554414.96,2.494,sell
2021-01-03 08:00:00,1609660800000,2.4956,2.7105,2.4877,2.6432,1795391.91,2.6432,sell
2021-01-03 12:00:00,1609675200000,2.6405,2.7487,2.5973,2.6217,1807961.41,2.6217,sell
2021-01-03 16:00:00,1609689600000,2.6214,2.7444,2.6214,2.6982,1330640.85,2.6982,sell
2021-01-03 20:00:00,1609704000000,2.6997,3.0714,2.6771,3.0498,2601225.72,3.0498,sell
2021-01-04 00:00:00,1609718400000,3.0529,3.26,2.9832,3.1952,2880977.82,3.1952,sell
2021-01-04 04:00:00,1609732800000,3.1926,3.3077,2.8,2.9812,3157894.72,2.9812,sell
2021-01-04 08:00:00,1609747200000,2.9822,3.05,2.6842,2.9068,3173230.73,2.9068,sell
2021-01-04 12:00:00,1609761600000,2.9068,3.3999,2.846,3.395,3253591.57,3.395,sell
2021-01-04 16:00:00,1609776000000,3.3975,3.4777,3.117,3.2976,2994531.41,3.2976,sell
2021-01-04 20:00:00,1609790400000,3.2983,3.3313,3.1601,3.2938,1030772.57,3.2938,sell
2021-01-05 00:00:00,1609804800000,3.2927,3.6738,3.1859,3.2434,4402165.97,3.2434,sell
2021-01-05 04:00:00,1609819200000,3.2425,3.4616,3.1423,3.3174,3065302.3,3.3174,sell
2021-01-05 08:00:00,1609833600000,3.3168,3.6965,3.3157,3.6099,3202912.82,3.6099,sell
2021-01-05 12:00:00,1609848000000,3.6104,3.76,3.4664,3.6863,3077712.52,3.6863,sell
2021-01-05 16:00:00,1609862400000,3.6892,3.7096,3.349,3.4432,2178130.33,3.4432,sell
