,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,0.4416,0.4556,0.4366,0.4508,2337558.31,0.4508
2021-01-01 04:00:00,1609473600000,0.4507,0.452,0.4441,0.4465,1347035.61,0.4465
2021-01-01 08:00:00,1609488000000,0.4465,0.4542,0.4379,0.4526,1673126.42,0.4526
2021-01-01 12:00:00,1609502400000,0.4527,0.466,0.4527,0.4573,3276260.27,0.4573
2021-01-01 16:00:00,1609516800000,0.4576,0.4618,0.4345,0.4463,2785022.32,0.4463
2021-01-01 20:00:00,1609531200000,0.4456,0.4514,0.4442,0.4491,1419374.3,0.4491
2021-01-02 00:00:00,1609545600000,0.4494,0.4623,0.4421,0.4607,2654161.41,0.4607
2021-01-02 04:00:00,1609560000000,0.4605,0.4912,0.4544,0.4724,11476955.0,0.4724
2021-01-02 08:00:00,1609574400000,0.4722,0.4771,0.4636,0.475,3990132.12,0.475
2021-01-02 12:00:00,1609588800000,0.4749,0.4876,0.4652,0.4818,6748990.04,0.4818
2021-01-02 16:00:00,1609603200000,0.4819,0.4822,0.4695,0.4735,5968736.66,0.4735
2021-01-02 20:00:00,1609617600000,0.4735,0.4736,0.4554,0.4653,3055633.26,0.4653
2021-01-03 00:00:00,1609632000000,0.4654,0.4726,0.4639,0.4664,2001376.89,0.4664
2021-01-03 04:00:00,1609646400000,0.4659,0.4675,0.4589,0.4602,2204329.85,0.4602
2021-01-03 08:00:00,1609660800000,0.4601,0.4969,0.4576,0.4842,6516997.84,0.4842
2021-01-03 12:00:00,1609675200000,0.4843,0.4964,0.4725,0.482,5712971.56,0.482
2021-01-03 16:00:00,1609689600000,0.4823,0.494,0.4794,0.4818,4800320.89,0.4818
2021-01-03 20:00:00,1609704000000,0.482,0.5083,0.482,0.503,4309072.6,0.503
2021-01-04 00:00:00,1609718400000,0.5028,0.5226,0.5028,0.5198,4696704.41,0.5198
2021-01-04 04:00:00,1609732800000,0.5198,0.544,0.4906,0.4994,9183976.12,0.4994
2021-01-04 08:00:00,1609747200000,0.4996,0.5096,0.42,0.4749,12609470.59,0.4749
2021-01-04 12:00:00,1609761600000,0.4752,0.519,0.4673,0.4847,6412467.03,0.4847
2021-01-04 16:00:00,1609776000000,0.4844,0.4877,0.4715,0.4855,2983063.11,0.4855
2021-01-04 20:00:00,1609790400000,0.4856,0.4955,0.4774,0.4945,2100277.9,0.4945
2021-01-05 00:00:00,1609804800000,0.4947,0.504,0.4778,0.4782,6170204.29,0.4782
2021-01-05 04:00:00,1609819200000,0.4785,0.4829,0.4644,0.4717,5961361.41,0.4717
2021-01-05 08:00:00,1609833600000,0.472,0.4999,0.472,0.4972,4614740.17,0.4972
2021-01-05 12:00:00,1609848000000,0.4975,0.5095,0.4841,0.5084,5073185.18,0.5084
2021-01-05 16:00:00,1609862400000,0.5091,0.5141,0.4979,0.5033,4912521.59,0.5033
2021-01-05 20:00:00,1609876800000,0.5033,0.5095,0.5003,0.509,2683603.36,0.509
2021-01-06 00:00:00,1609891200000,0.509,0.5269,0.4982,0.5227,5096166.43,0.5227
2021-01-06 04:00:00,1609905600000,0.5225,0.5273,0.5138,0.5223,4482261.76,0.5223
2021-01-06 08:00:00,1609920000000,0.5225,0.53,0.5189,0.5271,4508354.41,0.5271
2021-01-06 12:00:00,1609934400000,0.5273,0.5713,0.5253,0.5462,11672045.7,0.5462
2021-01-06 16:00:00,1609948800000,0.5462,0.6,0.5458,0.563,8932842.98,0.563
2021-01-06 20:00:00,1609963200000,0.5644,0.593,0.544,0.5808,8321369.33,0.5808
2021-01-07 00:00:00,1609977600000,0.581,0.5839,0.5608,0.5736,5117171.19,0.5736
2021-01-07 04:00:00,1609992000000,0.573,0.5869,0.5602,0.5674,6912012.0,0.5674
2021-01-07 08:00:00,1610006400000,0.5673,0.5743,0.5435,0.5702,8831931.89,0.5702
2021-01-07 12:00:00,1610020800000,0.5705,0.5999,0.5658,0.5927,9409474.22,0.5927
2021-01-07 16:00:00,1610035200000,0.5927,0.6107,0.532,0.5618,14598248.29,0.5618
2021-01-07 20:00:00,1610049600000,0.5618,0.5733,0.5458,0.5591,6149900.54,0.5591
2021-01-08 00:00:00,1610064000000,0.5587,0.5638,0.5107,0.5312,9185438.56,0.5312
2021-01-08 04:00:00,1610078400000,0.5312,0.5488,0.522,0.5474,5381682.7,0.5474
2021-01-08 08:00:00,1610092800000,0.5474,0.5624,0.5392,0.5497,4873564.04,0.5497
2021-01-08 12:00:00,1610107200000,0.5494,0.5813,0.538,0.5609,8944577.46,0.5609
2021-01-08 16:00:00,1610121600000,0.5612,0.575,0.5463,0.5484,6031937.28,0.5484
2021-01-08 20:00:00,1610136000000,0.5484,0.5588,0.518,0.5563,5475386.25,0.5563
2021-01-09 00:00:00,1610150400000,0.5558,0.6276,0.5388,0.6276,9455347.35,0.6276
2021-01-09 04:00:00,1610164800000,0.6271,0.6327,0.5811,0.6006,13461449.35,0.6006
2021-01-09 08:00:00,1610179200000,0.6009,0.628,0.595,0.6045,8268561.89,0.6045
2021-01-09 12:00:00,1610193600000,0.6047,0.6292,0.5997,0.6132,6958025.67,0.6132
2021-01-09 16:00:00,1610208000000,0.6135,0.6464,0.6092,0.6413,10876121.74,0.6413
2021-01-09 20:00:00,1610222400000,0.6413,0.6424,0.6249,0.634,4483737.88,0.634
2021-01-10 00:00:00,1610236800000,0.6346,0.6719,0.6346,0.6403,7072384.83,0.6403
2021-01-10 04:00:00,1610251200000,0.6399,0.6826,0.6394,0.6679,7571027.55,0.6679
2021-01-10 08:00:00,1610265600000,0.6684,0.6785,0.5913,0.6026,17763760.9,0.6026
2021-01-10 12:00:00,1610280000000,0.603,0.6318,0.5917,0.6183,13240822.08,0.6183
2021-01-10 16:00:00,1610294400000,0.618,0.6227,0.5777,0.5836,11072728.91,0.5836
2021-01-10 20:00:00,1610308800000,0.5834,0.685,0.5485,0.6536,21072761.5,0.6536
2021-01-11 00:00:00,1610323200000,0.6536,0.6585,0.5232,0.5663,19492531.56,0.5663
2021-01-11 04:00:00,1610337600000,0.5664,0.5781,0.52,0.5626,18863134.82,0.5626
2021-01-11 08:00:00,1610352000000,0.5625,0.5968,0.5567,0.5642,10406780.95,0.5642
