,datetime,open,high,low,close,volume,adj_close,signal
2021-12-23 04:00:00,1640232000000,0.138,0.2,0.138,0.1618,188363709.6,0.1618,sell
2021-12-23 08:00:00,1640246400000,0.1618,0.165,0.1467,0.154,148092731.1,0.154,sell
2021-12-23 12:00:00,1640260800000,0.154,0.1648,0.1525,0.1635,89986275.9,0.1635,sell
2021-12-23 16:00:00,1640275200000,0.1635,0.1649,0.1506,0.1563,67564680.2,0.1563,sell
2021-12-23 20:00:00,1640289600000,0.1564,0.1786,0.1555,0.1681,82309986.4,0.1681,sell
2021-12-24 00:00:00,1640304000000,0.1681,0.18,0.1587,0.1752,118213276.7,0.1752,sell
2021-12-24 04:00:00,1640318400000,0.1751,0.1768,0.1628,0.1688,51834894.3,0.1688,sell
2021-12-24 08:00:00,1640332800000,0.1689,0.1729,0.1646,0.167,40162479.8,0.167,sell
2021-12-24 12:00:00,1640347200000,0.167,0.171,0.151,0.1588,70540774.0,0.1588,sell
2021-12-24 16:00:00,1640361600000,0.1589,0.1629,0.1551,0.1583,29452093.9,0.1583,sell
2021-12-24 20:00:00,1640376000000,0.1582,0.1641,0.1551,0.1575,16605873.2,0.1575,sell
2021-12-25 00:00:00,1640390400000,0.1575,0.1631,0.1502,0.1526,61792794.2,0.1526,sell
2021-12-25 04:00:00,1640404800000,0.1526,0.156,0.1504,0.153,46329511.5,0.153,sell
2021-12-25 08:00:00,1640419200000,0.1529,0.1578,0.1409,0.1459,79177912.6,0.1459,sell
2021-12-25 12:00:00,1640433600000,0.146,0.1475,0.1412,0.1466,86696040.3,0.1466,sell
2021-12-25 16:00:00,1640448000000,0.1464,0.1509,0.1406,0.1454,42324149.2,0.1454,sell
2021-12-25 20:00:00,1640462400000,0.1455,0.1488,0.145,0.1468,19362801.0,0.1468,sell
2021-12-26 00:00:00,1640476800000,0.1466,0.1546,0.141,0.1433,51262932.1,0.1433,sell
2021-12-26 04:00:00,1640491200000,0.1433,0.1509,0.1426,0.1481,25499532.3,0.1481,sell
